round_num,global_label_distribution,client_label_distributions,kl_divergence_scores,jensen_shannon_divergence,earth_movers_distance,accuracy_variance,convergence_rate,fairness_score,parameter_diversity,consensus_measure,aggregation_efficiency
1,"{""class_0"": 0.21330332583145786, ""class_1"": 0.2865716429107277, ""bin_00_0.0-0.1"": 0.05001250312578145, ""bin_01_0.1-0.2"": 0.05001250312578145, ""bin_02_0.2-0.3"": 0.05426356589147287, ""bin_03_0.3-0.4"": 0.04576144036009002, ""bin_04_0.4-0.5"": 0.05001250312578145, ""bin_05_0.5-0.6"": 0.06801700425106276, ""bin_06_0.6-0.7"": 0.037259314828707174, ""bin_07_0.7-0.8"": 0.044761190297574395, ""bin_08_0.8-0.9"": 0.05001250312578145, ""bin_09_0.9-1.0"": 0.05001250312578145}","{""no_lora_client_1"": {""class_0"": 0.42671335667833915, ""class_1"": 0.5732866433216608}, ""no_lora_client_3"": {""bin_00_0.0-0.1"": 0.1, ""bin_01_0.1-0.2"": 0.1, ""bin_02_0.2-0.3"": 0.1085, ""bin_03_0.3-0.4"": 0.0915, ""bin_04_0.4-0.5"": 0.1, ""bin_05_0.5-0.6"": 0.136, ""bin_06_0.6-0.7"": 0.0745, ""bin_07_0.7-0.8"": 0.0895, ""bin_08_0.8-0.9"": 0.1, ""bin_09_0.9-1.0"": 0.1}}","{""no_lora_client_1"": 0.6933972743464183, ""no_lora_client_3"": 0.6928971493047361}",0.6931471671872695,0.0,0.15313743234807195,0.0,-1.1785896850874789,1.0268054707163188e-05,0.9999897319452928,1.0
2,"{""class_0"": 0.34678226075358454, ""class_1"": 0.3197732577525842, ""bin_00_0.0-0.1"": 0.03334444814938313, ""bin_01_0.1-0.2"": 0.03334444814938313, ""bin_02_0.2-0.3"": 0.03617872624208069, ""bin_03_0.3-0.4"": 0.030510170056685562, ""bin_04_0.4-0.5"": 0.03334444814938313, ""bin_05_0.5-0.6"": 0.04534844948316105, ""bin_06_0.6-0.7"": 0.02484161387129043, ""bin_07_0.7-0.8"": 0.0298432810936979, ""bin_08_0.8-0.9"": 0.03334444814938313, ""bin_09_0.9-1.0"": 0.03334444814938313}","{""no_lora_client_1"": {""class_0"": 0.42671335667833915, ""class_1"": 0.5732866433216608}, ""no_lora_client_3"": {""bin_00_0.0-0.1"": 0.1, ""bin_01_0.1-0.2"": 0.1, ""bin_02_0.2-0.3"": 0.1085, ""bin_03_0.3-0.4"": 0.0915, ""bin_04_0.4-0.5"": 0.1, ""bin_05_0.5-0.6"": 0.136, ""bin_06_0.6-0.7"": 0.0745, ""bin_07_0.7-0.8"": 0.0895, ""bin_08_0.8-0.9"": 0.1, ""bin_09_0.9-1.0"": 0.1}}","{""no_lora_client_1"": 0.4231765671997141, ""no_lora_client_3"": 1.098278899766872}",0.6931471671872695,0.0,0.11444998562333623,0.0,0.19273330458631466,4.3181836470784773e-05,0.9999568181635292,0.6666666666666666
3,"{""class_0"": 0.34678226075358454, ""class_1"": 0.3197732577525842, ""bin_00_0.0-0.1"": 0.03334444814938313, ""bin_01_0.1-0.2"": 0.03334444814938313, ""bin_02_0.2-0.3"": 0.03617872624208069, ""bin_03_0.3-0.4"": 0.030510170056685562, ""bin_04_0.4-0.5"": 0.03334444814938313, ""bin_05_0.5-0.6"": 0.04534844948316105, ""bin_06_0.6-0.7"": 0.02484161387129043, ""bin_07_0.7-0.8"": 0.0298432810936979, ""bin_08_0.8-0.9"": 0.03334444814938313, ""bin_09_0.9-1.0"": 0.03334444814938313}","{""no_lora_client_3"": {""bin_00_0.0-0.1"": 0.1, ""bin_01_0.1-0.2"": 0.1, ""bin_02_0.2-0.3"": 0.1085, ""bin_03_0.3-0.4"": 0.0915, ""bin_04_0.4-0.5"": 0.1, ""bin_05_0.5-0.6"": 0.136, ""bin_06_0.6-0.7"": 0.0745, ""bin_07_0.7-0.8"": 0.0895, ""bin_08_0.8-0.9"": 0.1, ""bin_09_0.9-1.0"": 0.1}, ""no_lora_client_1"": {""class_0"": 0.42671335667833915, ""class_1"": 0.5732866433216608}, ""no_lora_client_2"": {""class_0"": 0.6138069034517258, ""class_1"": 0.38619309654827416}}","{""no_lora_client_3"": 1.098278899766872, ""no_lora_client_1"": 0.4231765671997141, ""no_lora_client_2"": 0.4233579048385255}",0.6482710804039612,0.0,0.06219051753986032,0.0,0.5580672740717287,6.647509404589247e-05,0.9999335249059541,1.0
4,"{""class_0"": 0.34678226075358454, ""class_1"": 0.3197732577525842, ""bin_00_0.0-0.1"": 0.03334444814938313, ""bin_01_0.1-0.2"": 0.03334444814938313, ""bin_02_0.2-0.3"": 0.03617872624208069, ""bin_03_0.3-0.4"": 0.030510170056685562, ""bin_04_0.4-0.5"": 0.03334444814938313, ""bin_05_0.5-0.6"": 0.04534844948316105, ""bin_06_0.6-0.7"": 0.02484161387129043, ""bin_07_0.7-0.8"": 0.0298432810936979, ""bin_08_0.8-0.9"": 0.03334444814938313, ""bin_09_0.9-1.0"": 0.03334444814938313}","{""no_lora_client_3"": {""bin_00_0.0-0.1"": 0.1, ""bin_01_0.1-0.2"": 0.1, ""bin_02_0.2-0.3"": 0.1085, ""bin_03_0.3-0.4"": 0.0915, ""bin_04_0.4-0.5"": 0.1, ""bin_05_0.5-0.6"": 0.136, ""bin_06_0.6-0.7"": 0.0745, ""bin_07_0.7-0.8"": 0.0895, ""bin_08_0.8-0.9"": 0.1, ""bin_09_0.9-1.0"": 0.1}, ""no_lora_client_2"": {""class_0"": 0.6138069034517258, ""class_1"": 0.38619309654827416}, ""no_lora_client_1"": {""class_0"": 0.42671335667833915, ""class_1"": 0.5732866433216608}}","{""no_lora_client_3"": 1.098278899766872, ""no_lora_client_2"": 0.4233579048385255, ""no_lora_client_1"": 0.4231765671997141}",0.6482710804039612,0.0,0.03425121964840137,0.0,0.7204943316911014,0.00011712397873042679,0.9998828760212696,1.0
5,"{""class_0"": 0.34678226075358454, ""class_1"": 0.3197732577525842, ""bin_00_0.0-0.1"": 0.03334444814938313, ""bin_01_0.1-0.2"": 0.03334444814938313, ""bin_02_0.2-0.3"": 0.03617872624208069, ""bin_03_0.3-0.4"": 0.030510170056685562, ""bin_04_0.4-0.5"": 0.03334444814938313, ""bin_05_0.5-0.6"": 0.04534844948316105, ""bin_06_0.6-0.7"": 0.02484161387129043, ""bin_07_0.7-0.8"": 0.0298432810936979, ""bin_08_0.8-0.9"": 0.03334444814938313, ""bin_09_0.9-1.0"": 0.03334444814938313}","{""no_lora_client_3"": {""bin_00_0.0-0.1"": 0.1, ""bin_01_0.1-0.2"": 0.1, ""bin_02_0.2-0.3"": 0.1085, ""bin_03_0.3-0.4"": 0.0915, ""bin_04_0.4-0.5"": 0.1, ""bin_05_0.5-0.6"": 0.136, ""bin_06_0.6-0.7"": 0.0745, ""bin_07_0.7-0.8"": 0.0895, ""bin_08_0.8-0.9"": 0.1, ""bin_09_0.9-1.0"": 0.1}, ""no_lora_client_2"": {""class_0"": 0.6138069034517258, ""class_1"": 0.38619309654827416}, ""no_lora_client_1"": {""class_0"": 0.42671335667833915, ""class_1"": 0.5732866433216608}}","{""no_lora_client_3"": 1.098278899766872, ""no_lora_client_2"": 0.4233579048385255, ""no_lora_client_1"": 0.4231765671997141}",0.6482710804039612,0.0,0.02304070863415663,0.0,0.792651586700792,0.000181673126632087,0.9998183268733679,1.0
6,"{""class_0"": 0.34678226075358454, ""class_1"": 0.3197732577525842, ""bin_00_0.0-0.1"": 0.03334444814938313, ""bin_01_0.1-0.2"": 0.03334444814938313, ""bin_02_0.2-0.3"": 0.03617872624208069, ""bin_03_0.3-0.4"": 0.030510170056685562, ""bin_04_0.4-0.5"": 0.03334444814938313, ""bin_05_0.5-0.6"": 0.04534844948316105, ""bin_06_0.6-0.7"": 0.02484161387129043, ""bin_07_0.7-0.8"": 0.0298432810936979, ""bin_08_0.8-0.9"": 0.03334444814938313, ""bin_09_0.9-1.0"": 0.03334444814938313}","{""no_lora_client_3"": {""bin_00_0.0-0.1"": 0.1, ""bin_01_0.1-0.2"": 0.1, ""bin_02_0.2-0.3"": 0.1085, ""bin_03_0.3-0.4"": 0.0915, ""bin_04_0.4-0.5"": 0.1, ""bin_05_0.5-0.6"": 0.136, ""bin_06_0.6-0.7"": 0.0745, ""bin_07_0.7-0.8"": 0.0895, ""bin_08_0.8-0.9"": 0.1, ""bin_09_0.9-1.0"": 0.1}, ""no_lora_client_1"": {""class_0"": 0.42671335667833915, ""class_1"": 0.5732866433216608}, ""no_lora_client_2"": {""class_0"": 0.6138069034517258, ""class_1"": 0.38619309654827416}}","{""no_lora_client_3"": 1.098278899766872, ""no_lora_client_1"": 0.4231765671997141, ""no_lora_client_2"": 0.4233579048385255}",0.6482710804039612,0.0,0.01932573672925251,0.0,0.8237498336739736,0.0002492295662319677,0.999750770433768,1.0
7,"{""class_0"": 0.34678226075358454, ""class_1"": 0.3197732577525842, ""bin_00_0.0-0.1"": 0.03334444814938313, ""bin_01_0.1-0.2"": 0.03334444814938313, ""bin_02_0.2-0.3"": 0.03617872624208069, ""bin_03_0.3-0.4"": 0.030510170056685562, ""bin_04_0.4-0.5"": 0.03334444814938313, ""bin_05_0.5-0.6"": 0.04534844948316105, ""bin_06_0.6-0.7"": 0.02484161387129043, ""bin_07_0.7-0.8"": 0.0298432810936979, ""bin_08_0.8-0.9"": 0.03334444814938313, ""bin_09_0.9-1.0"": 0.03334444814938313}","{""no_lora_client_3"": {""bin_00_0.0-0.1"": 0.1, ""bin_01_0.1-0.2"": 0.1, ""bin_02_0.2-0.3"": 0.1085, ""bin_03_0.3-0.4"": 0.0915, ""bin_04_0.4-0.5"": 0.1, ""bin_05_0.5-0.6"": 0.136, ""bin_06_0.6-0.7"": 0.0745, ""bin_07_0.7-0.8"": 0.0895, ""bin_08_0.8-0.9"": 0.1, ""bin_09_0.9-1.0"": 0.1}, ""no_lora_client_1"": {""class_0"": 0.42671335667833915, ""class_1"": 0.5732866433216608}, ""no_lora_client_2"": {""class_0"": 0.6138069034517258, ""class_1"": 0.38619309654827416}}","{""no_lora_client_3"": 1.098278899766872, ""no_lora_client_1"": 0.4231765671997141, ""no_lora_client_2"": 0.4233579048385255}",0.6482710804039612,0.0,0.01602611402045842,0.0,0.8465602922057278,0.00031507475515946126,0.9996849252448405,1.0
8,"{""class_0"": 0.34678226075358454, ""class_1"": 0.3197732577525842, ""bin_00_0.0-0.1"": 0.03334444814938313, ""bin_01_0.1-0.2"": 0.03334444814938313, ""bin_02_0.2-0.3"": 0.03617872624208069, ""bin_03_0.3-0.4"": 0.030510170056685562, ""bin_04_0.4-0.5"": 0.03334444814938313, ""bin_05_0.5-0.6"": 0.04534844948316105, ""bin_06_0.6-0.7"": 0.02484161387129043, ""bin_07_0.7-0.8"": 0.0298432810936979, ""bin_08_0.8-0.9"": 0.03334444814938313, ""bin_09_0.9-1.0"": 0.03334444814938313}","{""no_lora_client_1"": {""class_0"": 0.42671335667833915, ""class_1"": 0.5732866433216608}, ""no_lora_client_2"": {""class_0"": 0.6138069034517258, ""class_1"": 0.38619309654827416}, ""no_lora_client_3"": {""bin_00_0.0-0.1"": 0.1, ""bin_01_0.1-0.2"": 0.1, ""bin_02_0.2-0.3"": 0.1085, ""bin_03_0.3-0.4"": 0.0915, ""bin_04_0.4-0.5"": 0.1, ""bin_05_0.5-0.6"": 0.136, ""bin_06_0.6-0.7"": 0.0745, ""bin_07_0.7-0.8"": 0.0895, ""bin_08_0.8-0.9"": 0.1, ""bin_09_0.9-1.0"": 0.1}}","{""no_lora_client_1"": 0.4231765671997141, ""no_lora_client_2"": 0.4233579048385255, ""no_lora_client_3"": 1.098278899766872}",0.6482710804039612,0.0,0.012909801300634191,0.0,0.867063451623457,0.00037488887271919236,0.9996251111272808,1.0
9,"{""class_0"": 0.34678226075358454, ""class_1"": 0.3197732577525842, ""bin_00_0.0-0.1"": 0.03334444814938313, ""bin_01_0.1-0.2"": 0.03334444814938313, ""bin_02_0.2-0.3"": 0.03617872624208069, ""bin_03_0.3-0.4"": 0.030510170056685562, ""bin_04_0.4-0.5"": 0.03334444814938313, ""bin_05_0.5-0.6"": 0.04534844948316105, ""bin_06_0.6-0.7"": 0.02484161387129043, ""bin_07_0.7-0.8"": 0.0298432810936979, ""bin_08_0.8-0.9"": 0.03334444814938313, ""bin_09_0.9-1.0"": 0.03334444814938313}","{""no_lora_client_2"": {""class_0"": 0.6138069034517258, ""class_1"": 0.38619309654827416}, ""no_lora_client_1"": {""class_0"": 0.42671335667833915, ""class_1"": 0.5732866433216608}, ""no_lora_client_3"": {""bin_00_0.0-0.1"": 0.1, ""bin_01_0.1-0.2"": 0.1, ""bin_02_0.2-0.3"": 0.1085, ""bin_03_0.3-0.4"": 0.0915, ""bin_04_0.4-0.5"": 0.1, ""bin_05_0.5-0.6"": 0.136, ""bin_06_0.6-0.7"": 0.0745, ""bin_07_0.7-0.8"": 0.0895, ""bin_08_0.8-0.9"": 0.1, ""bin_09_0.9-1.0"": 0.1}}","{""no_lora_client_2"": 0.4233579048385255, ""no_lora_client_1"": 0.4231765671997141, ""no_lora_client_3"": 1.098278899766872}",0.6482710804039612,0.0,0.011492488081558044,0.0,0.8782170364482627,0.00042584577910265153,0.9995741542208973,1.0
10,"{""class_0"": 0.34678226075358454, ""class_1"": 0.3197732577525842, ""bin_00_0.0-0.1"": 0.03334444814938313, ""bin_01_0.1-0.2"": 0.03334444814938313, ""bin_02_0.2-0.3"": 0.03617872624208069, ""bin_03_0.3-0.4"": 0.030510170056685562, ""bin_04_0.4-0.5"": 0.03334444814938313, ""bin_05_0.5-0.6"": 0.04534844948316105, ""bin_06_0.6-0.7"": 0.02484161387129043, ""bin_07_0.7-0.8"": 0.0298432810936979, ""bin_08_0.8-0.9"": 0.03334444814938313, ""bin_09_0.9-1.0"": 0.03334444814938313}","{""no_lora_client_3"": {""bin_00_0.0-0.1"": 0.1, ""bin_01_0.1-0.2"": 0.1, ""bin_02_0.2-0.3"": 0.1085, ""bin_03_0.3-0.4"": 0.0915, ""bin_04_0.4-0.5"": 0.1, ""bin_05_0.5-0.6"": 0.136, ""bin_06_0.6-0.7"": 0.0745, ""bin_07_0.7-0.8"": 0.0895, ""bin_08_0.8-0.9"": 0.1, ""bin_09_0.9-1.0"": 0.1}, ""no_lora_client_1"": {""class_0"": 0.42671335667833915, ""class_1"": 0.5732866433216608}, ""no_lora_client_2"": {""class_0"": 0.6138069034517258, ""class_1"": 0.38619309654827416}}","{""no_lora_client_3"": 1.098278899766872, ""no_lora_client_1"": 0.4231765671997141, ""no_lora_client_2"": 0.4233579048385255}",0.6482710804039612,0.0,0.009000340315318567,0.0,0.8938733807608924,0.0004719300734161713,0.9995280699265838,1.0
