client_id,round_num,participated,participation_rate,consecutive_participations,total_participations,data_samples,data_distribution,data_heterogeneity_score,local_accuracy,local_precision,local_recall,local_f1_score,local_loss,contribution_weight,per_class_precision,per_class_recall,per_class_f1,confusion_matrix_flat,upload_time,download_time,parameter_size_bytes
no_lora_client_1,1,True,1.0,1,1,999,"{""class_0"": 426, ""class_1"": 573}",0.5405688342313061,0.5722389055722389,0.5513976227030889,0.5722389055722389,0.5326648727250378,0.6770966103467991,999,"{'0': 0.4967845659163987, '1': 0.592}","{'0': 0.24178403755868544, '1': 0.8179173938336242}","{'0': 0.32526315789473687, '1': 0.6868588177821202}","[309, 969, 313, 1406]",1.5291407108306885,0.0,15890432
no_lora_client_3,1,True,1.0,1,1,1000,"{""bin_0"": 0, ""bin_1"": 0, ""bin_2"": 659, ""bin_3"": 341, ""bin_4"": 0}",1.097945399680406,0.0,0.0,0.0,0.0,0.03587848812997065,1000,{},{},{},[],1.5453588962554932,0.0,15890432
no_lora_client_3,2,True,1.0,2,2,1000,"{""bin_0"": 0, ""bin_1"": 0, ""bin_2"": 659, ""bin_3"": 341, ""bin_4"": 0}",1.6088377323620682,0.0,0.0,0.0,0.0,0.007647786370759446,1000,{},{},{},[],1.8058974742889404,0.0,15890432
no_lora_client_1,2,True,1.0,2,2,999,"{""class_0"": 426, ""class_1"": 573}",0.41756608535965567,0.6606606606606606,0.6722671150685793,0.6606606606606606,0.6308624754384784,0.6249617935803832,999,"{'0': 0.7035881435257411, '1': 0.648981324278438}","{'0': 0.35289514866979654, '1': 0.8894706224549156}","{'0': 0.4700364773319437, '1': 0.7504294478527608}","[451, 827, 190, 1529]",1.8125336170196533,0.0,15890432
no_lora_client_4,2,True,0.5,1,1,999,"{""class_0"": 931, ""class_1"": 68}",0.845162776953635,0.92992992992993,0.8683698743879287,0.92992992992993,0.898096229009092,0.3817868037198586,999,"{'0': 0.9317953861584755, '1': 0.0}","{'0': 0.9978517722878625, '1': 0.0}","{'0': 0.9636929460580913, '1': 0.0}","[2787, 6, 204, 0]",1.9999349117279053,0.0,15890432
no_lora_client_3,3,True,1.0,3,3,1000,"{""bin_0"": 0, ""bin_1"": 0, ""bin_2"": 659, ""bin_3"": 341, ""bin_4"": 0}",1.9451956081174444,0.0,0.0,0.0,0.0,0.007197643500856227,1000,{},{},{},[],2.8043901920318604,0.0,15890432
no_lora_client_4,3,True,0.6666666666666666,2,2,999,"{""class_0"": 931, ""class_1"": 68}",0.9631963378560684,0.9319319319319319,0.868497125754383,0.9319319319319319,0.8990970244856256,0.2674526630176438,999,"{'0': 0.9319319319319319, '1': 0.0}","{'0': 1.0, '1': 0.0}","{'0': 0.9647668393782384, '1': 0.0}","[2793, 0, 204, 0]",3.3009674549102783,0.0,15890432
no_lora_client_1,3,True,1.0,3,3,999,"{""class_0"": 426, ""class_1"": 573}",0.33760156182101475,0.7577577577577578,0.7569783779686065,0.7577577577577578,0.7548349312246437,0.5319356773265456,999,"{'0': 0.7490974729241877, '1': 0.7628374801482266}","{'0': 0.6494522691705791, '1': 0.8382780686445608}","{'0': 0.6957250628667225, '1': 0.7987804878048781}","[830, 448, 278, 1441]",3.4107282161712646,0.0,15890432
no_lora_client_6,3,True,0.3333333333333333,1,1,1000,"{""bin_0"": 0, ""bin_1"": 0, ""bin_2"": 0, ""bin_3"": 0, ""bin_4"": 1000}",1.9451956081174444,0.0,0.0,0.0,0.0,0.2026418163367207,1000,{},{},{},[],3.2026572227478027,0.0,15890432
no_lora_client_2,3,True,0.3333333333333333,1,1,999,"{""class_0"": 613, ""class_1"": 386}",0.4238485731834778,0.6136136136136137,0.5698080305497613,0.6136136136136137,0.467889762447131,0.6583922921665131,999,"{'0': 0.6137654527230204, '1': 0.5}","{'0': 0.9989124524197933, '1': 0.0017271157167530224}","{'0': 0.7603476821192053, '1': 0.0034423407917383822}","[1837, 2, 1156, 2]",3.5283124446868896,0.0,15890432
