round_num,global_label_distribution,client_label_distributions,kl_divergence_scores,jensen_shannon_divergence,earth_movers_distance,accuracy_variance,convergence_rate,fairness_score,parameter_diversity,consensus_measure,aggregation_efficiency
1,"{""class_0"": 0.45263509006004005, ""class_1"": 0.21380920613742496, ""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.1057371581054036, ""bin_3"": 0.22781854569713142, ""bin_4"": 0.0}","{""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.317, ""bin_3"": 0.683, ""bin_4"": 0.0}}","{""no_lora_client_1"": 0.6936475558518465, ""no_lora_client_3"": 1.097945399680406}",0.6931471758403194,0.0,0.07977750300628736,0.0,0.0,2.5309269574558257e-06,0.9999974690730425,0.6666666666666666
2,"{""class_0"": 0.4649516167099363, ""class_1"": 0.24238848241680433, ""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.07481708756195421, ""bin_3"": 0.161198961529384, ""bin_4"": 0.05664385178192117}","{""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.317, ""bin_3"": 0.683, ""bin_4"": 0.0}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}}","{""no_lora_client_3"": 1.4438554716444223, ""no_lora_client_1"": 0.4571613151625774, ""no_lora_client_4"": 0.5615481719672538}",0.7445404601664801,0.0,0.13379117695780038,0.0,0.277054101875147,6.416959209443185e-06,0.9999935830407906,0.6
3,"{""class_0"": 0.37987012987012986, ""class_1"": 0.38330786860198623, ""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.06054239877769289, ""bin_3"": 0.13044308632543927, ""bin_4"": 0.04583651642475172}","{""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 0.0, ""bin_4"": 1.0}, ""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.317, ""bin_3"": 0.683, ""bin_4"": 0.0}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}, ""no_lora_client_2"": {""class_0"": 0.6136136136136137, ""class_1"": 0.3863863863863864}}","{""no_lora_client_6"": 2.870971827284568, ""no_lora_client_3"": 1.6555578480476536, ""no_lora_client_1"": 0.28047685542448386, ""no_lora_client_4"": 0.7186998926912727, ""no_lora_client_2"": 0.29734066847077745}",1.0163475371038089,0.0,0.15191668589955765,0.0,0.15512408616397555,9.58103438275515e-06,0.9999904189656172,0.8333333333333334
4,"{""class_0"": 0.37987012987012986, ""class_1"": 0.38330786860198623, ""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.06054239877769289, ""bin_3"": 0.13044308632543927, ""bin_4"": 0.04583651642475172}","{""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 0.0, ""bin_4"": 1.0}, ""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.317, ""bin_3"": 0.683, ""bin_4"": 0.0}, ""no_lora_client_2"": {""class_0"": 0.6136136136136137, ""class_1"": 0.3863863863863864}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}, ""no_lora_client_5"": {""class_0"": 0.01901901901901902, ""class_1"": 0.980980980980981}}","{""no_lora_client_6"": 3.0826742036877994, ""no_lora_client_3"": 1.6555578480476536, ""no_lora_client_2"": 0.29734066847077745, ""no_lora_client_1"": 0.28047685542448386, ""no_lora_client_4"": 0.7186998926912727, ""no_lora_client_5"": 0.8648917625122188}",1.0476220940503964,0.0,0.1704763748659496,0.0,0.2712456537839407,1.61200124279004e-05,0.9999838799875721,1.0
5,"{""class_0"": 0.37987012987012986, ""class_1"": 0.38330786860198623, ""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.06054239877769289, ""bin_3"": 0.13044308632543927, ""bin_4"": 0.04583651642475172}","{""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 0.0, ""bin_4"": 1.0}, ""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.317, ""bin_3"": 0.683, ""bin_4"": 0.0}, ""no_lora_client_2"": {""class_0"": 0.6136136136136137, ""class_1"": 0.3863863863863864}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_5"": {""class_0"": 0.01901901901901902, ""class_1"": 0.980980980980981}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}}","{""no_lora_client_6"": 3.0826742036877994, ""no_lora_client_3"": 1.6555578480476536, ""no_lora_client_2"": 0.29734066847077745, ""no_lora_client_1"": 0.28047685542448386, ""no_lora_client_5"": 0.8648917625122188, ""no_lora_client_4"": 0.7186998926912727}",1.0476220940503964,0.0,0.17633608843337095,0.0,0.2767172689640368,2.8005676079745356e-05,0.9999719943239203,1.0
6,"{""class_0"": 0.37987012987012986, ""class_1"": 0.38330786860198623, ""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.06054239877769289, ""bin_3"": 0.13044308632543927, ""bin_4"": 0.04583651642475172}","{""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 0.0, ""bin_4"": 1.0}, ""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.317, ""bin_3"": 0.683, ""bin_4"": 0.0}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}, ""no_lora_client_5"": {""class_0"": 0.01901901901901902, ""class_1"": 0.980980980980981}, ""no_lora_client_2"": {""class_0"": 0.6136136136136137, ""class_1"": 0.3863863863863864}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}}","{""no_lora_client_6"": 3.0826742036877994, ""no_lora_client_3"": 1.6555578480476536, ""no_lora_client_4"": 0.7186998926912727, ""no_lora_client_5"": 0.8648917625122188, ""no_lora_client_2"": 0.29734066847077745, ""no_lora_client_1"": 0.28047685542448386}",1.0476220940503964,0.0,0.18468135395247695,0.0,0.28307942189816326,4.406191702299722e-05,0.999955938082977,1.0
7,"{""class_0"": 0.37987012987012986, ""class_1"": 0.38330786860198623, ""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.06054239877769289, ""bin_3"": 0.13044308632543927, ""bin_4"": 0.04583651642475172}","{""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 0.0, ""bin_4"": 1.0}, ""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.317, ""bin_3"": 0.683, ""bin_4"": 0.0}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}, ""no_lora_client_2"": {""class_0"": 0.6136136136136137, ""class_1"": 0.3863863863863864}, ""no_lora_client_5"": {""class_0"": 0.01901901901901902, ""class_1"": 0.980980980980981}}","{""no_lora_client_6"": 3.0826742036877994, ""no_lora_client_3"": 1.6555578480476536, ""no_lora_client_1"": 0.28047685542448386, ""no_lora_client_4"": 0.7186998926912727, ""no_lora_client_2"": 0.29734066847077745, ""no_lora_client_5"": 0.8648917625122188}",1.0476220940503964,0.0,0.19350676137401138,0.0,0.2876925237288396,6.029494879544739e-05,0.9999397050512046,1.0
8,"{""class_0"": 0.37987012987012986, ""class_1"": 0.38330786860198623, ""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.06054239877769289, ""bin_3"": 0.13044308632543927, ""bin_4"": 0.04583651642475172}","{""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 0.0, ""bin_4"": 1.0}, ""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.317, ""bin_3"": 0.683, ""bin_4"": 0.0}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_5"": {""class_0"": 0.01901901901901902, ""class_1"": 0.980980980980981}, ""no_lora_client_2"": {""class_0"": 0.6136136136136137, ""class_1"": 0.3863863863863864}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}}","{""no_lora_client_6"": 3.0826742036877994, ""no_lora_client_3"": 1.6555578480476536, ""no_lora_client_1"": 0.28047685542448386, ""no_lora_client_5"": 0.8648917625122188, ""no_lora_client_2"": 0.29734066847077745, ""no_lora_client_4"": 0.7186998926912727}",1.0476220940503964,0.0,0.20045503059381134,0.0,0.290541255413337,7.469897179157581e-05,0.9999253010282084,1.0
9,"{""class_0"": 0.37987012987012986, ""class_1"": 0.38330786860198623, ""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.06054239877769289, ""bin_3"": 0.13044308632543927, ""bin_4"": 0.04583651642475172}","{""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 0.0, ""bin_4"": 1.0}, ""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.317, ""bin_3"": 0.683, ""bin_4"": 0.0}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_2"": {""class_0"": 0.6136136136136137, ""class_1"": 0.3863863863863864}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}, ""no_lora_client_5"": {""class_0"": 0.01901901901901902, ""class_1"": 0.980980980980981}}","{""no_lora_client_6"": 3.0826742036877994, ""no_lora_client_3"": 1.6555578480476536, ""no_lora_client_1"": 0.28047685542448386, ""no_lora_client_2"": 0.29734066847077745, ""no_lora_client_4"": 0.7186998926912727, ""no_lora_client_5"": 0.8648917625122188}",1.0476220940503964,0.0,0.2044347020063477,0.0,0.2916480697486573,8.781448402994663e-05,0.99991218551597,1.0
10,"{""class_0"": 0.37987012987012986, ""class_1"": 0.38330786860198623, ""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.06054239877769289, ""bin_3"": 0.13044308632543927, ""bin_4"": 0.04583651642475172}","{""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 0.0, ""bin_4"": 1.0}, ""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.317, ""bin_3"": 0.683, ""bin_4"": 0.0}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_5"": {""class_0"": 0.01901901901901902, ""class_1"": 0.980980980980981}, ""no_lora_client_2"": {""class_0"": 0.6136136136136137, ""class_1"": 0.3863863863863864}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}}","{""no_lora_client_6"": 3.0826742036877994, ""no_lora_client_3"": 1.6555578480476536, ""no_lora_client_1"": 0.28047685542448386, ""no_lora_client_5"": 0.8648917625122188, ""no_lora_client_2"": 0.29734066847077745, ""no_lora_client_4"": 0.7186998926912727}",1.0476220940503964,0.0,0.20830839613820124,0.0,0.2922446283794624,9.960154801647025e-05,0.9999003984519835,1.0
