client_id,round_num,participated,participation_rate,consecutive_participations,total_participations,data_samples,data_distribution,data_heterogeneity_score,local_accuracy,local_precision,local_recall,local_f1_score,local_loss,contribution_weight,per_class_precision,per_class_recall,per_class_f1,confusion_matrix_flat,upload_time,download_time,parameter_size_bytes
no_lora_client_3,1,True,1.0,1,1,860,"{""bin_0"": 0, ""bin_1"": 194, ""bin_2"": 666, ""bin_3"": 0, ""bin_4"": 0}",1.2009449692422594,0.0,0.0,0.0,0.0,0.02334900908632043,860,{},{},{},[],1.6326515674591064,0.0,15890432
no_lora_client_1,1,True,1.0,1,1,999,"{""class_0"": 426, ""class_1"": 573}",0.4927455140585758,0.5912579245912579,0.5890802228152261,0.5912579245912579,0.5117503208279109,0.6705271617445365,999,"{'0': 0.5852090032154341, '1': 0.5919583023082651}","{'0': 0.14241001564945227, '1': 0.924956369982548}","{'0': 0.2290748898678414, '1': 0.7219069239500567}","[182, 1096, 129, 1590]",1.8176703453063965,0.0,15890432
no_lora_client_3,2,True,1.0,2,2,860,"{""bin_0"": 0, ""bin_1"": 194, ""bin_2"": 666, ""bin_3"": 0, ""bin_4"": 0}",1.4640087790338359,0.0,0.0,0.0,0.0,0.008488155966107216,860,{},{},{},[],1.9476606845855713,0.0,15890432
no_lora_client_1,2,True,1.0,2,2,999,"{""class_0"": 426, ""class_1"": 573}",0.4567438126740072,0.6609943276609943,0.6772128699412804,0.6609943276609943,0.6277210341238508,0.6262900964923637,999,"{'0': 0.7183333333333334, '1': 0.6466416353775553}","{'0': 0.33724569640062596, '1': 0.9016870273414777}","{'0': 0.4589989350372737, '1': 0.7531584062196307}","[431, 847, 169, 1550]",2.3525381088256836,0.0,15890432
no_lora_client_6,2,True,0.5,1,1,860,"{""bin_0"": 0, ""bin_1"": 0, ""bin_2"": 0, ""bin_3"": 860, ""bin_4"": 0}",1.7019958940367081,0.0,0.0,0.0,0.0,0.09030302459615525,860,{},{},{},[],2.296142339706421,0.0,15890432
no_lora_client_4,2,True,0.5,1,1,999,"{""class_0"": 931, ""class_1"": 68}",0.9589979579582284,0.9165832499165832,0.8761893383099282,0.9165832499165832,0.8944035340081642,0.4033852004342609,999,"{'0': 0.9326301463082681, '1': 0.10344827586206896}","{'0': 0.9813820264948084, '1': 0.029411764705882353}","{'0': 0.9563852058618283, '1': 0.04580152671755725}","[2741, 52, 198, 6]",2.5060622692108154,0.0,15890432
no_lora_client_3,3,True,1.0,3,3,860,"{""bin_0"": 0, ""bin_1"": 194, ""bin_2"": 666, ""bin_3"": 0, ""bin_4"": 0}",2.283805198342449,0.0,0.0,0.0,0.0,0.007561118216943686,860,{},{},{},[],2.1711137294769287,0.0,15890432
no_lora_client_6,3,True,0.6666666666666666,2,2,860,"{""bin_0"": 0, ""bin_1"": 0, ""bin_2"": 0, ""bin_3"": 860, ""bin_4"": 0}",2.283805198342449,0.0,0.0,0.0,0.0,0.0051365013077659645,860,{},{},{},[],2.53279972076416,0.0,15890432
no_lora_client_4,3,True,0.6666666666666666,2,2,999,"{""class_0"": 931, ""class_1"": 68}",0.789356497384267,0.9319319319319319,0.868497125754383,0.9319319319319319,0.8990970244856256,0.2646549633807606,999,"{'0': 0.9319319319319319, '1': 0.0}","{'0': 1.0, '1': 0.0}","{'0': 0.9647668393782384, '1': 0.0}","[2793, 0, 204, 0]",2.878753423690796,0.0,15890432
no_lora_client_1,3,True,1.0,3,3,999,"{""class_0"": 426, ""class_1"": 573}",0.35265151634419295,0.7644310977644311,0.7657164318124973,0.7644310977644311,0.7599634826133036,0.5369303057748804,999,"{'0': 0.775, '1': 0.7588145120081757}","{'0': 0.6306729264475743, '1': 0.8638743455497382}","{'0': 0.6954270923209663, '1': 0.8079434167573449}","[806, 472, 234, 1485]",2.864129066467285,0.0,15890432
