round_num,global_label_distribution,client_label_distributions,kl_divergence_scores,jensen_shannon_divergence,earth_movers_distance,accuracy_variance,convergence_rate,fairness_score,parameter_diversity,consensus_measure,aggregation_efficiency
1,"{""class_0"": 0.36498117267348035, ""class_1"": 0.17240451855836472, ""bin_0"": 0.0, ""bin_1"": 0.0521785906401291, ""bin_2"": 0.17912856374394837, ""bin_3"": 0.23130715438407745, ""bin_4"": 0.0}","{""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.2255813953488372, ""bin_2"": 0.7744186046511627, ""bin_3"": 0.0, ""bin_4"": 0.0}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}}","{""no_lora_client_3"": 1.2009449692422594, ""no_lora_client_1"": 0.4927455140585758}",0.6931471758510496,0.0,0.08739648334799041,0.0,0.0,2.4756891082722277e-06,0.9999975243108917,0.5
2,"{""class_0"": 0.2961628153487386, ""class_1"": 0.3391986432054272, ""bin_0"": 0.0, ""bin_1"": 0.041127835488658046, ""bin_2"": 0.14119143523425906, ""bin_3"": 0.18231927072291712, ""bin_4"": 0.0}","{""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.2255813953488372, ""bin_2"": 0.7744186046511627, ""bin_3"": 0.0, ""bin_4"": 0.0}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 1.0, ""bin_4"": 0.0}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}}","{""no_lora_client_3"": 1.4640087790338359, ""no_lora_client_1"": 0.4567438126740072, ""no_lora_client_6"": 1.7019958940367081, ""no_lora_client_4"": 0.9589979579582284}",1.1207404874370313,0.0,0.1637126504771928,0.0,-0.025912653172808442,5.685529560373048e-06,0.9999943144704396,0.8
3,"{""class_0"": 0.35402843601895734, ""class_1"": 0.3561611374407583, ""bin_0"": 0.0, ""bin_1"": 0.02298578199052133, ""bin_2"": 0.07890995260663507, ""bin_3"": 0.1018957345971564, ""bin_4"": 0.08601895734597156}","{""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.2255813953488372, ""bin_2"": 0.7744186046511627, ""bin_3"": 0.0, ""bin_4"": 0.0}, ""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 1.0, ""bin_4"": 0.0}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_7"": {""class_0"": 0.04004004004004004, ""class_1"": 0.95995995995996}}","{""no_lora_client_3"": 2.283805198342449, ""no_lora_client_6"": 2.283805198342449, ""no_lora_client_4"": 0.789356497384267, ""no_lora_client_1"": 0.35265151634419295, ""no_lora_client_7"": 0.8645411224525366}",1.144988256431541,0.0,0.18455508561614667,0.0,0.17604796339074869,1.0901035007115922e-05,0.9999890989649929,0.5555555555555556
4,"{""class_0"": 0.40014832079669455, ""class_1"": 0.34071405869265814, ""bin_0"": 0.0, ""bin_1"": 0.020553024684818306, ""bin_2"": 0.07055832185612883, ""bin_3"": 0.09111134654094713, ""bin_4"": 0.07691492742875304}","{""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 1.0, ""bin_4"": 0.0}, ""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.2255813953488372, ""bin_2"": 0.7744186046511627, ""bin_3"": 0.0, ""bin_4"": 0.0}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_9"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 0.0, ""bin_4"": 1.0}, ""no_lora_client_10"": {""class_0"": 0.95995995995996, ""class_1"": 0.04004004004004004}, ""no_lora_client_2"": {""class_0"": 0.6136136136136137, ""class_1"": 0.3863863863863864}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}, ""no_lora_client_7"": {""class_0"": 0.04004004004004004, ""class_1"": 0.95995995995996}, ""no_lora_client_5"": {""class_0"": 0.01901901901901902, ""class_1"": 0.980980980980981}}","{""no_lora_client_6"": 2.395672932077391, ""no_lora_client_3"": 2.395672932077391, ""no_lora_client_1"": 0.32586423592118147, ""no_lora_client_9"": 2.5650553065001485, ""no_lora_client_10"": 0.7542867281464354, ""no_lora_client_2"": 0.3109435218798219, ""no_lora_client_4"": 0.6782520529779976, ""no_lora_client_7"": 0.9022022089553424, ""no_lora_client_5"": 0.9794572313761618}",1.2394425198814467,0.0,0.18330086286932024,0.0,0.27108970384599984,1.1884218045987716e-05,0.999988115781954,0.9
5,"{""class_0"": 0.40014832079669455, ""class_1"": 0.34071405869265814, ""bin_0"": 0.0, ""bin_1"": 0.020553024684818306, ""bin_2"": 0.07055832185612883, ""bin_3"": 0.09111134654094713, ""bin_4"": 0.07691492742875304}","{""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 1.0, ""bin_4"": 0.0}, ""no_lora_client_9"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 0.0, ""bin_4"": 1.0}, ""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.2255813953488372, ""bin_2"": 0.7744186046511627, ""bin_3"": 0.0, ""bin_4"": 0.0}, ""no_lora_client_5"": {""class_0"": 0.01901901901901902, ""class_1"": 0.980980980980981}, ""no_lora_client_10"": {""class_0"": 0.95995995995996, ""class_1"": 0.04004004004004004}, ""no_lora_client_8"": {""class_0"": 0.7897897897897898, ""class_1"": 0.21021021021021022}, ""no_lora_client_7"": {""class_0"": 0.04004004004004004, ""class_1"": 0.95995995995996}, ""no_lora_client_2"": {""class_0"": 0.6136136136136137, ""class_1"": 0.3863863863863864}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}}","{""no_lora_client_6"": 2.395672932077391, ""no_lora_client_9"": 2.5650553065001485, ""no_lora_client_3"": 2.395672932077391, ""no_lora_client_5"": 0.9794572313761618, ""no_lora_client_10"": 0.7542867281464354, ""no_lora_client_8"": 0.435485003752642, ""no_lora_client_7"": 0.9022022089553424, ""no_lora_client_2"": 0.3109435218798219, ""no_lora_client_1"": 0.32586423592118147, ""no_lora_client_4"": 0.6782520529779976}",1.169138803822778,0.0,0.17099538533083186,0.0,0.32642692496203196,1.7765905432010065e-05,0.999982234094568,1.0
6,"{""class_0"": 0.40014832079669455, ""class_1"": 0.34071405869265814, ""bin_0"": 0.0, ""bin_1"": 0.020553024684818306, ""bin_2"": 0.07055832185612883, ""bin_3"": 0.09111134654094713, ""bin_4"": 0.07691492742875304}","{""no_lora_client_9"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 0.0, ""bin_4"": 1.0}, ""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.2255813953488372, ""bin_2"": 0.7744186046511627, ""bin_3"": 0.0, ""bin_4"": 0.0}, ""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 1.0, ""bin_4"": 0.0}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}, ""no_lora_client_7"": {""class_0"": 0.04004004004004004, ""class_1"": 0.95995995995996}, ""no_lora_client_5"": {""class_0"": 0.01901901901901902, ""class_1"": 0.980980980980981}, ""no_lora_client_10"": {""class_0"": 0.95995995995996, ""class_1"": 0.04004004004004004}, ""no_lora_client_8"": {""class_0"": 0.7897897897897898, ""class_1"": 0.21021021021021022}, ""no_lora_client_2"": {""class_0"": 0.6136136136136137, ""class_1"": 0.3863863863863864}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}}","{""no_lora_client_9"": 2.5650553065001485, ""no_lora_client_3"": 2.395672932077391, ""no_lora_client_6"": 2.395672932077391, ""no_lora_client_4"": 0.6782520529779976, ""no_lora_client_7"": 0.9022022089553424, ""no_lora_client_5"": 0.9794572313761618, ""no_lora_client_10"": 0.7542867281464354, ""no_lora_client_8"": 0.435485003752642, ""no_lora_client_2"": 0.3109435218798219, ""no_lora_client_1"": 0.32586423592118147}",1.1691388038227781,0.0,0.17472460893771097,0.0,0.33268620732110576,2.79987789363334e-05,0.9999720012210637,1.0
7,"{""class_0"": 0.40014832079669455, ""class_1"": 0.34071405869265814, ""bin_0"": 0.0, ""bin_1"": 0.020553024684818306, ""bin_2"": 0.07055832185612883, ""bin_3"": 0.09111134654094713, ""bin_4"": 0.07691492742875304}","{""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.2255813953488372, ""bin_2"": 0.7744186046511627, ""bin_3"": 0.0, ""bin_4"": 0.0}, ""no_lora_client_9"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 0.0, ""bin_4"": 1.0}, ""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 1.0, ""bin_4"": 0.0}, ""no_lora_client_7"": {""class_0"": 0.04004004004004004, ""class_1"": 0.95995995995996}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}, ""no_lora_client_10"": {""class_0"": 0.95995995995996, ""class_1"": 0.04004004004004004}, ""no_lora_client_2"": {""class_0"": 0.6136136136136137, ""class_1"": 0.3863863863863864}, ""no_lora_client_8"": {""class_0"": 0.7897897897897898, ""class_1"": 0.21021021021021022}, ""no_lora_client_5"": {""class_0"": 0.01901901901901902, ""class_1"": 0.980980980980981}}","{""no_lora_client_3"": 2.395672932077391, ""no_lora_client_9"": 2.5650553065001485, ""no_lora_client_6"": 2.395672932077391, ""no_lora_client_7"": 0.9022022089553424, ""no_lora_client_1"": 0.32586423592118147, ""no_lora_client_4"": 0.6782520529779976, ""no_lora_client_10"": 0.7542867281464354, ""no_lora_client_2"": 0.3109435218798219, ""no_lora_client_8"": 0.435485003752642, ""no_lora_client_5"": 0.9794572313761618}",1.169138803822778,0.0,0.17967261555850145,0.0,0.33679845139308273,4.019382806552674e-05,0.9999598061719345,1.0
8,"{""class_0"": 0.40014832079669455, ""class_1"": 0.34071405869265814, ""bin_0"": 0.0, ""bin_1"": 0.020553024684818306, ""bin_2"": 0.07055832185612883, ""bin_3"": 0.09111134654094713, ""bin_4"": 0.07691492742875304}","{""no_lora_client_9"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 0.0, ""bin_4"": 1.0}, ""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.2255813953488372, ""bin_2"": 0.7744186046511627, ""bin_3"": 0.0, ""bin_4"": 0.0}, ""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 1.0, ""bin_4"": 0.0}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}, ""no_lora_client_2"": {""class_0"": 0.6136136136136137, ""class_1"": 0.3863863863863864}, ""no_lora_client_7"": {""class_0"": 0.04004004004004004, ""class_1"": 0.95995995995996}, ""no_lora_client_5"": {""class_0"": 0.01901901901901902, ""class_1"": 0.980980980980981}, ""no_lora_client_10"": {""class_0"": 0.95995995995996, ""class_1"": 0.04004004004004004}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_8"": {""class_0"": 0.7897897897897898, ""class_1"": 0.21021021021021022}}","{""no_lora_client_9"": 2.5650553065001485, ""no_lora_client_3"": 2.395672932077391, ""no_lora_client_6"": 2.395672932077391, ""no_lora_client_4"": 0.6782520529779976, ""no_lora_client_2"": 0.3109435218798219, ""no_lora_client_7"": 0.9022022089553424, ""no_lora_client_5"": 0.9794572313761618, ""no_lora_client_10"": 0.7542867281464354, ""no_lora_client_1"": 0.32586423592118147, ""no_lora_client_8"": 0.435485003752642}",1.169138803822778,0.0,0.18450409479660954,0.0,0.3410475137846535,5.334120558964095e-05,0.9999466587944104,1.0
9,"{""class_0"": 0.40014832079669455, ""class_1"": 0.34071405869265814, ""bin_0"": 0.0, ""bin_1"": 0.020553024684818306, ""bin_2"": 0.07055832185612883, ""bin_3"": 0.09111134654094713, ""bin_4"": 0.07691492742875304}","{""no_lora_client_9"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 0.0, ""bin_4"": 1.0}, ""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 1.0, ""bin_4"": 0.0}, ""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.2255813953488372, ""bin_2"": 0.7744186046511627, ""bin_3"": 0.0, ""bin_4"": 0.0}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}, ""no_lora_client_5"": {""class_0"": 0.01901901901901902, ""class_1"": 0.980980980980981}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_7"": {""class_0"": 0.04004004004004004, ""class_1"": 0.95995995995996}, ""no_lora_client_8"": {""class_0"": 0.7897897897897898, ""class_1"": 0.21021021021021022}, ""no_lora_client_2"": {""class_0"": 0.6136136136136137, ""class_1"": 0.3863863863863864}, ""no_lora_client_10"": {""class_0"": 0.95995995995996, ""class_1"": 0.04004004004004004}}","{""no_lora_client_9"": 2.5650553065001485, ""no_lora_client_6"": 2.395672932077391, ""no_lora_client_3"": 2.395672932077391, ""no_lora_client_4"": 0.6782520529779976, ""no_lora_client_5"": 0.9794572313761618, ""no_lora_client_1"": 0.32586423592118147, ""no_lora_client_7"": 0.9022022089553424, ""no_lora_client_8"": 0.435485003752642, ""no_lora_client_2"": 0.3109435218798219, ""no_lora_client_10"": 0.7542867281464354}",1.1691388038227781,0.0,0.1891438641399714,0.0,0.34333443952651,6.725425591536105e-05,0.9999327457440846,1.0
10,"{""class_0"": 0.40014832079669455, ""class_1"": 0.34071405869265814, ""bin_0"": 0.0, ""bin_1"": 0.020553024684818306, ""bin_2"": 0.07055832185612883, ""bin_3"": 0.09111134654094713, ""bin_4"": 0.07691492742875304}","{""no_lora_client_9"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 0.0, ""bin_4"": 1.0}, ""no_lora_client_3"": {""bin_0"": 0.0, ""bin_1"": 0.2255813953488372, ""bin_2"": 0.7744186046511627, ""bin_3"": 0.0, ""bin_4"": 0.0}, ""no_lora_client_6"": {""bin_0"": 0.0, ""bin_1"": 0.0, ""bin_2"": 0.0, ""bin_3"": 1.0, ""bin_4"": 0.0}, ""no_lora_client_2"": {""class_0"": 0.6136136136136137, ""class_1"": 0.3863863863863864}, ""no_lora_client_7"": {""class_0"": 0.04004004004004004, ""class_1"": 0.95995995995996}, ""no_lora_client_4"": {""class_0"": 0.9319319319319319, ""class_1"": 0.06806806806806807}, ""no_lora_client_1"": {""class_0"": 0.4264264264264264, ""class_1"": 0.5735735735735735}, ""no_lora_client_8"": {""class_0"": 0.7897897897897898, ""class_1"": 0.21021021021021022}, ""no_lora_client_10"": {""class_0"": 0.95995995995996, ""class_1"": 0.04004004004004004}, ""no_lora_client_5"": {""class_0"": 0.01901901901901902, ""class_1"": 0.980980980980981}}","{""no_lora_client_9"": 2.5650553065001485, ""no_lora_client_3"": 2.395672932077391, ""no_lora_client_6"": 2.395672932077391, ""no_lora_client_2"": 0.3109435218798219, ""no_lora_client_7"": 0.9022022089553424, ""no_lora_client_4"": 0.6782520529779976, ""no_lora_client_1"": 0.32586423592118147, ""no_lora_client_8"": 0.435485003752642, ""no_lora_client_10"": 0.7542867281464354, ""no_lora_client_5"": 0.9794572313761618}",1.169138803822778,0.0,0.19386877145191017,0.0,0.3446262564806146,8.271166000373142e-05,0.9999172883399963,1.0
