round,client_id,task,accuracy,loss,samples_processed,correct_predictions,val_accuracy,val_loss,val_samples,val_correct_predictions,timestamp
1,stsb_client,stsb,0.06956060731271603,0.08322763753434022,500,109,0.10897560866586518,0.07743289006444123,100,25,2025-10-20 11:10:38
1,sst2_client,sst2,0.554,0.679510425953638,500,277,0.69,0.6263595406825726,100,69,2025-10-20 11:10:53
1,qqp_client,qqp,0.6333333333333333,0.6591850942686984,300,190,0.7,0.6192072033882141,60,42,2025-10-20 11:11:11
2,stsb_client,stsb,0.22868787598030266,0.08294328494322678,500,99,0.16720124330986863,0.0790665358878099,100,22,2025-10-20 11:13:21
2,sst2_client,sst2,0.69,0.6646563060699947,500,345,0.64,0.6287788198544428,100,64,2025-10-20 11:13:41
2,qqp_client,qqp,0.6433333333333333,0.6753337665608055,300,193,0.7,0.638298436999321,60,42,2025-10-20 11:13:59
3,stsb_client,stsb,0.24206699685455396,0.08328800335053414,500,100,0.21513307073073437,0.07583039339918357,100,25,2025-10-20 11:15:51
3,sst2_client,sst2,0.738,0.6302125529637412,500,369,0.67,0.594851200397198,100,67,2025-10-20 11:16:17
3,qqp_client,qqp,0.6433333333333333,0.680583749946795,300,193,0.7,0.6544128209352493,60,42,2025-10-20 11:16:36
4,stsb_client,stsb,0.32517337566871524,0.07938216759690217,500,100,0.34674582238864543,0.06860692698795062,100,27,2025-10-20 11:19:17
4,sst2_client,sst2,0.748,0.5899240786121005,500,374,0.74,0.5416583258372086,100,74,2025-10-20 11:19:23
4,qqp_client,qqp,0.6433333333333333,0.6823585347125405,300,193,0.7,0.6565581262111664,60,42,2025-10-20 11:19:44
5,stsb_client,stsb,0.28818288563856786,0.08149748777468054,500,100,0.46784091945279194,0.06945216877815816,100,21,2025-10-20 11:22:08
5,sst2_client,sst2,0.798,0.5755483314158425,500,399,0.7,0.5708543933354892,100,70,2025-10-20 11:22:30
5,qqp_client,qqp,0.6433333333333333,0.6819729397171422,300,193,0.7,0.6565009653568268,60,42,2025-10-20 11:22:47
6,stsb_client,stsb,0.41675235875177064,0.0763131267435494,500,111,0.46542661865030377,0.06683939681030236,100,27,2025-10-20 11:25:14
6,sst2_client,sst2,0.82,0.5753660183104258,500,410,0.72,0.585577517747879,100,72,2025-10-20 11:25:27
6,qqp_client,qqp,0.6433333333333333,0.6822366871331867,300,193,0.7,0.661159947514534,60,42,2025-10-20 11:25:45
7,stsb_client,stsb,0.4643148563741481,0.07227979730519038,500,106,0.5591336802001717,0.05525015007991057,100,33,2025-10-20 11:28:17
7,sst2_client,sst2,0.848,0.5760317312346565,500,424,0.71,0.5767239515598004,100,71,2025-10-20 11:28:37
7,qqp_client,qqp,0.6433333333333333,0.6812312995132647,300,193,0.7,0.66077521443367,60,42,2025-10-20 11:28:57
8,stsb_client,stsb,0.4952534947590279,0.07196048154894795,500,119,0.6068570302737631,0.05351209010069187,100,31,2025-10-20 11:31:35
8,sst2_client,sst2,0.838,0.5759316403714437,500,419,0.7,0.5864374889777257,100,70,2025-10-20 11:31:53
8,qqp_client,qqp,0.6466666666666666,0.6827844083309174,300,194,0.7166666666666667,0.6686155945062637,60,43,2025-10-20 11:32:09
9,stsb_client,stsb,0.5499779442396301,0.06886702134377426,500,118,0.5708012279062613,0.057765359488817364,100,36,2025-10-20 11:34:13
9,sst2_client,sst2,0.88,0.5849181427842095,500,440,0.76,0.5578733315834632,100,76,2025-10-20 11:34:26
9,qqp_client,qqp,0.68,0.6827722129068876,300,204,0.7,0.66619573533535,60,42,2025-10-20 11:34:45
10,stsb_client,stsb,0.5924570389913387,0.07055275709856124,500,121,0.6089333870934825,0.057423536164256245,100,29,2025-10-20 11:37:10
10,sst2_client,sst2,0.866,0.5898696108469887,500,433,0.76,0.5848443874946008,100,76,2025-10-20 11:37:19
10,qqp_client,qqp,0.6766666666666666,0.6818690127448032,300,203,0.6833333333333333,0.6663193553686142,60,41,2025-10-20 11:37:37
11,stsb_client,stsb,0.5657218306046609,0.0720586862326378,500,111,0.6240400485033113,0.05647115968167782,100,27,2025-10-20 11:39:41
11,sst2_client,sst2,0.894,0.5974807710874648,500,447,0.76,0.5870751807322869,100,76,2025-10-20 11:40:05
11,qqp_client,qqp,0.75,0.6810052065472854,300,225,0.6833333333333333,0.6671254858374596,60,41,2025-10-20 11:40:23
12,stsb_client,stsb,0.6007099775948788,0.07406681613434875,500,114,0.6259742217918209,0.06321873917029454,100,28,2025-10-20 11:42:53
12,sst2_client,sst2,0.886,0.6108904944525825,500,443,0.71,0.603373477092156,100,71,2025-10-20 11:43:02
12,qqp_client,qqp,0.7566666666666667,0.6818352922012931,300,227,0.7,0.6668738648295403,60,42,2025-10-20 11:43:20
13,stsb_client,stsb,0.6179223204021512,0.07644817315869862,500,110,0.6114084948150879,0.06756367376790597,100,27,2025-10-20 11:45:38
13,sst2_client,sst2,0.89,0.6207033783670456,500,445,0.71,0.6217391628485459,100,71,2025-10-20 11:46:00
13,qqp_client,qqp,0.7533333333333333,0.6830065971926639,300,226,0.7166666666666667,0.6754012182354927,60,43,2025-10-20 11:46:18
