round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,timestamp
1,3,0.4190,0.5937,0.0696,3,3,170.20,1,1,2025-10-20 11:11:12
2,3,0.5207,0.6667,0.2287,3,3,168.29,2,2,2025-10-20 11:14:00
3,3,0.5411,0.6907,0.2421,3,3,156.27,3,3,2025-10-20 11:16:37
4,3,0.5722,0.6957,0.3252,3,3,188.28,4,4,2025-10-20 11:19:45
5,3,0.5765,0.7207,0.2882,3,3,184.32,5,5,2025-10-20 11:22:49
6,3,0.6267,0.7317,0.4168,3,3,176.29,6,6,2025-10-20 11:25:45
7,3,0.6519,0.7457,0.4643,3,3,192.32,7,7,2025-10-20 11:28:58
8,3,0.6600,0.7423,0.4953,3,3,192.28,8,8,2025-10-20 11:32:10
9,3,0.7033,0.7800,0.5500,3,3,156.28,9,9,2025-10-20 11:34:46
10,3,0.7117,0.7713,0.5925,3,3,172.26,10,10,2025-10-20 11:37:39
11,3,0.7366,0.8220,0.5657,3,3,166.28,11,11,2025-10-20 11:40:25
12,3,0.7478,0.8213,0.6007,3,3,176.27,12,12,2025-10-20 11:43:21
13,3,0.7538,0.8217,0.6179,3,3,178.33,13,13,2025-10-20 11:46:20
14,3,0.7509,0.8243,0.6042,3,3,180.31,14,14,2025-10-20 11:49:20
15,3,0.7684,0.8327,0.6400,3,3,180.30,15,15,2025-10-20 11:52:20
16,3,0.7482,0.8300,0.5847,3,3,160.28,16,16,2025-10-20 11:55:00
17,3,0.7675,0.8410,0.6204,3,3,140.23,17,17,2025-10-20 11:57:21
18,3,0.7706,0.8453,0.6210,3,3,150.27,18,18,2025-10-20 11:59:51
19,3,0.7754,0.8363,0.6536,3,3,162.33,19,19,2025-10-20 12:02:33
20,3,0.7738,0.8453,0.6306,3,3,156.26,20,20,2025-10-20 12:05:09
21,3,0.7809,0.8413,0.6599,3,3,160.32,21,21,2025-10-20 12:07:50
22,3,0.7790,0.8460,0.6449,3,3,156.28,22,22,2025-10-20 12:10:26
