round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,timestamp
1,stsb_client,stsb,0.40050728635864175,0.07199233797205201,4248,1062,,0.40050728635864175,0.3528637972543538,0.22328048944473267,0.07199233770370483,0.2683138847351074,0.5831245629472457,0.057610772032151245,1496,427,,0.5831245629472457,0.5061447653880217,0.19898642599582672,2025-11-01 16:31:18
1,sst2_client,sst2,0.7784932001444217,0.4716809011589144,66472,51748,0.7787605989861094,,,,,,0.823394495412844,0.39680075775319285,872,718,0.8234905713693651,,,,2025-11-01 16:34:31
1,qqp_client,qqp,0.7568334735071489,0.4957669388249836,323408,244766,0.7559322554854249,,,,,,0.7938600831189393,0.45819576483093793,40424,32091,0.7923067645864773,,,,2025-11-01 16:51:40
2,stsb_client,stsb,0.5557521547631653,0.05933003288363992,4248,1206,,0.5557521547631653,0.506346559745676,0.19986800849437714,0.059330035001039505,0.24357756972312927,0.6431383889345761,0.050774609869256374,1496,468,,0.6431383889345761,0.5613124367255886,0.18466582894325256,2025-11-01 16:52:15
2,sst2_client,sst2,0.81920207004453,0.412348978446261,66472,54454,0.8194811637958507,,,,,,0.8577981651376146,0.35511106375707396,872,748,0.8579466590220177,,,,2025-11-01 16:55:27
2,qqp_client,qqp,0.788632315836343,0.4494293220040333,323408,255050,0.7885642113938596,,,,,,0.8076637641005343,0.4031594175094871,40424,32649,0.8077399567858424,,,,2025-11-01 17:12:33
3,stsb_client,stsb,0.6102225895012989,0.05390427354547825,4248,1299,,0.6102225895012989,0.5540640424156403,0.18869748711585999,0.053904272615909576,0.23217293620109558,0.6468675964389079,0.05221327013251456,1496,529,,0.6468675964389079,0.5977094055549574,0.17932447791099548,2025-11-01 17:13:07
3,sst2_client,sst2,0.8416927428090023,0.3766229169232304,66472,55949,0.8418275404630522,,,,,,0.8669724770642202,0.3401854410254901,872,756,0.8668529401373202,,,,2025-11-01 17:16:16
3,qqp_client,qqp,0.8016344679166872,0.4272934506466765,323408,259255,0.8016167400730548,,,,,,0.8187957648921432,0.39162889884811725,40424,33099,0.8199714793156093,,,,2025-11-01 17:31:26
4,stsb_client,stsb,0.6527634841967326,0.049327852177695,4248,1383,,0.6527634841967326,0.6014585964028956,0.1806066483259201,0.049327850341796875,0.22209873795509338,0.6864111563072813,0.045933093482200156,1496,531,,0.6864111563072813,0.6156398450920982,0.17280817031860352,2025-11-01 17:32:00
4,sst2_client,sst2,0.8581658442652546,0.35087494392396107,66472,57044,0.8582927988443042,,,,,,0.8807339449541285,0.32099746079654046,872,768,0.880912951631136,,,,2025-11-01 17:35:11
4,qqp_client,qqp,0.8125649334586652,0.409961551712069,323408,262790,0.8126308365971998,,,,,,0.8193399960419553,0.4297763055446452,40424,33121,0.815908572222547,,,,2025-11-01 17:52:55
5,stsb_client,stsb,0.6699791498722004,0.04742240155266559,4248,1415,,0.6699791498722004,0.6281385860892078,0.17657798528671265,0.04742240160703659,0.21776685118675232,0.6789816618319267,0.04632313135154745,1496,561,,0.6789816618319267,0.6164784025780672,0.16989704966545105,2025-11-01 17:53:30
5,sst2_client,sst2,0.8715850282825851,0.33013660637856845,66472,57936,0.8716988108039442,,,,,,0.8807339449541285,0.31056039964934007,872,768,0.8807670404697447,,,,2025-11-01 17:56:35
5,qqp_client,qqp,0.8187830851432246,0.39844372196191474,323408,264801,0.818725488477657,,,,,,0.8279487433207995,0.40489463674736886,40424,33469,0.8289563091425406,,,,2025-11-01 18:11:07
6,stsb_client,stsb,0.7046976843781233,0.04334924129064137,4248,1503,,0.7046976843781233,0.6651968942356264,0.1674487441778183,0.0433492437005043,0.20820480585098267,0.6950886952273475,0.044282354138054474,1496,588,,0.6950886952273475,0.634657263367071,0.16477258503437042,2025-11-01 18:11:41
6,sst2_client,sst2,0.8820556023588879,0.31242162141895585,66472,58632,0.8821242301363202,,,,,,0.8887614678899083,0.2942373729182766,872,775,0.8889161799064743,,,,2025-11-01 18:14:46
6,qqp_client,qqp,0.8253722851630139,0.38813915126307336,323408,266932,0.8254201932110996,,,,,,0.831362556896893,0.37858658697717473,40424,33607,0.8315763304253985,,,,2025-11-01 18:29:21
7,stsb_client,stsb,0.7183839555394927,0.041789700479725495,4248,1489,,0.7183839555394927,0.6763149175273724,0.16514429450035095,0.0417896993458271,0.20442529022693634,0.6774524120622426,0.04834894908537321,1496,559,,0.6774524120622426,0.6289276344719552,0.16814692318439484,2025-11-01 18:29:54
7,sst2_client,sst2,0.8899987964857383,0.29972401575316165,66472,59160,0.8900684096854179,,,,,,0.8979357798165137,0.3191549889059789,872,783,0.8981210172913682,,,,2025-11-01 18:32:58
