round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,timestamp
1,3,0.6453,0.7677,0.4005,3,3,1259.15,1,1,2025-11-01 16:51:40
2,3,0.7212,0.8039,0.5558,3,3,1253.39,2,2,2025-11-01 17:12:34
3,3,0.7512,0.8217,0.6102,3,3,1132.78,3,3,2025-11-01 17:31:26
4,3,0.7745,0.8354,0.6528,3,3,1289.42,4,4,2025-11-01 17:52:56
5,3,0.7868,0.8452,0.6700,3,3,1092.60,5,5,2025-11-01 18:11:08
6,3,0.8040,0.8537,0.7047,3,3,1092.65,6,6,2025-11-01 18:29:21
7,3,0.8130,0.8603,0.7184,3,3,1080.63,7,7,2025-11-01 18:47:22
8,3,0.8237,0.8660,0.7392,3,3,1086.79,8,8,2025-11-01 19:05:28
9,3,0.8256,0.8707,0.7355,3,3,1086.56,9,9,2025-11-01 19:23:35
10,3,0.8332,0.8748,0.7499,3,3,1094.92,10,10,2025-11-01 19:41:50
11,3,0.8376,0.8785,0.7557,3,3,1155.16,11,11,2025-11-01 20:01:05
12,3,0.8399,0.8819,0.7559,3,3,1094.73,12,12,2025-11-01 20:19:20
13,3,0.8459,0.8852,0.7671,3,3,1140.94,13,13,2025-11-01 20:38:21
14,3,0.8481,0.8881,0.7681,3,3,1139.00,14,14,2025-11-01 20:57:20
15,3,0.8497,0.8899,0.7693,3,3,1094.68,15,15,2025-11-01 21:15:34
16,3,0.8511,0.8923,0.7687,3,3,1094.84,16,16,2025-11-01 21:33:49
17,3,0.8527,0.8941,0.7699,3,3,1086.68,17,17,2025-11-01 21:51:56
18,3,0.8527,0.8957,0.7669,3,3,1090.64,18,18,2025-11-01 22:10:07
19,3,0.8521,0.8975,0.7612,3,3,1094.66,19,19,2025-11-01 22:28:21
20,3,0.8501,0.8982,0.7539,3,3,1096.67,20,20,2025-11-01 22:46:38
21,3,0.8502,0.9003,0.7500,3,3,1090.86,21,21,2025-11-01 23:04:49
22,3,0.8501,0.9017,0.7469,3,3,1104.85,22,22,2025-11-01 23:23:14
23,3,0.8521,0.9034,0.7495,3,3,1152.79,23,23,2025-11-01 23:42:27
24,3,0.8486,0.9033,0.7391,3,3,1146.96,24,24,2025-11-02 00:01:33
25,3,0.8451,0.9037,0.7278,3,3,1096.67,25,25,2025-11-02 00:19:50
26,3,0.8436,0.9053,0.7202,3,3,1148.91,26,26,2025-11-02 00:38:59
27,3,0.8426,0.9058,0.7163,3,3,1203.01,27,27,2025-11-02 00:59:02
28,3,0.8443,0.9066,0.7199,3,3,1108.90,28,28,2025-11-02 01:17:31
29,3,0.8466,0.9072,0.7252,3,3,1197.35,29,29,2025-11-02 01:37:28
30,3,0.8416,0.9068,0.7111,3,3,1114.89,30,30,2025-11-02 01:56:03
