round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,timestamp
1,stsb_client,stsb,0.25119802957791054,0.0969077510325084,4249,1013,,0.25119802957791054,0.25054573798342683,0.2506670947663379,0.09695821534049782,0.3113811415941849,0.575327807676127,0.05806041082882501,1500,442,,0.575327807676127,0.4970213657214988,0.1969086229801178,2026-01-07 23:22:37
1,sst2_client,sst2,0.8644794440182318,0.34713034543649224,66477,57468,0.8646009502098292,,,,,,0.9105504587155964,0.2890947842714163,872,794,0.9102476911912223,,,,2026-01-07 23:23:27
1,qqp_client,qqp,0.7798184994511695,0.4623706207715739,323415,252205,0.7783094900909295,,,,,,0.8208058173183943,0.3847072122174086,40431,33186,0.8216143348603231,,,,2026-01-07 23:26:44
2,stsb_client,stsb,0.5455759777608746,0.0649136986628987,4249,1305,,0.5455759777608746,0.5216535745665489,0.20270556056660277,0.06487162842943667,0.2546990938920605,0.7484737262419711,0.03770131009700213,1500,583,,0.7484737262419711,0.7017728998626369,0.15424630045890808,2026-01-07 23:27:10
2,sst2_client,sst2,0.9024023346420567,0.28609532557722633,66477,59989,0.9024649900596157,,,,,,0.9048165137614679,0.2829879989608302,872,789,0.9050982333136884,,,,2026-01-07 23:28:00
2,qqp_client,qqp,0.8159083530448495,0.407374071464627,323415,263877,0.8156920308340996,,,,,,0.835299646310999,0.3860442281772906,40431,33772,0.8347166354227152,,,,2026-01-07 23:31:13
3,stsb_client,stsb,0.6828649253609007,0.04752382007252453,4249,1522,,0.6828649253609007,0.6527456720950128,0.1731757182953627,0.04752146961230106,0.21799419628123373,0.7650267927585718,0.03792695533434682,1500,597,,0.7650267927585718,0.7213970700356928,0.15271233022212982,2026-01-07 23:31:39
3,sst2_client,sst2,0.9192051386193721,0.2526523525494338,66477,61106,0.9192639784962512,,,,,,0.9162844036697247,0.2929550199000455,872,799,0.9161958299563867,,,,2026-01-07 23:32:30
3,qqp_client,qqp,0.8359847255074749,0.3768824076078515,323415,270370,0.8359874249910676,,,,,,0.8305508149687121,0.36755080512888083,40431,33580,0.8325319945101479,,,,2026-01-07 23:35:40
4,stsb_client,stsb,0.725574801893384,0.041595913174814245,4249,1642,,0.725574801893384,0.6964885526859912,0.16104492107566265,0.04149111077955568,0.20369366897268967,0.7760892863867036,0.03792227784473885,1500,619,,0.7760892863867036,0.7359037491305224,0.1511526256799698,2026-01-07 23:36:05
4,sst2_client,sst2,0.9299456955037081,0.22886920505411762,66477,61820,0.9299833970114452,,,,,,0.9243119266055045,0.2846899613579991,872,806,0.9242674211071997,,,,2026-01-07 23:36:56
4,qqp_client,qqp,0.8515993383114574,0.3546044598080935,323415,275420,0.8517112700052503,,,,,,0.8446736415127006,0.3556781873253639,40431,34151,0.8443441225357717,,,,2026-01-07 23:40:06
5,stsb_client,stsb,0.7655322030383959,0.03597958431066245,4249,1727,,0.7655322030383959,0.7467870204866219,0.1505772301100438,0.036028744490961634,0.18981239288034285,0.7758314010889809,0.03641824764843555,1500,688,,0.7758314010889809,0.7424035598874066,0.1457221955060959,2026-01-07 23:40:33
5,sst2_client,sst2,0.9388660739804745,0.20585806904053575,66477,62413,0.9388980865726082,,,,,,0.9254587155963303,0.290482888863328,872,807,0.9254691603028894,,,,2026-01-07 23:41:24
5,qqp_client,qqp,0.8642920087194471,0.3363238874851352,323415,279525,0.8644580363567175,,,,,,0.8483589325022879,0.38412376757547906,40431,34300,0.8486638183294644,,,,2026-01-07 23:44:33
6,stsb_client,stsb,0.7793942801237697,0.03417667958542312,4249,1816,,0.7793942801237697,0.762420674600044,0.14529614332251498,0.03416935144544052,0.1848495373146509,0.7779200222908658,0.03604448391520913,1500,666,,0.7779200222908658,0.7400525747709843,0.1464456170797348,2026-01-07 23:44:59
6,sst2_client,sst2,0.9449884922604811,0.18998519975034167,66477,62820,0.945012007668433,,,,,,0.9277522935779816,0.25871651848444904,872,809,0.9277419715812968,,,,2026-01-07 23:45:51
6,qqp_client,qqp,0.8743812129925946,0.32199064777784103,323415,282788,0.874558569111518,,,,,,0.85246469293364,0.3916424901814719,40431,34466,0.8521986956121669,,,,2026-01-07 23:49:00
