round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,timestamp
1,3,0.6318,0.8221,0.2512,3,3,275.87,1,1,2026-01-07 23:26:44
2,3,0.7546,0.8592,0.5456,3,3,269.07,2,2,2026-01-07 23:31:13
3,3,0.8127,0.8776,0.6829,3,3,267.25,3,3,2026-01-07 23:35:40
4,3,0.8357,0.8908,0.7256,3,3,266.79,4,4,2026-01-07 23:40:07
5,3,0.8562,0.9016,0.7655,3,3,266.75,5,5,2026-01-07 23:44:33
6,3,0.8663,0.9097,0.7794,3,3,266.62,6,6,2026-01-07 23:49:00
7,3,0.8804,0.9168,0.8075,3,3,267.35,7,7,2026-01-07 23:53:27
8,3,0.8884,0.9233,0.8187,3,3,267.09,8,8,2026-01-07 23:57:54
9,3,0.8941,0.9282,0.8257,3,3,267.56,9,9,2026-01-08 00:02:22
10,3,0.8993,0.9334,0.8310,3,3,267.66,10,10,2026-01-08 00:06:50
11,3,0.9036,0.9378,0.8351,3,3,267.46,11,11,2026-01-08 00:11:17
12,3,0.9099,0.9413,0.8470,3,3,267.83,12,12,2026-01-08 00:15:45
13,3,0.9119,0.9447,0.8464,3,3,267.75,13,13,2026-01-08 00:20:13
14,3,0.9174,0.9477,0.8568,3,3,267.85,14,14,2026-01-08 00:24:41
15,3,0.9201,0.9507,0.8589,3,3,267.36,15,15,2026-01-08 00:29:08
16,3,0.9217,0.9525,0.8602,3,3,267.18,16,16,2026-01-08 00:33:35
17,3,0.9206,0.9547,0.8525,3,3,267.24,17,17,2026-01-08 00:38:02
18,3,0.9231,0.9563,0.8568,3,3,267.55,18,18,2026-01-08 00:42:30
19,3,0.9222,0.9576,0.8512,3,3,268.57,19,19,2026-01-08 00:46:58
20,3,0.9257,0.9594,0.8582,3,3,267.49,20,20,2026-01-08 00:51:26
21,3,0.9242,0.9605,0.8514,3,3,272.72,21,21,2026-01-08 00:55:59
22,3,0.9258,0.9615,0.8544,3,3,267.54,22,22,2026-01-08 01:00:26
23,3,0.9242,0.9624,0.8478,3,3,268.11,23,23,2026-01-08 01:04:54
24,3,0.9273,0.9641,0.8537,3,3,267.05,24,24,2026-01-08 01:09:21
25,3,0.9276,0.9639,0.8551,3,3,267.93,25,25,2026-01-08 01:13:49
26,3,0.9274,0.9650,0.8523,3,3,267.70,26,26,2026-01-08 01:18:17
27,3,0.9255,0.9656,0.8454,3,3,266.63,27,27,2026-01-08 01:22:44
28,3,0.9260,0.9663,0.8455,3,3,266.67,28,28,2026-01-08 01:27:10
29,3,0.9277,0.9666,0.8500,3,3,267.75,29,29,2026-01-08 01:31:38
30,3,0.9283,0.9670,0.8509,3,3,266.95,30,30,2026-01-08 01:36:05
