round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,timestamp
1,stsb_client,stsb,0.37246921345492784,0.07389071772643234,4248,1037,,0.37246921345492784,0.325718417131343,0.22666972875595093,0.07389071583747864,0.27182847261428833,0.5938034821950926,0.05568045141663462,1496,481,,0.5938034821950926,0.5155164184904143,0.1893303245306015,2026-01-03 18:23:05
1,sst2_client,sst2,0.7761613912624865,0.47314525349093683,66472,51593,0.7765431711746326,,,,,,0.8302752293577982,0.3971315962732385,872,724,0.8308555310505835,,,,2026-01-03 18:23:33
1,qqp_client,qqp,0.7595637708405482,0.49290465410546846,323408,245649,0.7585629070127623,,,,,,0.7950474965367109,0.4651597963028429,40424,32139,0.7953265992593058,,,,2026-01-03 18:25:51
2,stsb_client,stsb,0.5580337452302482,0.05912765860908337,4248,1228,,0.5580337452302482,0.5071224716167673,0.19973406195640564,0.05912765860557556,0.24316179752349854,0.6536852920306967,0.05198715319906805,1496,518,,0.6536852920306967,0.5753818499822247,0.18063203990459442,2026-01-03 18:26:03
2,sst2_client,sst2,0.823715248525695,0.4073337852056607,66472,54754,0.8240349796449095,,,,,,0.8509174311926605,0.3698905246896208,872,742,0.8514700932895558,,,,2026-01-03 18:26:31
2,qqp_client,qqp,0.7896279622025429,0.44859641430580105,323408,255372,0.7895073247311946,,,,,,0.8132792400554126,0.40990771295039424,40424,32876,0.8130422370906804,,,,2026-01-03 18:28:51
3,stsb_client,stsb,0.6100576094236297,0.05403227838135119,4248,1304,,0.6100576094236297,0.5614631958879069,0.18995730578899384,0.054032277315855026,0.23244844377040863,0.6766115877290891,0.04701172730780859,1496,510,,0.6766115877290891,0.5944128211005093,0.17502789199352264,2026-01-03 18:29:03
3,sst2_client,sst2,0.8461908773618967,0.3690228326413599,66472,56248,0.8463606470109438,,,,,,0.8692660550458715,0.33196828328073025,872,758,0.8696074349833363,,,,2026-01-03 18:29:32
3,qqp_client,qqp,0.8037618117053381,0.4253713339498302,323408,259943,0.803854466723005,,,,,,0.816989906985949,0.4005599028137641,40424,33026,0.818958024412948,,,,2026-01-03 18:31:51
4,stsb_client,stsb,0.6417505306156039,0.05055172797011846,4248,1339,,0.6417505306156039,0.5910202443649896,0.18320374190807343,0.050551727414131165,0.22483710944652557,0.702534568815971,0.04432589931782076,1496,542,,0.702534568815971,0.6472863370974586,0.16806524991989136,2026-01-03 18:32:03
4,sst2_client,sst2,0.8623179684679263,0.34506065196212293,66472,57320,0.8624535625086663,,,,,,0.8795871559633027,0.3185035095917522,872,767,0.8799833017109051,,,,2026-01-03 18:32:32
4,qqp_client,qqp,0.8123979617078118,0.4097031265791422,323408,262736,0.8123200880560141,,,,,,0.8239164852562834,0.39829884189964904,40424,33306,0.8235612266418447,,,,2026-01-03 18:34:51
5,stsb_client,stsb,0.6661094839418185,0.04784155922210486,4248,1408,,0.6661094839418185,0.6195557732139492,0.17686282098293304,0.04784156009554863,0.21872714161872864,0.6996003229580605,0.04465550084145152,1496,559,,0.6996003229580605,0.6449826017585409,0.16637440025806427,2026-01-03 18:35:04
5,sst2_client,sst2,0.8735256950294861,0.3271735914364589,66472,58065,0.8736469962023405,,,,,,0.8956422018348624,0.3022736497052492,872,781,0.8957635166027283,,,,2026-01-03 18:35:33
5,qqp_client,qqp,0.8201992529560184,0.3965873937430884,323408,265259,0.8202484311009757,,,,,,0.8288640411636652,0.38916784435522245,40424,33506,0.8290777676090746,,,,2026-01-03 18:37:51
6,stsb_client,stsb,0.7051123940623205,0.04328935371497874,4248,1485,,0.7051123940623205,0.6543179469645369,0.16859574615955353,0.04328935220837593,0.20806093513965607,0.6987710968993569,0.044527951725086265,1496,554,,0.6987710968993569,0.6400166473578827,0.16700443625450134,2026-01-03 18:38:19
6,sst2_client,sst2,0.8836953905403779,0.3108043726551865,66472,58741,0.8837897845744904,,,,,,0.9002293577981652,0.2931844641480151,872,785,0.9003898168780563,,,,2026-01-03 18:38:46
6,qqp_client,qqp,0.8256660317617375,0.38743322279062786,323408,267027,0.8257998832043187,,,,,,0.8326489214328122,0.3845227974407631,40424,33659,0.8315287324676021,,,,2026-01-03 18:41:06
7,stsb_client,stsb,0.7173366971807068,0.04187530315553036,4248,1531,,0.7173366971807068,0.6760808893581497,0.16507291793823242,0.04187530279159546,0.20463456213474274,0.7094384830866424,0.04339154940945181,1496,594,,0.7094384830866424,0.6583989871225824,0.1608906090259552,2026-01-03 18:41:18
7,sst2_client,sst2,0.8919695510891804,0.2968509448408625,66472,59291,0.8920552417434119,,,,,,0.8979357798165137,0.3182171428823895,872,783,0.8978911908168705,,,,2026-01-03 18:41:46
7,qqp_client,qqp,0.8312224805818038,0.37775804551180475,323408,268824,0.8313772691316458,,,,,,0.8382149218286167,0.37513058991087556,40424,33884,0.8388045900761504,,,,2026-01-03 18:44:05
8,stsb_client,stsb,0.7285767756861745,0.04048449050445678,4248,1567,,0.7285767756861745,0.6863951495300094,0.1616964042186737,0.04048449173569679,0.20120757818222046,0.7228966680486129,0.041123224412374954,1496,593,,0.7228966680486129,0.6717147436928624,0.15840402245521545,2026-01-03 18:44:15
8,sst2_client,sst2,0.8989800216632567,0.28506514879712697,66472,59757,0.8990111150295517,,,,,,0.9128440366972477,0.30964344444283104,872,796,0.9128188928676807,,,,2026-01-03 18:44:44
8,qqp_client,qqp,0.8355853905902142,0.37082222695586003,323408,270235,0.835772421355783,,,,,,0.8372254106471403,0.3699751271233707,40424,33844,0.8378865733926749,,,,2026-01-03 18:47:03
9,stsb_client,stsb,0.7493559537824469,0.03792529050330938,4248,1627,,0.7493559537824469,0.706254789302518,0.15667679905891418,0.03792528808116913,0.19474415481090546,0.7276034707789658,0.040781245444886344,1496,611,,0.7276034707789658,0.6696041054984485,0.15700192749500275,2026-01-03 18:47:15
9,sst2_client,sst2,0.9047719340474185,0.27626088888694655,66472,60142,0.9048208898257109,,,,,,0.908256880733945,0.3278147221581344,872,792,0.9083302376706063,,,,2026-01-03 18:47:43
9,qqp_client,qqp,0.8396761984861227,0.3638884513589728,323408,271558,0.8397964458222236,,,,,,0.8400949930734217,0.3713141502686252,40424,33960,0.8388118231568705,,,,2026-01-03 18:50:01
10,stsb_client,stsb,0.7558911316825812,0.03705663867066781,4248,1608,,0.7558911316825812,0.7191561885484181,0.15508362650871277,0.037056636065244675,0.1925010085105896,0.7376032199696435,0.03908806189615777,1496,594,,0.7376032199696435,0.679947312376583,0.15491965413093567,2026-01-03 18:50:13
10,sst2_client,sst2,0.9101125285834637,0.26527004574922286,66472,60497,0.9101751676566153,,,,,,0.9128440366972477,0.30924733612609495,872,796,0.9128914508056606,,,,2026-01-03 18:50:49
10,qqp_client,qqp,0.8429599762529065,0.3586392762985592,323408,272620,0.8430361380825601,,,,,,0.8439788244607164,0.36364106007945846,40424,34117,0.8440363312609855,,,,2026-01-03 18:53:00
11,stsb_client,stsb,0.7608962852259541,0.03649264231162837,4248,1660,,0.7608962852259541,0.7270226406875027,0.153596892952919,0.03649264574050903,0.19103048741817474,0.7106609108145342,0.044227141667814815,1496,607,,0.7106609108145342,0.669833934224281,0.16118668019771576,2026-01-03 18:53:11
11,sst2_client,sst2,0.9156486941870261,0.25968768241435747,66472,60865,0.9156924558601994,,,,,,0.911697247706422,0.3062160938952562,872,795,0.9114823352024993,,,,2026-01-03 18:53:40
11,qqp_client,qqp,0.845393434918122,0.3540050568699443,323408,273407,0.8455395057139687,,,,,,0.8447704334058975,0.3756819496431856,40424,34149,0.8435612404105592,,,,2026-01-03 18:55:58
12,stsb_client,stsb,0.7740608001482927,0.03482802732248673,4248,1673,,0.7740608001482927,0.738373895656292,0.1502067595720291,0.034828029572963715,0.18662269413471222,0.7261026364653894,0.0408347450062274,1496,598,,0.7261026364653894,0.6764388248529974,0.1561771184206009,2026-01-03 18:56:09
