round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,timestamp
1,3,0.6361,0.7679,0.3725,3,3,182.17,1,1,2026-01-03 18:25:52
2,3,0.7238,0.8067,0.5580,3,3,180.23,2,2,2026-01-03 18:28:52
3,3,0.7533,0.8250,0.6101,3,3,180.22,3,3,2026-01-03 18:31:52
4,3,0.7722,0.8374,0.6418,3,3,180.23,4,4,2026-01-03 18:34:53
5,3,0.7866,0.8469,0.6661,3,3,178.22,5,5,2026-01-03 18:37:51
6,3,0.8048,0.8547,0.7051,3,3,196.23,6,6,2026-01-03 18:41:07
7,3,0.8135,0.8616,0.7173,3,3,178.20,7,7,2026-01-03 18:44:05
8,3,0.8210,0.8673,0.7286,3,3,178.21,8,8,2026-01-03 18:47:03
9,3,0.8313,0.8722,0.7494,3,3,178.23,9,9,2026-01-03 18:50:02
10,3,0.8363,0.8765,0.7559,3,3,178.21,10,10,2026-01-03 18:53:00
11,3,0.8406,0.8805,0.7609,3,3,178.20,11,11,2026-01-03 18:55:58
12,3,0.8470,0.8835,0.7741,3,3,180.21,12,12,2026-01-03 18:58:58
13,3,0.8457,0.8860,0.7652,3,3,178.20,13,13,2026-01-03 19:01:57
14,3,0.8496,0.8884,0.7721,3,3,180.21,14,14,2026-01-03 19:04:57
15,3,0.8520,0.8913,0.7736,3,3,178.21,15,15,2026-01-03 19:07:55
16,3,0.8537,0.8927,0.7757,3,3,178.22,16,16,2026-01-03 19:10:53
17,3,0.8532,0.8954,0.7690,3,3,178.20,17,17,2026-01-03 19:13:51
18,3,0.8539,0.8965,0.7686,3,3,178.21,18,18,2026-01-03 19:16:50
19,3,0.8547,0.8987,0.7668,3,3,180.21,19,19,2026-01-03 19:19:50
20,3,0.8545,0.8992,0.7652,3,3,180.20,20,20,2026-01-03 19:22:50
21,3,0.8508,0.9008,0.7508,3,3,178.23,21,21,2026-01-03 19:25:48
22,3,0.8513,0.9019,0.7503,3,3,178.20,22,22,2026-01-03 19:28:46
23,3,0.8494,0.9030,0.7421,3,3,178.19,23,23,2026-01-03 19:31:45
24,3,0.8483,0.9035,0.7379,3,3,178.21,24,24,2026-01-03 19:34:43
25,3,0.8469,0.9052,0.7304,3,3,180.21,25,25,2026-01-03 19:37:43
