Task_Type,Distribution,Val_SST2_Acc,Val_SST2_F1,Val_QQP_Acc,Val_QQP_F1,Val_STSB_Pearson,Val_STSB_Spearman,Total_Train_Time,Resource_Usage,Model
Single-Task,IID,,,,,0.8712,0.8691,4561.7820,4.2470,DistilBERT
Single-Task,IID,0.9002,0.9061,,,,,18514.8207,4.2460,DistilBERT
Single-Task,Non-IID,,,0.8408,0.7724,,,34904.4400,1.0956,DistilBERT
Single-Task,Non-IID,,,,,0.7753,0.7421,15452.5200,1.0988,DistilBERT
Multi-Task,IID,0.8257,0.8433,0.7535,0.6754,0.5108,0.4919,21245.2600,0.2852,DistilBERT
Multi-Task,IID,0.9037,0.9077,0.8137,0.8778,0.8635,0.8614,24449.6803,4.3214,DistilBERT
Single-Task,IID,,,0.8456,0.8934,,,4290.5924,4.2547,DistilBERT
Single-Task,Non-IID,0.9346,0.9392,,,,,23586.4400,1.0972,DistilBERT
Multi-Task,Non-IID,0.9232,0.9298,0.8579,0.8054,0.6963,0.6967,52903.9700,1.0968,DistilBERT
Multi-Task,IID,0.9461,0.9514,0.8913,0.8610,0.8284,0.8136,56454.4600,1.0896,DistilBERT
Single-Task,IID,,,,,0.8673,0.8648,3381.8307,2.6467,BERT-Medium
Single-Task,IID,0.8933,0.8970,,,,,13492.6198,2.6711,BERT-Medium
Single-Task,Non-IID,,,0.7989,0.6852,,,23880.8900,0.6789,BERT-Medium
Single-Task,Non-IID,,,,,0.6521,0.6212,10261.9200,0.6810,BERT-Medium
Multi-Task,Non-IID,0.8933,0.8988,0.8183,0.7441,0.4219,0.4132,33374.5000,0.6790,BERT-Medium
Multi-Task,IID,0.8865,0.8884,0.8333,0.8777,0.8615,0.8584,19257.4008,2.6671,BERT-Medium
Single-Task,IID,,,0.8358,0.8859,,,3205.5134,2.6467,BERT-Medium
Single-Task,Non-IID,0.9300,0.9348,,,,,15439.0400,0.6786,BERT-Medium
Multi-Task,IID,0.9392,0.9450,0.8962,0.8655,0.8258,0.8052,45258.2100,0.6807,BERT-Medium
Multi-Task,IID,0.8131,0.8362,0.7388,0.6805,0.6823,0.6512,12885.7400,0.1840,BERT-Medium
Single-Task,IID,,,,,0.8316,0.8283,411.4504,2.4487,BERT-Mini
Multi-Task,Non-IID,0.8234,0.8226,0.7748,0.6668,0.4009,0.3939,10317.5500,0.1969,BERT-Mini
Multi-Task,IID,0.7649,0.7915,0.6958,0.5602,0.2824,0.2773,4191.6700,0.0630,BERT-Mini
Multi-Task,IID,0.9266,0.9329,0.8350,0.7981,0.6940,0.6550,13341.0100,0.1969,BERT-Mini
Single-Task,IID,0.8727,0.8773,,,,,3348.2618,2.4487,BERT-Mini
Single-Task,Non-IID,,,0.7674,0.6201,,,9642.5900,0.1969,BERT-Mini
Single-Task,Non-IID,,,,,0.6504,0.6150,2547.1000,0.1969,BERT-Mini
Multi-Task,IID,0.8589,0.8650,0.7770,0.8580,0.7989,0.7973,3652.5020,2.4651,BERT-Mini
Single-Task,IID,,,0.7990,0.8536,,,318.6076,2.4487,BERT-Mini
Single-Task,Non-IID,0.9151,0.9196,,,,,4552.7500,0.1969,BERT-Mini
Single-Task,IID,,,,,0.8620,0.8592,2696.2733,1.4929,MiniLM
Multi-Task,IID,0.9369,0.9428,0.8966,0.8662,0.8384,0.8197,27930.0600,0.3835,MiniLM
Single-Task,IID,0.9014,0.9051,,,,,8334.1044,1.4950,MiniLM
Multi-Task,Non-IID,0.8888,0.8974,0.8629,0.8150,0.7003,0.7061,20765.5700,0.3846,MiniLM
Single-Task,Non-IID,,,0.8421,0.7644,,,14583.0500,0.3842,MiniLM
Single-Task,Non-IID,,,,,0.7877,0.7489,4920.4800,0.3840,MiniLM
Multi-Task,IID,0.8796,0.8829,0.7917,0.8649,0.8580,0.8560,12437.1200,1.5045,MiniLM
Single-Task,IID,,,0.7990,0.8656,,,2388.1281,1.5067,MiniLM
Single-Task,Non-IID,0.9243,0.9293,,,,,8447.2000,0.3836,MiniLM
Multi-Task,IID,0.7787,0.8102,0.7271,0.6060,0.0703,0.0621,18808.0800,0.1090,MiniLM
Multi-Task,IID,0.9014,0.9145,0.7950,0.7494,0.5212,0.4754,6778.0000,0.0881,TinyBERT
Single-Task,IID,,,,,0.7270,0.7230,2337.4206,0.3427,TinyBERT
Single-Task,IID,0.8314,0.8358,,,,,4857.0764,0.3427,TinyBERT
Single-Task,Non-IID,,,0.7010,0.3887,,,6226.6300,0.0881,TinyBERT
Single-Task,Non-IID,,,,,0.2186,0.1755,1182.0300,0.0881,TinyBERT
Multi-Task,IID,0.8211,0.8263,0.7230,0.8101,0.6474,0.6426,9227.5495,0.3440,TinyBERT
Multi-Task,Non-IID,0.7810,0.7782,0.6895,0.4733,0.0081,0.0063,6975.2800,0.0881,TinyBERT
Single-Task,IID,,,0.7157,0.8139,,,2315.3862,0.3427,TinyBERT
Single-Task,Non-IID,0.9060,0.9122,,,,,2514.0600,0.0881,TinyBERT
Multi-Task,IID,0.7569,0.7902,0.6766,0.4475,0.3636,0.3505,3560.6800,0.0356,TinyBERT
