Paradigm,Task_Type,Distribution,Experiment,Val_SST2_Acc,Val_SST2_F1,Val_QQP_Acc,Val_QQP_F1,Val_STSB_Pearson,Val_STSB_Spearman,Total_Train_Time,Resource_Usage,Model
Centralized,Multi-Task (MTL),IID,centralized-mtl-all-tasks,0.8589449541284404,0.8649835345773875,0.7769607843137255,0.858034321372855,0.7989210335842442,0.7972817541302876,3652.502049,2.4650807086774007,mini-bert
Centralized,Single-Task,IID,centralized-single-task-qqp,,,0.7990196078431373,0.8535714285714285,,,318.60756000000003,2.448740043358585,mini-bert
Centralized,Single-Task,IID,centralized-single-task-sst2,0.8727064220183486,0.8773072747014115,,,,,3348.261791,2.448740043358585,mini-bert
Centralized,Single-Task,IID,centralized-single-task-stsb,,,,,0.8315636517704581,0.8283058502458666,411.45038200000005,2.448689295950763,mini-bert
FL,Multi-Task (MTL),IID,fl-mtl-slms-bertmini-stsb-qqp-sst2,0.9266,0.9329,0.835,0.7981,0.694,0.655,13341.009999999998,0.1968561493333333,mini-bert
FL,Multi-Task (MTL),IID,fl-mtl-slms-bertmini-stsb-qqp-sst2-lora,0.7649,0.7915,0.6958,0.5602,0.2824,0.2773,4191.67,0.06299067733333331,mini-bert
FL,Multi-Task (MTL),Non-IID,fl-mtl-slms-mini-bert-non-iid-stsb-qqp-sst2-3client-each,0.8234,0.8226,0.7748,0.6668,0.4009,0.3939,10317.55,0.1968561493333334,mini-bert
FL,Single-Task,Non-IID,fl-slms-mini-lm-non-iid-qqp,,,0.7674,0.6201,,,9642.59,0.196857344,mini-bert
FL,Single-Task,Non-IID,fl-slms-mini-lm-non-iid-sst2,0.9151,0.9196,,,,,4552.750000000001,0.196857344,mini-bert
FL,Single-Task,Non-IID,fl-slms-mini-lm-non-iid-stsb,,,,,0.6504,0.615,2547.1000000000004,0.19685376,mini-bert
