epoch,train_loss,train_accuracy,timestamp
1,1.092960061277858,"tensor(0.2796, device='cuda:0')",2026-02-25 15:03:15
2,0.5608784846149217,"tensor(0.5757, device='cuda:0')",2026-02-25 15:29:53
3,0.41317491803346273,"tensor(0.7229, device='cuda:0')",2026-02-25 15:54:38
4,0.30265532012440655,"tensor(0.7980, device='cuda:0')",2026-02-25 16:14:27
5,0.2479293245504456,"tensor(0.8219, device='cuda:0')",2026-02-25 16:32:22
6,0.18877533469979363,"tensor(0.8732, device='cuda:0')",2026-02-25 16:50:52
7,0.1567121481810017,"tensor(0.8965, device='cuda:0')",2026-02-25 17:10:18
8,0.1456711885669878,"tensor(0.8960, device='cuda:0')",2026-02-25 17:28:34
9,0.1345699423251418,"tensor(0.9078, device='cuda:0')",2026-02-25 17:46:56
10,0.1060923504524101,"tensor(0.9152, device='cuda:0')",2026-02-25 18:05:11
11,0.10226115377386157,"tensor(0.9297, device='cuda:0')",2026-02-25 18:23:34
12,0.08707697877635885,"tensor(0.9364, device='cuda:0')",2026-02-25 18:42:27
13,0.07997246760362059,"tensor(0.9465, device='cuda:0')",2026-02-25 19:00:18
14,0.07221887671192617,"tensor(0.9483, device='cuda:0')",2026-02-25 19:18:27
15,0.0650455578907806,"tensor(0.9531, device='cuda:0')",2026-02-25 19:37:35
16,0.06078365015538227,"tensor(0.9548, device='cuda:0')",2026-02-25 19:56:03
17,0.055131771212664285,"tensor(0.9619, device='cuda:0')",2026-02-25 20:06:36
18,0.047854529512534966,"tensor(0.9636, device='cuda:0')",2026-02-25 20:17:01
19,0.041817846062025966,"tensor(0.9686, device='cuda:0')",2026-02-25 20:27:26
20,0.04144331393632127,"tensor(0.9698, device='cuda:0')",2026-02-25 20:38:02
21,0.036148770563514496,"tensor(0.9716, device='cuda:0')",2026-02-25 20:48:29
22,0.03422022354789078,"tensor(0.9748, device='cuda:0')",2026-02-25 20:58:56
23,0.028864069787533322,"tensor(0.9785, device='cuda:0')",2026-02-25 21:09:25
24,0.028949717839188958,"tensor(0.9779, device='cuda:0')",2026-02-25 21:20:03
25,0.025783072376958115,"tensor(0.9806, device='cuda:0')",2026-02-25 21:30:27
