epoch,train_loss,train_accuracy,timestamp
1,1.092960061277858,0.2796,2026-02-25 15:03:15
2,0.5608784846149217,0.5757,2026-02-25 15:29:53
3,0.4131749180334627,0.7229,2026-02-25 15:54:38
4,0.3026553201244065,0.798,2026-02-25 16:14:27
5,0.2479293245504456,0.8219,2026-02-25 16:32:22
6,0.1887753346997936,0.8732,2026-02-25 16:50:52
7,0.1567121481810017,0.8965,2026-02-25 17:10:18
8,0.1456711885669878,0.896,2026-02-25 17:28:34
9,0.1345699423251418,0.9078,2026-02-25 17:46:56
10,0.1060923504524101,0.9152,2026-02-25 18:05:11
11,0.1022611537738615,0.9297,2026-02-25 18:23:34
12,0.0870769787763588,0.9364,2026-02-25 18:42:27
13,0.0799724676036205,0.9465,2026-02-25 19:00:18
14,0.0722188767119261,0.9483,2026-02-25 19:18:27
15,0.0650455578907806,0.9531,2026-02-25 19:37:35
16,0.0607836501553822,0.9548,2026-02-25 19:56:03
17,0.0551317712126642,0.9619,2026-02-25 20:06:36
18,0.0478545295125349,0.9636,2026-02-25 20:17:01
19,0.0418178460620259,0.9686,2026-02-25 20:27:26
20,0.0414433139363212,0.9698,2026-02-25 20:38:02
21,0.0361487705635144,0.9716,2026-02-25 20:48:29
22,0.0342202235478907,0.9748,2026-02-25 20:58:56
23,0.0288640697875333,0.9785,2026-02-25 21:09:25
24,0.0289497178391889,0.9779,2026-02-25 21:20:03
25,0.0257830723769581,0.9806,2026-02-25 21:30:27
