round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,stsb_client_2,stsb,0.39030284362087553,0.077478879801929,394,75,,0.39030284362087553,0.37361255684081035,0.23912207782268524,0.07766532152891159,0.27868497371673584,0.4635451123975305,0.08257598249598387,1500,300,,0.4635451123975305,0.45598516877555945,0.2478482723236084,0.8380219458620007,0.16197805442412694,1500,,,,,0.038296658002211034,0.03632381762848087,2026-02-17 22:32:31
1,stsb_client_1,stsb,0.21611335742938664,0.06261858865340698,532,181,,0.21611335742938664,0.23383895733849713,0.20064575970172882,0.06264273077249527,0.2502852976322174,0.5520465525877969,0.07208342084839464,1500,358,,0.5520465525877969,0.5597307753961274,0.2287965565919876,0.838021946012541,0.161978053689003,1500,,,,,0.038296656895109055,0.03632381759619302,2026-02-17 22:32:37
1,stsb_client_3,stsb,0.48254165262475834,0.07727164309471846,444,111,,0.48254165262475834,0.48509398398082976,0.2305811643600464,0.0776858776807785,0.2787218689918518,0.6176297125236575,0.06854243446735943,1500,317,,0.6176297125236575,0.6248668021557712,0.22376137971878052,0.8380219455445957,0.16197805453340214,1500,,,,,0.038296648503097906,0.03632381762848087,2026-02-17 22:34:21
1,sst2_client_3,sst2,0.9950319375443577,0.040187688380332806,4227,4206,0.9927900773743893,,,,,,0.4426605504587156,3.199657586189585,872,386,0.271648604891994,,,,0.4552752293577982,0.6994904214089069,872,397,0.14721723518850988,0.5774647887323944,0.08436213991769548,,,2026-02-17 22:34:50
1,sst2_client_2,sst2,0.8582026639689766,0.36781395615876783,5931,5090,0.8570441678053526,,,,,,0.8830275229357798,0.3174563260330314,872,770,0.8834111162136841,,,,0.4552752293577982,0.6994904192215806,872,397,0.14721723518850988,0.5774647887323944,0.08436213991769548,,,2026-02-17 22:35:39
1,sst2_client_1,sst2,0.958257141055552,0.1608514353704938,15859,15197,0.9477354630307336,,,,,,0.7201834862385321,1.045184066722067,872,628,0.6864775742718148,,,,0.4552752293577982,0.6994904252367282,872,397,0.14721723518850988,0.5774647887323944,0.08436213991769548,,,2026-02-17 22:39:41
1,qqp_client_3,qqp,0.9976757699012202,0.018151141186070384,29257,29189,0.9965832871090073,,,,,,0.6317429695035988,2.8851837084130203,40431,25542,0.48916917305749075,,,,0.6203408275827954,0.6770098200594685,40431,25081,0.04397110114598904,0.30248500428449016,0.02370877829269931,,,2026-02-17 22:47:00
1,qqp_client_2,qqp,0.8312182354910375,0.3795270576510631,32859,27313,0.8217122758284762,,,,,,0.8182088001780812,0.4261184593111271,40431,33081,0.8127936218637897,,,,0.6203408275827954,0.6770098205828207,40431,25081,0.04397110114598904,0.30248500428449016,0.02370877829269931,,,2026-02-17 22:47:47
1,qqp_client_1,qqp,0.9347632311977716,0.2395183893836234,53850,50337,0.9248065833461857,,,,,,0.7661942568820954,0.831998183982864,40431,30978,0.7687627397583057,,,,0.6203408275827954,0.6770098211341831,40431,25081,0.04397110114598904,0.30248500428449016,0.02370877829269931,,,2026-02-17 22:49:34
2,stsb_client_2,stsb,0.6422977734047249,0.05395165154710412,394,121,,0.6422977734047249,0.6442170070913618,0.1884610652923584,0.05452544242143631,0.23350682854652405,0.6775776413200494,0.05276683895065984,1500,440,,0.6775776413200494,0.6793112031559564,0.18950612843036652,0.8916416890644401,0.10835831069946289,1500,,,,,0.31898297395814557,0.3135591801040727,2026-02-17 23:08:14
