round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,stsb_client,stsb,0.0,0.139312222374155,4249,764,,-0.01184580455497565,-0.004448884151336962,0.3085348971916205,0.13905541307969083,0.37290134496900224,0.1051458602971645,0.09116065645828209,1500,318,,0.1051458602971645,0.08584439462704144,0.2556578814983368,0.6083815644014969,0.391618434826533,1500,,,,,-0.08716209081403696,-0.11279234641866014,2026-02-10 15:02:16
1,sst2_client,sst2,0.73550250462566,0.5711282850262204,66477,48894,0.7275834031613302,,,,,,0.7901376146788991,0.4963108514427045,872,689,0.7888386174796489,,,,0.4334862385321101,0.7287044601702909,872,378,0.008032128514056226,0.2222222222222222,0.00408997955010225,,,2026-02-10 15:04:30
1,qqp_client,qqp,0.6750212575174311,0.5866499784129029,323415,218312,0.6289776389715634,,,,,,0.7190027454181197,0.5513833960113574,40431,29070,0.71375948004849,,,,0.6315698350275778,0.6612589630276641,40431,25535,0.0,0.0,0.0,,,2026-02-10 15:14:43
2,stsb_client,stsb,0.14673367633798592,0.08883208992253792,4249,945,,0.14673367633798592,0.1342172375543009,0.24994446224101005,0.08893211039085004,0.29821487285319964,0.2507918688676589,0.08145509778145463,1500,318,,0.2507918688676589,0.2448865284622636,0.2424817979335785,0.9089649295194296,0.09103507120410602,1500,,,,,0.10514586063591382,0.08584439462704144,2026-02-10 15:15:06
2,sst2_client,sst2,0.8086556252538472,0.46506965860778243,66477,53757,0.8081186074643883,,,,,,0.7889908256880734,0.449047409749906,872,688,0.7875335847339211,,,,0.7901376146788991,0.4963108566376047,872,689,0.8189910979228486,0.7931034482758621,0.8466257668711656,,,2026-02-10 15:17:18
2,qqp_client,qqp,0.7118191796917274,0.5454602098619481,323415,230213,0.6977324116537487,,,,,,0.7314189606984739,0.5312679717969555,40431,29572,0.7294640454417144,,,,0.7190027454181197,0.5513839547499262,40431,29070,0.58903960933261,0.6386383245744764,0.5465896885069818,,,2026-02-10 15:28:48
3,stsb_client,stsb,0.23601265583531644,0.08262452037997992,4249,978,,0.23601265583531644,0.22117969472374782,0.2419653601958036,0.0825865953759669,0.28737883599173913,0.33289836847702303,0.07635102125796232,1500,326,,0.33289836847702303,0.32478206736233267,0.235273078083992,0.9188346668968457,0.08116533356904984,1500,,,,,0.2507918624827097,0.2448865284622636,2026-02-10 15:29:13
3,sst2_client,sst2,0.8188395986581826,0.430719253843119,66477,54434,0.8186783158861958,,,,,,0.7935779816513762,0.43011453187246934,872,692,0.7927966854098845,,,,0.7889908256880734,0.4490474107068613,872,688,0.8185404339250493,0.7904761904761904,0.8486707566462167,,,2026-02-10 15:31:14
3,qqp_client,qqp,0.7213610995161016,0.5332153059228321,323415,233299,0.7114124417365821,,,,,,0.7374044668694814,0.5216694179617184,40431,29814,0.7366080018052057,,,,0.7314189606984739,0.5312657700738459,40431,29572,0.6235918056085133,0.6446642299147137,0.6038533834586466,,,2026-02-10 15:42:42
4,stsb_client,stsb,0.29677647419260444,0.07869446371625968,4249,983,,0.29677647419260444,0.2792556016978407,0.2365753338874968,0.07880051400292168,0.28071429248066737,0.3786067619443058,0.07377185481303233,1500,322,,0.3786067619443058,0.36906717548070894,0.23135437071323395,0.9235557454094383,0.07644425452748935,1500,,,,,0.3328983664499414,0.32478206736233267,2026-02-10 15:43:07
4,sst2_client,sst2,0.8238638927749448,0.4143367668414302,66477,54768,0.823808306609489,,,,,,0.8004587155963303,0.4199753240297694,872,698,0.8002794102059804,,,,0.7935779816513762,0.43011452982185083,872,692,0.8199999999999998,0.8023483365949119,0.8384458077709611,,,2026-02-10 15:45:11
4,qqp_client,qqp,0.7254827388958459,0.5264495222390171,323415,234632,0.7172463830509672,,,,,,0.7414112933145359,0.5165447104364032,40431,29976,0.7416483384620219,,,,0.7374044668694814,0.5216679620028091,40431,29814,0.638594819076148,0.6477453214557005,0.6296992481203008,,,2026-02-10 15:56:50
5,stsb_client,stsb,0.32971461977492217,0.07656837526981936,4249,1010,,0.32971461977492217,0.3093908773368264,0.23250246817207942,0.07666274452409358,0.27688037944949,0.4074934833535429,0.07178856248650303,1500,321,,0.4074934833535429,0.39507960162510414,0.22869154810905457,0.9263326315703447,0.07366736924151579,1500,,,,,0.37860676362169604,0.36906717548070894,2026-02-10 15:57:14
5,sst2_client,sst2,0.8264662966138665,0.40428793600319957,66477,54941,0.8264490445915873,,,,,,0.8027522935779816,0.414011987661003,872,700,0.8026363095520961,,,,0.8004587155963303,0.4199753208171337,872,698,0.8231707317073171,0.8181818181818182,0.8282208588957055,,,2026-02-10 15:59:17
5,qqp_client,qqp,0.729323006044865,0.5224146385650827,323415,235874,0.7222237534845545,,,,,,0.7439835769582746,0.5121212129477083,40431,30080,0.744373222738839,,,,0.7414112933145359,0.516545977267931,40431,29976,0.6506265664160401,0.6477476878035797,0.653531149301826,,,2026-02-10 16:11:02
6,stsb_client,stsb,0.35986310258089294,0.07472802690209303,4249,1002,,0.35986310258089294,0.34537838848769326,0.2302825883463565,0.07472381043333103,0.2733565628137196,0.4295243011967645,0.07025963106648402,1500,314,,0.4295243011967645,0.415504338112628,0.22695299983024597,0.9282747853301903,0.07172521496812502,1500,,,,,0.407493482467449,0.39507960162510414,2026-02-10 16:11:27
6,sst2_client,sst2,0.8272485220452186,0.399534195773169,66477,54993,0.8272521690297359,,,,,,0.8084862385321101,0.4099838361827605,872,705,0.8084588770488345,,,,0.8027522935779816,0.414011989028082,872,700,0.824847250509165,0.821501014198783,0.8282208588957055,,,2026-02-10 16:13:29
6,qqp_client,qqp,0.7302413307978912,0.5200330790455818,323415,236171,0.7237160073875976,,,,,,0.7455665207390368,0.506965721041542,40431,30144,0.7446972866633395,,,,0.7439835769582746,0.5121249662310166,40431,30080,0.6551390971181076,0.6503075600238111,0.6600429645542427,,,2026-02-10 16:24:06
7,stsb_client,stsb,0.38675507674934667,0.0731013186671596,4249,1073,,0.38675507674934667,0.3718375098585954,0.22652074619737525,0.07292971861545568,0.2700550288653327,0.44537593199828474,0.06933415008391788,1500,336,,0.44537593199828474,0.43097523459001147,0.2245563119649887,0.9297534236922202,0.07024657663702964,1500,,,,,0.42952430498686417,0.415504338112628,2026-02-10 16:24:30
7,sst2_client,sst2,0.8281962182408954,0.39440789196088855,66477,55056,0.8282091609795127,,,,,,0.8130733944954128,0.4073324796119961,872,709,0.813046688377006,,,,0.8084862385321101,0.40998383891691853,872,705,0.829417773237998,0.8285714285714286,0.8302658486707567,,,2026-02-10 16:26:37
7,qqp_client,qqp,0.7326592767806069,0.5170718811379222,323415,236953,0.7264668137801049,,,,,,0.7467042615814597,0.5056700524875875,40431,30190,0.7467975975723082,,,,0.7455665207390368,0.5069661552872836,40431,30144,0.649231083984042,0.6596909431085857,0.6390977443609023,,,2026-02-10 16:37:14
