accuracy,client_id,device_type,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_memory_total_gb,gpu_memory_utilization_pct,gpu_name,loss,phase,round,samples_processed,task,timestamp
0.0,qqp_client,cuda,0.276163072,0.354418688,25.756696576,1.0721991121226617,NVIDIA RTX A5000,0.0,training_start,1,0,all_tasks,2026-02-10 15:04:33
0.6750212575174311,qqp_client,cuda,0.285620736,0.318767104,25.756696576,1.1089183551051356,NVIDIA RTX A5000,0.5866499784129029,task_complete,1,323415,qqp,2026-02-10 15:14:43
0.0,qqp_client,cuda,0.28562688,0.318767104,25.756696576,1.108942209095813,NVIDIA RTX A5000,0.0,round_complete,1,0,all_tasks,2026-02-10 15:14:43
0.0,qqp_client,cuda,0.285620224,0.3670016,25.756696576,1.1089163672725793,NVIDIA RTX A5000,0.0,training_start,2,0,all_tasks,2026-02-10 15:17:21
0.7118191796917274,qqp_client,cuda,0.285620736,0.318767104,25.756696576,1.1089183551051356,NVIDIA RTX A5000,0.5454602098619481,task_complete,2,323415,qqp,2026-02-10 15:28:48
0.0,qqp_client,cuda,0.28562688,0.318767104,25.756696576,1.108942209095813,NVIDIA RTX A5000,0.0,round_complete,2,0,all_tasks,2026-02-10 15:28:48
0.0,qqp_client,cuda,0.285620224,0.3670016,25.756696576,1.1089163672725793,NVIDIA RTX A5000,0.0,training_start,3,0,all_tasks,2026-02-10 15:31:24
0.7213610995161016,qqp_client,cuda,0.285620736,0.318767104,25.756696576,1.1089183551051356,NVIDIA RTX A5000,0.5332153059228321,task_complete,3,323415,qqp,2026-02-10 15:42:42
0.0,qqp_client,cuda,0.28562688,0.318767104,25.756696576,1.108942209095813,NVIDIA RTX A5000,0.0,round_complete,3,0,all_tasks,2026-02-10 15:42:42
0.0,qqp_client,cuda,0.285620224,0.3670016,25.756696576,1.1089163672725793,NVIDIA RTX A5000,0.0,training_start,4,0,all_tasks,2026-02-10 15:45:19
0.7254827388958459,qqp_client,cuda,0.285620736,0.318767104,25.756696576,1.1089183551051356,NVIDIA RTX A5000,0.5264495222390171,task_complete,4,323415,qqp,2026-02-10 15:56:50
0.0,qqp_client,cuda,0.28562688,0.318767104,25.756696576,1.108942209095813,NVIDIA RTX A5000,0.0,round_complete,4,0,all_tasks,2026-02-10 15:56:50
0.0,qqp_client,cuda,0.285620224,0.3670016,25.756696576,1.1089163672725793,NVIDIA RTX A5000,0.0,training_start,5,0,all_tasks,2026-02-10 15:59:28
0.729323006044865,qqp_client,cuda,0.285620736,0.318767104,25.756696576,1.1089183551051356,NVIDIA RTX A5000,0.5224146385650827,task_complete,5,323415,qqp,2026-02-10 16:11:02
0.0,qqp_client,cuda,0.28562688,0.318767104,25.756696576,1.108942209095813,NVIDIA RTX A5000,0.0,round_complete,5,0,all_tasks,2026-02-10 16:11:02
0.0,qqp_client,cuda,0.285620224,0.3670016,25.756696576,1.1089163672725793,NVIDIA RTX A5000,0.0,training_start,6,0,all_tasks,2026-02-10 16:13:39
0.7302413307978912,qqp_client,cuda,0.285620736,0.318767104,25.756696576,1.1089183551051356,NVIDIA RTX A5000,0.5200330790455818,task_complete,6,323415,qqp,2026-02-10 16:24:06
0.0,qqp_client,cuda,0.28562688,0.318767104,25.756696576,1.108942209095813,NVIDIA RTX A5000,0.0,round_complete,6,0,all_tasks,2026-02-10 16:24:06
0.0,qqp_client,cuda,0.285620224,0.3670016,25.756696576,1.1089163672725793,NVIDIA RTX A5000,0.0,training_start,7,0,all_tasks,2026-02-10 16:26:42
0.7326592767806069,qqp_client,cuda,0.285620736,0.318767104,25.756696576,1.1089183551051356,NVIDIA RTX A5000,0.5170718811379222,task_complete,7,323415,qqp,2026-02-10 16:37:14
0.0,qqp_client,cuda,0.28562688,0.318767104,25.756696576,1.108942209095813,NVIDIA RTX A5000,0.0,round_complete,7,0,all_tasks,2026-02-10 16:37:14
0.0,qqp_client,cuda,0.285620224,0.3670016,25.756696576,1.1089163672725793,NVIDIA RTX A5000,0.0,training_start,8,0,all_tasks,2026-02-10 16:39:51
0.7337229256527991,qqp_client,cuda,0.285620736,0.318767104,25.756696576,1.1089183551051356,NVIDIA RTX A5000,0.5154664326910421,task_complete,8,323415,qqp,2026-02-10 16:51:37
0.0,qqp_client,cuda,0.28562688,0.318767104,25.756696576,1.108942209095813,NVIDIA RTX A5000,0.0,round_complete,8,0,all_tasks,2026-02-10 16:51:37
0.0,qqp_client,cuda,0.285620224,0.3670016,25.756696576,1.1089163672725793,NVIDIA RTX A5000,0.0,training_start,9,0,all_tasks,2026-02-10 16:54:14
0.7348174945503455,qqp_client,cuda,0.285620736,0.318767104,25.756696576,1.1089183551051356,NVIDIA RTX A5000,0.5137376364039555,task_complete,9,323415,qqp,2026-02-10 17:05:15
0.0,qqp_client,cuda,0.28562688,0.318767104,25.756696576,1.108942209095813,NVIDIA RTX A5000,0.0,round_complete,9,0,all_tasks,2026-02-10 17:05:15
0.0,qqp_client,cuda,0.285620224,0.3670016,25.756696576,1.1089163672725793,NVIDIA RTX A5000,0.0,training_start,10,0,all_tasks,2026-02-10 17:07:50
0.7347834825224556,qqp_client,cuda,0.285620736,0.318767104,25.756696576,1.1089183551051356,NVIDIA RTX A5000,0.5132316473487117,task_complete,10,323415,qqp,2026-02-10 17:18:42
0.0,qqp_client,cuda,0.28562688,0.318767104,25.756696576,1.108942209095813,NVIDIA RTX A5000,0.0,round_complete,10,0,all_tasks,2026-02-10 17:18:43
0.0,qqp_client,cuda,0.285620224,0.3670016,25.756696576,1.1089163672725793,NVIDIA RTX A5000,0.0,training_start,11,0,all_tasks,2026-02-10 17:21:18
0.7356616112425213,qqp_client,cuda,0.285620736,0.318767104,25.756696576,1.1089183551051356,NVIDIA RTX A5000,0.5126138152280258,task_complete,11,323415,qqp,2026-02-10 17:32:03
0.0,qqp_client,cuda,0.28562688,0.318767104,25.756696576,1.108942209095813,NVIDIA RTX A5000,0.0,round_complete,11,0,all_tasks,2026-02-10 17:32:04
0.0,qqp_client,cuda,0.285620224,0.3670016,25.756696576,1.1089163672725793,NVIDIA RTX A5000,0.0,training_start,12,0,all_tasks,2026-02-10 17:34:43
0.7362181716989008,qqp_client,cuda,0.285620736,0.318767104,25.756696576,1.1089183551051356,NVIDIA RTX A5000,0.5115818258621059,task_complete,12,323415,qqp,2026-02-10 17:45:37
0.0,qqp_client,cuda,0.28562688,0.318767104,25.756696576,1.108942209095813,NVIDIA RTX A5000,0.0,round_complete,12,0,all_tasks,2026-02-10 17:45:38
0.0,qqp_client,cuda,0.285620224,0.3670016,25.756696576,1.1089163672725793,NVIDIA RTX A5000,0.0,training_start,13,0,all_tasks,2026-02-10 17:48:17
0.7361965276811527,qqp_client,cuda,0.285620736,0.318767104,25.756696576,1.1089183551051356,NVIDIA RTX A5000,0.5114764492294116,task_complete,13,323415,qqp,2026-02-10 18:01:02
0.0,qqp_client,cuda,0.28562688,0.318767104,25.756696576,1.108942209095813,NVIDIA RTX A5000,0.0,round_complete,13,0,all_tasks,2026-02-10 18:01:02
0.0,qqp_client,cuda,0.285620224,0.3670016,25.756696576,1.1089163672725793,NVIDIA RTX A5000,0.0,training_start,14,0,all_tasks,2026-02-10 18:03:40
