accuracy,client_id,device_type,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_memory_total_gb,gpu_memory_utilization_pct,gpu_name,loss,phase,round,samples_processed,task,timestamp
0.0,sst2_client,cuda,0.276163072,0.308281344,25.756696576,1.0721991121226617,NVIDIA RTX A5000,0.0,training_start,1,0,all_tasks,2026-02-10 15:02:03
0.73550250462566,sst2_client,cuda,0.284703232,0.306184192,25.756696576,1.1053561591640035,NVIDIA RTX A5000,0.5711282850262204,task_complete,1,66477,sst2,2026-02-10 15:04:30
0.0,sst2_client,cuda,0.284709376,0.306184192,25.756696576,1.1053800131546807,NVIDIA RTX A5000,0.0,round_complete,1,0,all_tasks,2026-02-10 15:04:30
0.0,sst2_client,cuda,0.28470272,0.329252864,25.756696576,1.105354171331447,NVIDIA RTX A5000,0.0,training_start,2,0,all_tasks,2026-02-10 15:14:55
0.8086556252538472,sst2_client,cuda,0.284703232,0.306184192,25.756696576,1.1053561591640035,NVIDIA RTX A5000,0.46506965860778243,task_complete,2,66477,sst2,2026-02-10 15:17:18
0.0,sst2_client,cuda,0.284709376,0.306184192,25.756696576,1.1053800131546807,NVIDIA RTX A5000,0.0,round_complete,2,0,all_tasks,2026-02-10 15:17:18
0.0,sst2_client,cuda,0.28470272,0.329252864,25.756696576,1.105354171331447,NVIDIA RTX A5000,0.0,training_start,3,0,all_tasks,2026-02-10 15:29:01
0.8188395986581826,sst2_client,cuda,0.284703232,0.306184192,25.756696576,1.1053561591640035,NVIDIA RTX A5000,0.430719253843119,task_complete,3,66477,sst2,2026-02-10 15:31:14
0.0,sst2_client,cuda,0.284709376,0.306184192,25.756696576,1.1053800131546807,NVIDIA RTX A5000,0.0,round_complete,3,0,all_tasks,2026-02-10 15:31:14
0.0,sst2_client,cuda,0.28470272,0.329252864,25.756696576,1.105354171331447,NVIDIA RTX A5000,0.0,training_start,4,0,all_tasks,2026-02-10 15:42:55
0.8238638927749448,sst2_client,cuda,0.284703232,0.306184192,25.756696576,1.1053561591640035,NVIDIA RTX A5000,0.4143367668414302,task_complete,4,66477,sst2,2026-02-10 15:45:11
0.0,sst2_client,cuda,0.284709376,0.306184192,25.756696576,1.1053800131546807,NVIDIA RTX A5000,0.0,round_complete,4,0,all_tasks,2026-02-10 15:45:11
0.0,sst2_client,cuda,0.28470272,0.329252864,25.756696576,1.105354171331447,NVIDIA RTX A5000,0.0,training_start,5,0,all_tasks,2026-02-10 15:57:04
0.8264662966138665,sst2_client,cuda,0.284703232,0.306184192,25.756696576,1.1053561591640035,NVIDIA RTX A5000,0.40428793600319957,task_complete,5,66477,sst2,2026-02-10 15:59:17
