round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,stsb_client,stsb,0.6910997586986781,0.04567058836074924,4249,1613,,0.6910997586986781,0.669767241060413,0.16664421558380127,0.045698922127485275,0.21377305686473846,0.8421909724820095,0.025670330609848843,1500,724,,0.8421909724820095,0.8130645514617404,0.12671425938606262,0.46859714347122816,0.5314028596878052,1500,,,,,0.1653653963572883,0.15314219604023377,2026-02-09 11:13:41
1,sst2_client,sst2,0.9149781127307189,0.22854241359638214,66477,60825,0.9150209821649986,,,,,,0.9380733944954128,0.18820080680941995,872,818,0.938122910427659,,,,0.48394495412844035,0.695352024988297,872,422,0.2647058823529412,0.6585365853658537,0.1656441717791411,,,2026-02-09 11:21:01
1,qqp_client,qqp,0.8570165267535519,0.321288901748029,323415,277172,0.85748776855713,,,,,,0.883356830155079,0.2744858783780703,40431,35715,0.8836616342466543,,,,0.6315698350275778,0.6562216777571651,40431,25535,0.0,0.0,0.0,,,2026-02-09 11:39:54
2,stsb_client,stsb,0.8046968030830214,0.030592196164092512,4249,1969,,0.8046968030830214,0.7889597966518803,0.13465934991836548,0.03062133677303791,0.17498953640460968,0.8699739431229494,0.02216065586841804,1500,794,,0.8699739431229494,0.8527077698552811,0.11565067619085312,0.7820775452528338,0.21792245403925578,1500,,,,,0.6103238571264038,0.5682391296592356,2026-02-09 11:51:02
2,sst2_client,sst2,0.9391819727123667,0.18057138608929968,66477,62434,0.9392073697471318,,,,,,0.9415137614678899,0.20816739487715744,872,821,0.9415054055658119,,,,0.8784403669724771,0.46915707538980955,872,766,0.8855291576673866,0.9382151029748284,0.8384458077709611,,,2026-02-09 11:59:27
2,qqp_client,qqp,0.8846219253899789,0.2713013087469842,323415,286100,0.8850323675977307,,,,,,0.8926813583636318,0.2602401451547868,40431,36092,0.893320668749434,,,,0.7687418070292598,0.5264803797285974,40431,31081,0.7481956264138748,0.6247076812376327,0.9325322234156821,,,2026-02-09 12:17:33
3,stsb_client,stsb,0.855815314946252,0.02317890754543749,4249,2188,,0.855815314946252,0.8442478525162999,0.11803998053073883,0.023155979812145233,0.15217089653015137,0.870079943953685,0.021951686318448568,1500,798,,0.870079943953685,0.8514576492760114,0.11500329524278641,0.8697809309356836,0.13021907031536104,1500,,,,,0.7615571487204469,0.7292653908210099,2026-02-09 12:28:25
3,sst2_client,sst2,0.9523293770777863,0.15204397493291974,66477,63308,0.952342931612345,,,,,,0.9415137614678899,0.22390200714580716,872,821,0.9416078236871364,,,,0.9185779816513762,0.2532302432377404,872,801,0.9264248704663213,0.9390756302521008,0.9141104294478528,,,2026-02-09 12:36:24
3,qqp_client,qqp,0.904228313467217,0.23642088900405422,323415,292441,0.9045639447237905,,,,,,0.8947095050827335,0.27151403988928613,40431,36174,0.8952587929655788,,,,0.8023546288738839,0.431382196229393,40431,32440,0.7841728561782579,0.656016991278413,0.9745569280343717,,,2026-02-09 12:54:48
4,stsb_client,stsb,0.8813459087191677,0.019280476707446956,4249,2352,,0.8813459087191677,0.8701887727849079,0.1078396886587143,0.019295452162623405,0.13890807330608368,0.8792722028400813,0.019602983268572294,1500,832,,0.8792722028400813,0.8594820458500161,0.10948126018047333,0.9175854310884626,0.08241456894079845,1500,,,,,0.8083037547174432,0.7827460602024647,2026-02-09 13:06:03
4,sst2_client,sst2,0.9621372805632024,0.12950916434887563,66477,63960,0.9621462535840852,,,,,,0.9380733944954128,0.22364120751577007,872,818,0.9380733944954128,,,,0.9254587155963303,0.200809642330769,872,807,0.9310710498409331,0.9669603524229075,0.8977505112474438,,,2026-02-09 13:14:03
4,qqp_client,qqp,0.9195677380455451,0.20833100814283517,323415,297402,0.9198244742744811,,,,,,0.8983700625757464,0.2701544478859238,40431,36322,0.8990216725376631,,,,0.8498924092899013,0.341835568022393,40431,34362,0.8250353158243722,0.7230054064979031,0.960593447905478,,,2026-02-09 13:32:33
5,stsb_client,stsb,0.8996947008363665,0.01640781993571585,4249,2482,,0.8996947008363665,0.8887219803489868,0.10042934864759445,0.01642473228275776,0.12815901637077332,0.8746543719084748,0.020812490514103086,1500,814,,0.8746543719084748,0.8570616971007252,0.11247613281011581,0.9348378482296329,0.06516215169429779,1500,,,,,0.828349261734218,0.8056651753117604,2026-02-09 13:43:50
5,sst2_client,sst2,0.9685003835913173,0.11277735838037552,66477,64383,0.9685109778453777,,,,,,0.9415137614678899,0.22692744863558223,872,821,0.9416313615078906,,,,0.9426605504587156,0.1748886362675133,872,822,0.9474789915966386,0.9740820734341252,0.9222903885480572,,,2026-02-09 13:52:10
5,qqp_client,qqp,0.9323160644991729,0.18466568298026614,323415,301525,0.9325172824078067,,,,,,0.8987410650243625,0.27364236473569853,40431,36337,0.8991497965019384,,,,0.8637926343647201,0.3087657713798084,40431,34924,0.8378434086157652,0.7462365591397849,0.9550886143931256,,,2026-02-09 14:10:32
6,stsb_client,stsb,0.9122435489611052,0.01447454847822568,4249,2566,,0.9122435489611052,0.9047133460081284,0.09529174864292145,0.014489198103547096,0.12037108838558197,0.8714486774894429,0.020756847552083273,1500,801,,0.8714486774894429,0.8531627205006643,0.11238816380500793,0.9400608231751088,0.05993917664885521,1500,,,,,0.8275048445328198,0.8078560115290734,2026-02-09 14:22:16
6,sst2_client,sst2,0.9740812611880801,0.09712023193001379,66477,64754,0.9740848311210504,,,,,,0.9415137614678899,0.28449931688162244,872,821,0.9415817510630675,,,,0.9323394495412844,0.1868585660335941,872,813,0.9376979936642028,0.9694323144104804,0.9079754601226994,,,2026-02-09 14:30:27
6,qqp_client,qqp,0.9433235935253467,0.16575354728907407,323415,305085,0.9434778240949895,,,,,,0.899977739853083,0.3251404365939083,40431,36387,0.9007501928280927,,,,0.875046375306077,0.2935944852233744,40431,35379,0.8479778526721233,0.768433682373473,0.9458915145005371,,,2026-02-09 14:48:51
7,stsb_client,stsb,0.9217873101600971,0.012995441294541317,4249,2730,,0.9217873101600971,0.9169865278501877,0.08912968635559082,0.012988441623747349,0.11396684497594833,0.8679210426196305,0.021320922557819397,1500,823,,0.8679210426196305,0.847950268781358,0.11345160007476807,0.942180833880957,0.05781916628281276,1500,,,,,0.8243599156245961,0.8056160705614577,2026-02-09 15:00:25
7,sst2_client,sst2,0.976939392571867,0.08632189085357962,66477,64944,0.9769412904139917,,,,,,0.9426605504587156,0.2523940847424621,872,822,0.9427587699647922,,,,0.9403669724770642,0.18861524841039007,872,820,0.9458333333333334,0.9639065817409767,0.9284253578732107,,,2026-02-09 15:08:35
7,qqp_client,qqp,0.9520121206499389,0.14906499655528488,323415,307895,0.9521309773827767,,,,,,0.901535950137271,0.3449808464475956,40431,36450,0.9017455012298178,,,,0.867824194306349,0.32626875809471384,40431,35087,0.8417155381790179,0.7531538216898124,0.9538802363050484,,,2026-02-09 15:27:00
8,stsb_client,stsb,0.9295346518999809,0.011736800131752134,4249,2801,,0.9295346518999809,0.9245033691816302,0.08535884320735931,0.011742747388780117,0.10836395621299744,0.867351837610762,0.0219524637597831,1500,780,,0.867351837610762,0.8480246961741639,0.11583638191223145,0.9455355567503527,0.054464443504810334,1500,,,,,0.8257681727137729,0.8072398598044144,2026-02-09 15:38:36
8,sst2_client,sst2,0.979857695142681,0.07514546902217902,66477,65138,0.9798608164147624,,,,,,0.9472477064220184,0.2781827140620656,872,826,0.9472764044350052,,,,0.9403669724770642,0.20215418853651768,872,820,0.9456066945606695,0.9678800856531049,0.9243353783231084,,,2026-02-09 15:46:21
8,qqp_client,qqp,0.9596586429200872,0.13336570731894198,323415,310368,0.9597416794713812,,,,,,0.9004476762879968,0.376380852522126,40431,36406,0.9006465297293867,,,,0.8727956271178057,0.3281396677533426,40431,35288,0.8460870866377376,0.7633241535720071,0.9489795918367347,,,2026-02-09 16:05:08
9,stsb_client,stsb,0.9341621384330423,0.011008103382493601,4249,2883,,0.9341621384330423,0.9304764418026295,0.0822685956954956,0.011011223308742046,0.10493437945842743,0.8650504372027918,0.021986223824143884,1500,789,,0.8650504372027918,0.8446469401506573,0.11487027257680893,0.9484908171159255,0.05150918302933375,1500,,,,,0.8284056026453003,0.8082198090686369,2026-02-09 16:16:29
9,sst2_client,sst2,0.982505227371873,0.06664406082639625,66477,65314,0.9825080586911302,,,,,,0.9461009174311926,0.28301947519437154,872,825,0.9461231305171368,,,,0.9415137614678899,0.2111390488982679,872,821,0.9469302809573361,0.9639830508474576,0.9304703476482618,,,2026-02-09 16:24:27
