round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.8210,0.8860,0.6911,3,3,2267.68,1,1,0.4839,0.2647,0.6316,0.0000,0.1654,0.1531,2026-02-09 11:39:55
2,3,0.8762,0.9119,0.8047,3,3,2258.48,2,2,0.8784,0.8855,0.7687,0.7482,0.6103,0.5682,2026-02-09 12:17:33
3,3,0.9041,0.9283,0.8558,3,3,2235.09,3,3,0.9186,0.9264,0.8024,0.7842,0.7616,0.7293,2026-02-09 12:54:49
4,3,0.9210,0.9409,0.8813,3,3,2264.78,4,4,0.9255,0.9311,0.8499,0.8250,0.8083,0.7827,2026-02-09 13:32:33
5,3,0.9335,0.9504,0.8997,3,3,2278.93,5,5,0.9427,0.9475,0.8638,0.8378,0.8283,0.8057,2026-02-09 14:10:32
6,3,0.9432,0.9587,0.9122,3,3,2299.43,6,6,0.9323,0.9377,0.8750,0.8480,0.8275,0.8079,2026-02-09 14:48:52
7,3,0.9502,0.9645,0.9218,3,3,2289.09,7,7,0.9404,0.9458,0.8678,0.8417,0.8244,0.8056,2026-02-09 15:27:01
8,3,0.9564,0.9698,0.9295,3,3,2287.90,8,8,0.9404,0.9456,0.8728,0.8461,0.8258,0.8072,2026-02-09 16:05:09
9,3,0.9609,0.9743,0.9342,3,3,2249.62,9,9,0.9415,0.9469,0.8755,0.8485,0.8284,0.8082,2026-02-09 16:42:38
10,3,0.9656,0.9781,0.9407,3,3,2238.13,10,10,0.9404,0.9461,0.8755,0.8484,0.8283,0.8078,2026-02-09 17:19:56
11,3,0.9679,0.9812,0.9413,3,3,2238.21,11,11,0.9427,0.9482,0.8835,0.8558,0.8210,0.8097,2026-02-09 17:57:15
12,3,0.9699,0.9835,0.9427,3,3,2209.29,12,12,0.9404,0.9457,0.8786,0.8510,0.8224,0.8107,2026-02-09 18:34:04
13,3,0.9710,0.9854,0.9423,3,3,2258.23,13,13,0.9461,0.9514,0.8796,0.8518,0.8239,0.8114,2026-02-09 19:11:42
14,3,0.9734,0.9871,0.9459,3,3,2285.81,14,14,0.9450,0.9505,0.8791,0.8512,0.8220,0.8116,2026-02-09 19:49:48
15,3,0.9736,0.9886,0.9436,3,3,2283.76,15,15,0.9450,0.9504,0.8770,0.8491,0.8223,0.8117,2026-02-09 20:27:52
16,3,0.9754,0.9900,0.9462,3,3,2246.78,16,16,0.9438,0.9493,0.8758,0.8479,0.8212,0.8100,2026-02-09 21:05:19
17,3,0.9769,0.9911,0.9485,3,3,2248.07,17,17,0.9450,0.9504,0.8746,0.8469,0.8266,0.8118,2026-02-09 21:42:47
18,3,0.9772,0.9917,0.9482,3,3,2259.92,18,18,0.9450,0.9503,0.8774,0.8497,0.8243,0.8115,2026-02-09 22:20:27
19,3,0.9786,0.9928,0.9503,3,3,2260.89,19,19,0.9427,0.9482,0.8787,0.8508,0.8250,0.8114,2026-02-09 22:58:07
20,3,0.9781,0.9932,0.9481,3,3,2249.35,20,20,0.9427,0.9483,0.8837,0.8551,0.8250,0.8136,2026-02-09 23:35:37
21,3,0.9785,0.9939,0.9475,3,3,2248.34,21,21,0.9427,0.9483,0.8810,0.8524,0.8246,0.8097,2026-02-10 00:13:05
22,3,0.9789,0.9943,0.9481,3,3,2233.54,22,22,0.9438,0.9493,0.8827,0.8532,0.8222,0.8071,2026-02-10 00:50:19
23,3,0.9794,0.9947,0.9488,3,3,2246.27,23,23,0.9450,0.9505,0.8857,0.8563,0.8203,0.8051,2026-02-10 01:27:45
24,3,0.9791,0.9950,0.9472,3,3,2268.48,24,24,0.9450,0.9505,0.8884,0.8586,0.8159,0.8013,2026-02-10 02:05:33
25,3,0.9796,0.9954,0.9481,3,3,2248.39,25,25,0.9450,0.9504,0.8913,0.8610,0.8125,0.7997,2026-02-10 02:43:02
