accuracy,client_id,device_type,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_memory_total_gb,gpu_memory_utilization_pct,gpu_name,loss,phase,round,samples_processed,task,timestamp
0.0,qqp_client_3,cuda,0.276163072,0.570425344,25.756696576,1.0721991121226617,NVIDIA RTX A5000,0.0,training_start,1,0,all_tasks,2026-02-21 11:16:12
0.9985220931986126,qqp_client_3,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.012596343708112884,task_complete,1,33155,qqp,2026-02-21 11:26:18
0.0,qqp_client_3,cuda,1.359172096,1.44703488,25.756696576,5.276965902787673,NVIDIA RTX A5000,0.0,round_complete,1,0,all_tasks,2026-02-21 11:28:20
0.0,qqp_client_3,cuda,1.093105664,1.44703488,25.756696576,4.243966848677917,NVIDIA RTX A5000,0.0,training_start,2,0,all_tasks,2026-02-21 11:40:13
0.9985220931986126,qqp_client_3,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.012009654008588012,task_complete,2,33155,qqp,2026-02-21 11:50:08
0.0,qqp_client_3,cuda,1.359172096,1.44703488,25.756696576,5.276965902787673,NVIDIA RTX A5000,0.0,round_complete,2,0,all_tasks,2026-02-21 11:51:54
0.0,qqp_client_3,cuda,1.093105664,1.44703488,25.756696576,4.243966848677917,NVIDIA RTX A5000,0.0,training_start,3,0,all_tasks,2026-02-21 12:03:16
0.9985220931986126,qqp_client_3,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.01093987516278119,task_complete,3,33155,qqp,2026-02-21 12:13:20
0.0,qqp_client_3,cuda,1.359172096,1.44703488,25.756696576,5.276965902787673,NVIDIA RTX A5000,0.0,round_complete,3,0,all_tasks,2026-02-21 12:15:07
0.0,qqp_client_3,cuda,1.093105664,1.44703488,25.756696576,4.243966848677917,NVIDIA RTX A5000,0.0,training_start,4,0,all_tasks,2026-02-21 12:26:22
0.9984919318353189,qqp_client_3,cuda,1.093106176,1.18489088,25.756696576,4.243968836510473,NVIDIA RTX A5000,0.00873688935944773,task_complete,4,33155,qqp,2026-02-21 12:36:29
0.0,qqp_client_3,cuda,1.359172096,1.44703488,25.756696576,5.276965902787673,NVIDIA RTX A5000,0.0,round_complete,4,0,all_tasks,2026-02-21 12:38:17
