round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.9254,0.9254,0.0000,3,3,1409.50,1,1,0.0000,0.0000,0.6269,0.0004,0.0000,0.0000,2026-02-21 11:29:02
2,3,0.9385,0.9385,0.0000,3,3,1413.12,2,2,0.0000,0.0000,0.6474,0.1152,0.0000,0.0000,2026-02-21 11:52:36
3,3,0.9502,0.9502,0.0000,3,3,1391.95,3,3,0.0000,0.0000,0.6909,0.3086,0.0000,0.0000,2026-02-21 12:15:48
4,3,0.9603,0.9603,0.0000,3,3,1390.32,4,4,0.0000,0.0000,0.7696,0.5858,0.0000,0.0000,2026-02-21 12:38:58
5,3,0.9678,0.9678,0.0000,3,3,1386.51,5,5,0.0000,0.0000,0.7774,0.6072,0.0000,0.0000,2026-02-21 13:02:04
6,3,0.9755,0.9755,0.0000,3,3,1391.54,6,6,0.0000,0.0000,0.8129,0.7028,0.0000,0.0000,2026-02-21 13:25:16
7,3,0.9806,0.9806,0.0000,3,3,1386.02,7,7,0.0000,0.0000,0.8408,0.7724,0.0000,0.0000,2026-02-21 13:48:22
8,3,0.9849,0.9849,0.0000,3,3,1385.99,8,8,0.0000,0.0000,0.8214,0.7200,0.0000,0.0000,2026-02-21 14:11:28
9,3,0.9879,0.9879,0.0000,3,3,1388.68,9,9,0.0000,0.0000,0.8277,0.7341,0.0000,0.0000,2026-02-21 14:34:37
10,3,0.9901,0.9901,0.0000,3,3,1389.94,10,10,0.0000,0.0000,0.8177,0.7076,0.0000,0.0000,2026-02-21 14:57:47
11,3,0.9920,0.9920,0.0000,3,3,1386.58,11,11,0.0000,0.0000,0.8216,0.7179,0.0000,0.0000,2026-02-21 15:20:53
12,3,0.9941,0.9941,0.0000,3,3,1385.75,12,12,0.0000,0.0000,0.8256,0.7261,0.0000,0.0000,2026-02-21 15:43:59
13,3,0.9950,0.9950,0.0000,3,3,1388.58,13,13,0.0000,0.0000,0.8232,0.7192,0.0000,0.0000,2026-02-21 16:07:07
14,3,0.9957,0.9957,0.0000,3,3,1388.49,14,14,0.0000,0.0000,0.8129,0.6948,0.0000,0.0000,2026-02-21 16:30:16
15,3,0.9967,0.9967,0.0000,3,3,1388.89,15,15,0.0000,0.0000,0.8316,0.7401,0.0000,0.0000,2026-02-21 16:53:25
16,3,0.9969,0.9969,0.0000,3,3,1398.24,16,16,0.0000,0.0000,0.8191,0.7094,0.0000,0.0000,2026-02-21 17:16:43
17,3,0.9977,0.9977,0.0000,3,3,1433.89,17,17,0.0000,0.0000,0.8259,0.7262,0.0000,0.0000,2026-02-21 17:40:37
18,3,0.9979,0.9979,0.0000,3,3,1425.45,18,18,0.0000,0.0000,0.8389,0.7582,0.0000,0.0000,2026-02-21 18:04:22
19,3,0.9981,0.9981,0.0000,3,3,1417.75,19,19,0.0000,0.0000,0.8327,0.7440,0.0000,0.0000,2026-02-21 18:28:00
20,3,0.9981,0.9981,0.0000,3,3,1391.72,20,20,0.0000,0.0000,0.8265,0.7275,0.0000,0.0000,2026-02-21 18:51:12
21,3,0.9984,0.9984,0.0000,3,3,1388.47,21,21,0.0000,0.0000,0.8327,0.7417,0.0000,0.0000,2026-02-21 19:14:20
22,3,0.9985,0.9985,0.0000,3,3,1399.74,22,22,0.0000,0.0000,0.8295,0.7343,0.0000,0.0000,2026-02-21 19:37:40
23,3,0.9986,0.9986,0.0000,3,3,1390.34,23,23,0.0000,0.0000,0.8340,0.7457,0.0000,0.0000,2026-02-21 20:00:50
24,3,0.9985,0.9985,0.0000,3,3,1390.08,24,24,0.0000,0.0000,0.8361,0.7510,0.0000,0.0000,2026-02-21 20:24:01
25,3,0.9988,0.9988,0.0000,3,3,1396.90,25,25,0.0000,0.0000,0.8364,0.7507,0.0000,0.0000,2026-02-21 20:47:17
