round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.8850,0.8850,0.0000,3,3,974.97,1,1,0.5333,0.6956,0.0000,0.0000,0.0000,0.0000,2026-02-22 11:24:50
2,3,0.9577,0.9577,0.0000,3,3,939.49,2,2,0.9278,0.9332,0.0000,0.0000,0.0000,0.0000,2026-02-22 11:40:30
3,3,0.9810,0.9810,0.0000,3,3,936.06,3,3,0.9289,0.9333,0.0000,0.0000,0.0000,0.0000,2026-02-22 11:56:06
4,3,0.9903,0.9903,0.0000,3,3,936.68,4,4,0.9266,0.9310,0.0000,0.0000,0.0000,0.0000,2026-02-22 12:11:43
5,3,0.9939,0.9939,0.0000,3,3,938.40,5,5,0.9278,0.9322,0.0000,0.0000,0.0000,0.0000,2026-02-22 12:27:21
6,3,0.9954,0.9954,0.0000,3,3,941.52,6,6,0.9289,0.9330,0.0000,0.0000,0.0000,0.0000,2026-02-22 12:43:02
7,3,0.9974,0.9974,0.0000,3,3,938.01,7,7,0.9278,0.9326,0.0000,0.0000,0.0000,0.0000,2026-02-22 12:58:41
8,3,0.9980,0.9980,0.0000,3,3,942.90,8,8,0.9255,0.9302,0.0000,0.0000,0.0000,0.0000,2026-02-22 13:14:23
9,3,0.9984,0.9984,0.0000,3,3,945.02,9,9,0.9266,0.9315,0.0000,0.0000,0.0000,0.0000,2026-02-22 13:30:08
10,3,0.9986,0.9986,0.0000,3,3,937.86,10,10,0.9278,0.9328,0.0000,0.0000,0.0000,0.0000,2026-02-22 13:45:46
11,3,0.9992,0.9992,0.0000,3,3,936.91,11,11,0.9323,0.9368,0.0000,0.0000,0.0000,0.0000,2026-02-22 14:01:23
12,3,0.9994,0.9994,0.0000,3,3,943.16,12,12,0.9323,0.9369,0.0000,0.0000,0.0000,0.0000,2026-02-22 14:17:06
13,3,0.9997,0.9997,0.0000,3,3,953.49,13,13,0.9300,0.9348,0.0000,0.0000,0.0000,0.0000,2026-02-22 14:33:00
14,3,0.9998,0.9998,0.0000,3,3,950.51,14,14,0.9278,0.9329,0.0000,0.0000,0.0000,0.0000,2026-02-22 14:48:50
15,3,0.9996,0.9996,0.0000,3,3,952.29,15,15,0.9335,0.9382,0.0000,0.0000,0.0000,0.0000,2026-02-22 15:04:43
16,3,0.9999,0.9999,0.0000,3,3,935.00,16,16,0.9346,0.9392,0.0000,0.0000,0.0000,0.0000,2026-02-22 15:20:18
17,3,0.9999,0.9999,0.0000,3,3,936.37,17,17,0.9335,0.9379,0.0000,0.0000,0.0000,0.0000,2026-02-22 15:35:54
18,3,0.9999,0.9999,0.0000,3,3,939.76,18,18,0.9289,0.9340,0.0000,0.0000,0.0000,0.0000,2026-02-22 15:51:34
19,3,0.9999,0.9999,0.0000,3,3,946.74,19,19,0.9300,0.9348,0.0000,0.0000,0.0000,0.0000,2026-02-22 16:07:21
20,3,0.9999,0.9999,0.0000,3,3,942.73,20,20,0.9278,0.9328,0.0000,0.0000,0.0000,0.0000,2026-02-22 16:23:03
21,3,0.9999,0.9999,0.0000,3,3,942.18,21,21,0.9300,0.9348,0.0000,0.0000,0.0000,0.0000,2026-02-22 16:38:45
22,3,0.9999,0.9999,0.0000,3,3,941.14,22,22,0.9300,0.9348,0.0000,0.0000,0.0000,0.0000,2026-02-22 16:54:27
23,3,0.9999,0.9999,0.0000,3,3,945.61,23,23,0.9266,0.9318,0.0000,0.0000,0.0000,0.0000,2026-02-22 17:10:12
24,3,1.0000,1.0000,0.0000,3,3,940.22,24,24,0.9300,0.9349,0.0000,0.0000,0.0000,0.0000,2026-02-22 17:25:52
25,3,0.9999,0.9999,0.0000,3,3,949.42,25,25,0.9266,0.9319,0.0000,0.0000,0.0000,0.0000,2026-02-22 17:41:42
