round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.2531,0.0000,0.2531,3,3,614.55,1,1,0.0000,0.0000,0.0000,0.0000,-0.0555,-0.0197,2026-02-23 15:13:31
2,3,0.6205,0.0000,0.6205,3,3,600.43,2,2,0.0000,0.0000,0.0000,0.0000,0.5967,0.5753,2026-02-23 15:23:32
3,3,0.7808,0.0000,0.7808,3,3,605.66,3,3,0.0000,0.0000,0.0000,0.0000,0.7025,0.6682,2026-02-23 15:33:38
4,3,0.8365,0.0000,0.8365,3,3,596.90,4,4,0.0000,0.0000,0.0000,0.0000,0.7575,0.7042,2026-02-23 15:43:34
5,3,0.8707,0.0000,0.8707,3,3,618.77,5,5,0.0000,0.0000,0.0000,0.0000,0.7703,0.7242,2026-02-23 15:53:53
6,3,0.8982,0.0000,0.8982,3,3,612.32,6,6,0.0000,0.0000,0.0000,0.0000,0.7737,0.7325,2026-02-23 16:04:05
7,3,0.9187,0.0000,0.9187,3,3,620.94,7,7,0.0000,0.0000,0.0000,0.0000,0.7731,0.7350,2026-02-23 16:14:26
8,3,0.9281,0.0000,0.9281,3,3,593.07,8,8,0.0000,0.0000,0.0000,0.0000,0.7725,0.7419,2026-02-23 16:24:20
9,3,0.9369,0.0000,0.9369,3,3,603.85,9,9,0.0000,0.0000,0.0000,0.0000,0.7753,0.7421,2026-02-23 16:34:23
10,3,0.9505,0.0000,0.9505,3,3,608.07,10,10,0.0000,0.0000,0.0000,0.0000,0.7707,0.7325,2026-02-23 16:44:31
11,3,0.9555,0.0000,0.9555,3,3,601.14,11,11,0.0000,0.0000,0.0000,0.0000,0.7714,0.7294,2026-02-23 16:54:33
12,3,0.9595,0.0000,0.9595,3,3,608.72,12,12,0.0000,0.0000,0.0000,0.0000,0.7686,0.7338,2026-02-23 17:04:41
13,3,0.9637,0.0000,0.9637,3,3,638.01,13,13,0.0000,0.0000,0.0000,0.0000,0.7707,0.7321,2026-02-23 17:15:19
14,3,0.9646,0.0000,0.9646,3,3,677.27,14,14,0.0000,0.0000,0.0000,0.0000,0.7727,0.7376,2026-02-23 17:26:37
15,3,0.9697,0.0000,0.9697,3,3,697.40,15,15,0.0000,0.0000,0.0000,0.0000,0.7723,0.7305,2026-02-23 17:38:14
16,3,0.9702,0.0000,0.9702,3,3,631.83,16,16,0.0000,0.0000,0.0000,0.0000,0.7692,0.7305,2026-02-23 17:48:46
17,3,0.9699,0.0000,0.9699,3,3,615.21,17,17,0.0000,0.0000,0.0000,0.0000,0.7679,0.7296,2026-02-23 17:59:01
18,3,0.9727,0.0000,0.9727,3,3,614.20,18,18,0.0000,0.0000,0.0000,0.0000,0.7666,0.7291,2026-02-23 18:09:15
19,3,0.9746,0.0000,0.9746,3,3,613.11,19,19,0.0000,0.0000,0.0000,0.0000,0.7646,0.7295,2026-02-23 18:19:28
20,3,0.9729,0.0000,0.9729,3,3,616.24,20,20,0.0000,0.0000,0.0000,0.0000,0.7654,0.7276,2026-02-23 18:29:45
21,3,0.9763,0.0000,0.9763,3,3,612.89,21,21,0.0000,0.0000,0.0000,0.0000,0.7655,0.7308,2026-02-23 18:39:57
22,3,0.9739,0.0000,0.9739,3,3,609.20,22,22,0.0000,0.0000,0.0000,0.0000,0.7655,0.7269,2026-02-23 18:50:07
23,3,0.9773,0.0000,0.9773,3,3,610.47,23,23,0.0000,0.0000,0.0000,0.0000,0.7673,0.7308,2026-02-23 19:00:17
24,3,0.9759,0.0000,0.9759,3,3,621.23,24,24,0.0000,0.0000,0.0000,0.0000,0.7660,0.7291,2026-02-23 19:10:38
25,3,0.9765,0.0000,0.9765,3,3,611.04,25,25,0.0000,0.0000,0.0000,0.0000,0.7661,0.7292,2026-02-23 19:20:49
