round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,stsb_client,stsb,0.16209689546079872,0.11474065810329932,4249,957,,0.16209689546079872,0.158735677759218,0.27320569153175034,0.11481091278865733,0.3388375905779306,0.41326559964190407,0.0746651879373066,1500,378,,0.41326559964190407,0.39501071548366884,0.22702640295028687,0.6116004020217831,0.38839959979057315,1500,,,,,-0.017034080646300503,-0.021908883485199263,2026-02-01 16:54:07
1,sst2_client,sst2,0.7631060366743385,0.4883256389892847,66477,50729,0.762882387232206,,,,,,0.7981651376146789,0.44590474255041246,872,696,0.7977822662416146,,,,0.4461009174311927,0.7310048374560995,872,389,0.4145454545454545,0.5089285714285714,0.3496932515337423,,,2026-02-01 16:55:35
1,qqp_client,qqp,0.707620240248597,0.5468304456454277,323415,228855,0.6992396994490055,,,,,,0.7338923103559151,0.5149023006314527,40431,29672,0.7359895823789713,,,,0.557023076352304,0.6925857847595677,40431,22521,0.28268183274591474,0.35037728355837966,0.2369092373791622,,,2026-02-01 17:02:20
2,stsb_client,stsb,0.42415635292515025,0.07446999189660962,4249,1108,,0.42415635292515025,0.40764583148383404,0.22277254050662865,0.07457338781861968,0.2730812842701229,0.551966436770126,0.06064916763732091,1500,411,,0.551966436770126,0.5339030186563802,0.2028418779373169,0.925246538087319,0.07475346223513285,1500,,,,,0.4132656005478574,0.39501071548366884,2026-02-01 17:02:43
2,sst2_client,sst2,0.7806609804894926,0.46597496208462474,66477,51896,0.7807248237890428,,,,,,0.8027522935779816,0.4409023398926499,872,700,0.8031674194907321,,,,0.7981651376146789,0.44590474214028875,872,696,0.8222222222222222,0.812375249500998,0.8323108384458078,,,2026-02-01 17:04:12
2,qqp_client,qqp,0.7154553746734073,0.5388977353479724,323415,231389,0.7095417966525793,,,,,,0.7321856990922807,0.5172818956088067,40431,29603,0.7357881380221185,,,,0.7338923103559151,0.5148974619193085,40431,29672,0.6540403228399628,0.6276615441584892,0.682733619763695,,,2026-02-01 17:11:00
3,stsb_client,stsb,0.5012827262926316,0.06609902607760203,4249,1136,,0.5012827262926316,0.4793744492875622,0.21142826145199217,0.06612370308205692,0.25714529566386574,0.5927694296786559,0.05643512412628278,1500,444,,0.5927694296786559,0.5687321609948877,0.19521667063236237,0.9394013115028608,0.06059868858754635,1500,,,,,0.5519664340985548,0.5339030186563802,2026-02-01 17:11:21
3,sst2_client,sst2,0.7836394542473336,0.4640685204259612,66477,52094,0.7837326516892318,,,,,,0.7970183486238532,0.4414389591424837,872,695,0.7959475899789569,,,,0.8027522935779816,0.4409023457027357,872,700,0.8208333333333334,0.8365180467091295,0.8057259713701431,,,2026-02-01 17:12:51
3,qqp_client,qqp,0.7153935346226984,0.5386054380840966,323415,231369,0.7096481296906137,,,,,,0.7233063738220672,0.545075370114537,40431,29244,0.7281820255085851,,,,0.7321856990922807,0.5172894475901202,40431,29603,0.6661528026145404,0.6159767362299008,0.7252282491944146,,,2026-02-01 17:19:34
4,stsb_client,stsb,0.5355875836726588,0.062279667414696815,4249,1253,,0.5355875836726588,0.5187141982246631,0.20351827909988474,0.062344518364102625,0.24968884309096118,0.6079236435527794,0.05441181024318521,1500,430,,0.6079236435527794,0.5781866606957592,0.19097281992435455,0.9435586195435909,0.05644138065973918,1500,,,,,0.5927694290685876,0.5687321609948877,2026-02-01 17:19:55
4,sst2_client,sst2,0.7836544970440904,0.4617724430349473,66477,52095,0.783702458830272,,,,,,0.805045871559633,0.4326459710751105,872,702,0.8051519294337146,,,,0.7970183486238532,0.441438960099439,872,695,0.824230387288977,0.8011583011583011,0.8486707566462167,,,2026-02-01 17:21:24
4,qqp_client,qqp,0.7159717390968261,0.5373842070931926,323415,231556,0.7103562968943073,,,,,,0.7298607504142861,0.5243291441066655,40431,29509,0.7340328370236032,,,,0.7233063738220672,0.5450767727058707,40431,29244,0.6805448470830121,0.5921582269045371,0.7999462943071965,,,2026-02-01 17:28:07
5,stsb_client,stsb,0.5524174105171938,0.06062425184413735,4249,1254,,0.5524174105171938,0.5323092574794964,0.2003205575386032,0.060485485624314494,0.24593797109091245,0.6280726817235528,0.05325451632961631,1500,469,,0.6280726817235528,0.594489859471927,0.18785066902637482,0.9456216438379156,0.054378356263041494,1500,,,,,0.6079236454153049,0.5781866606957592,2026-02-01 17:28:27
5,sst2_client,sst2,0.7835341546700363,0.4618724590743456,66477,52087,0.7835754955934828,,,,,,0.8073394495412844,0.432330238709756,872,704,0.8072838684443469,,,,0.805045871559633,0.4326459682725985,872,702,0.8254620123203286,0.8288659793814434,0.8220858895705522,,,2026-02-01 17:29:57
5,qqp_client,qqp,0.7157367469041325,0.5381699463159372,323415,231480,0.7099652276601959,,,,,,0.7342138458113824,0.5151078078437332,40431,29685,0.7375374495253033,,,,0.7298607504142861,0.524326766070344,40431,29509,0.6704682597151823,0.6088886453309952,0.7459049409237379,,,2026-02-01 17:36:39
6,stsb_client,stsb,0.574065263764481,0.05792661477186668,4249,1273,,0.574065263764481,0.5493448354008786,0.19639824768543684,0.0580167870445939,0.24086674125871738,0.6418548640748036,0.05055348985541137,1500,461,,0.6418548640748036,0.610773074025645,0.18372026085853577,0.946931517963122,0.053068481932083765,1500,,,,,0.6280726808729512,0.594489859471927,2026-02-01 17:37:01
6,sst2_client,sst2,0.7841208237435504,0.460442499036393,66477,52126,0.7841333215271895,,,,,,0.8061926605504587,0.4323920235721343,872,703,0.8063231256588683,,,,0.8073394495412844,0.4323302363173677,872,704,0.8285714285714286,0.8268839103869654,0.8302658486707567,,,2026-02-01 17:38:31
6,qqp_client,qqp,0.716160351251488,0.536769050304105,323415,231617,0.7104622258891061,,,,,,0.7279562711780564,0.5314816838675069,40431,29432,0.7325723381764594,,,,0.7342138458113824,0.5150995507420977,40431,29685,0.665858208955224,0.6201923076923077,0.7187835660580022,,,2026-02-01 17:45:12
7,stsb_client,stsb,0.5804695045354646,0.05732820165029349,4249,1289,,0.5804695045354646,0.5559950950486281,0.1943747290706222,0.057421513593742375,0.23962786481071516,0.6491322919954048,0.049536754897339864,1500,480,,0.6491322919954048,0.614420278246232,0.18239450454711914,0.9495618320236054,0.0504381680637598,1500,,,,,0.6418548654846508,0.610773074025645,2026-02-01 17:45:34
7,sst2_client,sst2,0.7846623644267943,0.46044540635560033,66477,52162,0.7847458875650868,,,,,,0.8061926605504587,0.4305746066597624,872,703,0.8055746184305345,,,,0.8061926605504587,0.4323920249733903,872,703,0.8263103802672148,0.8305785123966942,0.8220858895705522,,,2026-02-01 17:47:03
7,qqp_client,qqp,0.7169611799081675,0.5364893899431277,323415,231876,0.7113412587578858,,,,,,0.731245826222453,0.5227898941723593,40431,29565,0.735418992404127,,,,0.7279562711780564,0.5314811761776518,40431,29432,0.6763762615117545,0.602063799696192,0.7716165413533834,,,2026-02-01 17:53:45
8,stsb_client,stsb,0.5922663911482056,0.05595659066509819,4249,1324,,0.5922663911482056,0.5660532390505731,0.19162458906800192,0.05598532040409912,0.23661217298376497,0.6542262303013281,0.049785943186663566,1500,483,,0.6542262303013281,0.6214138771680687,0.1823103427886963,0.9503508663113477,0.049649134258429206,1500,,,,,0.6491322926946772,0.6144202777000805,2026-02-01 17:54:07
8,sst2_client,sst2,0.7848278351911188,0.4607067292657032,66477,52173,0.7848563581541411,,,,,,0.7993119266055045,0.42979134462021906,872,697,0.799545224236016,,,,0.8061926605504587,0.4305746054977452,872,703,0.8304914744232698,0.8149606299212598,0.8466257668711656,,,2026-02-01 17:55:36
8,qqp_client,qqp,0.716775659756041,0.5363809175154084,323415,231816,0.7110456753314207,,,,,,0.7317899631470901,0.5228682258205071,40431,29587,0.7358768689413434,,,,0.731245826222453,0.5227891172377002,40431,29565,0.6725135623869801,0.6102056442791511,0.7489930182599356,,,2026-02-01 18:02:18
9,stsb_client,stsb,0.5956838670036658,0.05554256410796644,4249,1300,,0.5956838670036658,0.5747909740102435,0.1916420630228224,0.055628908374965494,0.23585781389423055,0.6531486026649265,0.049528209683287173,1500,467,,0.6531486026649265,0.6189450090325407,0.18149316310882568,0.95016923783061,0.04983076230188211,1500,,,,,0.6542262312111807,0.6214138771680687,2026-02-01 18:02:40
9,sst2_client,sst2,0.7849331347684162,0.46012519355885745,66477,52180,0.7849892046004954,,,,,,0.8061926605504587,0.42973113456450474,872,703,0.8062725331360876,,,,0.7993119266055045,0.42979134243289263,872,697,0.8194014447884417,0.8270833333333333,0.8118609406952966,,,2026-02-01 18:04:09
9,qqp_client,qqp,0.7171281480450814,0.5360211044087172,323415,231930,0.7115025239285627,,,,,,0.7372560658900349,0.503562309814976,40431,29808,0.7365270522447019,,,,0.7317899631470901,0.5228749076693433,40431,29587,0.6719704761328574,0.6115515912344456,0.7456364124597207,,,2026-02-01 18:10:54
10,stsb_client,stsb,0.6056462240959354,0.05445575555856515,4249,1287,,0.6056462240959354,0.5819912987028785,0.19014520130290524,0.05453089944383898,0.23351852055851796,0.6616967998425087,0.04816154138918253,1500,479,,0.6616967998425087,0.6283231035994488,0.17896030843257904,0.9503878785478974,0.049612121179699896,1500,,,,,0.6531486026130043,0.6189450090325407,2026-02-01 18:11:14
10,sst2_client,sst2,0.7869639123305805,0.45687437410792503,66477,52315,0.787037695358991,,,,,,0.8130733944954128,0.4323047593646093,872,709,0.8125489249754364,,,,0.8061926605504587,0.42973113381261124,872,703,0.8266666666666668,0.8292181069958847,0.8241308793456033,,,2026-02-01 18:12:46
10,qqp_client,qqp,0.7173816922529876,0.5357126219114575,323415,232012,0.7117325488550497,,,,,,0.7336449753901709,0.516459460725155,40431,29662,0.7371882064447736,,,,0.7372560658900349,0.5035611235160176,40431,29808,0.6388086090238346,0.6471925594212883,0.6306390977443609,,,2026-02-01 18:19:29
11,stsb_client,stsb,0.6023476270412568,0.054873654888452666,4249,1328,,0.6023476270412568,0.5783309680041542,0.1907243029146275,0.054928199663212086,0.2343676591665584,0.6638214071763467,0.0479739943192281,1500,474,,0.6638214071763467,0.6294640439947414,0.17848213016986847,0.951755311076334,0.04824468884368738,1500,,,,,0.6616968014712952,0.6283231035994488,2026-02-01 18:19:49
11,sst2_client,sst2,0.7865727996149044,0.4589928499587714,66477,52289,0.7866128299592908,,,,,,0.801605504587156,0.42953917421742316,872,699,0.8021081424171922,,,,0.8130733944954128,0.4323047563570355,872,709,0.8361809045226131,0.8221343873517787,0.8507157464212679,,,2026-02-01 18:21:20
11,qqp_client,qqp,0.7172827481718534,0.5360329557346311,323415,231980,0.7114539347702424,,,,,,0.7313694937053251,0.5247741361846318,40431,29570,0.7357027866118864,,,,0.7336449753901709,0.5164618672918817,40431,29662,0.6675105745777887,0.6179614703024067,0.7256981740064447,,,2026-02-01 18:28:03
12,stsb_client,stsb,0.6082508024942107,0.05448697862754527,4249,1330,,0.6082508024942107,0.5823353696101006,0.18939702261141095,0.05424966829307769,0.2329155819027093,0.6706705375235257,0.04718914110352226,1500,465,,0.6706705375235257,0.638475047682008,0.1774200052022934,0.9520278185241394,0.04797218156357606,1500,,,,,0.6638214089075984,0.6294640439947414,2026-02-01 18:28:23
12,sst2_client,sst2,0.7866179280051747,0.45979555349586315,66477,52292,0.7866561228780778,,,,,,0.8027522935779816,0.4296221232058805,872,700,0.8029100109918035,,,,0.801605504587156,0.42953917175668094,872,699,0.8188481675392669,0.8390557939914163,0.7995910020449898,,,2026-02-01 18:29:55
12,qqp_client,qqp,0.7173476802250978,0.5353606492828322,323415,232001,0.7115243830222538,,,,,,0.7387648091810739,0.5043620276454649,40431,29869,0.7395174453007,,,,0.7313694937053251,0.5247648987989211,40431,29570,0.6754519647392799,0.6086488233076633,0.7587271750805585,,,2026-02-01 18:36:37
13,stsb_client,stsb,0.6162569540026853,0.05341825622336981,4249,1317,,0.6162569540026853,0.5887263282825204,0.18768144406643048,0.05334634414586811,0.23096827519351681,0.6684207065336658,0.04836123060692656,1500,481,,0.6684207065336658,0.635552436992892,0.17960217595100403,0.9527253324792968,0.04727466734498739,1500,,,,,0.6706705387358365,0.638475047682008,2026-02-01 18:36:59
13,sst2_client,sst2,0.7861064729154444,0.459103759842175,66477,52258,0.7861513405587874,,,,,,0.8038990825688074,0.43078932624071015,872,701,0.803979900392136,,,,0.8027522935779816,0.4296221240261279,872,700,0.823045267489712,0.8281573498964804,0.8179959100204499,,,2026-02-01 18:38:30
13,qqp_client,qqp,0.7168282237991435,0.5356105621183073,323415,231833,0.7110557510555197,,,,,,0.738591674705053,0.5083910946287937,40431,29862,0.7402906075061618,,,,0.7387648091810739,0.5043624178371565,40431,29869,0.6505426151402859,0.641375260960334,0.6599758324382384,,,2026-02-01 18:45:13
14,stsb_client,stsb,0.622229480748204,0.05270813694013689,4249,1305,,0.622229480748204,0.603121453924381,0.18733819852791117,0.052644020015773216,0.22944284694837017,0.6678238565370825,0.047499646930559046,1500,485,,0.6678238565370825,0.6338540289549448,0.1772337257862091,0.951533742779385,0.0484662576019764,1500,,,,,0.668420708358674,0.635552436992892,2026-02-01 18:45:34
14,sst2_client,sst2,0.7869488695338237,0.45804726948600744,66477,52314,0.7869942868338157,,,,,,0.805045871559633,0.4299761082190986,872,702,0.8051519294337146,,,,0.8038990825688074,0.4307893254204628,872,701,0.8246153846153845,0.8271604938271605,0.8220858895705522,,,2026-02-01 18:47:05
14,qqp_client,qqp,0.7170910440146561,0.5352557370916547,323415,231918,0.7114774581673313,,,,,,0.7314436941950484,0.5224692328753069,40431,29573,0.7356991328326192,,,,0.738591674705053,0.5083942766880223,40431,29862,0.6572623796089113,0.6357192146038517,0.6803168635875403,,,2026-02-01 18:53:48
15,stsb_client,stsb,0.6178156217065491,0.05307353753596544,4249,1288,,0.6178156217065491,0.5918794001754464,0.18812843768163257,0.05314877750392621,0.23054018631016635,0.6751612722421717,0.04704488611017215,1500,476,,0.6751612722421717,0.6437260014498071,0.1768287569284439,0.9524677532963497,0.04753224683304628,1500,,,,,0.6678238578753748,0.6338540289549448,2026-02-01 18:54:09
15,sst2_client,sst2,0.7845871504430104,0.4607140974178641,66477,52157,0.7846319694295296,,,,,,0.805045871559633,0.4296359071217546,872,702,0.8051519294337146,,,,0.805045871559633,0.4299761089026381,872,702,0.8254620123203286,0.8288659793814434,0.8220858895705522,,,2026-02-01 18:55:40
15,qqp_client,qqp,0.7177465485521698,0.5343760014642611,323415,232130,0.7119523127754346,,,,,,0.7329524374860874,0.5201171869990686,40431,29634,0.7369563677061046,,,,0.7314436941950484,0.5224675428219858,40431,29573,0.6741687672548314,0.6095615367918386,0.7540950590762621,,,2026-02-01 19:02:23
16,stsb_client,stsb,0.6235541046074913,0.052398282965414114,4249,1364,,0.6235541046074913,0.5998252490808512,0.18586517071448289,0.05248342130493079,0.2290926042126432,0.6757815067923562,0.046627991218516164,1500,491,,0.6757815067923562,0.6430502727910673,0.17572623491287231,0.9531870186300049,0.04681298151860634,1500,,,,,0.6751612775445732,0.6437260014498071,2026-02-01 19:02:43
16,sst2_client,sst2,0.7868134843630128,0.45838136717802636,66477,52305,0.7868276867085982,,,,,,0.7970183486238532,0.4293660833201277,872,695,0.7972543125129992,,,,0.805045871559633,0.4296359091723731,872,702,0.8254620123203286,0.8288659793814434,0.8220858895705522,,,2026-02-01 19:04:14
16,qqp_client,qqp,0.717390968260594,0.5353545253867814,323415,232015,0.7116768295781901,,,,,,0.7316910291607924,0.523853588871419,40431,29583,0.7359470764441203,,,,0.7329524374860874,0.5201212784742514,40431,29634,0.6724310548830437,0.613451425408248,0.7439581095596133,,,2026-02-01 19:10:58
17,stsb_client,stsb,0.6172008069282641,0.05323888470254194,4249,1363,,0.6172008069282641,0.5923572063836536,0.18677705340525785,0.05322567693201363,0.23070690698809526,0.6765064528832416,0.0477776227300947,1500,484,,0.6765064528832416,0.6457872145388049,0.17868052423000336,0.9533549716893479,0.04664502853900194,1500,,,,,0.6757815043703491,0.6430502727910673,2026-02-01 19:11:18
17,sst2_client,sst2,0.7849331347684162,0.45864724335086976,66477,52180,0.7849259161014168,,,,,,0.7993119266055045,0.4310225495778093,872,697,0.7996761575953869,,,,0.7970183486238532,0.429366084277083,872,695,0.8173374613003095,0.825,0.8098159509202454,,,2026-02-01 19:12:49
17,qqp_client,qqp,0.7170724919994435,0.5348511445568603,323415,231912,0.7114231914146877,,,,,,0.7318888971333878,0.5218496408444716,40431,29591,0.7360346808897665,,,,0.7316910291607924,0.5238584207784077,40431,29583,0.6745469818792752,0.6097852028639618,0.7546992481203008,,,2026-02-01 19:19:33
18,stsb_client,stsb,0.6227853480520288,0.052496991816363685,4249,1304,,0.6227853480520288,0.6032044492534024,0.18695382657685533,0.052581740964943516,0.22930708878040276,0.6766717262455383,0.04655266097409928,1500,483,,0.6766717262455383,0.6451472532642146,0.17610999941825867,0.9521572534096004,0.04784274667998155,1500,,,,,0.6765064522831088,0.6457872145388049,2026-02-01 19:19:54
18,sst2_client,sst2,0.7865577568181477,0.4582224049956216,66477,52288,0.7866220367263598,,,,,,0.801605504587156,0.43136225182802307,872,699,0.8020411310038951,,,,0.7993119266055045,0.4310225495094553,872,697,0.818276220145379,0.8312236286919831,0.8057259713701431,,,2026-02-01 19:21:24
18,qqp_client,qqp,0.7178856886662647,0.5348645499259514,323415,232175,0.7122244552252611,,,,,,0.7296628824416908,0.5263339187515008,40431,29501,0.7340273569624417,,,,0.7318888971333878,0.5218462560863311,40431,29591,0.6730212355212356,0.6110867659947414,0.7489258861439313,,,2026-02-01 19:28:08
19,stsb_client,stsb,0.6268356400569168,0.05214092815014765,4249,1291,,0.6268356400569168,0.6060993707632872,0.1865892913569511,0.052129582260636846,0.22831903613285698,0.6778409639296499,0.04659236292850147,1500,481,,0.6778409639296499,0.6467662492828764,0.17586877942085266,0.9533471834621864,0.04665281670540571,1500,,,,,0.6766717267703946,0.6451472532642146,2026-02-01 19:28:28
19,sst2_client,sst2,0.785143733923011,0.4584909898512487,66477,52194,0.7852724542242805,,,,,,0.8004587155963303,0.4307848743479186,872,698,0.8006182669335685,,,,0.801605504587156,0.4313622471457774,872,699,0.8196037539103233,0.8361702127659575,0.803680981595092,,,2026-02-01 19:29:59
19,qqp_client,qqp,0.7175641204025788,0.5348654880384014,323415,232071,0.7117877304820442,,,,,,0.7363656600133561,0.509046328454903,40431,29772,0.7385601047456055,,,,0.7296628824416908,0.5263318123637234,40431,29501,0.673458413001912,0.6067506459948321,0.7566460794844253,,,2026-02-01 19:36:42
