round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.5443,0.7354,0.1621,3,3,516.96,1,1,0.4461,0.4145,0.5570,0.2827,-0.0170,-0.0219,2026-02-01 17:02:21
2,3,0.6401,0.7481,0.4242,3,3,520.97,2,2,0.7982,0.8222,0.7339,0.6540,0.4133,0.3950,2026-02-01 17:11:02
3,3,0.6668,0.7495,0.5013,3,3,512.93,3,3,0.8028,0.8208,0.7322,0.6662,0.5520,0.5339,2026-02-01 17:19:35
4,3,0.6784,0.7498,0.5356,3,3,512.96,4,4,0.7970,0.8242,0.7233,0.6805,0.5928,0.5687,2026-02-01 17:28:08
5,3,0.6839,0.7496,0.5524,3,3,512.97,5,5,0.8050,0.8255,0.7299,0.6705,0.6079,0.5782,2026-02-01 17:36:41
6,3,0.6914,0.7501,0.5741,3,3,512.93,6,6,0.8073,0.8286,0.7342,0.6659,0.6281,0.5945,2026-02-01 17:45:13
7,3,0.6940,0.7508,0.5805,3,3,513.01,7,7,0.8062,0.8263,0.7280,0.6764,0.6419,0.6108,2026-02-01 17:53:46
8,3,0.6980,0.7508,0.5923,3,3,512.87,8,8,0.8062,0.8305,0.7312,0.6725,0.6491,0.6144,2026-02-01 18:02:19
9,3,0.6992,0.7510,0.5957,3,3,514.94,9,9,0.7993,0.8194,0.7318,0.6720,0.6542,0.6214,2026-02-01 18:10:54
10,3,0.7033,0.7522,0.6056,3,3,515.01,10,10,0.8062,0.8267,0.7373,0.6388,0.6531,0.6189,2026-02-01 18:19:29
11,3,0.7021,0.7519,0.6023,3,3,514.87,11,11,0.8131,0.8362,0.7336,0.6675,0.6617,0.6283,2026-02-01 18:28:04
12,3,0.7041,0.7520,0.6083,3,3,514.88,12,12,0.8016,0.8188,0.7314,0.6755,0.6638,0.6295,2026-02-01 18:36:39
13,3,0.7064,0.7515,0.6163,3,3,514.95,13,13,0.8028,0.8230,0.7388,0.6505,0.6707,0.6385,2026-02-01 18:45:14
14,3,0.7088,0.7520,0.6222,3,3,514.90,14,14,0.8039,0.8246,0.7386,0.6573,0.6684,0.6356,2026-02-01 18:53:49
15,3,0.7067,0.7512,0.6178,3,3,514.93,15,15,0.8050,0.8255,0.7314,0.6742,0.6678,0.6339,2026-02-01 19:02:24
16,3,0.7093,0.7521,0.6236,3,3,514.96,16,16,0.8050,0.8255,0.7330,0.6724,0.6752,0.6437,2026-02-01 19:10:59
17,3,0.7064,0.7510,0.6172,3,3,514.94,17,17,0.7970,0.8173,0.7317,0.6745,0.6758,0.6431,2026-02-01 19:19:34
18,3,0.7091,0.7522,0.6228,3,3,514.95,18,18,0.7993,0.8183,0.7319,0.6730,0.6765,0.6458,2026-02-01 19:28:09
19,3,0.7098,0.7514,0.6268,3,3,514.87,19,19,0.8016,0.8196,0.7297,0.6735,0.6767,0.6451,2026-02-01 19:36:44
20,3,0.7099,0.7519,0.6261,3,3,514.88,20,20,0.8005,0.8210,0.7364,0.6582,0.6778,0.6468,2026-02-01 19:45:18
21,3,0.7109,0.7515,0.6296,3,3,514.99,21,21,0.8016,0.8222,0.7333,0.6683,0.6768,0.6438,2026-02-01 19:53:53
22,3,0.7126,0.7526,0.6326,3,3,516.95,22,22,0.8073,0.8296,0.7357,0.6611,0.6788,0.6459,2026-02-01 20:02:30
23,3,0.7094,0.7523,0.6235,3,3,519.04,23,23,0.8050,0.8258,0.7346,0.6676,0.6792,0.6466,2026-02-01 20:11:09
24,3,0.7099,0.7526,0.6246,3,3,519.09,24,24,0.8062,0.8274,0.7328,0.6720,0.6823,0.6512,2026-02-01 20:19:48
25,3,0.7139,0.7519,0.6379,3,3,520.99,25,25,0.8039,0.8243,0.7344,0.6675,0.6811,0.6504,2026-02-01 20:28:29
26,3,0.7108,0.7523,0.6277,3,3,531.07,26,26,0.8005,0.8214,0.7330,0.6716,0.6813,0.6507,2026-02-01 20:37:21
27,3,0.7101,0.7507,0.6289,3,3,531.15,27,27,0.8028,0.8230,0.7338,0.6689,0.6819,0.6515,2026-02-01 20:46:12
28,3,0.7103,0.7526,0.6257,3,3,522.91,28,28,0.7982,0.8182,0.7362,0.6616,0.6817,0.6509,2026-02-01 20:54:55
29,3,0.7107,0.7520,0.6280,3,3,517.06,29,29,0.7970,0.8170,0.7342,0.6671,0.6822,0.6514,2026-02-01 21:03:32
30,3,0.7134,0.7527,0.6347,3,3,517.11,30,30,0.7993,0.8198,0.7330,0.6735,0.6813,0.6498,2026-02-01 21:12:09
