round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,stsb_client,stsb,0.6084380909227746,0.060082085333025795,4249,1414,,0.6084380909227746,0.5955947677558149,0.19024301068403596,0.060175707474494654,0.2453073734613264,0.8177932080279305,0.030685790876382367,1500,709,,0.8177932080279305,0.7843395617478816,0.13533005118370056,0,1.0125758992830913,1500,,,,,-0.061001305636290463,-0.06193573135037868,2026-02-02 20:36:47
1,sst2_client,sst2,0.8923838320020459,0.3144478176870057,66477,59323,0.8924726540632824,,,,,,0.930045871559633,0.24309800304162718,872,811,0.9301994739377896,,,,0.4896788990825688,0.7353460250097678,872,427,0.310077519379845,0.6410256410256411,0.20449897750511248,,,2026-02-02 20:43:56
1,qqp_client,qqp,0.8464418780823401,0.3605436496579081,323415,273752,0.8468886441334466,,,,,,0.876851920556009,0.3026814735096176,40431,35452,0.8777278083210789,,,,0.6244465880141475,0.6625693894589004,40431,25247,0.05958132045088567,0.3848,0.032290547798066595,,,2026-02-02 21:03:31
2,stsb_client,stsb,0.7778022926733205,0.03553044988731749,4249,1761,,0.7778022926733205,0.7557619350632289,0.148785068825092,0.035527120740223385,0.18848639404536177,0.8614277436231609,0.028917117859236896,1500,687,,0.8614277436231609,0.8358051991979305,0.13466961681842804,0.8684014983307881,0.1315985017915567,1500,,,,,0.44475901995118744,0.44418335022588395,2026-02-02 21:07:06
2,sst2_client,sst2,0.920137792018292,0.2688747008587836,66477,61168,0.9201869088563911,,,,,,0.930045871559633,0.2853838480221868,872,811,0.9299252989519381,,,,0.7522935779816514,0.49804610287377593,872,656,0.71875,0.989247311827957,0.5644171779141104,,,2026-02-02 21:14:23
2,qqp_client,qqp,0.8727424516488104,0.3266635828639111,323415,282258,0.8731693345546979,,,,,,0.880883480497638,0.32080110436828096,40431,35615,0.8819567571541036,,,,0.7787588731418961,0.4944893971385186,40431,31486,0.7609247627956702,0.6321328655801768,0.95562567132116,,,2026-02-02 21:34:07
3,stsb_client,stsb,0.8096221305813069,0.03097438290312578,4249,1865,,0.8096221305813069,0.7922594259193404,0.13810572766291868,0.031022069155999737,0.1761308296579555,0.8641972559185132,0.02266813460440236,1500,796,,0.8641972559185132,0.8366820318670392,0.11633537709712982,0.9390135568536621,0.060986443425218265,1500,,,,,0.7249864514380124,0.7195053601936258,2026-02-02 21:37:40
3,sst2_client,sst2,0.9368202536215533,0.23459777541005553,66477,62277,0.93684860848173,,,,,,0.930045871559633,0.27821829077603993,872,811,0.9301431646834529,,,,0.8669724770642202,0.2981332072971064,872,756,0.8699551569506726,0.9627791563275434,0.7934560327198364,,,2026-02-02 21:44:56
3,qqp_client,qqp,0.8896000494720405,0.30768767426765825,323415,287710,0.8899749797520979,,,,,,0.8847666394598205,0.34188533044534386,40431,35772,0.8853342438070185,,,,0.8272859934208899,0.3843899957786103,40431,33448,0.8039419378386725,0.6909415568746682,0.9611305048335124,,,2026-02-02 22:04:22
4,stsb_client,stsb,0.8301503568037236,0.027995668900465325,4249,1956,,0.8301503568037236,0.815694236393013,0.13220992226275918,0.02803472247766434,0.16743572640767065,0.868479965367968,0.02208367909770459,1500,785,,0.868479965367968,0.8439161869523307,0.11534857004880905,0.9538989459630062,0.04610105392088493,1500,,,,,0.7870049608126986,0.7714100384851807,2026-02-02 22:07:56
4,sst2_client,sst2,0.9471245693999428,0.20603840364045783,66477,62962,0.9471492509078032,,,,,,0.9323394495412844,0.2889077313687041,872,813,0.9322457229453057,,,,0.8761467889908257,0.2821146367681683,872,764,0.8794642857142857,0.9680589680589681,0.8057259713701431,,,2026-02-02 22:15:10
4,qqp_client,qqp,0.9036748450133729,0.29188686080560505,323415,292262,0.9039948425550356,,,,,,0.8929039598328016,0.3088771672440049,40431,36101,0.893244964102522,,,,0.853973436224679,0.3304095381393077,40431,34527,0.8274491465980828,0.732712215320911,0.9503222341568206,,,2026-02-02 22:34:48
5,stsb_client,stsb,0.8487040972610967,0.02493385998558435,4249,2033,,0.8487040972610967,0.8333961786962996,0.12469004870996898,0.024935724612858118,0.15791049557536738,0.868692653101899,0.02349365857291095,1500,752,,0.868692653101899,0.8426381574954478,0.11955580860376358,0.9654066294690568,0.03459337041527033,1500,,,,,0.7914930580924265,0.7729868544858914,2026-02-02 22:38:21
5,sst2_client,sst2,0.9547813529491403,0.18388989818906074,66477,63471,0.9547909153886457,,,,,,0.9346330275229358,0.31528663154439934,872,815,0.9346236885735544,,,,0.9128440366972477,0.22216731135588175,872,796,0.9184549356223176,0.9661399548532731,0.8752556237218814,,,2026-02-02 22:45:35
5,qqp_client,qqp,0.915705826878778,0.2751660216529389,323415,296153,0.9159580084558357,,,,,,0.8955009769731147,0.40345527624474625,40431,36206,0.8960071196333355,,,,0.8680220622789444,0.30744087221059696,40431,35095,0.8403733397152089,0.7579322253399525,0.942937701396348,,,2026-02-02 23:04:59
6,stsb_client,stsb,0.8598851908079078,0.023432039785289897,4249,2183,,0.8598851908079078,0.8475731160821363,0.11935031623267221,0.02326695515989294,0.15253509484670386,0.8706665031052692,0.024130582816879007,1500,770,,0.8706665031052692,0.8447345739551944,0.11989793181419373,0.9636775523075758,0.03632244747877121,1500,,,,,0.7890585068537768,0.7722965536808719,2026-02-02 23:08:31
6,sst2_client,sst2,0.9612046271642823,0.16251466470501844,66477,63898,0.9612152657119103,,,,,,0.9288990825688074,0.34528993314277345,872,810,0.9291139094613703,,,,0.9162844036697247,0.24555255993858938,872,799,0.9217577706323686,0.9684684684684685,0.8793456032719836,,,2026-02-02 23:15:42
6,qqp_client,qqp,0.9263639596184469,0.2576189305083582,323415,299600,0.9265621877512018,,,,,,0.8941901016546709,0.42050989656470844,40431,36153,0.8944557245047181,,,,0.8723504241794663,0.3386626838247372,40431,35270,0.844393523683179,0.7664057796508128,0.9400510204081632,,,2026-02-02 23:35:07
7,stsb_client,stsb,0.8642616719448731,0.022621372136938617,4249,2173,,0.8642616719448731,0.8543911051336069,0.11786620549051668,0.022574574414010153,0.15024837574499816,0.8707151419806056,0.03177534395759489,1500,688,,0.8707151419806056,0.844969927673275,0.13840945065021515,0.9663845058722167,0.03361549436921875,1500,,,,,0.8058064974811893,0.7852394424598694,2026-02-02 23:38:39
7,sst2_client,sst2,0.9660935361102336,0.14411624496557512,66477,64223,0.9660994309064455,,,,,,0.9323394495412844,0.356393036545909,872,813,0.9324754966463833,,,,0.8990825688073395,0.28603900773151686,872,784,0.9035087719298245,0.9739952718676123,0.8425357873210634,,,2026-02-02 23:45:51
7,qqp_client,qqp,0.9355472071487099,0.23644446105577765,323415,302570,0.9357112062899863,,,,,,0.894561104103287,0.44085058244488273,40431,36168,0.8955641253751948,,,,0.8743043704088447,0.3536077857071695,40431,35349,0.8461305558919704,0.7706265166556364,0.9380370569280344,,,2026-02-03 00:05:14
8,stsb_client,stsb,0.8724432624750597,0.021224082494417162,4249,2211,,0.8724432624750597,0.8596333179703743,0.11501236862343424,0.021251268328206795,0.1457781476360802,0.8592055642487447,0.02289292545979248,1500,798,,0.8592055642487447,0.8335481990489712,0.1163550615310669,0.9668449352255282,0.03315506451576948,1500,,,,,0.8190060834396045,0.7916787532089158,2026-02-03 00:08:46
8,sst2_client,sst2,0.970576289543752,0.12889023534566943,66477,64521,0.9705839108016191,,,,,,0.930045871559633,0.3918481166069337,872,811,0.9300747013094753,,,,0.9139908256880734,0.28846958464806166,872,797,0.919093851132686,0.9726027397260274,0.8711656441717791,,,2026-02-03 00:15:58
8,qqp_client,qqp,0.9438306819411592,0.21540095051478775,323415,305249,0.9439688171118282,,,,,,0.8992357349558507,0.4586895633202076,40431,36357,0.8994204599227731,,,,0.8729192946006777,0.3909873083142247,40431,35293,0.8453341360626128,0.7662628247107618,0.9426020408163265,,,2026-02-03 00:35:22
9,stsb_client,stsb,0.8763784399467239,0.020785328998191886,4249,2254,,0.8763784399467239,0.8679802950086688,0.11334533553374776,0.020817515585762853,0.14428276260788345,0.8624776580680356,0.024741418538317878,1500,774,,0.8624776580680356,0.8372368591441208,0.11919458210468292,0.9570847138574375,0.042915286210676036,1500,,,,,0.8040627958050395,0.7860798455568035,2026-02-03 00:38:54
9,sst2_client,sst2,0.9733892925372686,0.11746704793373298,66477,64708,0.9733945111656297,,,,,,0.9403669724770642,0.33505681757936,872,820,0.9403669724770642,,,,0.9231651376146789,0.2715158500791946,872,805,0.9287991498405952,0.9668141592920354,0.8936605316973415,,,2026-02-03 00:46:06
9,qqp_client,qqp,0.9512947760617164,0.1969848844622211,323415,307663,0.9514161858325992,,,,,,0.8999530063565087,0.46720654049832716,40431,36386,0.8999565023838944,,,,0.8869431871583686,0.3765122779620816,40431,35860,0.85776519276846,0.7994315874949249,0.9252819548872181,,,2026-02-03 01:05:28
10,stsb_client,stsb,0.8836886729415362,0.019465785502470134,4249,2320,,0.8836886729415362,0.8731712279752729,0.10960731658077179,0.019481807242200843,0.139577244714892,0.8655893309935362,0.022783189138863236,1500,807,,0.8655893309935362,0.8412732646371904,0.11428055167198181,0.9617052670047572,0.03829473309715589,1500,,,,,0.8077236271706724,0.7915565046387301,2026-02-03 01:09:00
10,sst2_client,sst2,0.9762925523113257,0.1041887377660166,66477,64901,0.9762991733696277,,,,,,0.9403669724770642,0.3872212605526721,872,820,0.940456475815568,,,,0.9277522935779816,0.27807880930790524,872,809,0.9330499468650371,0.9712389380530974,0.8977505112474438,,,2026-02-03 01:16:12
10,qqp_client,qqp,0.9563409241995579,0.18141875757187947,323415,309295,0.9564348459088995,,,,,,0.8978011921545349,0.515618757450866,40431,36299,0.898527537085062,,,,0.8871657886275383,0.3965011979828619,40431,35869,0.8578461921974324,0.8004768550825774,0.9240735767991407,,,2026-02-03 01:35:35
11,stsb_client,stsb,0.8921793874915389,0.01810779376436879,4249,2315,,0.8921793874915389,0.8850521564472652,0.10644773007679584,0.018077546928148256,0.13445276839153686,0.8623653508564134,0.022286024536600613,1500,784,,0.8623653508564134,0.840856018234422,0.11635790765285492,0.9632649981807674,0.036735002249479294,1500,,,,,0.8257948945365599,0.8052000670874985,2026-02-03 01:39:06
11,sst2_client,sst2,0.9797373527686267,0.09188973910484856,66477,65130,0.9797414649094657,,,,,,0.9357798165137615,0.40918092138130674,872,816,0.9358468782680079,,,,0.9254587155963303,0.30226627298964,872,807,0.9309245483528161,0.9690265486725663,0.8957055214723927,,,2026-02-03 01:46:20
11,qqp_client,qqp,0.9621167849357637,0.16351244584998936,323415,311163,0.9621925830675645,,,,,,0.9017338181098662,0.5304567313140873,40431,36458,0.9018859907969506,,,,0.8833073631619301,0.4426498968935166,40431,35713,0.854973564490348,0.788557496030846,0.9336063372717508,,,2026-02-03 02:05:43
12,stsb_client,stsb,0.8924514195366805,0.01811251098717234,4249,2401,,0.8924514195366805,0.8841417114563885,0.1055199571552663,0.018127629528475686,0.1346388856477789,0.8541205318926745,0.02378110665000698,1500,793,,0.8541205318926745,0.8292354074181146,0.11755551397800446,0.9640888624806918,0.03591113742689292,1500,,,,,0.8197375700821,0.799105838061617,2026-02-03 02:09:13
12,sst2_client,sst2,0.9821893286399808,0.08232728623561814,66477,65293,0.9821919353063483,,,,,,0.9311926605504587,0.44929643889227344,872,812,0.9312805969985923,,,,0.9311926605504587,0.3197915191930898,872,812,0.9365750528541227,0.9693654266958425,0.9059304703476483,,,2026-02-03 02:16:27
12,qqp_client,qqp,0.9670856330102191,0.1462054238819035,323415,312770,0.9671389969350027,,,,,,0.9007692117434641,0.5841509089640109,40431,36419,0.9010839260747535,,,,0.8857559793227968,0.46520175486099224,40431,35812,0.8572488178755756,0.7942844052459768,0.9310553168635876,,,2026-02-03 02:35:49
13,stsb_client,stsb,0.892672117880881,0.018027899179369547,4249,2374,,0.892672117880881,0.8852515115808048,0.10584409591020956,0.01803086062345174,0.13427904014942815,0.8604905720174791,0.024950233849132076,1500,803,,0.8604905720174791,0.8357471111553243,0.12086576223373413,0.9585064428201785,0.04149355717500051,1500,,,,,0.8084668798705669,0.7912490977639043,2026-02-03 02:39:21
13,sst2_client,sst2,0.98349805195782,0.07686283707978427,66477,65380,0.9835010623065431,,,,,,0.9334862385321101,0.471209050503019,872,814,0.9335394223111895,,,,0.926605504587156,0.3490604469413792,872,808,0.9320594479830149,0.9690949227373068,0.8977505112474438,,,2026-02-03 02:46:32
13,qqp_client,qqp,0.9704713757865281,0.1338213489308645,323415,313865,0.9705172344126769,,,,,,0.9020553535653335,0.5504095056107153,40431,36471,0.9021972388980891,,,,0.8901090747198932,0.4738632692162465,40431,35988,0.8607428302773861,0.8072784996178494,0.9217910848549946,,,2026-02-03 03:05:55
14,stsb_client,stsb,0.8938604306676956,0.01799442665432615,4249,2402,,0.8938604306676956,0.8894104208065842,0.10483763698533627,0.017975011383316856,0.1340709192305209,0.8663755256013504,0.02163640495409515,1500,814,,0.8663755256013504,0.8408969769585954,0.11339040100574493,0.9557290953400985,0.04427090453108152,1500,,,,,0.8019202774980247,0.7861192197415274,2026-02-03 03:09:27
14,sst2_client,sst2,0.9842351489989019,0.0712374834851497,66477,65429,0.9842384828101467,,,,,,0.9369266055045872,0.46228958079063054,872,817,0.9369525995413304,,,,0.9288990825688074,0.3552527617229391,872,810,0.9345991561181435,0.9651416122004357,0.9059304703476483,,,2026-02-03 03:16:39
14,qqp_client,qqp,0.9738107385248056,0.12105359811903044,323415,314945,0.9738460435719236,,,,,,0.9019811530756103,0.5923882461174306,40431,36468,0.9025318708351927,,,,0.8920135539561228,0.4830053300265538,40431,36065,0.8621756424016668,0.813728995352163,0.9167561761546724,,,2026-02-03 03:36:02
15,stsb_client,stsb,0.9004718869947483,0.01675754174564844,4249,2428,,0.9004718869947483,0.8921429700201857,0.10273328274086242,0.016785146750085283,0.12955750364253427,0.8590484811852614,0.02474465475174935,1500,786,,0.8590484811852614,0.8358393887295011,0.12034200131893158,0.9611773971386188,0.03882260299225648,1500,,,,,0.8173983493899717,0.7964771123387812,2026-02-03 03:39:33
15,sst2_client,sst2,0.986145584187012,0.06454295397100425,66477,65556,0.9861474924332487,,,,,,0.9323394495412844,0.46659176986415346,872,813,0.9324335527266184,,,,0.9334862385321101,0.35466741416226844,872,814,0.9393305439330544,0.961456102783726,0.918200408997955,,,2026-02-03 03:46:46
15,qqp_client,qqp,0.9767852449639008,0.10994521335555958,323415,315907,0.9768089519597716,,,,,,0.9026736909796939,0.6414338622946771,40431,36496,0.9030812880333242,,,,0.8897628057678514,0.5070470798520796,40431,35974,0.8607056911585462,0.8052160692357172,0.9244092373791621,,,2026-02-03 04:06:09
16,stsb_client,stsb,0.8972541900551293,0.017538025549939426,4249,2387,,0.8972541900551293,0.8920211212657249,0.10367492358086275,0.01756571022616704,0.13253569415884553,0.8561631772991144,0.023904281007026896,1500,786,,0.8561631772991144,0.8299281510950558,0.11848863959312439,0.9598314364068976,0.04016856398060918,1500,,,,,0.8165191517379029,0.7959975728441939,2026-02-03 04:09:40
16,sst2_client,sst2,0.9875144786918784,0.059465655367469436,66477,65647,0.9875162199258851,,,,,,0.9380733944954128,0.45415581812321426,872,818,0.9381380611870077,,,,0.9323394495412844,0.3633895775137299,872,813,0.9379600420609884,0.9653679653679653,0.9120654396728016,,,2026-02-03 04:16:52
16,qqp_client,qqp,0.9791599029111204,0.10041069208747394,323415,316675,0.9791803806397154,,,,,,0.9016348841235685,0.6560337320326597,40431,36454,0.9017049435319742,,,,0.8898864732507235,0.5529750560243609,40431,35979,0.8607357357357357,0.8058809746954076,0.9236036519871106,,,2026-02-03 04:36:16
17,stsb_client,stsb,0.9007059026213633,0.01691375524464284,4249,2425,,0.9007059026213633,0.8952126438489768,0.10220411242842657,0.016940226460787935,0.1301546251993679,0.8573649701338873,0.025838141085609716,1500,781,,0.8573649701338873,0.8316939115850017,0.12411718815565109,0.9594089803032004,0.04059101985394955,1500,,,,,0.8126946811592303,0.7957011224189627,2026-02-03 04:39:47
17,sst2_client,sst2,0.987544564285392,0.05846379311645291,66477,65649,0.9875462583550235,,,,,,0.9369266055045872,0.49560095067444715,872,817,0.936969064563537,,,,0.9311926605504587,0.3634129941929799,872,812,0.9368421052631578,0.96529284164859,0.9100204498977505,,,2026-02-03 04:46:59
17,qqp_client,qqp,0.9814325247746704,0.09082792794201422,323415,317410,0.9814474708541919,,,,,,0.9022532215379289,0.6566685489320144,40431,36479,0.9024960861486953,,,,0.8948826395587545,0.5414084228331862,40431,36181,0.8648820499777452,0.8214760236743568,0.9131310418904404,,,2026-02-03 05:06:23
18,stsb_client,stsb,0.8992249968427857,0.01709247589145465,4249,2414,,0.8992249968427857,0.8940473974182507,0.1029884121098544,0.017108791926195514,0.13080058075633882,0.8532683332021644,0.02598114535361132,1500,796,,0.8532683332021644,0.8247440601757723,0.12132210284471512,0.963552373072997,0.03644762706259887,1500,,,,,0.807098391221138,0.7891050657627393,2026-02-03 05:09:54
18,sst2_client,sst2,0.9880560193751222,0.053770290871114,66477,65683,0.9880571061806711,,,,,,0.9346330275229358,0.4918410014899664,872,815,0.9347239407697839,,,,0.930045871559633,0.38794212047272963,872,811,0.9358569926393271,0.9632034632034632,0.9100204498977505,,,2026-02-03 05:17:07
18,qqp_client,qqp,0.983080562126061,0.08334230301609083,323415,317943,0.9830931948558403,,,,,,0.9000024733496574,0.6957282717624499,40431,36388,0.900392100107403,,,,0.894313769137543,0.5736752992317422,40431,36158,0.8641378652507075,0.8208396254907883,0.9122583243823845,,,2026-02-03 05:36:30
19,stsb_client,stsb,0.8998720514179629,0.016992516380199055,4249,2412,,0.8998720514179629,0.8945238474872557,0.10272336302970195,0.017003625325026844,0.13039794984978423,0.8568748077298048,0.023626057898001547,1500,809,,0.8568748077298048,0.8302864223708256,0.11729060858488083,0.9627282151652532,0.037271784981091814,1500,,,,,0.8107499479030396,0.7914592648141603,2026-02-03 05:40:01
19,sst2_client,sst2,0.9890939723513396,0.04979426367039558,66477,65752,0.9890957748307609,,,,,,0.9357798165137615,0.5135748831403696,872,816,0.9358468782680079,,,,0.9334862385321101,0.39406312040236274,872,814,0.9389473684210526,0.9674620390455532,0.9120654396728016,,,2026-02-03 05:47:15
