round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,stsb_client_2,stsb,0.3117934260337158,0.10018229886889457,394,94,,0.3117934260337158,0.3003253308756311,0.2597980499267578,0.10035711526870728,0.31679192185401917,0.3273964967588493,0.09885486899231105,1500,359,,0.3273964967588493,0.32228385250702724,0.2568451762199402,0.629944947114667,0.3700550496180852,1500,,,,,0.0043422225757497705,-0.0009110880864227278,2026-02-18 16:05:47
1,stsb_client_1,stsb,0.14041092169664374,0.0898419290280609,532,143,,0.14041092169664374,0.1672987182721663,0.2377113252878189,0.09028705954551697,0.3004780411720276,0.2072969063859495,0.14536787891522684,1500,294,,0.2072969063859495,0.20823068296755184,0.3124113976955414,0.6299449477915999,0.3700550498962402,1500,,,,,0.0043422236412226445,-0.0009110880864227278,2026-02-18 16:05:51
1,sst2_client_3,sst2,0.9933759167258103,0.040785365391383235,4227,4199,0.9919611871980735,,,,,,0.4426605504587156,4.185828504212406,872,386,0.271648604891994,,,,0.4724770642201835,0.7272487895204387,872,412,0.5700934579439253,0.5222602739726028,0.6275720164609053,,,2026-02-18 16:07:04
1,stsb_client_3,stsb,0.3107138236310298,0.11082472196514052,444,106,,0.3107138236310298,0.3200247059815762,0.2681836783885956,0.1114569678902626,0.33385172486305237,0.3020930562821004,0.10669566444220378,1500,331,,0.3020930562821004,0.2978447717845055,0.2691269516944885,0.6299449470325593,0.37005504870414735,1500,,,,,0.004342225325598049,-0.0009110880864227278,2026-02-18 16:07:14
1,sst2_client_2,sst2,0.8180745236890912,0.42145186739238205,5931,4852,0.8155256617830854,,,,,,0.8543577981651376,0.37078644402769456,872,745,0.8548157071657959,,,,0.4724770642201835,0.727248783505291,872,412,0.5700934579439253,0.5222602739726028,0.6275720164609053,,,2026-02-18 16:07:37
1,sst2_client_1,sst2,0.9549151901128696,0.1878430452352042,15859,15144,0.9374523119104609,,,,,,0.6422018348623854,2.023369911206361,872,560,0.5654208534598979,,,,0.4724770642201835,0.727248791707765,872,412,0.5700934579439253,0.5222602739726028,0.6275720164609053,,,2026-02-18 16:10:11
1,qqp_client_3,qqp,0.9974706907748573,0.018926387468206424,29257,29183,0.9964807301303511,,,,,,0.6317429695035988,2.6956557937534305,40431,25542,0.48916917305749075,,,,0.38616408201627467,0.7896753685839003,40431,15613,0.5306732223903177,0.36932431365323365,0.9423735643763852,,,2026-02-18 16:15:18
1,qqp_client_2,qqp,0.8062935573206732,0.42552662478429343,32859,26494,0.7844683141695263,,,,,,0.7580074695159654,0.49160177916875103,40431,30647,0.7404700366843321,,,,0.38616408201627467,0.7896753679647232,40431,15613,0.5306732223903177,0.36932431365323365,0.9423735643763852,,,2026-02-18 16:15:46
1,qqp_client_1,qqp,0.9213370473537604,0.28835826158460337,53850,49614,0.9027945561191413,,,,,,0.556602606910539,1.845641317013887,40431,22504,0.5212523387441337,,,,0.38616408201627467,0.7896753684202605,40431,15613,0.5306732223903177,0.36932431365323365,0.9423735643763852,,,2026-02-18 16:17:18
2,stsb_client_2,stsb,0.4747863289263342,0.07808466685935855,394,105,,0.4747863289263342,0.437994273065899,0.22524160146713257,0.07829519361257553,0.2798127830028534,0.3832158918992465,0.08378907918256331,1500,370,,0.3832158918992465,0.37724792147553077,0.2374313324689865,0.8397426846437959,0.16025731551647188,1500,,,,,0.11950157397927776,0.11011313560057166,2026-02-18 16:29:14
2,stsb_client_1,stsb,0.3944252638923052,0.06196681932726903,532,162,,0.3944252638923052,0.386401716334812,0.2007577121257782,0.06212570145726204,0.24925027787685394,0.3693063833747851,0.1130816636190928,1500,337,,0.3693063833747851,0.36199552148344716,0.2714622914791107,0.8397426848721983,0.16025731579462688,1500,,,,,0.11950157601385518,0.11011313560057166,2026-02-18 16:29:18
2,stsb_client_3,stsb,0.5338756718130458,0.08253115378985447,444,133,,0.5338756718130458,0.5349988079925013,0.2230437844991684,0.08251813054084778,0.28725969791412354,0.43195133484558274,0.07728552467566221,1500,374,,0.43195133484558274,0.41939862899371483,0.22968223690986633,0.8397426849619875,0.1602573151389758,1500,,,,,0.1195015778234492,0.11011313560057166,2026-02-18 16:30:34
2,sst2_client_3,sst2,0.9945587887390585,0.038551831579082096,4227,4204,0.9925533920591196,,,,,,0.4426605504587156,3.964006399889605,872,386,0.271648604891994,,,,0.6788990825688074,0.6180620362999243,872,592,0.6391752577319588,0.8551724137931035,0.5102880658436214,,,2026-02-18 16:30:37
2,sst2_client_2,sst2,0.8494351711347159,0.3706012060551972,5931,5038,0.848068832705933,,,,,,0.838302752293578,0.4176843554259987,872,731,0.8379358188595286,,,,0.6788990825688074,0.618062035206261,872,592,0.6391752577319588,0.8551724137931035,0.5102880658436214,,,2026-02-18 16:31:03
2,sst2_client_1,sst2,0.9570590831704395,0.17490603580870534,15859,15178,0.9440159092155306,,,,,,0.7362385321100917,0.9570334037304471,872,642,0.7085028891164322,,,,0.6788990825688074,0.6180620390340823,872,592,0.6391752577319588,0.8551724137931035,0.5102880658436214,,,2026-02-18 16:33:37
2,qqp_client_3,qqp,0.9977441296100079,0.017925321164171715,29257,29191,0.9966174680894382,,,,,,0.6317429695035988,2.526482295940614,40431,25542,0.48916917305749075,,,,0.6344636541267838,0.6153787636548441,40431,25652,0.023134377685240272,0.7291666666666666,0.011753643629525154,,,2026-02-18 16:38:32
2,qqp_client_2,qqp,0.8151800115645638,0.40142804399965204,32859,26786,0.7992095626686757,,,,,,0.7769533278919641,0.4570473610173998,40431,31413,0.7679143693899155,,,,0.6344636541267838,0.6153787640860567,40431,25652,0.023134377685240272,0.7291666666666666,0.011753643629525154,,,2026-02-18 16:39:04
2,qqp_client_1,qqp,0.9248467966573816,0.27683904101074913,53850,49803,0.9095617521317614,,,,,,0.5146545967203383,1.8373239040664067,40431,20808,0.4600505412904164,,,,0.6344636541267838,0.6153787637573032,40431,25652,0.023134377685240272,0.7291666666666666,0.011753643629525154,,,2026-02-18 16:40:43
3,stsb_client_2,stsb,0.5671068494450547,0.06559433702379465,394,112,,0.5671068494450547,0.557958066023156,0.20837046205997467,0.06585558503866196,0.25662341713905334,0.39257502575480163,0.09023181968269513,1500,376,,0.39257502575480163,0.38046725422341754,0.24203753471374512,0.8957073429979805,0.10429265776276589,1500,,,,,0.26118381387900563,0.2558619705186008,2026-02-18 16:52:43
3,stsb_client_1,stsb,0.524648826945279,0.04965996414200583,532,176,,0.524648826945279,0.4992557814918478,0.18028469383716583,0.049527041614055634,0.22254671156406403,0.3345338290339684,0.11172542230602592,1500,332,,0.3345338290339684,0.34227403691424896,0.27043408155441284,0.8957073433225741,0.1042926560441653,1500,,,,,0.26118381480202313,0.2558619705186008,2026-02-18 16:52:47
3,stsb_client_3,stsb,0.6660002522238847,0.06176684726960957,444,139,,0.6660002522238847,0.6697706152077505,0.19680339097976685,0.061515841633081436,0.2480238676071167,0.41878756603817374,0.08380944442321012,1500,362,,0.41878756603817374,0.41651317232890644,0.2383282631635666,0.8957073434587662,0.10429265734553338,1500,,,,,0.26118381567163945,0.2558619705186008,2026-02-18 16:53:57
3,sst2_client_3,sst2,0.9952685119470074,0.03503958798970478,4227,4207,0.9929083779371732,,,,,,0.4426605504587156,3.1359029092373105,872,386,0.271648604891994,,,,0.6548165137614679,0.5952187486744802,872,571,0.5553914327917282,0.9842931937172775,0.3868312757201646,,,2026-02-18 16:54:03
3,sst2_client_2,sst2,0.8679817905918058,0.3496273648887471,5931,5148,0.8665687430672596,,,,,,0.8681192660550459,0.4192010623941181,872,757,0.8676699035468439,,,,0.6548165137614679,0.5952187473074012,872,571,0.5553914327917282,0.9842931937172775,0.3868312757201646,,,2026-02-18 16:54:34
3,sst2_client_1,sst2,0.9588246421590264,0.16043326263232613,15859,15206,0.9495109945642519,,,,,,0.6399082568807339,1.697667968168923,872,558,0.5615396515923639,,,,0.6548165137614679,0.5952187494947276,872,571,0.5553914327917282,0.9842931937172775,0.3868312757201646,,,2026-02-18 16:57:07
3,qqp_client_3,qqp,0.9977441296100079,0.01763643942976552,29257,29191,0.9966174680894382,,,,,,0.6317429695035988,2.6557664916654535,40431,25542,0.48916917305749075,,,,0.6318419034898963,0.7873848360134579,40431,25546,0.0005371651111260324,1.0,0.0002686547115320035,,,2026-02-18 17:02:05
3,qqp_client_2,qqp,0.8292096533674184,0.38231612265585196,32859,27247,0.8167720171382306,,,,,,0.7773243303405802,0.5381952039344619,40431,31428,0.7643010724290605,,,,0.6318419034898963,0.7873848361817045,40431,25546,0.0005371651111260324,1.0,0.0002686547115320035,,,2026-02-18 17:02:33
3,qqp_client_1,qqp,0.928560817084494,0.26664319346684895,53850,50003,0.9151680725488377,,,,,,0.5956567980015335,1.8143744250510896,40431,24083,0.5734742259722755,,,,0.6318419034898963,0.7873848354812604,40431,25546,0.0005371651111260324,1.0,0.0002686547115320035,,,2026-02-18 17:03:58
4,stsb_client_2,stsb,0.620487299415244,0.0645707980543375,394,112,,0.620487299415244,0.6001490829895534,0.20434972643852234,0.06423633545637131,0.25344887375831604,0.39415626212854526,0.08300831143130014,1500,368,,0.39415626212854526,0.3864339134236959,0.23558953404426575,0.8853919130025187,0.11460808738072713,1500,,,,,0.3411952358162738,0.33641239476310936,2026-02-18 17:14:50
4,stsb_client_1,stsb,0.525152546188122,0.05280886767015083,532,171,,0.525152546188122,0.502666320355218,0.18530359864234924,0.053062207996845245,0.23035235702991486,0.4002581384315842,0.08239719557992005,1500,349,,0.4002581384315842,0.3996330641388456,0.23902863264083862,0.8853919132960935,0.11460808670520782,1500,,,,,0.341195237223908,0.33641239476310936,2026-02-18 17:14:53
4,stsb_client_3,stsb,0.6520309151257875,0.06260348121369523,444,149,,0.6520309151257875,0.6542943157644256,0.1962137073278427,0.06250689923763275,0.2500137984752655,0.40543634210617086,0.08276081268497287,1500,374,,0.40543634210617086,0.4002460803617905,0.23536869883537292,0.8853919132527892,0.11460808715224266,1500,,,,,0.3411952384275722,0.33641239476310936,2026-02-18 17:16:04
4,sst2_client_3,sst2,0.9952685119470074,0.02983514499761004,4227,4207,0.9929083779371732,,,,,,0.4518348623853211,4.338148367514304,872,394,0.2914386361103889,,,,0.7637614678899083,0.46645173006648316,872,666,0.735897435897436,0.9761904761904762,0.5905349794238683,,,2026-02-18 17:16:09
4,sst2_client_2,sst2,0.8796155791603439,0.32102596733971395,5931,5217,0.8788366297398731,,,,,,0.8738532110091743,0.4402795666978276,872,762,0.8742360944190489,,,,0.7637614678899083,0.4664517323221635,872,666,0.735897435897436,0.9761904761904762,0.5905349794238683,,,2026-02-18 17:16:39
