round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,stsb_client_1,stsb,0.020406815789944455,0.09127928106033284,549,120,,0.020406815789944455,0.025617705064157056,0.24458323419094086,0.09149547666311264,0.3024821877479553,0.24914915506772847,0.12213717343715522,100,28,,0.24914915506772847,0.24464316245341491,0.26605141162872314,0.6717576107538987,0.32824238657951355,100,,,,,-0.1388022300299742,-0.0640880933188774,2026-02-23 21:13:37
1,stsb_client_2,stsb,0.15216346219617227,0.13011753639827173,474,94,,0.15216346219617227,0.16301323472438745,0.29098016023635864,0.13079634308815002,0.3616577684879303,0.5030218023175678,0.09317766387875263,100,22,,0.5030218023175678,0.5069703589102191,0.255052387714386,0.6717576054235983,0.3282423934340477,100,,,,,-0.13880221167173454,-0.0640880933188774,2026-02-23 21:14:13
1,stsb_client_3,stsb,0.23523621106464312,0.1086641060654074,393,92,,0.23523621106464312,0.26699872804854424,0.26293572568294354,0.110511776391984,0.33243311566687217,0.29465306586619605,0.10381245269225194,100,24,,0.29465306586619605,0.2838101120000108,0.27206411957740784,0.6717576133410088,0.3282423907518387,100,,,,,-0.13880223398652847,-0.0640880933188774,2026-02-23 21:14:49
2,stsb_client_1,stsb,0.31264085636695693,0.057450297653027206,549,189,,0.31264085636695693,0.29358586800557407,0.1908104419708252,0.057180006057024,0.2391234189271927,0.4424111302497973,0.07005139698202793,100,29,,0.4424111302497973,0.4312331636543708,0.21371276676654816,0.917359351342223,0.08264064908027649,100,,,,,0.41776915562877276,0.4353325896198065,2026-02-23 21:21:40
2,stsb_client_2,stsb,0.5649589141733103,0.06599874602009853,474,147,,0.5649589141733103,0.5170663186874174,0.2078079879283905,0.06644538789987564,0.25777003169059753,0.5250903182606621,0.0860709032187095,100,32,,0.5250903182606621,0.5127949098787046,0.21931572258472443,0.9173593501757279,0.0826406492292881,100,,,,,0.4177691293378122,0.4353325896198065,2026-02-23 21:22:15
2,stsb_client_3,stsb,0.5488446495693456,0.07253104157745838,393,125,,0.5488446495693456,0.5673423960689662,0.21314305893403807,0.0729152414145829,0.270028223366712,0.4675279777568675,0.08488085608069713,100,25,,0.4675279777568675,0.4513696401708067,0.24319544434547424,0.9173593541016785,0.08264064624905586,100,,,,,0.41776917070573955,0.4353325896198065,2026-02-23 21:22:51
3,stsb_client_1,stsb,0.38842632024001567,0.056194817107440766,549,195,,0.38842632024001567,0.37735127822576814,0.1873226910829544,0.05608820170164108,0.236829474568367,0.5383947342476454,0.08495389268948482,100,30,,0.5383947342476454,0.5126506485544079,0.22967690229415894,0.9320016158843365,0.06799838244915009,100,,,,,0.5185027269270251,0.48928031401831745,2026-02-23 21:29:39
3,stsb_client_2,stsb,0.7098673369222099,0.04645508738855521,474,165,,0.7098673369222099,0.6711676314784204,0.17241108417510986,0.04685230553150177,0.2164539396762848,0.5571347551580839,0.07184668064403993,100,31,,0.5571347551580839,0.5282549151325175,0.20461711287498474,0.9320016150092841,0.06799838587641716,100,,,,,0.5185027119931079,0.48928031401831745,2026-02-23 21:30:14
3,stsb_client_3,stsb,0.66593857589281,0.050306636737659574,393,146,,0.66593857589281,0.6783239412668911,0.17575602202602775,0.05098894259387837,0.225807312976968,0.53935687590184,0.12710010432280028,100,15,,0.53935687590184,0.5251052095520362,0.29486286640167236,0.9320016131688662,0.067998386323452,100,,,,,0.5185027006603842,0.48928031401831745,2026-02-23 21:30:50
4,stsb_client_1,stsb,0.4536344410824244,0.04941245689448239,549,185,,0.4536344410824244,0.4179551080740998,0.17970354855060577,0.04948090389370918,0.22244302928447723,0.6199299046721035,0.07071723488087837,100,30,,0.6199299046721035,0.5951861587177454,0.20504330098628998,0.93871468007929,0.06128531932830811,100,,,,,0.5759008801759751,0.5581711072585777,2026-02-23 21:37:25
