round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.1359,0.0000,0.1359,3,3,452.99,1,1,0.0000,0.0000,0.0000,0.0000,-0.1388,-0.0641,2026-02-23 21:14:50
2,3,0.4755,0.0000,0.4755,3,3,481.79,2,2,0.0000,0.0000,0.0000,0.0000,0.4178,0.4353,2026-02-23 21:22:51
3,3,0.5881,0.0000,0.5881,3,3,479.05,3,3,0.0000,0.0000,0.0000,0.0000,0.5185,0.4893,2026-02-23 21:30:50
4,3,0.6391,0.0000,0.6391,3,3,464.48,4,4,0.0000,0.0000,0.0000,0.0000,0.5759,0.5582,2026-02-23 21:38:35
5,3,0.7036,0.0000,0.7036,3,3,478.92,5,5,0.0000,0.0000,0.0000,0.0000,0.6268,0.5883,2026-02-23 21:46:34
6,3,0.7480,0.0000,0.7480,3,3,443.95,6,6,0.0000,0.0000,0.0000,0.0000,0.6452,0.6170,2026-02-23 21:53:58
7,3,0.7793,0.0000,0.7793,3,3,450.37,7,7,0.0000,0.0000,0.0000,0.0000,0.6365,0.6079,2026-02-23 22:01:28
8,3,0.7900,0.0000,0.7900,3,3,390.14,8,8,0.0000,0.0000,0.0000,0.0000,0.6469,0.6170,2026-02-23 22:07:58
9,3,0.8181,0.0000,0.8181,3,3,392.80,9,9,0.0000,0.0000,0.0000,0.0000,0.6403,0.6102,2026-02-23 22:14:31
10,3,0.8252,0.0000,0.8252,3,3,394.55,10,10,0.0000,0.0000,0.0000,0.0000,0.6413,0.6141,2026-02-23 22:21:06
11,3,0.8511,0.0000,0.8511,3,3,379.54,11,11,0.0000,0.0000,0.0000,0.0000,0.6521,0.6131,2026-02-23 22:27:25
12,3,0.8473,0.0000,0.8473,3,3,390.93,12,12,0.0000,0.0000,0.0000,0.0000,0.6414,0.6087,2026-02-23 22:33:56
13,3,0.8701,0.0000,0.8701,3,3,387.30,13,13,0.0000,0.0000,0.0000,0.0000,0.6331,0.6033,2026-02-23 22:40:23
14,3,0.8688,0.0000,0.8688,3,3,374.29,14,14,0.0000,0.0000,0.0000,0.0000,0.6405,0.6108,2026-02-23 22:46:38
15,3,0.8821,0.0000,0.8821,3,3,375.52,15,15,0.0000,0.0000,0.0000,0.0000,0.6448,0.6124,2026-02-23 22:52:53
16,3,0.8859,0.0000,0.8859,3,3,385.10,16,16,0.0000,0.0000,0.0000,0.0000,0.6366,0.6132,2026-02-23 22:59:18
17,3,0.9001,0.0000,0.9001,3,3,373.97,17,17,0.0000,0.0000,0.0000,0.0000,0.6370,0.6075,2026-02-23 23:05:32
18,3,0.8934,0.0000,0.8934,3,3,377.85,18,18,0.0000,0.0000,0.0000,0.0000,0.6389,0.6085,2026-02-23 23:11:50
19,3,0.8983,0.0000,0.8983,3,3,380.62,19,19,0.0000,0.0000,0.0000,0.0000,0.6389,0.6116,2026-02-23 23:18:11
20,3,0.9028,0.0000,0.9028,3,3,410.36,20,20,0.0000,0.0000,0.0000,0.0000,0.6463,0.6176,2026-02-23 23:25:01
21,3,0.9090,0.0000,0.9090,3,3,404.97,21,21,0.0000,0.0000,0.0000,0.0000,0.6421,0.6147,2026-02-23 23:31:46
22,3,0.9123,0.0000,0.9123,3,3,398.47,22,22,0.0000,0.0000,0.0000,0.0000,0.6419,0.6121,2026-02-23 23:38:25
23,3,0.9122,0.0000,0.9122,3,3,392.69,23,23,0.0000,0.0000,0.0000,0.0000,0.6446,0.6212,2026-02-23 23:44:57
24,3,0.9153,0.0000,0.9153,3,3,397.71,24,24,0.0000,0.0000,0.0000,0.0000,0.6400,0.6144,2026-02-23 23:51:35
25,3,0.9184,0.0000,0.9184,3,3,403.56,25,25,0.0000,0.0000,0.0000,0.0000,0.6396,0.6148,2026-02-23 23:58:19
