epoch,train_loss,train_accuracy,timestamp
1,2.447298981207318,"tensor(-0.5954, device='cuda:0')",2026-02-25 23:42:34
2,1.3072076832133352,"tensor(0.1159, device='cuda:0')",2026-02-25 23:43:57
3,1.0616661000268577,"tensor(0.3307, device='cuda:0')",2026-02-25 23:45:19
4,0.8944890543177751,"tensor(0.4323, device='cuda:0')",2026-02-25 23:47:34
5,0.7839142195320219,"tensor(0.4436, device='cuda:0')",2026-02-25 23:52:01
6,0.6628336025177872,"tensor(0.5655, device='cuda:0')",2026-02-25 23:54:56
7,0.6022902245080113,"tensor(0.5990, device='cuda:0')",2026-02-25 23:57:24
8,0.5143760640482257,"tensor(0.6381, device='cuda:0')",2026-02-25 23:59:53
9,0.4983326045321861,"tensor(0.6765, device='cuda:0')",2026-02-26 00:02:21
10,0.42953534251345055,"tensor(0.6769, device='cuda:0')",2026-02-26 00:04:50
11,0.39382736405788366,"tensor(0.7419, device='cuda:0')",2026-02-26 00:07:18
12,0.3714701264004286,"tensor(0.7416, device='cuda:0')",2026-02-26 00:09:47
13,0.3397782600827907,"tensor(0.7745, device='cuda:0')",2026-02-26 00:12:16
14,0.3077823847630306,"tensor(0.7904, device='cuda:0')",2026-02-26 00:14:44
15,0.30280436235094876,"tensor(0.7819, device='cuda:0')",2026-02-26 00:17:13
16,0.28248488512310316,"tensor(0.8106, device='cuda:0')",2026-02-26 00:19:42
17,0.26925683718286736,"tensor(0.8171, device='cuda:0')",2026-02-26 00:22:10
18,0.25534670338510795,"tensor(0.8119, device='cuda:0')",2026-02-26 00:24:39
19,0.2449456137829089,"tensor(0.8289, device='cuda:0')",2026-02-26 00:27:07
20,0.22900469028355933,"tensor(0.8419, device='cuda:0')",2026-02-26 00:29:36
21,0.2110357138965475,"tensor(0.8497, device='cuda:0')",2026-02-26 00:32:05
22,0.21012183904815884,"tensor(0.8529, device='cuda:0')",2026-02-26 00:34:33
23,0.21978053548268245,"tensor(0.8552, device='cuda:0')",2026-02-26 00:37:02
24,0.2247206541180919,"tensor(0.8484, device='cuda:0')",2026-02-26 00:39:31
25,0.23975055868548334,"tensor(0.8362, device='cuda:0')",2026-02-26 00:41:59
