round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,stsb_client,stsb,0.0,0.19734324012529386,4249,688,,-0.0814033388027832,-0.06769581393582315,0.3609680668758849,0.1976584658820061,0.4445879731639241,0.0,0.16079563468179486,1500,285,,-0.07868704621998814,-0.054724713269070545,0.32694563269615173,0.7160133097277352,0.28398669143517813,1500,,,,,-0.10024024325880607,-0.07255374265790336,2026-02-04 08:20:45
1,sst2_client,sst2,0.6492621508190802,0.6239725376294408,66477,43161,0.6381172675900696,,,,,,0.7339449541284404,0.557264388154406,872,640,0.7296333135180754,,,,0.5378440366972477,0.6903824505455997,872,469,0.6593406593406593,0.5619596541786743,0.7975460122699386,,,2026-02-04 08:21:13
1,qqp_client,qqp,0.6534576318352581,0.6150358437088952,323415,211338,0.6062550846067627,,,,,,0.68541465707007,0.5858882527737972,40431,27712,0.6716303584090199,,,,0.37063144616754473,0.9199893432474812,40431,14985,0.5393055002353623,0.3692300064455352,0.9998657357679914,,,2026-02-04 08:23:22
2,stsb_client,stsb,0.0,0.15598174053965544,4249,765,,-0.06753016866325941,-0.06422024072436867,0.3249569362411694,0.1559318440542787,0.39488206347500604,0.0,0.1310643748816182,1500,284,,-0.029284999287027456,-0.01109892258233893,0.2991808354854584,0.839507165782611,0.1604928351442019,1500,,,,,-0.07868704657846808,-0.054724713269070545,2026-02-04 08:23:32
2,sst2_client,sst2,0.7111632594732012,0.5629600877742474,66477,47276,0.7082662870339484,,,,,,0.7488532110091743,0.5281476454997281,872,653,0.7471794711274052,,,,0.7339449541284404,0.5572643843265849,872,640,0.7782026768642448,0.7307001795332136,0.8323108384458078,,,2026-02-04 08:24:00
2,qqp_client,qqp,0.6697246571742189,0.5975628574294588,323415,216599,0.6444528247832279,,,,,,0.6877890727412135,0.5826378239146984,40431,27808,0.6847795643900892,,,,0.68541465707007,0.585895669053114,40431,27712,0.5033386699988285,0.6016055259964529,0.43266648764769067,,,2026-02-04 08:26:09
3,stsb_client,stsb,0.004367143698818909,0.13308146258437992,4249,801,,0.004367143698818909,0.00883166395815812,0.30102087373878816,0.13313540114688194,0.36487724120158815,0.029895857694684207,0.11642617956200178,1500,295,,0.029895857694684207,0.04365992328319558,0.28450119495391846,0.868865262061354,0.13113473812739054,1500,,,,,-0.029284999099117758,-0.01109892258233893,2026-02-04 08:26:19
3,sst2_client,sst2,0.7191058561607774,0.5496140302034491,66477,47804,0.7176408484257537,,,,,,0.7431192660550459,0.5170171244428792,872,648,0.7421469862878564,,,,0.7488532110091743,0.528147649874381,872,653,0.7838104639684108,0.7576335877862596,0.8118609406952966,,,2026-02-04 08:26:46
3,qqp_client,qqp,0.6722817432710295,0.5944488440815192,323415,217426,0.6509248303476687,,,,,,0.6903118893918033,0.5775567597470408,40431,27910,0.6852401365649209,,,,0.6877890727412135,0.5826406976287469,40431,27808,0.5582811351786402,0.5830714129084131,0.5355128893662728,,,2026-02-04 08:28:56
4,stsb_client,stsb,0.01744896601604171,0.12795325490047357,4249,801,,0.01744896601604171,0.013700094306851016,0.2950569547063573,0.12792138940622608,0.35766099788238875,0.07626942548370162,0.10863897214306796,1500,302,,0.07626942548370162,0.0870961245901051,0.27426087856292725,0.883484401001283,0.11651560007532438,1500,,,,,0.02989585683084693,0.04365992328319558,2026-02-04 08:29:07
4,sst2_client,sst2,0.7242805782451073,0.5440285474008171,66477,48148,0.7231505620084709,,,,,,0.7465596330275229,0.5123751703478875,872,651,0.7453342250770209,,,,0.7431192660550459,0.5170171249897109,872,648,0.776,0.7592954990215264,0.7934560327198364,,,2026-02-04 08:29:35
4,qqp_client,qqp,0.6739112286072074,0.5928638120098395,323415,217953,0.6539599872597763,,,,,,0.6924884370903515,0.5745382415632698,40431,27998,0.6864256241568345,,,,0.6903118893918033,0.5775588327381042,40431,27910,0.550687192736929,0.5915503816205381,0.5151047261009667,,,2026-02-04 08:31:45
5,stsb_client,stsb,0.046404315346385505,0.12197258533153654,4249,850,,0.046404315346385505,0.037735982774064036,0.2884254759444096,0.12209956882217467,0.3494274872161242,0.11333504085543068,0.10261751864937708,1500,308,,0.11333504085543068,0.12142759619395704,0.26746460795402527,0.8919243947165344,0.10807560587922732,1500,,,,,0.07626942754882327,0.0870961245901051,2026-02-04 08:31:56
5,sst2_client,sst2,0.7227010845856462,0.5420048756397158,66477,48043,0.7217011861015372,,,,,,0.7465596330275229,0.5092044357859761,872,651,0.7455485881251745,,,,0.7465596330275229,0.5123751777301141,872,651,0.7800995024875622,0.7596899224806202,0.8016359918200409,,,2026-02-04 08:32:23
5,qqp_client,qqp,0.6741802328277909,0.5923665798217309,323415,218040,0.6546235887234767,,,,,,0.6927852390492444,0.5720059569316227,40431,28010,0.6837020849308849,,,,0.6924884370903515,0.5745394634771794,40431,27998,0.5486295153385369,0.5973594750573168,0.507250268528464,,,2026-02-04 08:34:32
6,stsb_client,stsb,0.07311361543396208,0.11681990418123621,4249,813,,0.07311361543396208,0.06166443267082274,0.28283234023519527,0.11700954992489059,0.34206658697524167,0.14503499532115197,0.09849704309624244,1500,315,,0.14503499532115197,0.15026548038478063,0.261910617351532,0.8973647301156396,0.10263527035713196,1500,,,,,0.11333504075873714,0.12142759619395704,2026-02-04 08:34:42
6,sst2_client,sst2,0.726687425726191,0.5388324036602509,66477,48308,0.7257787579329852,,,,,,0.7477064220183486,0.5079034386424843,872,652,0.7463189379261876,,,,0.7465596330275229,0.5092044348290207,872,651,0.7792207792207793,0.76171875,0.7975460122699386,,,2026-02-04 08:35:10
6,qqp_client,qqp,0.6742822689114605,0.5914821193154066,323415,218073,0.6551783340373559,,,,,,0.6925873710766491,0.5729906612857557,40431,28002,0.6872589838793537,,,,0.6927852390492444,0.5720085945370225,40431,28010,0.5344976202076228,0.6049885467039959,0.478719119226638,,,2026-02-04 08:37:20
7,stsb_client,stsb,0.10274411645874336,0.11207517885946129,4249,854,,0.10274411645874336,0.09302755307232945,0.2761256082788299,0.11222451110602542,0.33499927030670595,0.1667943292238951,0.09535058010171385,1500,321,,0.1667943292238951,0.17024287418055353,0.25736284255981445,0.9014723000080743,0.09852770006656647,1500,,,,,0.14503500039474249,0.15026548038478063,2026-02-04 08:37:30
7,sst2_client,sst2,0.7281164914180844,0.5379438881947245,66477,48403,0.7272538992588696,,,,,,0.7477064220183486,0.50655368271224,872,652,0.7465409870559913,,,,0.7477064220183486,0.5079034409665186,872,652,0.7817460317460317,0.7591522157996147,0.8057259713701431,,,2026-02-04 08:37:58
7,qqp_client,qqp,0.6740812887466567,0.591871703617896,323415,218008,0.6555154740314336,,,,,,0.6938982463950929,0.5719578991565584,40431,28055,0.6878730066112171,,,,0.6925873710766491,0.5729890527860495,40431,28002,0.5524790263925395,0.5957909450959075,0.5150375939849624,,,2026-02-04 08:40:07
8,stsb_client,stsb,0.12117642963707248,0.10805981401030212,4249,910,,0.12117642963707248,0.11096948070161812,0.27214582378729024,0.10823350940603836,0.328988615921643,0.18760944853306272,0.09319183309166197,1500,328,,0.18760944853306272,0.18855489653403917,0.254667192697525,0.9045543402636336,0.09544565925002098,1500,,,,,0.16679432782533865,0.17024287418055353,2026-02-04 08:40:17
8,sst2_client,sst2,0.7280713630278142,0.5370668944630382,66477,48400,0.7272640793211982,,,,,,0.7603211009174312,0.5051637060871912,872,663,0.7602868581030323,,,,0.7477064220183486,0.5065536850362743,872,652,0.7808764940239044,0.7611650485436893,0.8016359918200409,,,2026-02-04 08:40:45
8,qqp_client,qqp,0.6739978046781998,0.5913267387163602,323415,217981,0.6555895961636222,,,,,,0.6924637035937771,0.5730144342781293,40431,27997,0.6883727013800289,,,,0.6938982463950929,0.5719665155396673,40431,28055,0.5507477856831712,0.5995889977869112,0.5092642320085929,,,2026-02-04 08:42:55
9,stsb_client,stsb,0.1344049976470361,0.10627421202082046,4249,898,,0.1344049976470361,0.12474419586985282,0.2695880636051613,0.10641274535211795,0.32620966471292345,0.20215533116676454,0.0921775605331393,1500,325,,0.20215533116676454,0.20263968097046436,0.2541574239730835,0.9066758409119975,0.09332415935397148,1500,,,,,0.187609453446871,0.18855489653403917,2026-02-04 08:43:06
9,sst2_client,sst2,0.7294252147359237,0.5351151920666763,66477,48490,0.7288051858431711,,,,,,0.7511467889908257,0.5054182046597157,872,655,0.7500502213845284,,,,0.7603211009174312,0.5051637064973149,872,663,0.7865168539325842,0.7857142857142857,0.787321063394683,,,2026-02-04 08:43:33
9,qqp_client,qqp,0.6748388293678401,0.5896680428451772,323415,218253,0.6567921308447838,,,,,,0.6953327891964087,0.5706142723312668,40431,28113,0.6883112229847105,,,,0.6924637035937771,0.5730148094610481,40431,27997,0.558765081618169,0.5926678711231557,0.528531149301826,,,2026-02-04 08:45:41
10,stsb_client,stsb,0.13376887814494917,0.10735604673610034,4249,886,,0.13376887814494917,0.12459203243759288,0.2695027453672324,0.10726817516012727,0.3275182058453045,0.21349252167498725,0.09047676222597031,1500,324,,0.21349252167498725,0.21292126291264937,0.25162163376808167,0.9076542428841181,0.0923457570473353,1500,,,,,0.20215533028858979,0.2026396811505886,2026-02-04 08:45:52
10,sst2_client,sst2,0.7287482888818689,0.5365962559278835,66477,48445,0.7279752459776961,,,,,,0.7534403669724771,0.5047598701278004,872,657,0.7525568330475664,,,,0.7511467889908257,0.5054182063002105,872,655,0.7836490528414755,0.7645914396887159,0.803680981595092,,,2026-02-04 08:46:20
10,qqp_client,qqp,0.6751140175934944,0.59037793744789,323415,218342,0.6573364680422188,,,,,,0.6941208478642625,0.571158727571268,40431,28064,0.688862890285238,,,,0.6953327891964087,0.5706126578105188,40431,28113,0.5477973568281937,0.6044232015554115,0.5008727175080558,,,2026-02-04 08:48:29
11,stsb_client,stsb,0.13761421094416337,0.10546329316396014,4249,886,,0.13761421094416337,0.12225141513143004,0.2696875451285209,0.1055604930086664,0.32490074331811925,0.22314802293294486,0.08925242707668309,1500,328,,0.22314802293294486,0.22206304653999562,0.24980786442756653,0.9093848894452824,0.09061511086424191,1500,,,,,0.21349252280913297,0.21292126291264937,2026-02-04 08:48:38
11,sst2_client,sst2,0.7298614558418701,0.5370214967126594,66477,48519,0.7292318498322563,,,,,,0.7649082568807339,0.5040683425074324,872,667,0.7647338385263559,,,,0.7534403669724771,0.5047598676670582,872,657,0.7847847847847849,0.7686274509803922,0.8016359918200409,,,2026-02-04 08:49:07
11,qqp_client,qqp,0.6755036099129601,0.5903486391457519,323415,218468,0.6576430637672662,,,,,,0.694689718285474,0.5711070071031654,40431,28087,0.6896619154806026,,,,0.6941208478642625,0.5711530567863705,40431,28064,0.5549357613272393,0.5980916918780544,0.5175886143931256,,,2026-02-04 08:51:16
12,stsb_client,stsb,0.1486350237993617,0.10432733729467693,4249,919,,0.1486350237993617,0.1340017970807876,0.2666127702105544,0.10447785281302864,0.3232303401802322,0.2337955773294426,0.08830055257582918,1500,327,,0.2337955773294426,0.23210914292154156,0.24826426804065704,0.9106528700443324,0.08934713008503119,1500,,,,,0.2231480167861261,0.22206304653999562,2026-02-04 08:51:27
12,sst2_client,sst2,0.7303277825413301,0.5336366728997187,66477,48550,0.7297723871978111,,,,,,0.7511467889908257,0.5044271965092475,872,655,0.7500502213845284,,,,0.7649082568807339,0.5040683434643877,872,667,0.7914547304170907,0.7874493927125507,0.7955010224948875,,,2026-02-04 08:51:55
12,qqp_client,qqp,0.6753861138166133,0.5901563740456004,323415,218430,0.6572302796705597,,,,,,0.6933293759738814,0.5715373809076035,40431,28032,0.6892937967128481,,,,0.694689718285474,0.571109647209045,40431,28087,0.5568956852609663,0.5984415985187471,0.5207438238453276,,,2026-02-04 08:54:04
13,stsb_client,stsb,0.13925790023221488,0.10599640327071617,4249,906,,0.13925790023221488,0.12399370136069326,0.2685323682624411,0.10571013644809858,0.32513095276841697,0.24093769513027563,0.08760292396107887,1500,327,,0.24093769513027563,0.2388970210691106,0.2472749799489975,0.9117570425997804,0.08824295835693677,1500,,,,,0.23379557994153088,0.23210914292154156,2026-02-04 08:54:13
13,sst2_client,sst2,0.7300269266061946,0.5347136212268533,66477,48530,0.7292659860122185,,,,,,0.7637614678899083,0.5036504395784588,872,666,0.7635491867955859,,,,0.7511467889908257,0.5044271970560791,872,655,0.7836490528414755,0.7645914396887159,0.803680981595092,,,2026-02-04 08:54:41
13,qqp_client,qqp,0.6757324181005828,0.5894463272536243,323415,218542,0.6581592295696902,,,,,,0.6948133857683461,0.5703938740884592,40431,28092,0.6893412248616818,,,,0.6933293759738814,0.5715391199596029,40431,28032,0.5602411775137436,0.5938792390405294,0.5302094522019334,,,2026-02-04 08:56:52
