round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,stsb_client,stsb,0.04505602012624952,0.14373371474833502,4249,830,,0.04505602012624952,0.054221503007320405,0.30729396579323337,0.1439588371835774,0.37941907857088236,0.3193171442370886,0.08794929959038471,1500,345,,0.3193171442370886,0.31705997129577207,0.24403637647628784,0.49415541897057425,0.5058445844650269,1500,,,,,-0.10024470688569045,-0.09260169150542663,2026-02-01 09:30:01
1,sst2_client,sst2,0.7152699429878003,0.5519265107891189,66477,47549,0.714105262191846,,,,,,0.7580275229357798,0.5058624848313288,872,661,0.7564149242369064,,,,0.43922018348623854,0.9900214967377688,872,383,0.0,0.0,0.0,,,2026-02-01 09:30:32
1,qqp_client,qqp,0.6856175502063911,0.5801370800847034,323415,221739,0.6707877830778023,,,,,,0.7119042319012638,0.54316879429445,40431,28783,0.7051351653096158,,,,0.46123024411961117,0.7245069211538469,40431,18648,0.49703294927151404,0.37880547636645195,0.7225429645542427,,,2026-02-01 09:32:46
2,stsb_client,stsb,0.279428869843985,0.08979357940578277,4249,999,,0.279428869843985,0.2696777441891859,0.2461968347065065,0.08994135080417254,0.29990223541042926,0.4388497684482483,0.07078252295824758,1500,402,,0.4388497684482483,0.43296550443943477,0.21931514143943787,0.9119776031508614,0.08802239713072776,1500,,,,,0.31931714423394025,0.31705997129577207,2026-02-01 09:32:58
2,sst2_client,sst2,0.7285527325240309,0.5387105085816409,66477,48432,0.7278955519231742,,,,,,0.7660550458715596,0.501658859466194,872,668,0.7660550458715596,,,,0.7580275229357798,0.5058624903679988,872,661,0.7917077986179664,0.7652671755725191,0.820040899795501,,,2026-02-01 09:33:26
2,qqp_client,qqp,0.6895938654669697,0.5744327402170968,323415,223025,0.6781350536283397,,,,,,0.7154411219114046,0.5388823998336458,40431,28926,0.7085391969472224,,,,0.7119042319012638,0.543168642754069,40431,28783,0.571764705882353,0.6319895968790638,0.5220193340494093,,,2026-02-01 09:35:41
3,stsb_client,stsb,0.36829868826154694,0.07880281599035445,4249,1067,,0.36829868826154694,0.3539076322297373,0.23052507959885768,0.078878126217501,0.2808524990408684,0.49205072866942606,0.0654584175728737,1500,414,,0.49205072866942606,0.4827219126228201,0.2109615057706833,0.9291239253663178,0.07087607466677824,1500,,,,,0.43884976852633684,0.43296550443943477,2026-02-01 09:35:52
3,sst2_client,sst2,0.7316515486559261,0.5359707974300918,66477,48638,0.7310168132226476,,,,,,0.7614678899082569,0.5010955291330268,872,664,0.7602624228770241,,,,0.7660550458715596,0.5016588585092387,872,668,0.7914110429447851,0.7914110429447853,0.7914110429447853,,,2026-02-01 09:36:22
3,qqp_client,qqp,0.6893155852387799,0.5742757906041398,323415,222935,0.6780378370677692,,,,,,0.7136850436546215,0.5436055062078514,40431,28855,0.7124457338581449,,,,0.7154411219114046,0.5388837824877706,40431,28926,0.5759775918623079,0.638555201438261,0.5245703544575725,,,2026-02-01 09:38:38
4,stsb_client,stsb,0.40432056404143524,0.07465093856663409,4249,1070,,0.40432056404143524,0.39157043914058715,0.2253818177655567,0.07474287203756862,0.2733914264156223,0.518831759891785,0.06381890025643751,1500,408,,0.518831759891785,0.5036266031636768,0.20802412927150726,0.934451966111624,0.06554803390304248,1500,,,,,0.49205072621324925,0.4827219126228201,2026-02-01 09:38:49
