accuracy,client_id,device_type,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_memory_total_gb,gpu_memory_utilization_pct,gpu_name,loss,phase,round,samples_processed,task,timestamp
0.0,sst2_client,cuda,0.054464,0.071303168,8.071348224,0.6747819383885871,NVIDIA GeForce RTX 5060,0.0,training_start,1,0,all_tasks,2026-02-01 09:29:57
0.7152699429878003,sst2_client,cuda,0.062991872,0.069206016,8.071348224,0.7804380414748415,NVIDIA GeForce RTX 5060,0.5519265107891189,task_complete,1,66477,sst2,2026-02-01 09:30:32
0.0,sst2_client,cuda,0.06299392,0.069206016,8.071348224,0.7804634151787526,NVIDIA GeForce RTX 5060,0.0,round_complete,1,0,all_tasks,2026-02-01 09:30:32
0.0,sst2_client,cuda,0.06299136,0.071303168,8.071348224,0.7804316980488637,NVIDIA GeForce RTX 5060,0.0,training_start,2,0,all_tasks,2026-02-01 09:32:51
0.7285527325240309,sst2_client,cuda,0.062991872,0.069206016,8.071348224,0.7804380414748415,NVIDIA GeForce RTX 5060,0.5387105085816409,task_complete,2,66477,sst2,2026-02-01 09:33:26
0.0,sst2_client,cuda,0.06299392,0.069206016,8.071348224,0.7804634151787526,NVIDIA GeForce RTX 5060,0.0,round_complete,2,0,all_tasks,2026-02-01 09:33:26
0.0,sst2_client,cuda,0.06299136,0.071303168,8.071348224,0.7804316980488637,NVIDIA GeForce RTX 5060,0.0,training_start,3,0,all_tasks,2026-02-01 09:35:48
0.7316515486559261,sst2_client,cuda,0.062991872,0.069206016,8.071348224,0.7804380414748415,NVIDIA GeForce RTX 5060,0.5359707974300918,task_complete,3,66477,sst2,2026-02-01 09:36:22
0.0,sst2_client,cuda,0.06299392,0.069206016,8.071348224,0.7804634151787526,NVIDIA GeForce RTX 5060,0.0,round_complete,3,0,all_tasks,2026-02-01 09:36:22
0.0,sst2_client,cuda,0.06299136,0.071303168,8.071348224,0.7804316980488637,NVIDIA GeForce RTX 5060,0.0,training_start,4,0,all_tasks,2026-02-01 09:38:45
0.7322683033229538,sst2_client,cuda,0.062991872,0.069206016,8.071348224,0.7804380414748415,NVIDIA GeForce RTX 5060,0.5351666020115144,task_complete,4,66477,sst2,2026-02-01 09:39:19
0.0,sst2_client,cuda,0.06299392,0.069206016,8.071348224,0.7804634151787526,NVIDIA GeForce RTX 5060,0.0,round_complete,4,0,all_tasks,2026-02-01 09:39:19
0.0,sst2_client,cuda,0.06299136,0.071303168,8.071348224,0.7804316980488637,NVIDIA GeForce RTX 5060,0.0,training_start,5,0,all_tasks,2026-02-01 09:41:41
0.7328248868029544,sst2_client,cuda,0.062991872,0.069206016,8.071348224,0.7804380414748415,NVIDIA GeForce RTX 5060,0.5338580990562083,task_complete,5,66477,sst2,2026-02-01 09:42:16
0.0,sst2_client,cuda,0.06299392,0.069206016,8.071348224,0.7804634151787526,NVIDIA GeForce RTX 5060,0.0,round_complete,5,0,all_tasks,2026-02-01 09:42:16
0.0,sst2_client,cuda,0.06299136,0.071303168,8.071348224,0.7804316980488637,NVIDIA GeForce RTX 5060,0.0,training_start,6,0,all_tasks,2026-02-01 09:44:38
0.7315763346721422,sst2_client,cuda,0.062991872,0.069206016,8.071348224,0.7804380414748415,NVIDIA GeForce RTX 5060,0.5348679036126168,task_complete,6,66477,sst2,2026-02-01 09:45:13
0.0,sst2_client,cuda,0.06299392,0.069206016,8.071348224,0.7804634151787526,NVIDIA GeForce RTX 5060,0.0,round_complete,6,0,all_tasks,2026-02-01 09:45:13
0.0,sst2_client,cuda,0.06299136,0.071303168,8.071348224,0.7804316980488637,NVIDIA GeForce RTX 5060,0.0,training_start,7,0,all_tasks,2026-02-01 09:47:34
0.7311551363629526,sst2_client,cuda,0.062991872,0.069206016,8.071348224,0.7804380414748415,NVIDIA GeForce RTX 5060,0.5348695558438663,task_complete,7,66477,sst2,2026-02-01 09:48:09
0.0,sst2_client,cuda,0.06299392,0.069206016,8.071348224,0.7804634151787526,NVIDIA GeForce RTX 5060,0.0,round_complete,7,0,all_tasks,2026-02-01 09:48:09
0.0,sst2_client,cuda,0.06299136,0.071303168,8.071348224,0.7804316980488637,NVIDIA GeForce RTX 5060,0.0,training_start,8,0,all_tasks,2026-02-01 09:50:30
0.7324337740872783,sst2_client,cuda,0.062991872,0.069206016,8.071348224,0.7804380414748415,NVIDIA GeForce RTX 5060,0.534837582773752,task_complete,8,66477,sst2,2026-02-01 09:51:05
0.0,sst2_client,cuda,0.06299392,0.069206016,8.071348224,0.7804634151787526,NVIDIA GeForce RTX 5060,0.0,round_complete,8,0,all_tasks,2026-02-01 09:51:05
0.0,sst2_client,cuda,0.06299136,0.071303168,8.071348224,0.7804316980488637,NVIDIA GeForce RTX 5060,0.0,training_start,9,0,all_tasks,2026-02-01 09:53:27
0.7327797584126841,sst2_client,cuda,0.062991872,0.069206016,8.071348224,0.7804380414748415,NVIDIA GeForce RTX 5060,0.533089778102513,task_complete,9,66477,sst2,2026-02-01 09:54:01
0.0,sst2_client,cuda,0.06299392,0.069206016,8.071348224,0.7804634151787526,NVIDIA GeForce RTX 5060,0.0,round_complete,9,0,all_tasks,2026-02-01 09:54:01
0.0,sst2_client,cuda,0.06299136,0.071303168,8.071348224,0.7804316980488637,NVIDIA GeForce RTX 5060,0.0,training_start,10,0,all_tasks,2026-02-01 09:56:30
0.7320727469651157,sst2_client,cuda,0.062991872,0.069206016,8.071348224,0.7804380414748415,NVIDIA GeForce RTX 5060,0.5338587843589978,task_complete,10,66477,sst2,2026-02-01 09:57:03
