round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,stsb_client,stsb,0.37437419330404353,0.08447611414097841,4249,1088,,0.37437419330404353,0.35881617472408184,0.23506486077768174,0.08461444333169958,0.290885618983991,0.6326367215199911,0.05183437494734461,1500,516,,0.6326367215199911,0.5722029197613812,0.18118098378181458,0.8615875717889911,0.13841242933273315,1500,,,,,0.023402248281717206,0.034105306755644216,2026-02-04 20:24:26
1,sst2_client,sst2,0.8439008980549664,0.37203121114573773,66477,56100,0.8440801717193823,,,,,,0.8956422018348624,0.32929209924362807,872,781,0.8955647771019434,,,,0.5080275229357798,0.7137040550555658,872,443,0.555440414507772,0.5630252100840336,0.5480572597137015,,,2026-02-04 20:25:47
1,qqp_client,qqp,0.7769182010729249,0.4560681382616156,323415,251267,0.7761965196601575,,,,,,0.816329054438426,0.4179324420387545,40431,33005,0.815178026441575,,,,0.6313225000618338,0.7068623030012625,40431,25525,0.004009087264466123,0.42857142857142855,0.002013963480128894,,,2026-02-04 20:32:14
2,stsb_client,stsb,0.5331425804434292,0.06706065785566948,4249,1238,,0.5331425804434292,0.5054464631334631,0.2069474361763702,0.06700733057844593,0.25885774197123396,0.6898136489170116,0.04813068108930391,1500,523,,0.6898136489170116,0.6416161005832939,0.1741095781326294,0.7984897017999336,0.2015102981130282,1500,,,,,0.31171056921146967,0.2898726198350532,2026-02-04 20:33:19
2,sst2_client,sst2,0.8765738526106773,0.32556272638332945,66477,58272,0.8767366211158302,,,,,,0.9013761467889908,0.3239434889855222,872,786,0.9015837097453661,,,,0.7694954128440367,0.5080997902865804,872,671,0.762130177514793,0.9044943820224719,0.6584867075664622,,,2026-02-04 20:34:49
2,qqp_client,qqp,0.8066508974537359,0.41478879446894096,323415,260883,0.8064455367067912,,,,,,0.8277311963592293,0.40087451730870655,40431,33466,0.8274307607277053,,,,0.7410897578590685,0.5510568368405716,40431,29963,0.6564038600407011,0.6421965317919075,0.6712540279269602,,,2026-02-04 20:41:09
3,stsb_client,stsb,0.604052424157084,0.05843105433767844,4249,1395,,0.604052424157084,0.5770768389132122,0.19193216663241477,0.0584083012049306,0.2416780941768008,0.706051927714009,0.04890451960493513,1500,571,,0.706051927714009,0.6573538714772023,0.17197012901306152,0.8319289442904125,0.16807105487585067,1500,,,,,0.46684739425437893,0.4385412483992326,2026-02-04 20:42:10
3,sst2_client,sst2,0.8931058862463709,0.3012250751318302,66477,59371,0.8932297144099515,,,,,,0.9059633027522935,0.35077621857635677,872,790,0.9058172611407764,,,,0.8107798165137615,0.40675576352471604,872,707,0.808362369337979,0.9354838709677419,0.7116564417177914,,,2026-02-04 20:43:33
3,qqp_client,qqp,0.8215543496745668,0.3906037986762337,323415,265703,0.8215177428013629,,,,,,0.8336672355370879,0.37552381448722644,40431,33706,0.8342990379585092,,,,0.7874403304395142,0.45660451598195845,40431,31837,0.7301048929087368,0.6859435855069043,0.780343716433942,,,2026-02-04 20:50:04
4,stsb_client,stsb,0.6307610956226488,0.05529402676248517,4249,1415,,0.6307610956226488,0.6044950128357164,0.1865443969434743,0.05476160519549098,0.23401197660694845,0.7295863730028805,0.04199794677898605,1500,611,,0.7295863730028805,0.6845672084764614,0.1592971384525299,0.8919218287616535,0.1080781714717547,1500,,,,,0.5837461878602948,0.5506736546585185,2026-02-04 20:51:08
