round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.4342,0.6514,0.0000,3,3,170.49,1,1,0.5378,0.6593,0.3706,0.5393,-0.1002,-0.0726,2026-02-04 08:23:23
2,3,0.4603,0.6904,0.0000,3,3,166.45,2,2,0.7339,0.7782,0.6854,0.5033,-0.0787,-0.0547,2026-02-04 08:26:09
3,3,0.4653,0.6957,0.0044,3,3,168.46,3,3,0.7489,0.7838,0.6878,0.5583,-0.0293,-0.0111,2026-02-04 08:28:58
4,3,0.4719,0.6991,0.0174,3,3,168.54,4,4,0.7431,0.7760,0.6903,0.5507,0.0299,0.0437,2026-02-04 08:31:46
5,3,0.4811,0.6984,0.0464,3,3,166.45,5,5,0.7466,0.7801,0.6925,0.5486,0.0763,0.0871,2026-02-04 08:34:33
6,3,0.4914,0.7005,0.0731,3,3,168.47,6,6,0.7466,0.7792,0.6928,0.5345,0.1133,0.1214,2026-02-04 08:37:21
7,3,0.5016,0.7011,0.1027,3,3,166.46,7,7,0.7477,0.7817,0.6926,0.5525,0.1450,0.1503,2026-02-04 08:40:08
8,3,0.5077,0.7010,0.1212,3,3,168.47,8,8,0.7477,0.7809,0.6939,0.5507,0.1668,0.1702,2026-02-04 08:42:56
9,3,0.5129,0.7021,0.1344,3,3,166.45,9,9,0.7603,0.7865,0.6925,0.5588,0.1876,0.1886,2026-02-04 08:45:42
10,3,0.5125,0.7019,0.1338,3,3,166.45,10,10,0.7511,0.7836,0.6953,0.5478,0.2022,0.2026,2026-02-04 08:48:29
11,3,0.5143,0.7027,0.1376,3,3,168.45,11,11,0.7534,0.7848,0.6941,0.5549,0.2135,0.2129,2026-02-04 08:51:17
12,3,0.5181,0.7029,0.1486,3,3,166.48,12,12,0.7649,0.7915,0.6947,0.5569,0.2231,0.2221,2026-02-04 08:54:04
13,3,0.5150,0.7029,0.1393,3,3,168.47,13,13,0.7511,0.7836,0.6933,0.5602,0.2338,0.2321,2026-02-04 08:56:52
14,3,0.5259,0.7020,0.1736,3,3,168.47,14,14,0.7638,0.7907,0.6948,0.5548,0.2409,0.2389,2026-02-04 08:59:41
15,3,0.5267,0.7021,0.1759,3,3,168.45,15,15,0.7569,0.7863,0.6958,0.5405,0.2481,0.2454,2026-02-04 09:02:29
16,3,0.5294,0.7020,0.1842,3,3,168.45,16,16,0.7580,0.7888,0.6951,0.5510,0.2540,0.2506,2026-02-04 09:05:18
17,3,0.5286,0.7037,0.1785,3,3,166.46,17,17,0.7557,0.7859,0.6955,0.5473,0.2587,0.2554,2026-02-04 09:08:04
18,3,0.5317,0.7026,0.1900,3,3,168.44,18,18,0.7580,0.7871,0.6950,0.5572,0.2628,0.2592,2026-02-04 09:10:53
19,3,0.5316,0.7029,0.1890,3,3,166.47,19,19,0.7546,0.7847,0.6945,0.5572,0.2663,0.2623,2026-02-04 09:13:39
20,3,0.5347,0.7023,0.1993,3,3,168.46,20,20,0.7557,0.7859,0.6949,0.5549,0.2699,0.2660,2026-02-04 09:16:28
21,3,0.5295,0.7032,0.1820,3,3,166.53,21,21,0.7557,0.7859,0.6949,0.5499,0.2724,0.2681,2026-02-04 09:19:14
22,3,0.5368,0.7022,0.2060,3,3,166.45,22,22,0.7569,0.7871,0.6950,0.5548,0.2754,0.2712,2026-02-04 09:22:00
23,3,0.5364,0.7042,0.2007,3,3,168.49,23,23,0.7557,0.7864,0.6950,0.5492,0.2782,0.2736,2026-02-04 09:24:49
24,3,0.5361,0.7026,0.2030,3,3,166.44,24,24,0.7569,0.7871,0.6955,0.5471,0.2805,0.2756,2026-02-04 09:27:35
25,3,0.5277,0.7040,0.1750,3,3,168.47,25,25,0.7569,0.7871,0.6947,0.5502,0.2824,0.2773,2026-02-04 09:30:24
