round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,9,0.6506,0.9009,0.1502,9,9,432.44,1,1,0.5700,0.6787,0.5906,0.2175,0.1359,0.1261,2026-02-19 07:58:45
2,9,0.6846,0.9061,0.2417,9,9,435.34,2,2,0.6766,0.6519,0.6335,0.0123,0.2375,0.2325,2026-02-19 08:06:01
3,9,0.7176,0.9117,0.3292,9,9,430.24,3,3,0.6468,0.5497,0.6320,0.0015,0.2999,0.2940,2026-02-19 08:13:11
4,9,0.7254,0.9149,0.3463,9,9,433.93,4,4,0.6284,0.5031,0.6351,0.0208,0.3421,0.3372,2026-02-19 08:20:25
5,9,0.7477,0.9161,0.4107,9,9,418.80,5,5,0.6709,0.5847,0.6529,0.1317,0.3680,0.3620,2026-02-19 08:27:24
6,9,0.7417,0.9176,0.3900,9,9,413.45,6,6,0.6892,0.6178,0.6715,0.2409,0.3846,0.3777,2026-02-19 08:34:17
7,9,0.7581,0.9201,0.4341,9,9,409.34,7,7,0.6995,0.6371,0.6929,0.3544,0.3896,0.3833,2026-02-19 08:41:06
8,9,0.7705,0.9220,0.4676,9,9,407.25,8,8,0.7305,0.6879,0.7222,0.4891,0.3987,0.3916,2026-02-19 08:47:54
9,9,0.7746,0.9226,0.4787,9,9,410.31,9,9,0.7729,0.7525,0.7320,0.5258,0.3987,0.3904,2026-02-19 08:54:44
10,9,0.7754,0.9239,0.4783,9,9,408.07,10,10,0.7683,0.7462,0.7277,0.5012,0.4007,0.3932,2026-02-19 09:01:32
11,9,0.7871,0.9249,0.5116,9,9,405.58,11,11,0.7833,0.7692,0.7426,0.5595,0.3980,0.3906,2026-02-19 09:08:18
12,9,0.7731,0.9262,0.4669,9,9,409.32,12,12,0.7775,0.7617,0.7424,0.5579,0.4000,0.3934,2026-02-19 09:15:07
13,9,0.7795,0.9268,0.4848,9,9,409.58,13,13,0.7913,0.7791,0.7564,0.6098,0.4007,0.3930,2026-02-19 09:21:57
14,9,0.7813,0.9280,0.4881,9,9,407.54,14,14,0.7959,0.7861,0.7601,0.6225,0.4009,0.3939,2026-02-19 09:28:44
15,9,0.7838,0.9273,0.4967,9,9,412.22,15,15,0.8028,0.7952,0.7661,0.6457,0.3982,0.3908,2026-02-19 09:35:36
16,9,0.7857,0.9291,0.4990,9,9,404.32,16,16,0.8073,0.8009,0.7684,0.6511,0.3931,0.3858,2026-02-19 09:42:21
17,9,0.7868,0.9298,0.5006,9,9,407.99,17,17,0.8154,0.8126,0.7700,0.6548,0.3946,0.3865,2026-02-19 09:49:09
18,9,0.7934,0.9299,0.5203,9,9,406.62,18,18,0.8188,0.8167,0.7679,0.6446,0.3937,0.3856,2026-02-19 09:55:55
19,9,0.7862,0.9307,0.4973,9,9,407.60,19,19,0.8177,0.8149,0.7700,0.6507,0.3949,0.3873,2026-02-19 10:02:43
20,9,0.7911,0.9304,0.5125,9,9,409.33,20,20,0.8200,0.8177,0.7721,0.6589,0.3948,0.3869,2026-02-19 10:09:32
21,9,0.7842,0.9311,0.4906,9,9,408.61,21,21,0.8188,0.8159,0.7715,0.6555,0.3948,0.3872,2026-02-19 10:16:21
22,9,0.7845,0.9316,0.4902,9,9,406.67,22,22,0.8177,0.8153,0.7748,0.6668,0.3927,0.3848,2026-02-19 10:23:08
23,9,0.7911,0.9303,0.5127,9,9,409.99,23,23,0.8188,0.8171,0.7726,0.6585,0.3947,0.3873,2026-02-19 10:29:57
24,9,0.7969,0.9313,0.5280,9,9,405.88,24,24,0.8234,0.8226,0.7739,0.6642,0.3981,0.3902,2026-02-19 10:36:43
25,9,0.7907,0.9309,0.5102,9,9,407.13,25,25,0.8222,0.8212,0.7737,0.6637,0.3981,0.3906,2026-02-19 10:43:31
