accuracy,client_id,device_type,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_memory_total_gb,gpu_memory_utilization_pct,gpu_name,loss,phase,round,samples_processed,task,timestamp
0.0,qqp_client_2,cuda,0.054464,0.090177536,25.756696576,0.21145568819081156,NVIDIA RTX A5000,0.0,training_start,1,0,all_tasks,2026-02-22 08:24:48
0.8517739201589807,qqp_client_2,cuda,0.196857344,0.239075328,25.756696576,0.7642957761261628,NVIDIA RTX A5000,0.37926833629170575,task_complete,1,34218,qqp,2026-02-22 08:28:01
0.0,qqp_client_2,cuda,0.241744384,0.278921216,25.756696576,0.938569056348851,NVIDIA RTX A5000,0.0,round_complete,1,0,all_tasks,2026-02-22 08:28:22
0.0,qqp_client_2,cuda,0.196856832,0.278921216,25.756696576,0.7642937882936064,NVIDIA RTX A5000,0.0,training_start,2,0,all_tasks,2026-02-22 08:31:23
0.858349406744988,qqp_client_2,cuda,0.196857344,0.239075328,25.756696576,0.7642957761261628,NVIDIA RTX A5000,0.3501078554111489,task_complete,2,34218,qqp,2026-02-22 08:34:38
0.0,qqp_client_2,cuda,0.241744384,0.278921216,25.756696576,0.938569056348851,NVIDIA RTX A5000,0.0,round_complete,2,0,all_tasks,2026-02-22 08:34:59
0.0,qqp_client_2,cuda,0.196856832,0.278921216,25.756696576,0.7642937882936064,NVIDIA RTX A5000,0.0,training_start,3,0,all_tasks,2026-02-22 08:37:59
0.8654801566427027,qqp_client_2,cuda,0.196857344,0.239075328,25.756696576,0.7642957761261628,NVIDIA RTX A5000,0.3405336090174707,task_complete,3,34218,qqp,2026-02-22 08:41:07
0.0,qqp_client_2,cuda,0.241744384,0.278921216,25.756696576,0.938569056348851,NVIDIA RTX A5000,0.0,round_complete,3,0,all_tasks,2026-02-22 08:41:25
0.0,qqp_client_2,cuda,0.196856832,0.278921216,25.756696576,0.7642937882936064,NVIDIA RTX A5000,0.0,training_start,4,0,all_tasks,2026-02-22 08:44:19
0.8701560582149745,qqp_client_2,cuda,0.196857344,0.239075328,25.756696576,0.7642957761261628,NVIDIA RTX A5000,0.3229347980951206,task_complete,4,34218,qqp,2026-02-22 08:47:24
0.0,qqp_client_2,cuda,0.241744384,0.278921216,25.756696576,0.938569056348851,NVIDIA RTX A5000,0.0,round_complete,4,0,all_tasks,2026-02-22 08:47:45
0.0,qqp_client_2,cuda,0.196856832,0.278921216,25.756696576,0.7642937882936064,NVIDIA RTX A5000,0.0,training_start,5,0,all_tasks,2026-02-22 08:50:50
0.8762347302589281,qqp_client_2,cuda,0.196857344,0.239075328,25.756696576,0.7642957761261628,NVIDIA RTX A5000,0.31299949715546604,task_complete,5,34218,qqp,2026-02-22 08:53:53
0.0,qqp_client_2,cuda,0.241744384,0.278921216,25.756696576,0.938569056348851,NVIDIA RTX A5000,0.0,round_complete,5,0,all_tasks,2026-02-22 08:54:12
0.0,qqp_client_2,cuda,0.196856832,0.278921216,25.756696576,0.7642937882936064,NVIDIA RTX A5000,0.0,training_start,6,0,all_tasks,2026-02-22 08:57:10
0.8799754515167456,qqp_client_2,cuda,0.196857344,0.239075328,25.756696576,0.7642957761261628,NVIDIA RTX A5000,0.3072832034271739,task_complete,6,34218,qqp,2026-02-22 09:00:11
0.0,qqp_client_2,cuda,0.241744384,0.278921216,25.756696576,0.938569056348851,NVIDIA RTX A5000,0.0,round_complete,6,0,all_tasks,2026-02-22 09:00:29
0.0,qqp_client_2,cuda,0.196856832,0.278921216,25.756696576,0.7642937882936064,NVIDIA RTX A5000,0.0,training_start,7,0,all_tasks,2026-02-22 09:03:31
0.8856157577882986,qqp_client_2,cuda,0.196857344,0.239075328,25.756696576,0.7642957761261628,NVIDIA RTX A5000,0.29800002322609087,task_complete,7,34218,qqp,2026-02-22 09:06:38
0.0,qqp_client_2,cuda,0.241744384,0.278921216,25.756696576,0.938569056348851,NVIDIA RTX A5000,0.0,round_complete,7,0,all_tasks,2026-02-22 09:06:57
0.0,qqp_client_2,cuda,0.196856832,0.278921216,25.756696576,0.7642937882936064,NVIDIA RTX A5000,0.0,training_start,8,0,all_tasks,2026-02-22 09:09:46
0.8883628499620083,qqp_client_2,cuda,0.196857344,0.239075328,25.756696576,0.7642957761261628,NVIDIA RTX A5000,0.2922795137908404,task_complete,8,34218,qqp,2026-02-22 09:12:50
0.0,qqp_client_2,cuda,0.241744384,0.278921216,25.756696576,0.938569056348851,NVIDIA RTX A5000,0.0,round_complete,8,0,all_tasks,2026-02-22 09:13:11
0.0,qqp_client_2,cuda,0.196856832,0.278921216,25.756696576,0.7642937882936064,NVIDIA RTX A5000,0.0,training_start,9,0,all_tasks,2026-02-22 09:16:20
0.8914898591384651,qqp_client_2,cuda,0.196857344,0.239075328,25.756696576,0.7642957761261628,NVIDIA RTX A5000,0.29175303756523235,task_complete,9,34218,qqp,2026-02-22 09:19:25
0.0,qqp_client_2,cuda,0.241744384,0.278921216,25.756696576,0.938569056348851,NVIDIA RTX A5000,0.0,round_complete,9,0,all_tasks,2026-02-22 09:19:46
0.0,qqp_client_2,cuda,0.196856832,0.278921216,25.756696576,0.7642937882936064,NVIDIA RTX A5000,0.0,training_start,10,0,all_tasks,2026-02-22 09:22:33
0.8953474779355894,qqp_client_2,cuda,0.196857344,0.239075328,25.756696576,0.7642957761261628,NVIDIA RTX A5000,0.28617923516072163,task_complete,10,34218,qqp,2026-02-22 09:25:45
0.0,qqp_client_2,cuda,0.241744384,0.278921216,25.756696576,0.938569056348851,NVIDIA RTX A5000,0.0,round_complete,10,0,all_tasks,2026-02-22 09:26:08
0.0,qqp_client_2,cuda,0.196856832,0.278921216,25.756696576,0.7642937882936064,NVIDIA RTX A5000,0.0,training_start,11,0,all_tasks,2026-02-22 09:29:08
0.8979776725699924,qqp_client_2,cuda,0.196857344,0.239075328,25.756696576,0.7642957761261628,NVIDIA RTX A5000,0.28124152468184616,task_complete,11,34218,qqp,2026-02-22 09:32:23
0.0,qqp_client_2,cuda,0.241744384,0.278921216,25.756696576,0.938569056348851,NVIDIA RTX A5000,0.0,round_complete,11,0,all_tasks,2026-02-22 09:32:43
0.0,qqp_client_2,cuda,0.196856832,0.278921216,25.756696576,0.7642937882936064,NVIDIA RTX A5000,0.0,training_start,12,0,all_tasks,2026-02-22 09:35:35
