round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,sst2_client_1,sst2,0.7971478857349158,0.4395238216959666,22159,17664,0.7972577096404054,,,,,,0.8612385321100917,0.342438891427506,872,751,0.8612870709200984,,,,0.5435779816513762,0.7132008206953696,872,474,0.6851265822784811,0.541927409261577,0.9311827956989247,,,2026-02-23 07:39:05
1,sst2_client_2,sst2,0.7973735276862675,0.4387069951709266,22159,17669,0.7973820693032211,,,,,,0.8497706422018348,0.34995274355105305,872,741,0.8498865294983684,,,,0.5435779816513762,0.7132008179612116,872,474,0.6851265822784811,0.541927409261577,0.9311827956989247,,,2026-02-23 07:39:14
1,sst2_client_3,sst2,0.7936729996841013,0.43995837204171756,22159,17587,0.7938533229247865,,,,,,0.8646788990825688,0.3482062158883985,872,754,0.8647985312758527,,,,0.5435779816513762,0.713200818781459,872,474,0.6851265822784811,0.541927409261577,0.9311827956989247,,,2026-02-23 07:39:23
2,sst2_client_1,sst2,0.8761225687079742,0.32700499382075127,22159,19414,0.8763332458710118,,,,,,0.8772935779816514,0.3630381925116985,872,765,0.8769196712255319,,,,0.8589449541284404,0.33963520624973903,872,749,0.8637873754152823,0.8904109589041096,0.8387096774193549,,,2026-02-23 07:42:20
2,sst2_client_2,sst2,0.873414865291755,0.3259534250738079,22159,19354,0.8735744777056855,,,,,,0.875,0.33553358598467,872,763,0.8751358167774054,,,,0.8589449541284404,0.3396352068051149,872,749,0.8637873754152823,0.8904109589041096,0.8387096774193549,,,2026-02-23 07:42:28
2,sst2_client_3,sst2,0.8741369195360802,0.32677371271084055,22159,19370,0.8742903580374651,,,,,,0.8727064220183486,0.31629700909172176,872,761,0.8728043768641742,,,,0.8589449541284404,0.3396352077022605,872,749,0.8637873754152823,0.8904109589041096,0.8387096774193549,,,2026-02-23 07:42:36
3,sst2_client_1,sst2,0.9059073062863847,0.27762626997579315,22159,20074,0.9060156359711925,,,,,,0.8910550458715596,0.37500576963733645,872,777,0.8910632476617097,,,,0.875,0.3243675330448725,872,763,0.8800880088008801,0.9009009009009009,0.8602150537634409,,,2026-02-23 07:45:30
3,sst2_client_2,sst2,0.905094995261519,0.2768765657988885,22159,20056,0.9052270949704067,,,,,,0.8887614678899083,0.4002462311523941,872,775,0.8887345646960476,,,,0.875,0.324367532886804,872,763,0.8800880088008801,0.9009009009009009,0.8602150537634409,,,2026-02-23 07:45:38
3,sst2_client_3,sst2,0.9044631977977345,0.2787090317487367,22159,20042,0.9045804680718946,,,,,,0.8899082568807339,0.34187694370464655,872,776,0.8900183509416228,,,,0.875,0.32436753316021977,872,763,0.8800880088008801,0.9009009009009009,0.8602150537634409,,,2026-02-23 07:45:47
4,sst2_client_1,sst2,0.9224242971253216,0.24846192159879504,22159,20440,0.9225075955187653,,,,,,0.8853211009174312,0.41976855285337555,872,772,0.8854224841320786,,,,0.8922018348623854,0.3642558967993689,872,778,0.8980477223427332,0.9059080962800875,0.8903225806451613,,,2026-02-23 07:48:41
4,sst2_client_2,sst2,0.9221535267836997,0.2502291899826294,22159,20434,0.9222404824011299,,,,,,0.8899082568807339,0.4562772107107667,872,776,0.8899535908262693,,,,0.8922018348623854,0.3642558979079845,872,778,0.8980477223427332,0.9059080962800875,0.8903225806451613,,,2026-02-23 07:48:49
4,sst2_client_3,sst2,0.9248612301999187,0.24225735817821561,22159,20494,0.9249419118899035,,,,,,0.8922018348623854,0.36675837483479207,872,778,0.8922700903489647,,,,0.8922018348623854,0.36425590407052033,872,778,0.8980477223427332,0.9059080962800875,0.8903225806451613,,,2026-02-23 07:48:56
5,sst2_client_2,sst2,0.938625389232366,0.21243215468691137,22159,20799,0.9386773541883326,,,,,,0.8922018348623854,0.4561447359284027,872,778,0.891950205158516,,,,0.8922018348623854,0.4062811641028971,872,778,0.8967032967032967,0.9168539325842696,0.8774193548387097,,,2026-02-23 07:51:46
5,sst2_client_1,sst2,0.9372264091339861,0.21403676870113847,22159,20768,0.9372916227818116,,,,,,0.893348623853211,0.43867141386246256,872,779,0.8934466015983554,,,,0.8922018348623854,0.40628116483983817,872,778,0.8967032967032967,0.9168539325842696,0.8774193548387097,,,2026-02-23 07:51:56
5,sst2_client_3,sst2,0.9373617943047972,0.21655177142671125,22159,20771,0.9374216081402544,,,,,,0.893348623853211,0.4663679304045685,872,779,0.8934213494923681,,,,0.8922018348623854,0.40628116238764017,872,778,0.8967032967032967,0.9168539325842696,0.8774193548387097,,,2026-02-23 07:52:05
6,sst2_client_2,sst2,0.9494110745069724,0.1886315431639162,22159,21038,0.9494494860853911,,,,,,0.9036697247706422,0.48742352449575466,872,788,0.9036208137398072,,,,0.8990825688073395,0.43561992570095687,872,784,0.9053763440860215,0.9053763440860215,0.9053763440860215,,,2026-02-23 07:55:09
6,sst2_client_1,sst2,0.9494110745069724,0.18830491602923033,22159,21038,0.9494508905903828,,,,,,0.9036697247706422,0.4645243657954729,872,788,0.9036971943659908,,,,0.8990825688073395,0.4356199245875351,872,784,0.9053763440860215,0.9053763440860215,0.9053763440860215,,,2026-02-23 07:55:16
6,sst2_client_3,sst2,0.9475608105058893,0.18830463336927764,22159,20997,0.94760087016573,,,,,,0.8956422018348624,0.4720897426125978,872,781,0.8957441031377859,,,,0.8990825688073395,0.4356199319500032,872,784,0.9053763440860215,0.9053763440860215,0.9053763440860215,,,2026-02-23 07:55:23
7,sst2_client_1,sst2,0.9545105826075184,0.16979495435418343,22159,21151,0.954537181696159,,,,,,0.911697247706422,0.44545764321837267,872,795,0.9117574614076596,,,,0.9059633027522935,0.4674785001819671,872,790,0.9114470842332614,0.9154013015184381,0.9075268817204301,,,2026-02-23 07:58:10
7,sst2_client_2,sst2,0.9575793131459001,0.15991212836253862,22159,21219,0.957597934148347,,,,,,0.911697247706422,0.47808344164594085,872,795,0.91176536466698,,,,0.9059633027522935,0.4674784998001462,872,790,0.9114470842332614,0.9154013015184381,0.9075268817204301,,,2026-02-23 07:58:17
7,sst2_client_3,sst2,0.955999819486439,0.16356462077231362,22159,21184,0.9560266005188673,,,,,,0.9025229357798165,0.48202513295456495,872,787,0.9026058228007476,,,,0.9059633027522935,0.4674785063156662,872,790,0.9114470842332614,0.9154013015184381,0.9075268817204301,,,2026-02-23 07:58:23
8,sst2_client_2,sst2,0.96322036192969,0.14382914622696302,22159,21344,0.9632423965958389,,,,,,0.9105504587155964,0.49663621693109417,872,794,0.9105976688645291,,,,0.9071100917431193,0.4627999195886707,872,791,0.9112814895947426,0.9285714285714286,0.8946236559139785,,,2026-02-23 08:01:06
8,sst2_client_1,sst2,0.9629947199783384,0.14497738589795553,22159,21339,0.9630061750084201,,,,,,0.9128440366972477,0.508600714285388,872,796,0.912921241104381,,,,0.9071100917431193,0.46279991724380987,872,791,0.9112814895947426,0.9285714285714286,0.8946236559139785,,,2026-02-23 08:01:13
8,sst2_client_3,sst2,0.9632654903199603,0.14410441617317715,22159,21345,0.9632848449531612,,,,,,0.8922018348623854,0.5667236927248444,872,778,0.8923199449463961,,,,0.9071100917431193,0.46279992071384085,872,791,0.9112814895947426,0.9285714285714286,0.8946236559139785,,,2026-02-23 08:01:20
9,sst2_client_1,sst2,0.9681393564691547,0.12776057288296092,22159,21453,0.968153028102835,,,,,,0.9025229357798165,0.5265024944121518,872,787,0.9025570332909783,,,,0.9059633027522935,0.5141051406707773,872,790,0.9102844638949673,0.9265033407572383,0.8946236559139785,,,2026-02-23 08:04:04
9,sst2_client_2,sst2,0.9680942280788845,0.12769949980841241,22159,21452,0.9681061803927462,,,,,,0.9105504587155964,0.5481373756553085,872,794,0.9105504587155964,,,,0.9059633027522935,0.5141051378295493,872,790,0.9102844638949673,0.9265033407572383,0.8946236559139785,,,2026-02-23 08:04:11
9,sst2_client_3,sst2,0.9692224378356424,0.12007971241799018,22159,21477,0.9692356447112372,,,,,,0.9094036697247706,0.5633256936580938,872,793,0.9094353603527916,,,,0.9059633027522935,0.5141051365444416,872,790,0.9102844638949673,0.9265033407572383,0.8946236559139785,,,2026-02-23 08:04:18
10,sst2_client_2,sst2,0.9725168103253757,0.11343757736055132,22159,21550,0.9725243468226678,,,,,,0.9162844036697247,0.4870054746418337,872,799,0.9163555889935832,,,,0.9059633027522935,0.5467079117216774,872,790,0.9116379310344828,0.9136069114470843,0.9096774193548387,,,2026-02-23 08:07:05
10,sst2_client_1,sst2,0.97170449930051,0.11719862427476845,22159,21532,0.9717142520014872,,,,,,0.9071100917431193,0.5512219674610522,872,791,0.9071641357646095,,,,0.9059633027522935,0.5467079139062002,872,790,0.9116379310344828,0.9136069114470843,0.9096774193548387,,,2026-02-23 08:07:12
10,sst2_client_3,sst2,0.971433728958888,0.11809230102241373,22159,21526,0.9714461277476074,,,,,,0.9105504587155964,0.5494751703954535,872,794,0.9105636886595828,,,,0.9059633027522935,0.5467079159693682,872,790,0.9116379310344828,0.9136069114470843,0.9096774193548387,,,2026-02-23 08:07:18
11,sst2_client_2,sst2,0.9755404124734871,0.10082800225160356,22159,21617,0.9755467479363154,,,,,,0.9105504587155964,0.5766582758166697,872,794,0.9105872925463439,,,,0.9128440366972477,0.5353664949993173,872,796,0.9177489177489178,0.9237472766884531,0.9118279569892473,,,2026-02-23 08:10:02
11,sst2_client_1,sst2,0.9771199061329482,0.0975894953866688,22159,21652,0.9771243149291886,,,,,,0.9128440366972477,0.5555768569547164,872,796,0.9128688901406584,,,,0.9128440366972477,0.5353664919251251,872,796,0.9177489177489178,0.9237472766884531,0.9118279569892473,,,2026-02-23 08:10:08
11,sst2_client_3,sst2,0.9759014395956497,0.1007724390808255,22159,21625,0.9759074367652297,,,,,,0.9071100917431193,0.5689448734080267,872,791,0.9071170848484051,,,,0.9128440366972477,0.5353664944745139,872,796,0.9177489177489178,0.9237472766884531,0.9118279569892473,,,2026-02-23 08:10:15
12,sst2_client_2,sst2,0.9783835010605172,0.08974417500741719,22159,21680,0.9783876663729414,,,,,,0.9105504587155964,0.5812127094960413,872,794,0.9105636886595828,,,,0.9105504587155964,0.5659588150865101,872,794,0.9155844155844156,0.9215686274509803,0.9096774193548387,,,2026-02-23 08:12:59
12,sst2_client_1,sst2,0.9787445281826798,0.08983435973655647,22159,21688,0.9787459812768844,,,,,,0.908256880733945,0.6089387792372198,872,792,0.9083236674133708,,,,0.9105504587155964,0.5659588077775771,872,794,0.9155844155844156,0.9215686274509803,0.9096774193548387,,,2026-02-23 08:13:06
12,sst2_client_3,sst2,0.9779773455480844,0.0959706005596252,22159,21671,0.9779832731246854,,,,,,0.911697247706422,0.6017089428112056,872,795,0.91176536466698,,,,0.9105504587155964,0.5659588004619689,872,794,0.9155844155844156,0.9215686274509803,0.9096774193548387,,,2026-02-23 08:13:13
13,sst2_client_1,sst2,0.9805947921837628,0.08358880267040918,22159,21729,0.980598232411452,,,,,,0.9128440366972477,0.5818871081868264,872,796,0.9129148234530893,,,,0.911697247706422,0.5949256643281775,872,795,0.9163952225841477,0.9254385964912281,0.9075268817204301,,,2026-02-23 08:16:01
13,sst2_client_2,sst2,0.9791958120853829,0.08880335545161128,22159,21698,0.9792004595810392,,,,,,0.9128440366972477,0.5968104106374886,872,796,0.9129074840427023,,,,0.911697247706422,0.5949256635370339,872,795,0.9163952225841477,0.9254385964912281,0.9075268817204301,,,2026-02-23 08:16:08
13,sst2_client_3,sst2,0.9804594070129519,0.08497797708464515,22159,21726,0.9804651604579807,,,,,,0.911697247706422,0.577223346735457,872,795,0.9117281360400626,,,,0.911697247706422,0.594925667411181,872,795,0.9163952225841477,0.9254385964912281,0.9075268817204301,,,2026-02-23 08:16:15
14,sst2_client_1,sst2,0.9817681303307911,0.07473046091280486,22159,21755,0.9817713625447131,,,,,,0.9139908256880734,0.6253745979692872,872,797,0.9140748102783949,,,,0.9151376146788991,0.5808436166947128,872,798,0.9193899782135075,0.9315673289183223,0.9075268817204301,,,2026-02-23 08:19:00
14,sst2_client_2,sst2,0.9817230019405208,0.07919548488446802,22159,21754,0.98172708488139,,,,,,0.9128440366972477,0.6080132693465753,872,796,0.9128440366972477,,,,0.9151376146788991,0.580843624327326,872,798,0.9193899782135075,0.9315673289183223,0.9075268817204301,,,2026-02-23 08:19:07
14,sst2_client_3,sst2,0.9823096710140349,0.07490685773675974,22159,21767,0.9823129890070572,,,,,,0.9105504587155964,0.6551366222648798,872,794,0.9105636886595828,,,,0.9151376146788991,0.5808436216061845,872,798,0.9193899782135075,0.9315673289183223,0.9075268817204301,,,2026-02-23 08:19:14
15,sst2_client_2,sst2,0.9833927523805226,0.07016468124625118,22159,21791,0.9833972223563201,,,,,,0.9174311926605505,0.6137578718410565,872,800,0.917465193119702,,,,0.9139908256880734,0.6282299193679788,872,797,0.9185667752442996,0.9276315789473685,0.9096774193548387,,,2026-02-23 08:21:58
15,sst2_client_1,sst2,0.9830768536486304,0.07376778682692316,22159,21784,0.9830769430730777,,,,,,0.9094036697247706,0.6628523459595947,872,793,0.9094104901607903,,,,0.9139908256880734,0.6282299218668363,872,797,0.9185667752442996,0.9276315789473685,0.9096774193548387,,,2026-02-23 08:22:05
15,sst2_client_3,sst2,0.9842953201859289,0.0702481046244357,22159,21811,0.9842961470488196,,,,,,0.9128440366972477,0.6435605114763907,872,796,0.9128569274119012,,,,0.9139908256880734,0.6282299237210707,872,797,0.9185667752442996,0.9276315789473685,0.9096774193548387,,,2026-02-23 08:22:11
