round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.7961,0.7961,0.0000,3,3,191.46,1,1,0.5436,0.6851,0.0000,0.0000,0.0000,0.0000,2026-02-23 07:39:23
2,3,0.8746,0.8746,0.0000,3,3,193.03,2,2,0.8589,0.8638,0.0000,0.0000,0.0000,0.0000,2026-02-23 07:42:36
3,3,0.9052,0.9052,0.0000,3,3,190.78,3,3,0.8750,0.8801,0.0000,0.0000,0.0000,0.0000,2026-02-23 07:45:47
4,3,0.9231,0.9231,0.0000,3,3,189.65,4,4,0.8922,0.8980,0.0000,0.0000,0.0000,0.0000,2026-02-23 07:48:56
5,3,0.9377,0.9377,0.0000,3,3,188.98,5,5,0.8922,0.8967,0.0000,0.0000,0.0000,0.0000,2026-02-23 07:52:05
6,3,0.9488,0.9488,0.0000,3,3,197.78,6,6,0.8991,0.9054,0.0000,0.0000,0.0000,0.0000,2026-02-23 07:55:23
7,3,0.9560,0.9560,0.0000,3,3,180.34,7,7,0.9060,0.9114,0.0000,0.0000,0.0000,0.0000,2026-02-23 07:58:24
8,3,0.9632,0.9632,0.0000,3,3,176.56,8,8,0.9071,0.9113,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:01:20
9,3,0.9685,0.9685,0.0000,3,3,177.68,9,9,0.9060,0.9103,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:04:18
10,3,0.9719,0.9719,0.0000,3,3,180.56,10,10,0.9060,0.9116,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:07:18
11,3,0.9762,0.9762,0.0000,3,3,176.83,11,11,0.9128,0.9177,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:10:15
12,3,0.9784,0.9784,0.0000,3,3,178.30,12,12,0.9106,0.9156,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:13:13
13,3,0.9801,0.9801,0.0000,3,3,181.27,13,13,0.9117,0.9164,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:16:15
14,3,0.9819,0.9819,0.0000,3,3,179.12,14,14,0.9151,0.9194,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:19:14
15,3,0.9836,0.9836,0.0000,3,3,177.47,15,15,0.9140,0.9186,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:22:11
16,3,0.9847,0.9847,0.0000,3,3,177.56,16,16,0.9106,0.9156,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:25:09
17,3,0.9856,0.9856,0.0000,3,3,181.24,17,17,0.9117,0.9166,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:28:10
18,3,0.9866,0.9866,0.0000,3,3,178.82,18,18,0.9117,0.9162,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:31:09
19,3,0.9869,0.9869,0.0000,3,3,181.06,19,19,0.9128,0.9176,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:34:10
20,3,0.9884,0.9884,0.0000,3,3,179.52,20,20,0.9106,0.9156,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:37:10
21,3,0.9890,0.9890,0.0000,3,3,181.34,21,21,0.9094,0.9142,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:40:11
22,3,0.9893,0.9893,0.0000,3,3,179.01,22,22,0.9117,0.9169,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:43:10
23,3,0.9894,0.9894,0.0000,3,3,177.87,23,23,0.9140,0.9189,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:46:08
24,3,0.9898,0.9898,0.0000,3,3,176.09,24,24,0.9151,0.9196,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:49:04
25,3,0.9902,0.9902,0.0000,3,3,180.43,25,25,0.9140,0.9189,0.0000,0.0000,0.0000,0.0000,2026-02-23 08:52:04
