round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,stsb_client_1,stsb,0.0,0.10901733553981867,549,132,,-0.019253972478307062,-0.005944367626893051,0.2624131441116333,0.10916086286306381,0.33039501309394836,0.28934436983747575,0.08182074014957134,100,27,,0.28934436983747575,0.3130290410586361,0.23529842495918274,0.8791910884632839,0.12080891251564026,100,,,,,0.19496474936900535,0.2017915382487369,2026-02-24 07:51:49
1,stsb_client_2,stsb,0.1618312537605956,0.13249732820938032,474,104,,0.1618312537605956,0.15666358282463763,0.2937465012073517,0.13224075734615326,0.3636492192745209,0.4130113913587609,0.0810786118874183,100,25,,0.4130113913587609,0.4323391671406467,0.22556434571743011,0.8791910827221412,0.12080891877412796,100,,,,,0.19496471400331858,0.2017915382487369,2026-02-24 07:51:58
1,stsb_client_3,stsb,0.21085409908097424,0.13006129392422736,393,82,,0.21085409908097424,0.23846667835017082,0.2885933814608224,0.13224849092828908,0.36365985608572343,0.4014245743322165,0.15764328665458238,100,22,,0.4014245743322165,0.4005896540183141,0.3321673274040222,0.8791910808171577,0.12080892384052276,100,,,,,0.19496470082689824,0.2017915382487369,2026-02-24 07:52:15
2,stsb_client_1,stsb,0.1392462478382742,0.07703134416184132,549,154,,0.1392462478382742,0.1422191292907813,0.2191035896539688,0.0769255980849266,0.2773546576499939,0.4453842825683057,0.0738855075950806,100,26,,0.4453842825683057,0.45227127344766205,0.21860317885875702,0.9232664951225708,0.07673350274562836,100,,,,,0.40549354623918044,0.4206720325381387,2026-02-24 07:53:46
2,stsb_client_2,stsb,0.2191271302898875,0.11493548812965552,474,88,,0.2191271302898875,0.19082885869763175,0.2793387174606323,0.11442063003778458,0.3382611870765686,0.4897685210920823,0.06958321023445863,100,29,,0.4897685210920823,0.46889739107287454,0.2144831120967865,0.9232664964198288,0.07673350349068642,100,,,,,0.40549355586381947,0.4206720325381387,2026-02-24 07:53:53
2,stsb_client_3,stsb,0.37613754573777397,0.08408029284328222,393,106,,0.37613754573777397,0.39319936725004284,0.23174128674548924,0.0853249231316256,0.2921043018026705,0.4726574069699696,0.08390128813110866,100,18,,0.4726574069699696,0.45804773730804854,0.2457587867975235,0.9232664956118094,0.07673350334167481,100,,,,,0.40549355160005074,0.4206720325381387,2026-02-24 07:54:01
3,stsb_client_1,stsb,0.29340154613221003,0.06294543309596137,549,161,,0.29340154613221003,0.28242145792887424,0.2020258903503418,0.06308289617300034,0.2511630952358246,0.49144660027284665,0.06660669870101489,100,27,,0.49144660027284665,0.5144118388885319,0.2124411165714264,0.9356543096744939,0.06434569075703621,100,,,,,0.507319824517601,0.5021796807658612,2026-02-24 07:55:27
3,stsb_client_2,stsb,0.41192413906947595,0.08883496839553118,474,106,,0.41192413906947595,0.385319160046589,0.24083580076694489,0.08601054549217224,0.29327553510665894,0.5455118468533058,0.06105614166993361,100,32,,0.5455118468533058,0.5384674147150323,0.20112556219100952,0.9356543093317342,0.06434569066390396,100,,,,,0.5073198201272043,0.5021796807658612,2026-02-24 07:55:34
3,stsb_client_3,stsb,0.5009251432678836,0.07191013832576573,393,114,,0.5009251432678836,0.5240928468585817,0.21674815312018453,0.07309907327213883,0.2703684028730777,0.5009784607426734,0.14207138006503767,100,18,,0.5009784607426734,0.4916125387611166,0.31891462206840515,0.935654312183247,0.0643456880748272,100,,,,,0.5073198547915081,0.5021796807658612,2026-02-24 07:55:42
4,stsb_client_1,stsb,0.30516721052380125,0.061675902638260435,549,165,,0.30516721052380125,0.2866709148369942,0.20129069685935974,0.06167416274547577,0.248342826962471,0.5531880410870187,0.059727891419942565,100,29,,0.5531880410870187,0.5300581816862282,0.2032027393579483,0.9308037299023886,0.06919627085328102,100,,,,,0.5386419251614771,0.5379685109685057,2026-02-24 07:57:07
4,stsb_client_2,stsb,0.5013296823846016,0.07262675032640496,474,130,,0.5013296823846016,0.4567133667360336,0.21829283237457275,0.07284985482692719,0.2699071168899536,0.5492894904205137,0.06976194479144536,100,28,,0.5492894904205137,0.5321499708885326,0.21249859035015106,0.9308037302181605,0.06919627070426941,100,,,,,0.5386419187005298,0.5379685109685057,2026-02-24 07:57:14
