round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.1242,0.0000,0.1242,3,3,127.33,1,1,0.0000,0.0000,0.0000,0.0000,0.1950,0.2018,2026-02-24 07:52:15
2,3,0.2448,0.0000,0.2448,3,3,105.55,2,2,0.0000,0.0000,0.0000,0.0000,0.4055,0.4207,2026-02-24 07:54:01
3,3,0.4021,0.0000,0.4021,3,3,100.91,3,3,0.0000,0.0000,0.0000,0.0000,0.5073,0.5022,2026-02-24 07:55:42
4,3,0.4471,0.0000,0.4471,3,3,101.13,4,4,0.0000,0.0000,0.0000,0.0000,0.5386,0.5380,2026-02-24 07:57:23
5,3,0.5215,0.0000,0.5215,3,3,100.07,5,5,0.0000,0.0000,0.0000,0.0000,0.5596,0.5361,2026-02-24 07:59:03
6,3,0.5143,0.0000,0.5143,3,3,100.09,6,6,0.0000,0.0000,0.0000,0.0000,0.5950,0.5760,2026-02-24 08:00:43
7,3,0.5558,0.0000,0.5558,3,3,100.70,7,7,0.0000,0.0000,0.0000,0.0000,0.5962,0.5604,2026-02-24 08:02:24
8,3,0.5717,0.0000,0.5717,3,3,100.47,8,8,0.0000,0.0000,0.0000,0.0000,0.6020,0.5724,2026-02-24 08:04:04
9,3,0.5956,0.0000,0.5956,3,3,101.64,9,9,0.0000,0.0000,0.0000,0.0000,0.6123,0.5765,2026-02-24 08:05:46
10,3,0.5947,0.0000,0.5947,3,3,101.64,10,10,0.0000,0.0000,0.0000,0.0000,0.6201,0.5846,2026-02-24 08:07:27
11,3,0.6167,0.0000,0.6167,3,3,99.52,11,11,0.0000,0.0000,0.0000,0.0000,0.6249,0.5866,2026-02-24 08:09:07
12,3,0.6270,0.0000,0.6270,3,3,100.27,12,12,0.0000,0.0000,0.0000,0.0000,0.6280,0.5892,2026-02-24 08:10:47
13,3,0.6524,0.0000,0.6524,3,3,100.13,13,13,0.0000,0.0000,0.0000,0.0000,0.6303,0.5969,2026-02-24 08:12:27
14,3,0.6364,0.0000,0.6364,3,3,99.65,14,14,0.0000,0.0000,0.0000,0.0000,0.6286,0.5946,2026-02-24 08:14:07
15,3,0.6569,0.0000,0.6569,3,3,99.26,15,15,0.0000,0.0000,0.0000,0.0000,0.6332,0.5968,2026-02-24 08:15:46
16,3,0.6618,0.0000,0.6618,3,3,100.31,16,16,0.0000,0.0000,0.0000,0.0000,0.6374,0.6058,2026-02-24 08:17:26
17,3,0.6621,0.0000,0.6621,3,3,101.95,17,17,0.0000,0.0000,0.0000,0.0000,0.6424,0.6087,2026-02-24 08:19:08
18,3,0.6821,0.0000,0.6821,3,3,102.00,18,18,0.0000,0.0000,0.0000,0.0000,0.6406,0.5998,2026-02-24 08:20:50
19,3,0.6620,0.0000,0.6620,3,3,100.11,19,19,0.0000,0.0000,0.0000,0.0000,0.6470,0.6056,2026-02-24 08:22:31
20,3,0.6794,0.0000,0.6794,3,3,102.62,20,20,0.0000,0.0000,0.0000,0.0000,0.6504,0.6150,2026-02-24 08:24:13
21,3,0.6703,0.0000,0.6703,3,3,100.91,21,21,0.0000,0.0000,0.0000,0.0000,0.6480,0.6120,2026-02-24 08:25:54
22,3,0.6712,0.0000,0.6712,3,3,100.11,22,22,0.0000,0.0000,0.0000,0.0000,0.6470,0.6066,2026-02-24 08:27:34
23,3,0.6916,0.0000,0.6916,3,3,99.76,23,23,0.0000,0.0000,0.0000,0.0000,0.6464,0.6056,2026-02-24 08:29:14
24,3,0.6878,0.0000,0.6878,3,3,101.18,24,24,0.0000,0.0000,0.0000,0.0000,0.6462,0.6056,2026-02-24 08:30:55
25,3,0.6860,0.0000,0.6860,3,3,99.79,25,25,0.0000,0.0000,0.0000,0.0000,0.6463,0.6120,2026-02-24 08:32:35
