epoch,train_loss,train_accuracy,timestamp
1,1.7448135217077525,"tensor(-0.1738, device='cuda:0')",2026-02-24 14:53:38
2,0.7380776663443872,"tensor(0.4608, device='cuda:0')",2026-02-24 15:01:59
3,0.5811633749871998,"tensor(0.6145, device='cuda:0')",2026-02-24 15:10:10
4,0.4994584933433578,"tensor(0.6694, device='cuda:0')",2026-02-24 15:18:18
5,0.43364038398923505,"tensor(0.6944, device='cuda:0')",2026-02-24 15:26:28
6,0.3687903237970252,"tensor(0.7532, device='cuda:0')",2026-02-24 15:35:11
7,0.33181172285817173,"tensor(0.7821, device='cuda:0')",2026-02-24 15:43:25
8,0.3063174891910346,"tensor(0.7792, device='cuda:0')",2026-02-24 15:51:36
9,0.2658070143298211,"tensor(0.8250, device='cuda:0')",2026-02-24 15:59:48
10,0.2550661524764745,"tensor(0.7924, device='cuda:0')",2026-02-24 16:08:30
11,0.21772116326982563,"tensor(0.8547, device='cuda:0')",2026-02-24 16:16:47
12,0.21097033866506099,"tensor(0.8515, device='cuda:0')",2026-02-24 16:24:58
13,0.19083112712312295,"tensor(0.8702, device='cuda:0')",2026-02-24 16:33:07
14,0.1612626299843248,"tensor(0.8911, device='cuda:0')",2026-02-24 16:41:56
15,0.16041683697376288,"tensor(0.8880, device='cuda:0')",2026-02-24 16:50:05
16,0.14719402883201838,"tensor(0.8974, device='cuda:0')",2026-02-24 16:58:09
17,0.13600593221135773,"tensor(0.9027, device='cuda:0')",2026-02-24 17:06:18
18,0.12804297518678345,"tensor(0.9080, device='cuda:0')",2026-02-24 17:15:06
19,0.12521521320139387,"tensor(0.9087, device='cuda:0')",2026-02-24 17:23:17
20,0.11874616544175529,"tensor(0.9167, device='cuda:0')",2026-02-24 17:31:27
21,0.11108753571214147,"tensor(0.9220, device='cuda:0')",2026-02-24 17:39:37
22,0.10705994994159003,"tensor(0.9234, device='cuda:0')",2026-02-24 17:48:23
23,0.1039701897713979,"tensor(0.9291, device='cuda:0')",2026-02-24 17:56:34
24,0.10409741625855011,"tensor(0.9279, device='cuda:0')",2026-02-24 18:04:42
25,0.11337532938100901,"tensor(0.9208, device='cuda:0')",2026-02-24 18:12:48
