epoch,training_time,train_loss,train_accuracy,sst2_val_accuracy,sst2_val_f1,qqp_val_accuracy,qqp_val_f1,stsb_val_pearson,stsb_val_spearman,total_val_loss,gpu_usage,cpu_usage,memory_usage,timestamp
1,102.620136,2.707133830854095,0.8151804989773127,0.0,0.0,0.0,0.0,0.8151804989773127,0.824174035853149,1.1025561653870217,1.492933811854988,2.8,40.9,2026-02-25 10:42:13
2,111.10485,0.6507275158161283,0.8373545537472505,0.0,0.0,0.0,0.0,0.8373545537472505,0.8396091338370475,0.7149439593975214,1.492933811854988,29.0,41.2,2026-02-25 10:44:04
3,116.464753,0.47281451929794777,0.841710282974102,0.0,0.0,0.0,0.0,0.841710282974102,0.8471465856512407,0.7753012808475722,1.492933811854988,48.8,40.4,2026-02-25 10:46:01
4,103.494677,0.3494781476998688,0.8544255295180523,0.0,0.0,0.0,0.0,0.8544255295180523,0.8539735512106266,0.7037053106630102,1.492933811854988,3.4,40.4,2026-02-25 10:47:44
5,101.641082,0.28756158483823885,0.8592565242348843,0.0,0.0,0.0,0.0,0.8592565242348843,0.8587744459785824,0.6967079787257504,1.492933811854988,3.4,40.4,2026-02-25 10:49:26
6,129.332082,0.21758822048489088,0.8511167604117983,0.0,0.0,0.0,0.0,0.8511167604117983,0.8505564225209474,0.7069438918236088,1.492933811854988,64.9,41.4,2026-02-25 10:51:35
7,96.084102,0.19298647382975856,0.8545682638739078,0.0,0.0,0.0,0.0,0.8545682638739078,0.8514726242200293,0.6773441802274357,1.492933811854988,7.4,42.4,2026-02-25 10:53:11
8,102.243235,0.15702298862502484,0.8557388805531431,0.0,0.0,0.0,0.0,0.8557388805531431,0.854354910904073,0.7755441702902317,1.492933811854988,3.7,42.4,2026-02-25 10:54:53
9,121.203485,0.13992334047990634,0.85835910041072,0.0,0.0,0.0,0.0,0.85835910041072,0.8560037536775019,0.7096964152569466,1.492933811854988,46.2,41.9,2026-02-25 10:56:55
10,112.445461,0.133146491615956,0.8603874716465815,0.0,0.0,0.0,0.0,0.8603874716465815,0.8567115940230122,0.691545505512585,1.492933811854988,38.7,40.8,2026-02-25 10:58:47
11,100.242677,0.11319761308298719,0.8575313218526366,0.0,0.0,0.0,0.0,0.8575313218526366,0.85470935065014,0.7072411071746907,1.492933811854988,2.9,40.8,2026-02-25 11:00:27
12,100.949226,0.10256714229226897,0.8585922572320617,0.0,0.0,0.0,0.0,0.8585922572320617,0.8552872834328054,0.6575724778578003,1.492933811854988,3.0,40.9,2026-02-25 11:02:08
13,101.420567,0.09183349665709512,0.8576760209971083,0.0,0.0,0.0,0.0,0.8576760209971083,0.8548069717138637,0.664099924880615,1.492933811854988,2.9,40.8,2026-02-25 11:03:50
14,99.863293,0.08914170055335066,0.8619868198603453,0.0,0.0,0.0,0.0,0.8619868198603453,0.8592108928986084,0.6411854850643492,1.492933811854988,2.7,40.8,2026-02-25 11:05:30
15,99.447612,0.08452446263062914,0.8592871839124232,0.0,0.0,0.0,0.0,0.8592871839124232,0.8562818303816141,0.6572066620388564,1.492933811854988,2.8,40.8,2026-02-25 11:07:09
16,100.90829,0.07778080590279367,0.8602667079229303,0.0,0.0,0.0,0.0,0.8602667079229303,0.85799772480268,0.6464978896002186,1.492933811854988,3.1,42.0,2026-02-25 11:08:50
17,131.993558,0.07557388873861864,0.8602798616756128,0.0,0.0,0.0,0.0,0.8602798616756128,0.8576115875258696,0.6531986295384296,1.492933811854988,71.6,40.9,2026-02-25 11:11:02
18,97.93649,0.06895654168000963,0.860762665451072,0.0,0.0,0.0,0.0,0.860762665451072,0.8579651304741656,0.6691482989711964,1.492933811854988,3.3,40.8,2026-02-25 11:12:40
19,102.537228,0.06479650447442707,0.8595312188455,0.0,0.0,0.0,0.0,0.8595312188455,0.856584089358463,0.6560729469786933,1.492933811854988,3.8,41.0,2026-02-25 11:14:22
20,134.362467,0.0609172117105104,0.8578634766229972,0.0,0.0,0.0,0.0,0.8578634766229972,0.8555151713610047,0.6596336994874985,1.492933811854988,68.2,41.4,2026-02-25 11:16:37
21,99.119908,0.0579862366588016,0.8602857335379106,0.0,0.0,0.0,0.0,0.8602857335379106,0.8573810215306596,0.6318221628031833,1.492933811854988,8.4,40.9,2026-02-25 11:18:16
22,134.03564,0.05637432877420749,0.8606023234939597,0.0,0.0,0.0,0.0,0.8606023234939597,0.8579877372513124,0.639299661357035,1.492933811854988,70.8,40.9,2026-02-25 11:20:30
23,95.628472,0.05518039071379244,0.8600958602926763,0.0,0.0,0.0,0.0,0.8600958602926763,0.8574949077301488,0.6524395479008238,1.492933811854988,4.1,40.9,2026-02-25 11:22:06
24,100.760141,0.05405102983348156,0.8592030249311376,0.0,0.0,0.0,0.0,0.8592030249311376,0.8566937755053934,0.6512951019834331,1.492933811854988,3.1,40.9,2026-02-25 11:23:46
25,100.43389,0.051649084815377354,0.8600779090222165,0.0,0.0,0.0,0.0,0.8600779090222165,0.8574229948691972,0.6532289361620837,1.492933811854988,3.2,40.9,2026-02-25 11:25:27
