round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,stsb_client,stsb,0.005985992976430248,0.612358650598759,4249,146,,0.005985992976430248,0.002929682904057934,0.7060724073958733,0.6122328798504417,0.782453116710798,0.0,0.46965001610682366,1500,100,,-0.03878825871015247,-0.03312216022933617,0.6029664278030396,0.19857830447095925,0.8014216925303141,1500,,,,,-0.015376737951408056,-0.009737563259140788,2026-02-10 23:08:42
1,sst2_client,sst2,0.6211922920709418,0.6495083022167824,66477,41295,0.5650000678998821,,,,,,0.6926605504587156,0.6084808392809071,872,604,0.6674549469773701,,,,0.5424311926605505,0.691376683908865,872,473,0.6805444355484388,0.5592105263157895,0.869120654396728,,,2026-02-10 23:10:19
1,qqp_client,qqp,0.6668769228390767,0.6097310444583705,323415,215678,0.6099898789594398,,,,,,0.7117805644183919,0.5722293497476363,40431,28778,0.6951517934981808,,,,0.42326432687789073,0.7212641953829356,40431,17113,0.48552643191245254,0.3616077297226239,0.7386546723952739,,,2026-02-10 23:20:04
2,stsb_client,stsb,0.0,0.3561266901013546,4249,443,,-0.015140875331112752,-0.01651814953426916,0.5106921961634499,0.3561284286810298,0.5967649693816065,0.0,0.27453507534525495,1500,191,,-0.05265554423099032,-0.04742995610036786,0.4438095688819885,0.5308008902932198,0.4691991062959035,1500,,,,,-0.03878825904990245,-0.03312216022933617,2026-02-10 23:20:27
2,sst2_client,sst2,0.7095085518299562,0.5931172114201831,66477,47166,0.6959975529225062,,,,,,0.7293577981651376,0.5662117346164284,872,636,0.7195566759859064,,,,0.6926605504587156,0.608480847756797,872,604,0.7701543739279588,0.6632200886262924,0.918200408997955,,,2026-02-10 23:22:01
2,qqp_client,qqp,0.7023329159129911,0.5744050383858262,323415,227145,0.6807126631150368,,,,,,0.7173456011476342,0.5579522763775845,40431,29003,0.7079676755695236,,,,0.7117805644183919,0.5722331963994578,40431,28778,0.528275917904708,0.6653410828999694,0.43803705692803435,,,2026-02-10 23:32:02
3,stsb_client,stsb,0.0,0.21841963483860954,4249,639,,-0.0189438103478556,-0.02403219537862685,0.3887354242824725,0.21863709933148673,0.4675864618778935,0.0,0.17805439895613395,1500,217,,-0.05641874806735362,-0.05119400717289294,0.35459113121032715,0.7249741602704323,0.27502583865324653,1500,,,,,-0.05265554371480351,-0.04742995610036786,2026-02-10 23:32:23
3,sst2_client,sst2,0.7352467770807949,0.5633464766179899,66477,48877,0.7291817635584922,,,,,,0.75,0.5421934376615997,872,654,0.7442945599292349,,,,0.7293577981651376,0.5662117332493494,872,636,0.7842778793418648,0.7090909090909091,0.8773006134969326,,,2026-02-10 23:34:01
3,qqp_client,qqp,0.7059567428845291,0.56702809599543,323415,228317,0.6894677254635878,,,,,,0.7201404862605426,0.551867869920324,40431,29116,0.7121110408636088,,,,0.7173456011476342,0.5579517129099651,40431,29003,0.567022808213988,0.6508088363193599,0.5023496240601504,,,2026-02-10 23:45:05
4,stsb_client,stsb,0.0,0.15406655417224047,4249,717,,-0.011212346172020398,-0.014384973444501374,0.32762402769925136,0.15432026344067806,0.39283617888463135,0.0,0.1396802482492429,1500,249,,-0.0505916061969983,-0.047053677317883326,0.31416141986846924,0.8219259110363593,0.17807408795754115,1500,,,,,-0.05641874940162582,-0.05119400717289294,2026-02-10 23:45:26
4,sst2_client,sst2,0.7449343381921567,0.543846534045523,66477,49521,0.7408567796601906,,,,,,0.7580275229357798,0.5267967532534118,872,661,0.7536863617551298,,,,0.75,0.542193441489421,872,654,0.7951127819548872,0.7356521739130435,0.8650306748466258,,,2026-02-10 23:47:27
4,qqp_client,qqp,0.7077593803626919,0.5646423319467121,323415,228900,0.6931923343522699,,,,,,0.7210556256337959,0.5492080100467425,40431,29153,0.715138324560927,,,,0.7201404862605426,0.5518729162544646,40431,29116,0.5770883946925809,0.6509823762543216,0.5182599355531686,,,2026-02-10 23:57:30
5,stsb_client,stsb,0.0,0.13009710743659197,4249,767,,-0.0051256364331061545,-0.010248076927170382,0.30091975717859026,0.1302674581826293,0.36092583473981094,0.0,0.12451509489340985,1500,271,,-0.04183459152840573,-0.040044019137514375,0.29487401247024536,0.8602128375343971,0.13978716244300207,1500,,,,,-0.050591608993460276,-0.047053677317883326,2026-02-10 23:57:51
5,sst2_client,sst2,0.7476570844051326,0.5333772251106772,66477,49702,0.7445993565090132,,,,,,0.7706422018348624,0.516287874464595,872,672,0.7680798515184108,,,,0.7580275229357798,0.5267967543470751,872,661,0.7992388201712656,0.7473309608540926,0.8588957055214724,,,2026-02-10 23:59:50
5,qqp_client,qqp,0.7095682018459255,0.5630556902982422,323415,229485,0.6962966826257808,,,,,,0.721847097524177,0.5469619113499343,40431,29185,0.716247205264611,,,,0.7210556256337959,0.5492078524004305,40431,29153,0.588484273516748,0.6446043165467625,0.5413533834586466,,,2026-02-11 00:10:24
6,stsb_client,stsb,0.0,0.12040967422649544,4249,794,,-0.005368466167504432,-0.007439199669368673,0.28863345074267244,0.12027693411688473,0.3468096511299602,0.0,0.11681240580064502,1500,285,,-0.0314601209443082,-0.030372603797021287,0.2854609489440918,0.8759868678175802,0.12401313268144926,1500,,,,,-0.04183459395508539,-0.040044019137514375,2026-02-11 00:10:45
6,sst2_client,sst2,0.751011628081893,0.525746378871006,66477,49925,0.7485740696974215,,,,,,0.7729357798165137,0.5090010718468132,872,674,0.7707824147075688,,,,0.7706422018348624,0.5162878720038527,872,672,0.8058252427184467,0.767097966728281,0.8486707566462167,,,2026-02-11 00:12:43
6,qqp_client,qqp,0.709914506129895,0.5612643607002977,323415,229597,0.6968169218795434,,,,,,0.7230095718631743,0.5460617530207932,40431,29232,0.7187063888631468,,,,0.721847097524177,0.5469623971299719,40431,29185,0.5911437504544463,0.6447264076130056,0.5457841031149302,,,2026-02-11 00:23:21
7,stsb_client,stsb,0.011690354126777205,0.11527637034108427,4249,876,,0.011690354126777205,0.009626444143530515,0.2801190324794658,0.11441115279862904,0.33824717707414653,0.0,0.11239361278514595,1500,291,,-0.02112464469427647,-0.021439243582288655,0.27981820702552795,0.8831740082173181,0.11682599191864332,1500,,,,,-0.031460121980762264,-0.030372603797021287,2026-02-11 00:23:42
7,sst2_client,sst2,0.7541405298073017,0.5186773922630595,66477,50133,0.7520476382566498,,,,,,0.7717889908256881,0.5036807363733239,872,673,0.7694351625779462,,,,0.7729357798165137,0.5090010756746345,872,674,0.8066406250000001,0.77196261682243,0.8445807770961146,,,2026-02-11 00:25:42
7,qqp_client,qqp,0.7099732541780684,0.5606911259345778,323415,229616,0.6977055654038465,,,,,,0.724196779698746,0.5441564056811523,40431,29280,0.7190099398170988,,,,0.7230095718631743,0.5460579652016824,40431,29232,0.599334549747773,0.6415932592876292,0.5622986036519871,,,2026-02-11 00:35:37
