round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,stsb_client,stsb,0.6529055285245325,0.05042368767306443,4249,1524,,0.6529055285245325,0.6285071346474457,0.17703390239358216,0.05050523917940534,0.22473370726129477,0.8443323316329294,0.024668858829945167,1500,746,,0.8443323316329294,0.8166149599405546,0.12326735258102417,0.6941383007134401,0.3058616980314255,1500,,,,,-0.08205696505315888,-0.07269261450002211,2026-02-03 23:38:01
1,sst2_client,sst2,0.8934819561652902,0.3012276179340716,66477,59396,0.8935585339480346,,,,,,0.9277522935779816,0.32543315353841784,872,809,0.9276986918398068,,,,0.4988532110091743,0.6996685124318535,872,435,0.4598269468479605,0.58125,0.3803680981595092,,,2026-02-03 23:42:28
1,qqp_client,qqp,0.8538936041927554,0.3508613832411146,323415,276162,0.8543608766587699,,,,,,0.8825653582646978,0.3082729744927447,40431,35683,0.882558783252524,,,,0.39313892805025846,0.7512509353022693,40431,15895,0.537109006527563,0.37352400944633957,0.95562567132116,,,2026-02-03 23:54:48
2,stsb_client,stsb,0.7930559187687892,0.032567880623148936,4249,1868,,0.7930559187687892,0.7742302901504323,0.14246614722865136,0.0326207528976223,0.18061216154407295,0.8689672692189371,0.021334746069809857,1500,820,,0.8689672692189371,0.8465745440190519,0.11230357736349106,0.8525323023073642,0.14746769787867864,1500,,,,,0.5291633897807314,0.5154301724187006,2026-02-03 23:56:53
2,sst2_client,sst2,0.918949411074507,0.2634383976163492,66477,61089,0.9189993876156629,,,,,,0.9277522935779816,0.2691951079930632,872,809,0.9277207305782342,,,,0.7878440366972477,0.5008584405850927,872,687,0.7730061349693251,0.9662576687116564,0.6441717791411042,,,2026-02-04 00:01:14
2,qqp_client,qqp,0.8760849063896232,0.3187297704834959,323415,283339,0.8765417084662404,,,,,,0.8847666394598205,0.30903590265623243,40431,35772,0.885629777935547,,,,0.7530607702010833,0.5199077613140378,40431,30447,0.7438292194796532,0.6020018273943019,0.9730800214822771,,,2026-02-04 00:13:25
3,stsb_client,stsb,0.8322034058370645,0.02687389687333025,4249,2049,,0.8322034058370645,0.8188520384719701,0.12805936397000287,0.026915432280774643,0.1640592340612824,0.8801677394315475,0.02055692692049482,1500,861,,0.8801677394315475,0.8602683961800309,0.10860968381166458,0.9253764336087044,0.07462356672435999,1500,,,,,0.7771129577505123,0.750995995122383,2026-02-04 00:15:30
3,sst2_client,sst2,0.9335409239285768,0.23316218812949815,66477,62059,0.9335856852597626,,,,,,0.9403669724770642,0.24684076226282214,872,820,0.9403835202348724,,,,0.8532110091743119,0.33972783318353356,872,744,0.8538812785388129,0.9664082687338501,0.7648261758691206,,,2026-02-04 00:19:52
3,qqp_client,qqp,0.8891115130714408,0.3034181150214901,323415,287552,0.8895169979110329,,,,,,0.8901338082164676,0.330778115444158,40431,35989,0.8909493083014411,,,,0.821325220746457,0.39675054156094136,40431,33207,0.799600532623169,0.6813540090771558,0.9675080558539205,,,2026-02-04 00:32:03
4,stsb_client,stsb,0.8454959095689722,0.024886211130025804,4249,2071,,0.8454959095689722,0.8281986979273496,0.12425636142143048,0.02490919676393764,0.15782647675196212,0.873791065223726,0.02123989823318899,1500,809,,0.873791065223726,0.8540270238878558,0.11272118985652924,0.9516170214864084,0.04838297862311204,1500,,,,,0.8040497835279832,0.7615125605243309,2026-02-04 00:34:07
