round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,qqp_client_1,qqp,0.9111347447566284,0.28861503195517696,40432,36839,0.9013494704083406,,,,,,0.7215008285721353,0.9142611502261768,40431,29171,0.7204162259905421,,,,0.3858425465608073,0.7541912029635788,40431,15600,0.5387744487991529,0.3740875441718899,0.9625033182904168,,,2026-02-19 22:27:03
1,qqp_client_2,qqp,0.8700391606756678,0.3241676811325656,34218,29771,0.853340772215035,,,,,,0.796937993124088,0.5331826778846032,40431,32221,0.7842846145340265,,,,0.3858425465608073,0.7541912032657963,40431,15600,0.5387744487991529,0.3740875441718899,0.9625033182904168,,,2026-02-19 22:27:19
1,qqp_client_3,qqp,0.9974966068466294,0.014062399201730403,33155,33072,0.9972706801233491,,,,,,0.6273156736167792,2.9565226386985417,40431,25363,0.4836491908059206,,,,0.3858425465608073,0.7541912027498152,40431,15600,0.5387744487991529,0.3740875441718899,0.9625033182904168,,,2026-02-19 22:27:38
2,qqp_client_1,qqp,0.9266917293233082,0.24999710535462893,40432,37468,0.9212121329225293,,,,,,0.7109148920382875,1.1436150511792615,40431,28743,0.7086588701981238,,,,0.6961984615765131,0.7559856492561866,40431,28148,0.3402975455180193,0.8921430582934384,0.21024688080700824,,,2026-02-19 22:36:32
2,qqp_client_2,qqp,0.8882167280378748,0.28348896565945936,34218,30393,0.8811096736495826,,,,,,0.7820978951794415,0.6034031979143354,40431,31621,0.7619765080972744,,,,0.6961984615765131,0.7559856492289363,40431,28148,0.3402975455180193,0.8921430582934384,0.21024688080700824,,,2026-02-19 22:36:53
2,qqp_client_3,qqp,0.9985220931986126,0.011345240074348964,33155,33106,0.9977836862538526,,,,,,0.6273156736167792,2.770489670880688,40431,25363,0.4836491908059206,,,,0.6961984615765131,0.7559856496677505,40431,28148,0.3402975455180193,0.8921430582934384,0.21024688080700824,,,2026-02-19 22:37:16
3,qqp_client_1,qqp,0.9372526711515631,0.22832204651428983,40432,37895,0.9333199986141437,,,,,,0.7477678019341595,1.096441517774197,40431,30233,0.7485135596464904,,,,0.7561771907694591,0.8065262306000862,40431,30573,0.541914498141264,0.9037507749535028,0.386979028404566,,,2026-02-19 22:46:13
3,qqp_client_2,qqp,0.9035010813022386,0.25604064223370043,34218,30916,0.8999240257955776,,,,,,0.8359921842150825,0.45274121810952633,40431,33800,0.8330049794745727,,,,0.7561771907694591,0.8065262295366127,40431,30573,0.541914498141264,0.9037507749535028,0.386979028404566,,,2026-02-19 22:46:33
3,qqp_client_3,qqp,0.9984919318353189,0.010216865322937184,33155,33105,0.9977686053528544,,,,,,0.6273404071133536,3.061182684213256,40431,25364,0.483706005590053,,,,0.7561771907694591,0.806526230578445,40431,30573,0.541914498141264,0.9037507749535028,0.386979028404566,,,2026-02-19 22:46:58
4,qqp_client_1,qqp,0.942743371586862,0.21229270193230587,40432,38117,0.9395348646009695,,,,,,0.7569686626598402,1.0850480648361747,40431,30605,0.7582402911053306,,,,0.8138309712844105,0.6625802453446837,40431,32904,0.7035096703036987,0.8653939335206899,0.5926466684364216,,,2026-02-19 22:55:57
4,qqp_client_2,qqp,0.9135834940674499,0.24519021666473287,34218,31261,0.9112848221801506,,,,,,0.8353491133041479,0.5128098926074813,40431,33774,0.8305941277065676,,,,0.8138309712844105,0.6625802454471773,40431,32904,0.7035096703036987,0.8653939335206899,0.5926466684364216,,,2026-02-19 22:56:17
4,qqp_client_3,qqp,0.9986125772884934,0.008359641069956217,33155,33109,0.9980477916859493,,,,,,0.6289233508941159,3.5453634255243767,40431,25428,0.4873290196529458,,,,0.8138309712844105,0.6625802458583036,40431,32904,0.7035096703036987,0.8653939335206899,0.5926466684364216,,,2026-02-19 22:56:40
5,qqp_client_1,qqp,0.9508310249307479,0.19103434176179077,40432,38444,0.9486612314645012,,,,,,0.7778190002720685,0.9432677660345253,40431,31448,0.7799595584047337,,,,0.800252281665059,0.8551149345749175,40431,32355,0.6647849908683381,0.8874113475177305,0.5314573931510486,,,2026-02-19 23:05:37
5,qqp_client_2,qqp,0.9226722777485534,0.23079295544888365,34218,31572,0.9211461266642605,,,,,,0.8390096707971606,0.5995413396321165,40431,33922,0.8344216232733066,,,,0.800252281665059,0.8551149343480896,40431,32355,0.6647849908683381,0.8874113475177305,0.5314573931510486,,,2026-02-19 23:05:51
5,qqp_client_3,qqp,0.9986729000150807,0.006946364398248686,33155,33111,0.9983514993428113,,,,,,0.6309020306200688,3.5235139740616175,40431,25508,0.49182178309698654,,,,0.800252281665059,0.8551149345474247,40431,32355,0.6647849908683381,0.8874113475177305,0.5314573931510486,,,2026-02-19 23:06:21
6,qqp_client_1,qqp,0.9551592797783933,0.18143429021821583,40432,38619,0.9534313030280356,,,,,,0.7896416116346368,0.8017725108307372,40431,31926,0.7922638591698483,,,,0.8230812990032401,0.8077814792784861,40431,33278,0.7215539725174199,0.872610865266924,0.615078311653836,,,2026-02-19 23:15:15
6,qqp_client_2,qqp,0.9342159097550996,0.21295156942028956,34218,31967,0.9333755289155772,,,,,,0.8080433330859984,0.7949682722299544,40431,32670,0.7950202835358935,,,,0.8230812990032401,0.8077814784018108,40431,33278,0.7215539725174199,0.872610865266924,0.615078311653836,,,2026-02-19 23:15:39
6,qqp_client_3,qqp,0.9988538681948425,0.005314915366147916,33155,33117,0.9987071012678663,,,,,,0.633202245801489,3.6940047080661293,40431,25601,0.4975938724222463,,,,0.8230812990032401,0.8077814799609428,40431,33278,0.7215539725174199,0.872610865266924,0.615078311653836,,,2026-02-19 23:15:59
7,qqp_client_1,qqp,0.9593638702018203,0.16573497691299718,40432,38789,0.9580207410727021,,,,,,0.7653780514951398,1.1959503388820343,40431,30945,0.7671033472962355,,,,0.8156365165343424,0.8752151292443698,40431,32977,0.7029332058026464,0.8797885075818037,0.585280063711176,,,2026-02-19 23:24:56
7,qqp_client_2,qqp,0.9398269916418259,0.19900104547801262,34218,32159,0.9392398582853563,,,,,,0.8099972793153768,0.8129070917298102,40431,32749,0.7977596947708516,,,,0.8156365165343424,0.8752151294474827,40431,32977,0.7029332058026464,0.8797885075818037,0.585280063711176,,,2026-02-19 23:25:11
