round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.9262,0.9262,0.0000,3,3,605.56,1,1,0.0000,0.0000,0.3858,0.5388,0.0000,0.0000,2026-02-19 22:27:38
2,3,0.9378,0.9378,0.0000,3,3,578.06,2,2,0.0000,0.0000,0.6962,0.3403,0.0000,0.0000,2026-02-19 22:37:16
3,3,0.9464,0.9464,0.0000,3,3,581.82,3,3,0.0000,0.0000,0.7562,0.5419,0.0000,0.0000,2026-02-19 22:46:58
4,3,0.9516,0.9516,0.0000,3,3,581.98,4,4,0.0000,0.0000,0.8138,0.7035,0.0000,0.0000,2026-02-19 22:56:40
5,3,0.9574,0.9574,0.0000,3,3,580.88,5,5,0.0000,0.0000,0.8003,0.6648,0.0000,0.0000,2026-02-19 23:06:21
6,3,0.9627,0.9627,0.0000,3,3,577.93,6,6,0.0000,0.0000,0.8231,0.7216,0.0000,0.0000,2026-02-19 23:15:59
7,3,0.9661,0.9661,0.0000,3,3,579.67,7,7,0.0000,0.0000,0.8156,0.7029,0.0000,0.0000,2026-02-19 23:25:38
8,3,0.9701,0.9701,0.0000,3,3,575.68,8,8,0.0000,0.0000,0.8221,0.7184,0.0000,0.0000,2026-02-19 23:35:14
9,3,0.9729,0.9729,0.0000,3,3,579.43,9,9,0.0000,0.0000,0.8374,0.7580,0.0000,0.0000,2026-02-19 23:44:53
10,3,0.9754,0.9754,0.0000,3,3,580.44,10,10,0.0000,0.0000,0.8419,0.7644,0.0000,0.0000,2026-02-19 23:54:34
11,3,0.9781,0.9781,0.0000,3,3,577.87,11,11,0.0000,0.0000,0.8317,0.7400,0.0000,0.0000,2026-02-20 00:04:12
12,3,0.9796,0.9796,0.0000,3,3,578.15,12,12,0.0000,0.0000,0.8421,0.7643,0.0000,0.0000,2026-02-20 00:13:50
13,3,0.9814,0.9814,0.0000,3,3,585.21,13,13,0.0000,0.0000,0.8282,0.7313,0.0000,0.0000,2026-02-20 00:23:35
14,3,0.9824,0.9824,0.0000,3,3,626.18,14,14,0.0000,0.0000,0.8405,0.7603,0.0000,0.0000,2026-02-20 00:34:01
15,3,0.9843,0.9843,0.0000,3,3,593.74,15,15,0.0000,0.0000,0.8352,0.7458,0.0000,0.0000,2026-02-20 00:43:55
16,3,0.9848,0.9848,0.0000,3,3,580.75,16,16,0.0000,0.0000,0.8344,0.7454,0.0000,0.0000,2026-02-20 00:53:36
17,3,0.9861,0.9861,0.0000,3,3,580.18,17,17,0.0000,0.0000,0.8408,0.7591,0.0000,0.0000,2026-02-20 01:03:16
18,3,0.9866,0.9866,0.0000,3,3,577.75,18,18,0.0000,0.0000,0.8390,0.7560,0.0000,0.0000,2026-02-20 01:12:54
19,3,0.9878,0.9878,0.0000,3,3,578.80,19,19,0.0000,0.0000,0.8400,0.7585,0.0000,0.0000,2026-02-20 01:22:33
20,3,0.9885,0.9885,0.0000,3,3,581.88,20,20,0.0000,0.0000,0.8315,0.7378,0.0000,0.0000,2026-02-20 01:32:14
21,3,0.9885,0.9885,0.0000,3,3,579.94,21,21,0.0000,0.0000,0.8362,0.7498,0.0000,0.0000,2026-02-20 01:41:54
22,3,0.9885,0.9885,0.0000,3,3,581.06,22,22,0.0000,0.0000,0.8400,0.7585,0.0000,0.0000,2026-02-20 01:51:35
23,3,0.9893,0.9893,0.0000,3,3,578.18,23,23,0.0000,0.0000,0.8401,0.7584,0.0000,0.0000,2026-02-20 02:01:14
24,3,0.9901,0.9901,0.0000,3,3,578.77,24,24,0.0000,0.0000,0.8399,0.7577,0.0000,0.0000,2026-02-20 02:10:52
25,3,0.9898,0.9898,0.0000,3,3,583.14,25,25,0.0000,0.0000,0.8417,0.7613,0.0000,0.0000,2026-02-20 02:20:36
