round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,sst2_client_2,sst2,0.8620425109436346,0.35136301908473944,22159,19102,0.8620634142207735,,,,,,0.8979357798165137,0.3213317798057554,872,783,0.8977378621751322,,,,0.463302752293578,0.7036492895642552,872,404,0.40759493670886077,0.49538461538461537,0.34623655913978496,,,2026-02-20 09:16:38
1,sst2_client_1,sst2,0.8600117333814703,0.3524983982947262,22159,19057,0.8599847079673333,,,,,,0.893348623853211,0.3160266001097892,872,779,0.893114007032492,,,,0.463302752293578,0.7036492873769288,872,404,0.40759493670886077,0.49538461538461537,0.34623655913978496,,,2026-02-20 09:16:55
1,sst2_client_3,sst2,0.8645245724085022,0.3491796583870244,22159,19157,0.86458404075887,,,,,,0.9013761467889908,0.3028411770201023,872,786,0.9014842049509583,,,,0.463302752293578,0.7036492835491075,872,404,0.40759493670886077,0.49538461538461537,0.34623655913978496,,,2026-02-20 09:17:11
2,sst2_client_1,sst2,0.9288776569339772,0.2392466071486685,22159,20583,0.9289480998193825,,,,,,0.9162844036697247,0.3005426298472347,872,799,0.9162495413086611,,,,0.908256880733945,0.2916653582125629,872,792,0.9141630901287553,0.9122055674518201,0.9161290322580645,,,2026-02-20 09:22:31
2,sst2_client_2,sst2,0.9280653459091114,0.24111367992519667,22159,20565,0.9281094727750013,,,,,,0.9013761467889908,0.3144931201011353,872,786,0.9014281990044808,,,,0.908256880733945,0.2916653580566304,872,792,0.9141630901287553,0.9122055674518201,0.9161290322580645,,,2026-02-20 09:22:45
2,sst2_client_3,sst2,0.9268468793718128,0.23970586161439336,22159,20538,0.9269111444405668,,,,,,0.9162844036697247,0.3494495345907576,872,799,0.9163414893864824,,,,0.908256880733945,0.29166535696510326,872,792,0.9141630901287553,0.9122055674518201,0.9161290322580645,,,2026-02-20 09:23:00
3,sst2_client_1,sst2,0.9548264813394106,0.1731694522413168,22159,21158,0.9548469769474763,,,,,,0.9151376146788991,0.36213683417823095,872,798,0.9151501661642195,,,,0.9208715596330275,0.31563582703035425,872,803,0.9250814332247558,0.9342105263157895,0.9161290322580645,,,2026-02-20 09:28:09
3,sst2_client_2,sst2,0.9544203258269778,0.1737595628674053,22159,21149,0.9544495869113188,,,,,,0.911697247706422,0.4311260892342084,872,795,0.9117038954731753,,,,0.9208715596330275,0.3156358266458633,872,803,0.9250814332247558,0.9342105263157895,0.9161290322580645,,,2026-02-20 09:28:23
3,sst2_client_3,sst2,0.9531116025091385,0.17431009557379312,22159,21120,0.9531337954170678,,,,,,0.9048165137614679,0.4105926163039606,872,789,0.9047405830538936,,,,0.9208715596330275,0.3156358244937819,872,803,0.9250814332247558,0.9342105263157895,0.9161290322580645,,,2026-02-20 09:28:37
4,sst2_client_2,sst2,0.9698542352994268,0.12335371046976584,22159,21491,0.9698623492772334,,,,,,0.9174311926605505,0.4089708322391593,872,800,0.9174547380279922,,,,0.9174311926605505,0.39003343462790235,872,800,0.9227467811158797,0.9207708779443254,0.9247311827956989,,,2026-02-20 09:33:46
4,sst2_client_1,sst2,0.9710727018367254,0.12150299586512238,22159,21518,0.9710806343404434,,,,,,0.9208715596330275,0.4073371005809541,872,803,0.920899238789147,,,,0.9174311926605505,0.39003343713350186,872,800,0.9227467811158797,0.9207708779443254,0.9247311827956989,,,2026-02-20 09:34:00
4,sst2_client_3,sst2,0.9701701340313191,0.126115205742863,22159,21498,0.9701813086840243,,,,,,0.9151376146788991,0.4269080512308934,872,798,0.9152181394625413,,,,0.9174311926605505,0.3900334320251121,872,800,0.9227467811158797,0.9207708779443254,0.9247311827956989,,,2026-02-20 09:34:15
5,sst2_client_2,sst2,0.9788799133534907,0.0917284366611155,22159,21691,0.9788864511023666,,,,,,0.9162844036697247,0.449066550834553,872,799,0.9162778781041193,,,,0.9151376146788991,0.41132717954375086,872,798,0.9197396963123644,0.9277899343544858,0.9118279569892473,,,2026-02-20 09:39:22
5,sst2_client_1,sst2,0.979060426914572,0.0918038549916949,22159,21695,0.97906305796786,,,,,,0.9174311926605505,0.4838903636739423,872,800,0.9174547380279922,,,,0.9151376146788991,0.41132718152334535,872,798,0.9197396963123644,0.9277899343544858,0.9118279569892473,,,2026-02-20 09:39:36
5,sst2_client_3,sst2,0.97878965657295,0.09299102490085945,22159,21689,0.9787931985056082,,,,,,0.9128440366972477,0.5422710993522383,872,796,0.9126637857324429,,,,0.9151376146788991,0.41132718153188963,872,798,0.9197396963123644,0.9277899343544858,0.9118279569892473,,,2026-02-20 09:39:51
6,sst2_client_2,sst2,0.9851076312107947,0.06614075537474116,22159,21829,0.9851116396130045,,,,,,0.9162844036697247,0.5265017300870893,872,799,0.9163414893864824,,,,0.9208715596330275,0.47085432854276515,872,803,0.9258861439312567,0.924892703862661,0.9268817204301075,,,2026-02-20 09:44:59
6,sst2_client_1,sst2,0.9850173744302541,0.06606286790728409,22159,21827,0.9850200306060513,,,,,,0.911697247706422,0.5451968489158706,872,795,0.9116758915628419,,,,0.9208715596330275,0.47085433278738525,872,803,0.9258861439312567,0.924892703862661,0.9268817204301075,,,2026-02-20 09:45:14
6,sst2_client_3,sst2,0.9847014756983619,0.06751936683797168,22159,21820,0.9847052050959028,,,,,,0.9220183486238532,0.4940546212108846,872,804,0.9220405859153259,,,,0.9208715596330275,0.4708543296001153,872,803,0.9258861439312567,0.924892703862661,0.9268817204301075,,,2026-02-20 09:45:27
7,sst2_client_2,sst2,0.9893045715059344,0.050988075496399936,22159,21922,0.9893057488271294,,,,,,0.9220183486238532,0.5372891942399726,872,804,0.9220298824211748,,,,0.9162844036697247,0.5253629770572885,872,799,0.9210810810810811,0.9260869565217391,0.9161290322580645,,,2026-02-20 09:50:34
