round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,stsb_client_2,stsb,0.16037222777041807,0.10294004987483307,469,98,,0.16037222777041807,0.1854664212206917,0.26818346977233887,0.10313744097948074,0.32115018367767334,0.508567836081484,0.06857602083339141,100,26,,0.508567836081484,0.4494656717608567,0.2169833928346634,0.7888736197520008,0.21112637996673583,100,,,,,0.162341452230777,0.16798916217426582,2026-02-20 16:13:18
1,stsb_client_1,stsb,0.02190361215520516,0.08071559103315368,544,155,,0.02190361215520516,0.012839059302447215,0.2285376787185669,0.0807155892252922,0.2841048836708069,0.3991242671455211,0.10788424642613301,100,31,,0.3991242671455211,0.38401300714269027,0.2457512617111206,0.7888736221728341,0.21112638354301452,100,,,,,0.16234145782328688,0.16798916217426582,2026-02-20 16:13:33
1,stsb_client_3,stsb,0.13031942590430917,0.10412017271226766,387,89,,0.13031942590430917,0.1364061172795271,0.264729380607605,0.10456838458776474,0.3233703374862671,0.4593323440185074,0.0789576955139637,100,21,,0.4593323440185074,0.40393129277580353,0.23168697953224182,0.7888736272304147,0.21112637400627135,100,,,,,0.1623414797841062,0.16798916217426582,2026-02-20 16:13:50
2,stsb_client_2,stsb,0.6071509535421592,0.05849357099288096,469,122,,0.6071509535421592,0.5871221672312381,0.19979868829250336,0.058776821941137314,0.24243931472301483,0.740116591088372,0.05245550277714546,100,30,,0.740116591088372,0.6840795159638073,0.18231262266635895,0.929454625889782,0.07054537266492844,100,,,,,0.4853620760829776,0.4316810588494559,2026-02-20 16:16:56
2,stsb_client_1,stsb,0.3921878544446621,0.049137409043717474,544,194,,0.3921878544446621,0.3692977057204503,0.17860542237758636,0.049137409776449203,0.22166959941387177,0.6545365609524116,0.055138147507722564,100,27,,0.6545365609524116,0.6221248725401104,0.1931065171957016,0.9294546282402455,0.07054537057876586,100,,,,,0.4853621039181127,0.4316810588494559,2026-02-20 16:17:12
2,stsb_client_3,stsb,0.5265645474036703,0.06511609395015605,387,109,,0.5265645474036703,0.5307818136893466,0.20647554099559784,0.06518194824457169,0.25530755519866943,0.6650599541259112,0.05038602284800548,100,35,,0.6650599541259112,0.5961481584464725,0.1833231896162033,0.9294546256581969,0.070545374751091,100,,,,,0.4853620661021705,0.4316810588494559,2026-02-20 16:17:26
3,stsb_client_2,stsb,0.772104613025209,0.037791284953512375,469,178,,0.772104613025209,0.7449671840650207,0.15328443050384521,0.03785035386681557,0.19455167651176453,0.759465915459567,0.03868372222551933,100,41,,0.759465915459567,0.7045868154750271,0.15836812555789948,0.9556589119322497,0.044341088235378266,100,,,,,0.7200019605369598,0.6756650319908566,2026-02-20 16:20:14
3,stsb_client_1,stsb,0.5910652359353787,0.03779588632888215,544,216,,0.5910652359353787,0.5599994643430924,0.1551389992237091,0.037795886397361755,0.19441163539886475,0.6957251945445627,0.04982566790511975,100,41,,0.6957251945445627,0.6418928995308495,0.17320312559604645,0.9556589130359471,0.0443410862237215,100,,,,,0.7200019687257853,0.6756650319908566,2026-02-20 16:20:29
3,stsb_client_3,stsb,0.7696186294133379,0.03643967456431413,387,163,,0.7696186294133379,0.7847921550918492,0.15024803578853607,0.036746878176927567,0.19169475138187408,0.739261938508792,0.04160040552512957,100,44,,0.739261938508792,0.677456115007956,0.1581023633480072,0.9556589125857311,0.044341088384389875,100,,,,,0.7200019685003035,0.6756650319908566,2026-02-20 16:20:43
4,stsb_client_2,stsb,0.8344294525425556,0.02835918266831313,469,219,,0.8344294525425556,0.8177910821448832,0.13145647943019867,0.0283860731869936,0.16848166286945343,0.7571533014417923,0.05356991713723311,100,33,,0.7571533014417923,0.6973864213324594,0.18876534700393677,0.9606275823795762,0.03937241844832897,100,,,,,0.7477421887397803,0.6876135992324466,2026-02-20 16:23:31
4,stsb_client_1,stsb,0.659999108909418,0.032579319017446214,544,220,,0.659999108909418,0.6322210395349618,0.1454869955778122,0.032579317688941956,0.1804974228143692,0.7615822292948209,0.044590277024186574,100,41,,0.7615822292948209,0.7299084018879138,0.163241446018219,0.9606275810881864,0.03937241964042187,100,,,,,0.7477421803274781,0.6876135992324466,2026-02-20 16:23:46
4,stsb_client_3,stsb,0.7875859364167301,0.03443624311107762,387,160,,0.7875859364167301,0.798791536759721,0.14699427783489227,0.034580375999212265,0.18595799803733826,0.7529045365455754,0.051863306416915014,100,31,,0.7529045365455754,0.714521916908804,0.18888236582279205,0.9606275824830721,0.0393724175542593,100,,,,,0.7477421909439756,0.6876135992324466,2026-02-20 16:23:59
5,stsb_client_1,stsb,0.7474364413415472,0.02513356804025962,544,272,,0.7474364413415472,0.7311296226917254,0.12331382185220718,0.025133566930890083,0.1585356891155243,0.758081562229083,0.04223437549976202,100,42,,0.758081562229083,0.7260677909888312,0.16069602966308594,0.9529320840027422,0.0470679148286581,100,,,,,0.7722152260630054,0.7228642767334151,2026-02-20 16:26:50
5,stsb_client_2,stsb,0.8460641545446111,0.026622523561562018,469,216,,0.8460641545446111,0.8261020132217781,0.12993568181991577,0.02664610743522644,0.1632363498210907,0.7745486557263668,0.03496191184967756,100,42,,0.7745486557263668,0.7153212928862344,0.1487092822790146,0.9529320833004592,0.047067915946245195,100,,,,,0.7722152165764666,0.7228642767334151,2026-02-20 16:27:03
5,stsb_client_3,stsb,0.8208474621993591,0.029181908122358883,387,176,,0.8208474621993591,0.8330945234550134,0.13457491993904114,0.02930772677063942,0.17119500041007996,0.7622268389787341,0.04613981768488884,100,28,,0.7622268389787341,0.7243247907372916,0.17775391042232513,0.9529320826042242,0.04706791803240776,100,,,,,0.7722152127718562,0.7228642767334151,2026-02-20 16:27:17
6,stsb_client_2,stsb,0.8597064061881228,0.024398713341077505,469,231,,0.8597064061881228,0.8418081408055529,0.12286822497844696,0.024494294077157974,0.1565065234899521,0.7817302167447138,0.03403204772621393,100,44,,0.7817302167447138,0.7328654919698364,0.1436263471841812,0.9623117177065166,0.0376882816106081,100,,,,,0.7811636762724011,0.7342298404425935,2026-02-20 16:30:04
6,stsb_client_1,stsb,0.7554855123513721,0.024584777125924388,544,259,,0.7554855123513721,0.7393942667804858,0.12453490495681763,0.024584777653217316,0.15679533779621124,0.7639584973348789,0.03842473943502857,100,42,,0.7639584973348789,0.7189214899575181,0.15502884984016418,0.9623117179036359,0.037688282504677775,100,,,,,0.781163676008802,0.7342298404425935,2026-02-20 16:30:18
6,stsb_client_3,stsb,0.8689561040494481,0.021889020983433843,387,207,,0.8689561040494481,0.8784600586981484,0.11448785662651062,0.021985918283462524,0.14827649295330048,0.7792576775421993,0.03446663070756655,100,47,,0.7792576775421993,0.731410988311655,0.14368440210819244,0.9623117158831583,0.03768828384578228,100,,,,,0.7811636689777144,0.7342298404425935,2026-02-20 16:30:32
