round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.1042,0.0000,0.1042,3,3,210.86,1,1,0.0000,0.0000,0.0000,0.0000,0.1623,0.1680,2026-02-20 16:13:51
2,3,0.5086,0.0000,0.5086,3,3,215.43,2,2,0.0000,0.0000,0.0000,0.0000,0.4854,0.4317,2026-02-20 16:17:26
3,3,0.7109,0.0000,0.7109,3,3,197.10,3,3,0.0000,0.0000,0.0000,0.0000,0.7200,0.6757,2026-02-20 16:20:43
4,3,0.7607,0.0000,0.7607,3,3,196.26,4,4,0.0000,0.0000,0.0000,0.0000,0.7477,0.6876,2026-02-20 16:23:59
5,3,0.8048,0.0000,0.8048,3,3,197.43,5,5,0.0000,0.0000,0.0000,0.0000,0.7722,0.7229,2026-02-20 16:27:17
6,3,0.8280,0.0000,0.8280,3,3,194.97,6,6,0.0000,0.0000,0.0000,0.0000,0.7812,0.7342,2026-02-20 16:30:32
7,3,0.8417,0.0000,0.8417,3,3,196.38,7,7,0.0000,0.0000,0.0000,0.0000,0.7832,0.7323,2026-02-20 16:33:48
8,3,0.8567,0.0000,0.8567,3,3,195.89,8,8,0.0000,0.0000,0.0000,0.0000,0.7864,0.7454,2026-02-20 16:37:04
9,3,0.8690,0.0000,0.8690,3,3,195.64,9,9,0.0000,0.0000,0.0000,0.0000,0.7877,0.7455,2026-02-20 16:40:20
10,3,0.8831,0.0000,0.8831,3,3,195.17,10,10,0.0000,0.0000,0.0000,0.0000,0.7849,0.7460,2026-02-20 16:43:35
11,3,0.8876,0.0000,0.8876,3,3,194.73,11,11,0.0000,0.0000,0.0000,0.0000,0.7821,0.7439,2026-02-20 16:46:50
12,3,0.8959,0.0000,0.8959,3,3,195.57,12,12,0.0000,0.0000,0.0000,0.0000,0.7828,0.7417,2026-02-20 16:50:05
13,3,0.9024,0.0000,0.9024,3,3,195.14,13,13,0.0000,0.0000,0.0000,0.0000,0.7814,0.7442,2026-02-20 16:53:20
14,3,0.9089,0.0000,0.9089,3,3,194.76,14,14,0.0000,0.0000,0.0000,0.0000,0.7833,0.7464,2026-02-20 16:56:35
15,3,0.9101,0.0000,0.9101,3,3,194.48,15,15,0.0000,0.0000,0.0000,0.0000,0.7799,0.7489,2026-02-20 16:59:50
16,3,0.9139,0.0000,0.9139,3,3,194.29,16,16,0.0000,0.0000,0.0000,0.0000,0.7827,0.7430,2026-02-20 17:03:04
17,3,0.9112,0.0000,0.9112,3,3,195.05,17,17,0.0000,0.0000,0.0000,0.0000,0.7803,0.7463,2026-02-20 17:06:19
18,3,0.9144,0.0000,0.9144,3,3,195.22,18,18,0.0000,0.0000,0.0000,0.0000,0.7831,0.7448,2026-02-20 17:09:34
19,3,0.9188,0.0000,0.9188,3,3,194.49,19,19,0.0000,0.0000,0.0000,0.0000,0.7788,0.7448,2026-02-20 17:12:49
20,3,0.9164,0.0000,0.9164,3,3,196.46,20,20,0.0000,0.0000,0.0000,0.0000,0.7810,0.7419,2026-02-20 17:16:05
21,3,0.9200,0.0000,0.9200,3,3,193.11,21,21,0.0000,0.0000,0.0000,0.0000,0.7793,0.7448,2026-02-20 17:19:18
22,3,0.9228,0.0000,0.9228,3,3,196.48,22,22,0.0000,0.0000,0.0000,0.0000,0.7848,0.7447,2026-02-20 17:22:35
23,3,0.9258,0.0000,0.9258,3,3,195.11,23,23,0.0000,0.0000,0.0000,0.0000,0.7832,0.7438,2026-02-20 17:25:50
24,3,0.9250,0.0000,0.9250,3,3,196.12,24,24,0.0000,0.0000,0.0000,0.0000,0.7814,0.7426,2026-02-20 17:29:06
25,3,0.9259,0.0000,0.9259,3,3,194.34,25,25,0.0000,0.0000,0.0000,0.0000,0.7828,0.7441,2026-02-20 17:32:20
