round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.4469,0.6704,0.0000,3,3,148.19,1,1,0.4312,0.0949,0.6127,0.0941,-0.1890,-0.1722,2026-01-31 23:32:24
2,3,0.4922,0.6804,0.1157,3,3,142.19,2,2,0.7431,0.7817,0.6744,0.4337,0.0348,0.0392,2026-01-31 23:34:46
3,3,0.5066,0.6810,0.1578,3,3,142.18,3,3,0.7466,0.7852,0.6689,0.3486,0.1486,0.1488,2026-01-31 23:37:08
4,3,0.5221,0.6814,0.2035,3,3,142.18,4,4,0.7477,0.7864,0.6766,0.4195,0.2133,0.2084,2026-01-31 23:39:31
5,3,0.5228,0.6818,0.2046,3,3,142.19,5,5,0.7523,0.7818,0.6765,0.4475,0.2462,0.2417,2026-01-31 23:41:53
6,3,0.5266,0.6815,0.2167,3,3,142.18,6,6,0.7305,0.7785,0.6657,0.2985,0.2764,0.2623,2026-01-31 23:44:15
7,3,0.5348,0.6816,0.2412,3,3,142.19,7,7,0.7374,0.7833,0.6705,0.3608,0.2921,0.2824,2026-01-31 23:46:37
8,3,0.5387,0.6821,0.2517,3,3,142.17,8,8,0.7569,0.7884,0.6717,0.3589,0.3109,0.2997,2026-01-31 23:48:59
9,3,0.5369,0.6828,0.2451,3,3,142.19,9,9,0.7511,0.7862,0.6692,0.3388,0.3188,0.3083,2026-01-31 23:51:22
10,3,0.5424,0.6816,0.2641,3,3,142.22,10,10,0.7489,0.7838,0.6716,0.3743,0.3247,0.3136,2026-01-31 23:53:44
11,3,0.5467,0.6823,0.2754,3,3,142.17,11,11,0.7420,0.7822,0.6641,0.2918,0.3297,0.3167,2026-01-31 23:56:06
12,3,0.5466,0.6823,0.2753,3,3,142.20,12,12,0.7500,0.7859,0.6682,0.3289,0.3340,0.3225,2026-01-31 23:58:28
13,3,0.5509,0.6816,0.2894,3,3,142.19,13,13,0.7362,0.7805,0.6737,0.3788,0.3407,0.3250,2026-02-01 00:00:50
14,3,0.5531,0.6826,0.2943,3,3,142.18,14,14,0.7511,0.7845,0.6695,0.3520,0.3471,0.3334,2026-02-01 00:03:13
15,3,0.5555,0.6833,0.2999,3,3,142.20,15,15,0.7500,0.7824,0.6680,0.3261,0.3509,0.3410,2026-02-01 00:05:35
16,3,0.5533,0.6830,0.2938,3,3,142.19,16,16,0.7477,0.7872,0.6668,0.3268,0.3530,0.3415,2026-02-01 00:07:57
17,3,0.5524,0.6830,0.2912,3,3,142.19,17,17,0.7500,0.7863,0.6685,0.3306,0.3489,0.3407,2026-02-01 00:10:19
18,3,0.5536,0.6836,0.2937,3,3,142.18,18,18,0.7489,0.7855,0.6682,0.3332,0.3523,0.3432,2026-02-01 00:12:41
19,3,0.5571,0.6821,0.3072,3,3,142.19,19,19,0.7511,0.7866,0.6729,0.3738,0.3568,0.3478,2026-02-01 00:15:03
20,3,0.5589,0.6828,0.3110,3,3,142.19,20,20,0.7489,0.7842,0.6693,0.3440,0.3572,0.3448,2026-02-01 00:17:26
21,3,0.5584,0.6829,0.3094,3,3,142.19,21,21,0.7489,0.7838,0.6682,0.3311,0.3580,0.3454,2026-02-01 00:19:48
22,3,0.5607,0.6834,0.3155,3,3,142.18,22,22,0.7500,0.7871,0.6717,0.3656,0.3625,0.3487,2026-02-01 00:22:10
23,3,0.5564,0.6830,0.3032,3,3,142.20,23,23,0.7546,0.7902,0.6694,0.3416,0.3623,0.3490,2026-02-01 00:24:32
24,3,0.5557,0.6824,0.3023,3,3,142.17,24,24,0.7511,0.7866,0.6695,0.3507,0.3618,0.3482,2026-02-01 00:26:54
25,3,0.5585,0.6825,0.3104,3,3,142.18,25,25,0.7534,0.7869,0.6685,0.3391,0.3636,0.3505,2026-02-01 00:29:17
26,3,0.5590,0.6839,0.3093,3,3,142.20,26,26,0.7523,0.7874,0.6717,0.3623,0.3648,0.3528,2026-02-01 00:31:39
27,3,0.5602,0.6835,0.3136,3,3,142.19,27,27,0.7523,0.7874,0.6704,0.3533,0.3643,0.3523,2026-02-01 00:34:01
28,3,0.5595,0.6824,0.3135,3,3,142.18,28,28,0.7523,0.7882,0.6690,0.3420,0.3645,0.3524,2026-02-01 00:36:23
29,3,0.5616,0.6828,0.3191,3,3,142.19,29,29,0.7523,0.7853,0.6708,0.3553,0.3645,0.3531,2026-02-01 00:38:45
30,3,0.5581,0.6826,0.3091,3,3,146.20,30,30,0.7511,0.7858,0.6681,0.3301,0.3639,0.3529,2026-02-01 00:41:12
