round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.6257,0.8243,0.2285,3,3,283.42,1,1,0.4587,0.2934,0.3939,0.5345,0.1075,0.0863,2026-01-12 07:43:22
2,3,0.7686,0.8594,0.5871,3,3,281.90,2,2,0.7672,0.7459,0.7228,0.7114,0.3071,0.2751,2026-01-12 07:48:04
3,3,0.8133,0.8781,0.6836,3,3,280.90,3,3,0.8601,0.8641,0.7545,0.7386,0.5267,0.4935,2026-01-12 07:52:45
4,3,0.8444,0.8914,0.7503,3,3,283.61,4,4,0.8830,0.8903,0.7946,0.7662,0.6092,0.5937,2026-01-12 07:57:28
5,3,0.8601,0.9012,0.7781,3,3,281.02,5,5,0.9117,0.9217,0.8052,0.7752,0.6283,0.6170,2026-01-12 08:02:09
6,3,0.8723,0.9104,0.7961,3,3,281.09,6,6,0.9140,0.9234,0.7873,0.7649,0.6602,0.6444,2026-01-12 08:06:50
7,3,0.8808,0.9179,0.8067,3,3,281.02,7,7,0.9174,0.9256,0.7869,0.7638,0.6708,0.6518,2026-01-12 08:11:31
8,3,0.8890,0.9242,0.8186,3,3,284.44,8,8,0.9151,0.9256,0.7981,0.7725,0.6532,0.6364,2026-01-12 08:16:16
9,3,0.8944,0.9299,0.8233,3,3,283.27,9,9,0.9197,0.9294,0.7899,0.7666,0.6477,0.6341,2026-01-12 08:20:59
10,3,0.9029,0.9348,0.8391,3,3,280.74,10,10,0.9163,0.9257,0.7710,0.7533,0.6834,0.6609,2026-01-12 08:25:40
11,3,0.9074,0.9391,0.8439,3,3,280.95,11,11,0.9163,0.9266,0.7930,0.7687,0.6496,0.6345,2026-01-12 08:30:21
12,3,0.9120,0.9424,0.8510,3,3,280.57,12,12,0.9174,0.9284,0.7931,0.7697,0.6515,0.6334,2026-01-12 08:35:01
13,3,0.9110,0.9460,0.8409,3,3,280.80,13,13,0.9197,0.9299,0.8033,0.7762,0.6460,0.6302,2026-01-12 08:39:42
14,3,0.9170,0.9487,0.8535,3,3,280.08,14,14,0.9232,0.9323,0.8018,0.7757,0.6267,0.6089,2026-01-12 08:44:22
15,3,0.9205,0.9518,0.8581,3,3,280.77,15,15,0.9197,0.9296,0.8136,0.7834,0.6325,0.6144,2026-01-12 08:49:03
16,3,0.9195,0.9539,0.8507,3,3,279.62,16,16,0.9163,0.9271,0.8035,0.7755,0.6224,0.6043,2026-01-12 08:53:43
17,3,0.9231,0.9558,0.8576,3,3,280.72,17,17,0.9220,0.9317,0.8203,0.7880,0.6041,0.5890,2026-01-12 08:58:23
18,3,0.9225,0.9576,0.8523,3,3,282.79,18,18,0.9197,0.9297,0.8106,0.7806,0.6074,0.5902,2026-01-12 09:03:06
19,3,0.9251,0.9591,0.8572,3,3,282.37,19,19,0.9209,0.9309,0.8005,0.7730,0.6123,0.5895,2026-01-12 09:07:48
20,3,0.9249,0.9605,0.8539,3,3,287.45,20,20,0.9220,0.9315,0.8133,0.7819,0.6141,0.5953,2026-01-12 09:12:36
21,3,0.9253,0.9615,0.8529,3,3,285.14,21,21,0.9243,0.9337,0.8105,0.7796,0.6053,0.5873,2026-01-12 09:17:21
22,3,0.9271,0.9624,0.8564,3,3,292.54,22,22,0.9209,0.9304,0.8073,0.7774,0.6080,0.5894,2026-01-12 09:22:14
23,3,0.9281,0.9638,0.8569,3,3,286.54,23,23,0.9232,0.9324,0.8202,0.7870,0.5977,0.5833,2026-01-12 09:27:00
24,3,0.9285,0.9643,0.8569,3,3,288.67,24,24,0.9209,0.9301,0.8216,0.7875,0.5925,0.5764,2026-01-12 09:31:49
25,3,0.9269,0.9651,0.8504,3,3,288.27,25,25,0.9220,0.9308,0.8186,0.7853,0.5891,0.5726,2026-01-12 09:36:37
26,3,0.9289,0.9657,0.8554,3,3,285.22,26,26,0.9220,0.9312,0.8218,0.7875,0.5940,0.5791,2026-01-12 09:41:22
27,3,0.9278,0.9665,0.8504,3,3,287.20,27,27,0.9197,0.9294,0.8224,0.7874,0.5961,0.5791,2026-01-12 09:46:09
28,3,0.9282,0.9668,0.8511,3,3,285.32,28,28,0.9220,0.9312,0.8282,0.7914,0.5853,0.5696,2026-01-12 09:50:55
29,3,0.9262,0.9677,0.8432,3,3,281.62,29,29,0.9209,0.9302,0.8314,0.7931,0.5916,0.5745,2026-01-12 09:55:36
30,3,0.9268,0.9679,0.8445,3,3,283.97,30,30,0.9243,0.9331,0.8299,0.7919,0.5871,0.5702,2026-01-12 10:00:20
31,3,0.9286,0.9684,0.8491,3,3,281.07,31,31,0.9266,0.9350,0.8285,0.7908,0.5872,0.5685,2026-01-12 10:05:01
32,3,0.9257,0.9682,0.8408,3,3,282.80,32,32,0.9255,0.9339,0.8306,0.7925,0.5893,0.5681,2026-01-12 10:09:44
33,3,0.9254,0.9686,0.8390,3,3,282.26,33,33,0.9220,0.9313,0.8302,0.7919,0.5883,0.5676,2026-01-12 10:14:27
34,3,0.9242,0.9690,0.8347,3,3,281.92,34,34,0.9243,0.9333,0.8353,0.7958,0.5890,0.5684,2026-01-12 10:19:08
35,3,0.9233,0.9693,0.8312,3,3,282.54,35,35,0.9255,0.9339,0.8349,0.7955,0.5875,0.5664,2026-01-12 10:23:51
36,3,0.9253,0.9695,0.8369,3,3,285.46,36,36,0.9255,0.9343,0.8346,0.7949,0.5862,0.5656,2026-01-12 10:28:36
37,3,0.9229,0.9694,0.8299,3,3,284.96,37,37,0.9255,0.9343,0.8365,0.7959,0.5845,0.5644,2026-01-12 10:33:21
38,3,0.9224,0.9697,0.8276,3,3,284.21,38,38,0.9266,0.9352,0.8381,0.7968,0.5858,0.5648,2026-01-12 10:38:06
39,3,0.9240,0.9697,0.8326,3,3,285.54,39,39,0.9243,0.9328,0.8402,0.7983,0.5838,0.5634,2026-01-12 10:42:51
40,3,0.9205,0.9701,0.8213,3,3,288.28,40,40,0.9243,0.9331,0.8406,0.7984,0.5809,0.5606,2026-01-12 10:47:39
41,3,0.9235,0.9700,0.8306,3,3,282.24,41,41,0.9255,0.9339,0.8412,0.7990,0.5806,0.5597,2026-01-12 10:52:22
42,3,0.9241,0.9702,0.8319,3,3,284.24,42,42,0.9220,0.9310,0.8424,0.7996,0.5795,0.5598,2026-01-12 10:57:06
43,3,0.9216,0.9699,0.8250,3,3,289.41,43,43,0.9220,0.9312,0.8429,0.7995,0.5798,0.5599,2026-01-12 11:01:55
44,3,0.9204,0.9704,0.8205,3,3,291.11,44,44,0.9209,0.9302,0.8446,0.8004,0.5789,0.5595,2026-01-12 11:06:46
45,3,0.9259,0.9701,0.8374,3,3,283.35,45,45,0.9232,0.9321,0.8450,0.8006,0.5782,0.5587,2026-01-12 11:11:30
46,3,0.9235,0.9702,0.8302,3,3,283.42,46,46,0.9220,0.9312,0.8460,0.8010,0.5771,0.5571,2026-01-12 11:16:13
47,3,0.9206,0.9704,0.8209,3,3,282.35,47,47,0.9266,0.9350,0.8468,0.8010,0.5756,0.5559,2026-01-12 11:20:56
48,3,0.9215,0.9702,0.8241,3,3,283.03,48,48,0.9232,0.9318,0.8469,0.8010,0.5721,0.5527,2026-01-12 11:25:39
49,3,0.9196,0.9703,0.8182,3,3,283.11,49,49,0.9232,0.9318,0.8472,0.8010,0.5707,0.5513,2026-01-12 11:30:22
50,3,0.9178,0.9703,0.8130,3,3,281.80,50,50,0.9232,0.9318,0.8476,0.8013,0.5720,0.5528,2026-01-12 11:35:04
