round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,stsb_client,stsb,0.08080716236052278,0.13181654406935536,4249,821,,0.08080716236052278,0.09093844122299104,0.2941735834301931,0.13163886867668703,0.36282071147701456,0.2569483310213928,0.0949910768069961,1500,295,,0.2569483310213928,0.226635758699315,0.2595241963863373,0.6561149835018416,0.34388501437505087,1500,,,,,-0.06492924099794821,-0.05089206606830985,2026-02-05 07:10:49
1,sst2_client,sst2,0.7947560810505889,0.43927911104416983,66477,52833,0.7946479072338383,,,,,,0.8681192660550459,0.32924212229976413,872,757,0.8683844426158317,,,,0.47477064220183485,0.7314923061143368,872,414,0.5307377049180328,0.5318275154004107,0.5296523517382413,,,2026-02-05 07:11:29
1,qqp_client,qqp,0.7402130389746919,0.5087984773017615,323415,239396,0.7368228791466979,,,,,,0.7778684672652173,0.4676797673715036,40431,31450,0.7721845336279418,,,,0.4202221067992382,0.7962677631697551,40431,16990,0.49778253883235135,0.3655558702287674,0.779873791621912,,,2026-02-05 07:14:50
2,stsb_client,stsb,0.15556164167209685,0.11054829305285786,4249,946,,0.15556164167209685,0.15412689329629728,0.27179092179482356,0.11072985489436743,0.33276095758722574,0.36284047403708314,0.0796299813354903,1500,329,,0.36284047403708314,0.3456952175218737,0.23840461671352386,0.7741903962891897,0.2258096034526825,1500,,,,,-0.023286100801427272,-0.01825143806229532,2026-02-05 07:15:19
2,sst2_client,sst2,0.8384102772387442,0.3795220678805561,66477,55735,0.8385307181215778,,,,,,0.8692660550458715,0.36561178413877654,872,758,0.8682330158146612,,,,0.7201834862385321,0.5489949761727534,872,628,0.7900172117039587,0.6820208023774146,0.9386503067484663,,,2026-02-05 07:16:00
2,qqp_client,qqp,0.7634185180031847,0.4771723750964241,323415,246901,0.761861894073953,,,,,,0.7828646335732482,0.4566963642148642,40431,31652,0.7769725637463161,,,,0.6475724073112216,0.6314505211221529,40431,26182,0.6102890900637257,0.5149305395301611,0.7489930182599356,,,2026-02-05 07:19:22
3,stsb_client,stsb,0.328186270607427,0.09341734082655127,4249,1009,,0.328186270607427,0.31526783499527256,0.248136609366392,0.09355254620946506,0.3058636072001131,0.5572659643027654,0.06178230329595031,1500,456,,0.5572659643027654,0.4970319823396754,0.1994452327489853,0.8588765827697988,0.14112341751654942,1500,,,,,0.05333446586952,0.06023638215749224,2026-02-05 07:19:50
3,sst2_client,sst2,0.8557245363057899,0.35088607010893325,66477,56886,0.8558358659116171,,,,,,0.8853211009174312,0.322410712437277,872,772,0.8851035603645536,,,,0.7477064220183486,0.4812327425140853,872,652,0.8113207547169812,0.6986706056129985,0.967280163599182,,,2026-02-05 07:20:29
3,qqp_client,qqp,0.7754896959015506,0.45919765982374466,323415,250805,0.7744886240974872,,,,,,0.7899136800969553,0.4501758866892191,40431,31937,0.7865302030387313,,,,0.7174198016373575,0.5579828028473268,40431,29006,0.686994876852689,0.5803286276324925,0.841702470461869,,,2026-02-05 07:23:53
4,stsb_client,stsb,0.40145617440706965,0.08563719823242243,4249,1077,,0.40145617440706965,0.381228851943282,0.23559791385881107,0.0857421512950546,0.29281760755640124,0.5742138230128847,0.061778455457471786,1500,480,,0.5742138230128847,0.5127487335038806,0.1976580023765564,0.8862866398266958,0.1137133608063062,1500,,,,,0.30419953774738034,0.2961707386363831,2026-02-05 07:24:21
