accuracy,client_id,device_type,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_memory_total_gb,gpu_memory_utilization_pct,gpu_name,loss,phase,round,samples_processed,task,timestamp
0.0,sst2_client,cuda,0.027121664,0.04194304,8.071348224,0.33602396089607744,NVIDIA GeForce RTX 5060,0.0,training_start,1,0,all_tasks,2026-02-05 07:10:34
0.7947560810505889,sst2_client,cuda,0.08807936,0.117440512,8.071348224,1.0912595709611153,NVIDIA GeForce RTX 5060,0.43927911104416983,task_complete,1,66477,sst2,2026-02-05 07:11:24
0.0,sst2_client,cuda,0.105624064,0.134217728,8.071348224,1.3086297489424241,NVIDIA GeForce RTX 5060,0.0,round_complete,1,0,all_tasks,2026-02-05 07:11:28
0.0,sst2_client,cuda,0.088078848,0.13631488,8.071348224,1.0912532275351374,NVIDIA GeForce RTX 5060,0.0,training_start,2,0,all_tasks,2026-02-05 07:15:04
0.8384102772387442,sst2_client,cuda,0.08807936,0.117440512,8.071348224,1.0912595709611153,NVIDIA GeForce RTX 5060,0.3795220678805561,task_complete,2,66477,sst2,2026-02-05 07:15:55
0.0,sst2_client,cuda,0.105624064,0.134217728,8.071348224,1.3086297489424241,NVIDIA GeForce RTX 5060,0.0,round_complete,2,0,all_tasks,2026-02-05 07:15:58
0.0,sst2_client,cuda,0.088078848,0.13631488,8.071348224,1.0912532275351374,NVIDIA GeForce RTX 5060,0.0,training_start,3,0,all_tasks,2026-02-05 07:19:36
0.8557245363057899,sst2_client,cuda,0.08807936,0.117440512,8.071348224,1.0912595709611153,NVIDIA GeForce RTX 5060,0.35088607010893325,task_complete,3,66477,sst2,2026-02-05 07:20:25
0.0,sst2_client,cuda,0.105624064,0.134217728,8.071348224,1.3086297489424241,NVIDIA GeForce RTX 5060,0.0,round_complete,3,0,all_tasks,2026-02-05 07:20:28
0.0,sst2_client,cuda,0.088078848,0.13631488,8.071348224,1.0912532275351374,NVIDIA GeForce RTX 5060,0.0,training_start,4,0,all_tasks,2026-02-05 07:24:07
0.8693683529641831,sst2_client,cuda,0.08807936,0.117440512,8.071348224,1.0912595709611153,NVIDIA GeForce RTX 5060,0.3306309944333645,task_complete,4,66477,sst2,2026-02-05 07:24:56
0.0,sst2_client,cuda,0.105624064,0.134217728,8.071348224,1.3086297489424241,NVIDIA GeForce RTX 5060,0.0,round_complete,4,0,all_tasks,2026-02-05 07:25:00
0.0,sst2_client,cuda,0.088078848,0.13631488,8.071348224,1.0912532275351374,NVIDIA GeForce RTX 5060,0.0,training_start,5,0,all_tasks,2026-02-05 07:28:37
0.8771153932939212,sst2_client,cuda,0.08807936,0.117440512,8.071348224,1.0912595709611153,NVIDIA GeForce RTX 5060,0.3175184904587613,task_complete,5,66477,sst2,2026-02-05 07:29:26
0.0,sst2_client,cuda,0.105624064,0.134217728,8.071348224,1.3086297489424241,NVIDIA GeForce RTX 5060,0.0,round_complete,5,0,all_tasks,2026-02-05 07:29:29
0.0,sst2_client,cuda,0.088078848,0.13631488,8.071348224,1.0912532275351374,NVIDIA GeForce RTX 5060,0.0,training_start,6,0,all_tasks,2026-02-05 07:33:09
0.886005686177174,sst2_client,cuda,0.08807936,0.117440512,8.071348224,1.0912595709611153,NVIDIA GeForce RTX 5060,0.3057284298888604,task_complete,6,66477,sst2,2026-02-05 07:33:58
0.0,sst2_client,cuda,0.105624064,0.134217728,8.071348224,1.3086297489424241,NVIDIA GeForce RTX 5060,0.0,round_complete,6,0,all_tasks,2026-02-05 07:34:01
0.0,sst2_client,cuda,0.088078848,0.13631488,8.071348224,1.0912532275351374,NVIDIA GeForce RTX 5060,0.0,training_start,7,0,all_tasks,2026-02-05 07:37:39
0.8903079260496112,sst2_client,cuda,0.08807936,0.117440512,8.071348224,1.0912595709611153,NVIDIA GeForce RTX 5060,0.2973395632906754,task_complete,7,66477,sst2,2026-02-05 07:38:28
0.0,sst2_client,cuda,0.105624064,0.134217728,8.071348224,1.3086297489424241,NVIDIA GeForce RTX 5060,0.0,round_complete,7,0,all_tasks,2026-02-05 07:38:32
0.0,sst2_client,cuda,0.088078848,0.13631488,8.071348224,1.0912532275351374,NVIDIA GeForce RTX 5060,0.0,training_start,8,0,all_tasks,2026-02-05 07:42:11
0.8942491387998857,sst2_client,cuda,0.08807936,0.117440512,8.071348224,1.0912595709611153,NVIDIA GeForce RTX 5060,0.29139988875972267,task_complete,8,66477,sst2,2026-02-05 07:43:02
0.0,sst2_client,cuda,0.105624064,0.134217728,8.071348224,1.3086297489424241,NVIDIA GeForce RTX 5060,0.0,round_complete,8,0,all_tasks,2026-02-05 07:43:06
0.0,sst2_client,cuda,0.088078848,0.13631488,8.071348224,1.0912532275351374,NVIDIA GeForce RTX 5060,0.0,training_start,9,0,all_tasks,2026-02-05 07:46:42
0.897543511289619,sst2_client,cuda,0.08807936,0.117440512,8.071348224,1.0912595709611153,NVIDIA GeForce RTX 5060,0.2857743581360493,task_complete,9,66477,sst2,2026-02-05 07:47:32
0.0,sst2_client,cuda,0.105624064,0.134217728,8.071348224,1.3086297489424241,NVIDIA GeForce RTX 5060,0.0,round_complete,9,0,all_tasks,2026-02-05 07:47:35
0.0,sst2_client,cuda,0.088078848,0.13631488,8.071348224,1.0912532275351374,NVIDIA GeForce RTX 5060,0.0,training_start,10,0,all_tasks,2026-02-05 07:51:13
0.9016351520074612,sst2_client,cuda,0.08807936,0.117440512,8.071348224,1.0912595709611153,NVIDIA GeForce RTX 5060,0.27667006678421446,task_complete,10,66477,sst2,2026-02-05 07:52:03
0.0,sst2_client,cuda,0.105624064,0.134217728,8.071348224,1.3086297489424241,NVIDIA GeForce RTX 5060,0.0,round_complete,10,0,all_tasks,2026-02-05 07:52:06
0.0,sst2_client,cuda,0.088078848,0.13631488,8.071348224,1.0912532275351374,NVIDIA GeForce RTX 5060,0.0,training_start,11,0,all_tasks,2026-02-05 07:55:44
0.9038614859274636,sst2_client,cuda,0.08807936,0.117440512,8.071348224,1.0912595709611153,NVIDIA GeForce RTX 5060,0.27613839850406285,task_complete,11,66477,sst2,2026-02-05 07:56:34
0.0,sst2_client,cuda,0.105624064,0.134217728,8.071348224,1.3086297489424241,NVIDIA GeForce RTX 5060,0.0,round_complete,11,0,all_tasks,2026-02-05 07:56:37
0.0,sst2_client,cuda,0.088078848,0.13631488,8.071348224,1.0912532275351374,NVIDIA GeForce RTX 5060,0.0,training_start,12,0,all_tasks,2026-02-05 08:00:15
0.9048091821231403,sst2_client,cuda,0.08807936,0.117440512,8.071348224,1.0912595709611153,NVIDIA GeForce RTX 5060,0.2721369668337596,task_complete,12,66477,sst2,2026-02-05 08:01:05
