round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,qqp_client_2,qqp,0.8512478812321,0.39686657657891217,34218,29128,0.7887749860721441,,,,,,0.6411416982018748,0.9015712960319889,40431,25922,0.5176594308331529,,,,0.592738245405753,0.6916646748837962,40431,23965,0.1127276646190322,0.2997134670487106,0.06941863551898061,,,2026-02-23 12:34:24
1,qqp_client_3,qqp,0.998401447745438,0.013090620785561223,33155,33102,0.9977233599185135,,,,,,0.6273156736167792,3.159922140133389,40431,25363,0.4836491908059206,,,,0.592738245405753,0.691664674997312,40431,23965,0.1127276646190322,0.2997134670487106,0.06941863551898061,,,2026-02-23 12:34:36
1,qqp_client_1,qqp,0.8594677483181639,0.3836295840440618,40432,34750,0.8119989443362797,,,,,,0.5376814820311148,0.9812569183145982,40431,21739,0.498254987773647,,,,0.592738245405753,0.6916646746331769,40431,23965,0.1127276646190322,0.2997134670487106,0.06941863551898061,,,2026-02-23 12:34:39
2,qqp_client_2,qqp,0.8535566076334093,0.37167512469408165,34218,29207,0.8085406685668338,,,,,,0.6700798891939354,0.7536047085991396,40431,27092,0.585870273722634,,,,0.6273156736167792,1.290082671614529,40431,25363,0.0,0.0,0.0,,,2026-02-23 12:38:33
2,qqp_client_3,qqp,0.9985220931986126,0.011790512270714433,33155,33106,0.9977836862538526,,,,,,0.6273156736167792,3.0844668506212694,40431,25363,0.4836491908059206,,,,0.6273156736167792,1.2900826708775976,40431,25363,0.0,0.0,0.0,,,2026-02-23 12:38:41
2,qqp_client_1,qqp,0.8652552433715869,0.3690240053676709,40432,34984,0.8322445911334456,,,,,,0.5896218248373772,0.9543491187201372,40431,23839,0.5697366596094275,,,,0.6273156736167792,1.2900826713854703,40431,25363,0.0,0.0,0.0,,,2026-02-23 12:38:46
3,qqp_client_2,qqp,0.8557776608802384,0.3591337838700427,34218,29283,0.8199543701626083,,,,,,0.6709702950706141,0.7991235367509676,40431,27128,0.5844662411700937,,,,0.630679429150899,1.3843567892669948,40431,25499,0.018664563617245004,0.9594594594594594,0.009423944783647465,,,2026-02-23 12:42:38
3,qqp_client_3,qqp,0.9985220931986126,0.011449811154362393,33155,33106,0.9977836862538526,,,,,,0.6273156736167792,3.0062404359163315,40431,25363,0.4836491908059206,,,,0.630679429150899,1.384356788357855,40431,25499,0.018664563617245004,0.9594594594594594,0.009423944783647465,,,2026-02-23 12:42:49
3,qqp_client_1,qqp,0.8706964780371983,0.35275299655554393,40432,35204,0.8464628524775032,,,,,,0.5976602112240608,1.0421580403245658,40431,24164,0.5791228730386873,,,,0.630679429150899,1.3843567851005407,40431,25499,0.018664563617245004,0.9594594594594594,0.009423944783647465,,,2026-02-23 12:42:57
4,qqp_client_2,qqp,0.8593430358290958,0.3507544857377118,34218,29405,0.8291437592619945,,,,,,0.6779451411045979,0.8044708766875922,40431,27410,0.598626770099936,,,,0.6489327496228142,1.177841027775864,40431,26237,0.12544670363524338,0.8760757314974182,0.06756039288558535,,,2026-02-23 12:46:54
4,qqp_client_3,qqp,0.9985220931986126,0.011012141566837122,33155,33106,0.9977836862538526,,,,,,0.6273156736167792,3.0299548556804297,40431,25363,0.4836491908059206,,,,0.6489327496228142,1.177841028104157,40431,26237,0.12544670363524338,0.8760757314974182,0.06756039288558535,,,2026-02-23 12:47:03
4,qqp_client_1,qqp,0.8762119113573407,0.3457429022660909,40432,35427,0.8544278439723428,,,,,,0.5432712522569315,1.4644266256156293,40431,21965,0.5022721155579116,,,,0.6489327496228142,1.1778410296487827,40431,26237,0.12544670363524338,0.8760757314974182,0.06756039288558535,,,2026-02-23 12:47:09
5,qqp_client_2,qqp,0.8615933134607516,0.34338630701074757,34218,29482,0.8353460339348598,,,,,,0.6896440849842942,0.7790591086601514,40431,27883,0.6246204091792017,,,,0.6759664613786451,1.0226747931543108,40431,27330,0.2751867219917013,0.8270701696042567,0.16505176533050173,,,2026-02-23 12:51:02
5,qqp_client_3,qqp,0.9984617704720253,0.010701761931299335,33155,33104,0.9977535239966456,,,,,,0.6273156736167792,3.3623247796157045,40431,25363,0.4836491908059206,,,,0.6759664613786451,1.0226747916392618,40431,27330,0.2751867219917013,0.8270701696042567,0.16505176533050173,,,2026-02-23 12:51:10
5,qqp_client_1,qqp,0.8829392560348239,0.3340393190637384,40432,35699,0.8641728579985004,,,,,,0.5738665875194776,1.2241228628022058,40431,23202,0.5458453280905068,,,,0.6759664613786451,1.0226747928599254,40431,27330,0.2751867219917013,0.8270701696042567,0.16505176533050173,,,2026-02-23 12:51:19
6,qqp_client_2,qqp,0.8616517622304051,0.34052638533795554,34218,29484,0.8367708479698278,,,,,,0.6972125349360639,0.7688169545920339,40431,28189,0.6391257011118232,,,,0.6690658158343845,1.1953284654713157,40431,27051,0.233852496564361,0.8522537562604341,0.13551898062118398,,,2026-02-23 12:55:13
6,qqp_client_3,qqp,0.9984919318353189,0.010380039385825565,33155,33105,0.9977686053528544,,,,,,0.6273156736167792,3.44036255584309,40431,25363,0.4836491908059206,,,,0.6690658158343845,1.1953284677554297,40431,27051,0.233852496564361,0.8522537562604341,0.13551898062118398,,,2026-02-23 12:55:21
6,qqp_client_1,qqp,0.881900474871389,0.33452160458836366,40432,35657,0.8639400565513348,,,,,,0.5777744799782345,1.2291504606990815,40431,23360,0.5510326463211732,,,,0.6690658158343845,1.1953284663269341,40431,27051,0.233852496564361,0.8522537562604341,0.13551898062118398,,,2026-02-23 12:55:27
7,qqp_client_2,qqp,0.8649248933309954,0.33529587439914477,34218,29596,0.8420065465299534,,,,,,0.6836091118201381,0.8438983135583962,40431,27639,0.6103146559110317,,,,0.6697336202418936,1.226135890922921,40431,27078,0.23692782444711127,0.8527354997943233,0.1375763206795859,,,2026-02-23 12:59:21
