round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.9030,0.9030,0.0000,3,3,258.82,1,1,0.0000,0.0000,0.5927,0.1127,0.0000,0.0000,2026-02-23 12:34:39
2,3,0.9058,0.9058,0.0000,3,3,247.61,2,2,0.0000,0.0000,0.6273,0.0000,0.0000,0.0000,2026-02-23 12:38:46
3,3,0.9083,0.9083,0.0000,3,3,250.87,3,3,0.0000,0.0000,0.6307,0.0187,0.0000,0.0000,2026-02-23 12:42:57
4,3,0.9114,0.9114,0.0000,3,3,251.92,4,4,0.0000,0.0000,0.6489,0.1254,0.0000,0.0000,2026-02-23 12:47:09
5,3,0.9143,0.9143,0.0000,3,3,249.97,5,5,0.0000,0.0000,0.6760,0.2752,0.0000,0.0000,2026-02-23 12:51:19
6,3,0.9140,0.9140,0.0000,3,3,247.98,6,6,0.0000,0.0000,0.6691,0.2339,0.0000,0.0000,2026-02-23 12:55:27
7,3,0.9162,0.9162,0.0000,3,3,250.70,7,7,0.0000,0.0000,0.6697,0.2369,0.0000,0.0000,2026-02-23 12:59:38
8,3,0.9164,0.9164,0.0000,3,3,252.78,8,8,0.0000,0.0000,0.6781,0.2802,0.0000,0.0000,2026-02-23 13:03:50
9,3,0.9181,0.9181,0.0000,3,3,243.89,9,9,0.0000,0.0000,0.6807,0.2925,0.0000,0.0000,2026-02-23 13:07:54
10,3,0.9189,0.9189,0.0000,3,3,248.83,10,10,0.0000,0.0000,0.6840,0.3091,0.0000,0.0000,2026-02-23 13:12:03
11,3,0.9198,0.9198,0.0000,3,3,247.77,11,11,0.0000,0.0000,0.6760,0.2658,0.0000,0.0000,2026-02-23 13:16:11
12,3,0.9204,0.9204,0.0000,3,3,250.63,12,12,0.0000,0.0000,0.6970,0.3713,0.0000,0.0000,2026-02-23 13:20:22
13,3,0.9210,0.9210,0.0000,3,3,248.47,13,13,0.0000,0.0000,0.6878,0.3281,0.0000,0.0000,2026-02-23 13:24:30
14,3,0.9214,0.9214,0.0000,3,3,246.69,14,14,0.0000,0.0000,0.6962,0.3680,0.0000,0.0000,2026-02-23 13:28:37
15,3,0.9214,0.9214,0.0000,3,3,250.87,15,15,0.0000,0.0000,0.6936,0.3546,0.0000,0.0000,2026-02-23 13:32:48
16,3,0.9212,0.9212,0.0000,3,3,246.99,16,16,0.0000,0.0000,0.6887,0.3302,0.0000,0.0000,2026-02-23 13:36:55
17,3,0.9222,0.9222,0.0000,3,3,248.30,17,17,0.0000,0.0000,0.6930,0.3514,0.0000,0.0000,2026-02-23 13:41:03
18,3,0.9225,0.9225,0.0000,3,3,251.73,18,18,0.0000,0.0000,0.6936,0.3546,0.0000,0.0000,2026-02-23 13:45:15
19,3,0.9219,0.9219,0.0000,3,3,252.04,19,19,0.0000,0.0000,0.6997,0.3828,0.0000,0.0000,2026-02-23 13:49:27
20,3,0.9228,0.9228,0.0000,3,3,246.71,20,20,0.0000,0.0000,0.6977,0.3739,0.0000,0.0000,2026-02-23 13:53:33
21,3,0.9224,0.9224,0.0000,3,3,250.98,21,21,0.0000,0.0000,0.7010,0.3887,0.0000,0.0000,2026-02-23 13:57:44
22,3,0.9227,0.9227,0.0000,3,3,240.29,22,22,0.0000,0.0000,0.6993,0.3817,0.0000,0.0000,2026-02-23 14:01:45
23,3,0.9224,0.9224,0.0000,3,3,247.30,23,23,0.0000,0.0000,0.6980,0.3741,0.0000,0.0000,2026-02-23 14:05:52
24,3,0.9219,0.9219,0.0000,3,3,244.82,24,24,0.0000,0.0000,0.6983,0.3748,0.0000,0.0000,2026-02-23 14:09:57
25,3,0.9217,0.9217,0.0000,3,3,249.67,25,25,0.0000,0.0000,0.6954,0.3610,0.0000,0.0000,2026-02-23 14:14:06
