round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,sst2_client_1,sst2,0.7285978609143012,0.5267532121941501,22159,16145,0.7275744837554542,,,,,,0.8119266055045872,0.42319970273780166,872,708,0.8111442169818963,,,,0.4782110091743119,0.8150089601857946,872,417,0.15896487985212568,0.5657894736842105,0.09247311827956989,,,2026-02-23 14:18:28
1,sst2_client_2,sst2,0.7293650435488966,0.525164017854561,22159,16162,0.7285231303139014,,,,,,0.8004587155963303,0.4425721584110085,872,698,0.7979466152390685,,,,0.4782110091743119,0.8150089618262895,872,417,0.15896487985212568,0.5657894736842105,0.09247311827956989,,,2026-02-23 14:18:33
1,sst2_client_3,sst2,0.728146577011598,0.5272885298927984,22159,16135,0.7272420789246755,,,,,,0.8165137614678899,0.4149603355299989,872,712,0.8166624451131668,,,,0.4782110091743119,0.8150089642870317,872,417,0.15896487985212568,0.5657894736842105,0.09247311827956989,,,2026-02-23 14:18:41
2,sst2_client_1,sst2,0.8268423665327858,0.3949840242806351,22159,18322,0.8269641495595579,,,,,,0.8520642201834863,0.3701415110140219,872,743,0.8518143150889248,,,,0.8107798165137615,0.4130325866948574,872,707,0.8257655755015839,0.8112033195020747,0.8408602150537634,,,2026-02-23 14:20:06
2,sst2_client_2,sst2,0.8254433864344058,0.394769332020641,22159,18291,0.825622431698667,,,,,,0.8463302752293578,0.3689919459129419,872,738,0.8464906076572427,,,,0.8107798165137615,0.41303258197843484,872,707,0.8257655755015839,0.8112033195020747,0.8408602150537634,,,2026-02-23 14:20:13
2,sst2_client_3,sst2,0.8262105690690013,0.396442839640465,22159,18308,0.8263409111831206,,,,,,0.8520642201834863,0.3597098278616547,872,743,0.8520964498178732,,,,0.8107798165137615,0.4130325823885585,872,707,0.8257655755015839,0.8112033195020747,0.8408602150537634,,,2026-02-23 14:20:24
3,sst2_client_1,sst2,0.8576650570874137,0.3402715628270719,22159,19005,0.857765829592797,,,,,,0.8692660550458715,0.3591177775054623,872,758,0.8691747521801897,,,,0.8543577981651376,0.3638366548976767,872,745,0.8638799571275456,0.8611111111111112,0.8666666666666667,,,2026-02-23 14:21:46
3,sst2_client_2,sst2,0.8607789160160657,0.341076325862887,22159,19074,0.8608768312200249,,,,,,0.8658256880733946,0.35224700739624304,872,755,0.8658726222946406,,,,0.8543577981651376,0.36383664973695345,872,745,0.8638799571275456,0.8611111111111112,0.8666666666666667,,,2026-02-23 14:21:53
3,sst2_client_3,sst2,0.8584773681122795,0.3417708442709493,22159,19023,0.8586023367012174,,,,,,0.8692660550458715,0.356075151225364,872,758,0.8690915584668015,,,,0.8543577981651376,0.3638366563074769,872,745,0.8638799571275456,0.8611111111111112,0.8666666666666667,,,2026-02-23 14:22:02
4,sst2_client_1,sst2,0.877656933977165,0.31327549297386104,22159,19448,0.8777956948402401,,,,,,0.8738532110091743,0.3507007716240686,872,762,0.8739556655242081,,,,0.8715596330275229,0.3544580434158513,872,760,0.8803418803418803,0.8747346072186837,0.886021505376344,,,2026-02-23 14:23:24
4,sst2_client_2,sst2,0.8794620695879778,0.3141856322366751,22159,19488,0.8796080020304247,,,,,,0.8669724770642202,0.3622014435913858,872,756,0.8669921523655334,,,,0.8715596330275229,0.3544580471411416,872,760,0.8803418803418803,0.8747346072186837,0.886021505376344,,,2026-02-23 14:23:32
4,sst2_client_3,sst2,0.8781533462701385,0.3132515352066364,22159,19459,0.8782430298642835,,,,,,0.8784403669724771,0.358429647965032,872,766,0.8784583461271253,,,,0.8715596330275229,0.35445804698307304,872,760,0.8803418803418803,0.8747346072186837,0.886021505376344,,,2026-02-23 14:23:41
5,sst2_client_1,sst2,0.8942641815966424,0.28521365482050803,22159,19816,0.8943913020243522,,,,,,0.8784403669724771,0.3782527382494113,872,766,0.8784904232040057,,,,0.8704128440366973,0.35624862958702747,872,759,0.8778378378378379,0.8826086956521739,0.8731182795698925,,,2026-02-23 14:25:05
5,sst2_client_2,sst2,0.8925041743761,0.28881083306577393,22159,19777,0.8926209994114663,,,,,,0.8761467889908257,0.37082507468785647,872,764,0.8761821070419881,,,,0.8704128440366973,0.35624863218447755,872,759,0.8778378378378379,0.8826086956521739,0.8731182795698925,,,2026-02-23 14:25:13
5,sst2_client_3,sst2,0.8927749447177219,0.29223581692086203,22159,19783,0.8928951778497881,,,,,,0.8784403669724771,0.3854304419898795,872,766,0.8782497124748367,,,,0.8704128440366973,0.35624863224428727,872,759,0.8778378378378379,0.8826086956521739,0.8731182795698925,,,2026-02-23 14:25:22
6,sst2_client_1,sst2,0.9013944672593529,0.2763895313402584,22159,19974,0.9015196196816463,,,,,,0.8830275229357798,0.3921984773846941,872,770,0.8831225262133565,,,,0.8795871559633027,0.3771918378535385,872,767,0.887459807073955,0.8846153846153846,0.8903225806451613,,,2026-02-23 14:26:47
6,sst2_client_2,sst2,0.9028385757480031,0.2757448258966927,22159,20006,0.9029429046840615,,,,,,0.8841743119266054,0.3854760204339315,872,771,0.8840819143185935,,,,0.8795871559633027,0.37719183587768207,872,767,0.887459807073955,0.8846153846153846,0.8903225806451613,,,2026-02-23 14:26:53
6,sst2_client_3,sst2,0.8985062502820524,0.28207699876826675,22159,19910,0.8985833132970964,,,,,,0.8784403669724771,0.36840333903011857,872,766,0.8784210917817182,,,,0.8795871559633027,0.37719183475411405,872,767,0.887459807073955,0.8846153846153846,0.8903225806451613,,,2026-02-23 14:27:04
7,sst2_client_1,sst2,0.912721693217203,0.2622024621548037,22159,20225,0.9128247771964559,,,,,,0.8818807339449541,0.4094897679356568,872,769,0.8819064676840382,,,,0.8807339449541285,0.380075995673622,872,768,0.8879310344827586,0.8898488120950324,0.886021505376344,,,2026-02-23 14:28:31
7,sst2_client_2,sst2,0.911187327948012,0.2563788102814904,22159,20191,0.9112681572876118,,,,,,0.8841743119266054,0.39196268440899223,872,771,0.8841046166798738,,,,0.8807339449541285,0.3800759992579323,872,768,0.8879310344827586,0.8898488120950324,0.886021505376344,,,2026-02-23 14:28:39
7,sst2_client_3,sst2,0.9095627058982806,0.266373261629977,22159,20155,0.9096695209419328,,,,,,0.8818807339449541,0.3960095976101269,872,769,0.8818521666360094,,,,0.8807339449541285,0.3800759953361244,872,768,0.8879310344827586,0.8898488120950324,0.886021505376344,,,2026-02-23 14:28:50
8,sst2_client_1,sst2,0.9172796606345052,0.25133806075593995,22159,20326,0.9173455285295594,,,,,,0.8899082568807339,0.3997804860551329,872,776,0.8899535908262693,,,,0.8830275229357798,0.39793220425981585,872,770,0.8905579399141631,0.8886509635974305,0.8924731182795699,,,2026-02-23 14:30:12
8,sst2_client_2,sst2,0.9186786407328851,0.25304302581802807,22159,20357,0.9187691277082795,,,,,,0.8818807339449541,0.4131568052417197,872,769,0.881831544586193,,,,0.8830275229357798,0.39793220983600297,872,770,0.8905579399141631,0.8886509635974305,0.8924731182795699,,,2026-02-23 14:30:19
8,sst2_client_3,sst2,0.9173699174150458,0.24976130669675128,22159,20328,0.9174447478273653,,,,,,0.8876146788990825,0.4069616197802793,872,774,0.887631301136399,,,,0.8830275229357798,0.39793220652831257,872,770,0.8905579399141631,0.8886509635974305,0.8924731182795699,,,2026-02-23 14:30:29
9,sst2_client_1,sst2,0.92079967507559,0.244580492211652,22159,20404,0.9208531423689719,,,,,,0.8910550458715596,0.39823572569817234,872,777,0.8911063710512269,,,,0.8864678899082569,0.4057656370099087,872,773,0.8936627282491945,0.8927038626609443,0.8946236559139785,,,2026-02-23 14:31:54
9,sst2_client_2,sst2,0.9217924996615371,0.2455305253378904,22159,20426,0.9218689202638598,,,,,,0.8910550458715596,0.41104575991630554,872,777,0.8910632476617097,,,,0.8864678899082569,0.405765640103993,872,773,0.8936627282491945,0.8927038626609443,0.8946236559139785,,,2026-02-23 14:32:01
9,sst2_client_3,sst2,0.9212960873685636,0.24398571410744252,22159,20415,0.9213641576431054,,,,,,0.8899082568807339,0.4108019585864311,872,776,0.8899663616794204,,,,0.8864678899082569,0.4057656381366809,872,773,0.8936627282491945,0.8927038626609443,0.8946236559139785,,,2026-02-23 14:32:10
10,sst2_client_1,sst2,0.9263504670788393,0.23251807047846385,22159,20527,0.9264253629681948,,,,,,0.8944954128440367,0.4264851977820124,872,780,0.8945388578751747,,,,0.8910550458715596,0.4056429041916966,872,777,0.8968512486427795,0.9057017543859649,0.8881720430107527,,,2026-02-23 14:33:35
10,sst2_client_2,sst2,0.9252673857123517,0.23493509146215524,22159,20503,0.9253400790102283,,,,,,0.893348623853211,0.4253286330446968,872,779,0.89339886850278,,,,0.8910550458715596,0.40564290474493636,872,777,0.8968512486427795,0.9057017543859649,0.8881720430107527,,,2026-02-23 14:33:43
10,sst2_client_3,sst2,0.9258991831761361,0.23428467978483372,22159,20517,0.9259544142121477,,,,,,0.8944954128440367,0.4018492775471505,872,780,0.8945388578751747,,,,0.8910550458715596,0.40564290058068553,872,777,0.8968512486427795,0.9057017543859649,0.8881720430107527,,,2026-02-23 14:33:51
11,sst2_client_1,sst2,0.9295094543977617,0.22792024993417961,22159,20597,0.9295729734363819,,,,,,0.9025229357798165,0.4217789134762566,872,787,0.9024993608161241,,,,0.8956422018348624,0.41733025166221016,872,781,0.9011943539630836,0.9100877192982456,0.8924731182795699,,,2026-02-23 14:35:19
11,sst2_client_2,sst2,0.9285166298118146,0.229979085872481,22159,20575,0.9285604798466763,,,,,,0.8967889908256881,0.4242021625630831,872,782,0.8968543418234769,,,,0.8956422018348624,0.41733024819004305,872,781,0.9011943539630836,0.9100877192982456,0.8924731182795699,,,2026-02-23 14:35:23
11,sst2_client_3,sst2,0.9270725213231644,0.23089753876932786,22159,20543,0.9271220976309221,,,,,,0.8979357798165137,0.4192329400674004,872,783,0.897971481916436,,,,0.8956422018348624,0.41733025281194497,872,781,0.9011943539630836,0.9100877192982456,0.8924731182795699,,,2026-02-23 14:35:32
12,sst2_client_1,sst2,0.9321720294237105,0.22438682945968838,22159,20656,0.9322235304070856,,,,,,0.9013761467889908,0.4393242760374501,872,786,0.9014281990044808,,,,0.8990825688073395,0.42091043100483,872,784,0.9047619047619048,0.9106753812636166,0.8989247311827957,,,2026-02-23 14:36:56
12,sst2_client_2,sst2,0.932803826887495,0.22525283333575202,22159,20670,0.9328382528770477,,,,,,0.8979357798165137,0.4359035370486934,872,783,0.897971481916436,,,,0.8990825688073395,0.42091043408182577,872,784,0.9047619047619048,0.9106753812636166,0.8989247311827957,,,2026-02-23 14:37:02
12,sst2_client_3,sst2,0.9311792048377634,0.2285151293768761,22159,20634,0.9312365316268814,,,,,,0.8979357798165137,0.42601326446651283,872,783,0.8979278239899537,,,,0.8990825688073395,0.4209104283561144,872,784,0.9047619047619048,0.9106753812636166,0.8989247311827957,,,2026-02-23 14:37:12
13,sst2_client_1,sst2,0.9362787129383094,0.21567948365988318,22159,20747,0.9363091847194276,,,,,,0.9013761467889908,0.4441143711428094,872,786,0.901404270422324,,,,0.9025229357798165,0.43286148730372803,872,787,0.9081081081081082,0.9130434782608695,0.9032258064516129,,,2026-02-23 14:38:36
13,sst2_client_2,sst2,0.9337515230831717,0.2191727988901027,22159,20691,0.9338002843854697,,,,,,0.9002293577981652,0.44084047376009455,872,785,0.9001497677793826,,,,0.9025229357798165,0.4328614838828264,872,787,0.9081081081081082,0.9130434782608695,0.9032258064516129,,,2026-02-23 14:38:43
13,sst2_client_3,sst2,0.9355566586939844,0.21735383604423292,22159,20731,0.9355974176825135,,,,,,0.8944954128440367,0.44562333028009504,872,780,0.8945622160862208,,,,0.9025229357798165,0.4328614791642678,872,787,0.9081081081081082,0.9130434782608695,0.9032258064516129,,,2026-02-23 14:38:51
14,sst2_client_1,sst2,0.9369556387923643,0.2125337387513729,22159,20762,0.936990987761728,,,,,,0.9013761467889908,0.4445849793793317,872,786,0.901404270422324,,,,0.9025229357798165,0.4412501891599669,872,787,0.9083063646170443,0.9112554112554112,0.9053763440860215,,,2026-02-23 14:40:16
14,sst2_client_2,sst2,0.9362787129383094,0.21556088357717504,22159,20747,0.9363262075929067,,,,,,0.8956422018348624,0.4402355940277163,872,781,0.8956500582864799,,,,0.9025229357798165,0.44125018597670207,872,787,0.9083063646170443,0.9112554112554112,0.9053763440860215,,,2026-02-23 14:40:20
14,sst2_client_3,sst2,0.9381289769393926,0.20787708233329147,22159,20788,0.9381736499845613,,,,,,0.9036697247706422,0.45246268277870355,872,788,0.9036024489748766,,,,0.9025229357798165,0.44125018478691613,872,787,0.9083063646170443,0.9112554112554112,0.9053763440860215,,,2026-02-23 14:40:31
15,sst2_client_1,sst2,0.93776794981723,0.2101307056766484,22159,20780,0.9378226207177925,,,,,,0.9025229357798165,0.4502567369672427,872,787,0.9024993608161241,,,,0.9013761467889908,0.445161106498002,872,786,0.9075268817204301,0.9075268817204301,0.9075268817204301,,,2026-02-23 14:41:59
