round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.7287,0.7287,0.0000,3,3,103.98,1,1,0.4782,0.1590,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:18:41
2,3,0.8262,0.8262,0.0000,3,3,102.39,2,2,0.8108,0.8258,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:20:24
3,3,0.8590,0.8590,0.0000,3,3,98.07,3,3,0.8544,0.8639,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:22:02
4,3,0.8784,0.8784,0.0000,3,3,98.60,4,4,0.8716,0.8803,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:23:41
5,3,0.8932,0.8932,0.0000,3,3,101.78,5,5,0.8704,0.8778,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:25:22
6,3,0.9009,0.9009,0.0000,3,3,101.34,6,6,0.8796,0.8875,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:27:04
7,3,0.9112,0.9112,0.0000,3,3,105.86,7,7,0.8807,0.8879,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:28:50
8,3,0.9178,0.9178,0.0000,3,3,99.58,8,8,0.8830,0.8906,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:30:29
9,3,0.9213,0.9213,0.0000,3,3,101.28,9,9,0.8865,0.8937,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:32:10
10,3,0.9258,0.9258,0.0000,3,3,100.77,10,10,0.8911,0.8969,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:33:51
11,3,0.9284,0.9284,0.0000,3,3,100.55,11,11,0.8956,0.9012,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:35:32
12,3,0.9321,0.9321,0.0000,3,3,100.05,12,12,0.8991,0.9048,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:37:12
13,3,0.9352,0.9352,0.0000,3,3,99.28,13,13,0.9025,0.9081,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:38:51
14,3,0.9371,0.9371,0.0000,3,3,100.20,14,14,0.9025,0.9083,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:40:31
15,3,0.9380,0.9380,0.0000,3,3,98.80,15,15,0.9014,0.9075,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:42:10
16,3,0.9403,0.9403,0.0000,3,3,101.01,16,16,0.9025,0.9087,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:43:51
17,3,0.9406,0.9406,0.0000,3,3,99.87,17,17,0.9025,0.9089,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:45:31
18,3,0.9419,0.9419,0.0000,3,3,102.18,18,18,0.8991,0.9060,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:47:13
19,3,0.9425,0.9425,0.0000,3,3,95.10,19,19,0.9048,0.9116,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:48:48
20,3,0.9446,0.9446,0.0000,3,3,97.36,20,20,0.9025,0.9095,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:50:26
21,3,0.9456,0.9456,0.0000,3,3,102.16,21,21,0.9025,0.9095,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:52:08
22,3,0.9450,0.9450,0.0000,3,3,105.39,22,22,0.9037,0.9103,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:53:53
23,3,0.9472,0.9472,0.0000,3,3,98.67,23,23,0.9060,0.9122,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:55:32
24,3,0.9475,0.9475,0.0000,3,3,99.18,24,24,0.9060,0.9122,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:57:11
25,3,0.9468,0.9468,0.0000,3,3,100.61,25,25,0.9060,0.9120,0.0000,0.0000,0.0000,0.0000,2026-02-23 14:58:52
