round,client_id,task,accuracy,loss,samples_processed,correct_predictions,f1_score,pearson_correlation,spearman_correlation,mae,mse,rmse,val_accuracy,val_loss,val_samples,val_correct_predictions,val_f1_score,val_pearson_correlation,val_spearman_correlation,val_mae,global_model_val_accuracy,global_model_val_loss,global_model_val_samples,global_model_val_correct_predictions,global_model_val_f1,global_model_val_precision,global_model_val_recall,global_model_val_pearson,global_model_val_spearman,timestamp
1,stsb_client_1,stsb,0.023924293526864742,0.21437981390002844,549,108,,0.023924293526864742,-0.00029232266849228727,0.36801204085350037,0.21510928869247437,0.46379876136779785,0.06051288756380152,0.11242824821518017,100,17,,0.06051288756380152,0.016403714750254775,0.2771659195423126,0.5224421270038744,0.4775578483939171,100,,,,,-0.1514567324194808,-0.16749340839715984,2026-02-24 09:06:15
1,stsb_client_2,stsb,0.0,0.28457706458866594,474,72,,-0.10561957456013231,-0.09250184498812286,0.4220042824745178,0.2852306067943573,0.534069836139679,0.06567670227031384,0.1240685791350328,100,15,,0.06567670227031384,0.007808144177567223,0.2962653636932373,0.5224421328250184,0.4775578510761261,100,,,,,-0.15145672432672236,-0.16749340839715984,2026-02-24 09:06:22
1,stsb_client_3,stsb,0.0,0.26950467711081727,393,53,,-0.06078806089010549,-0.06918992831797299,0.4247415333028892,0.27429566243845194,0.523732434014213,0.10400079000943142,0.14201105328706595,100,18,,0.10400079000943142,0.07642243654625841,0.30891528725624084,0.522442132038786,0.4775578689575195,100,,,,,-0.15145673015857813,-0.16749340839715984,2026-02-24 09:06:26
2,stsb_client_1,stsb,0.0,0.1255691109792046,549,111,,-0.014649482490695977,-0.004872991209971206,0.28670239448547363,0.1251436322927475,0.35375645756721497,0.08987363907811857,0.10628187255217479,100,22,,0.08987363907811857,0.041679500944766065,0.2646890878677368,0.8826020757019105,0.11739792197942733,100,,,,,0.07260720883367493,0.036780626807185406,2026-02-24 09:07:06
2,stsb_client_2,stsb,0.045710474021879145,0.1515249985580643,474,87,,0.045710474021879145,0.03458951595438411,0.31723707914352417,0.14745546877384186,0.3839993178844452,0.18508920190422604,0.10418551587141477,100,22,,0.18508920190422604,0.14210942620942593,0.2673060894012451,0.8826020712181812,0.11739792749285698,100,,,,,0.07260718532652895,0.036780626807185406,2026-02-24 09:07:09
2,stsb_client_3,stsb,0.04718933678538385,0.15031895553460345,393,74,,0.04718933678538385,0.05747377451860759,0.31563423172293503,0.15297837107132262,0.3911244956165781,0.16503186620590685,0.1634263998040786,100,16,,0.16503186620590685,0.13419909692714843,0.3336258828639984,0.8826020727507708,0.11739792466163636,100,,,,,0.07260720355806018,0.036780626807185406,2026-02-24 09:07:13
3,stsb_client_1,stsb,0.06760186004484056,0.10712717964813329,549,124,,0.06760186004484056,0.0747871935532611,0.2639892101287842,0.10697103291749954,0.32706427574157715,0.17187876643468067,0.08925244785272159,100,17,,0.17187876643468067,0.13583405860251277,0.2510693073272705,0.897813650838133,0.10218634665012359,100,,,,,0.15710304499429947,0.11177247188750002,2026-02-24 09:07:52
3,stsb_client_2,stsb,0.10996813319839478,0.125726804882288,474,109,,0.10996813319839478,0.1279863200172923,0.2883554995059967,0.126761332154274,0.35603559017181396,0.19178439562697336,0.0962825110898568,100,22,,0.19178439562697336,0.1419771866621538,0.256971538066864,0.897813650348889,0.10218634992837906,100,,,,,0.15710304612436854,0.11177247188750002,2026-02-24 09:07:56
3,stsb_client_3,stsb,0.15214096107628758,0.12541825708001852,393,93,,0.15214096107628758,0.13108009177720067,0.2816681998637303,0.12441459875374877,0.352724536648287,0.17870349998952859,0.14809362017191374,100,19,,0.17870349998952859,0.14038430120637604,0.32012873888015747,0.8978136458988849,0.10218635320663452,100,,,,,0.157103006609398,0.11177247188750002,2026-02-24 09:08:00
4,stsb_client_1,stsb,0.047427399151297005,0.09632473349895167,549,149,,0.047427399151297005,0.053673981267941484,0.24871450662612915,0.0966862365603447,0.3109441101551056,0.11571615876880423,0.09755128593398975,100,14,,0.11571615876880423,0.05581109983734539,0.25563639402389526,0.9000423385941099,0.09995766207575799,100,,,,,0.18609483602012442,0.14054659519621004,2026-02-24 09:08:40
