round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.0080,0.0000,0.0080,3,3,51.03,1,1,0.0000,0.0000,0.0000,0.0000,-0.1515,-0.1675,2026-02-24 09:06:26
2,3,0.0310,0.0000,0.0310,3,3,47.17,2,2,0.0000,0.0000,0.0000,0.0000,0.0726,0.0368,2026-02-24 09:07:13
3,3,0.1099,0.0000,0.1099,3,3,46.98,3,3,0.0000,0.0000,0.0000,0.0000,0.1571,0.1118,2026-02-24 09:08:00
4,3,0.0629,0.0000,0.0629,3,3,46.88,4,4,0.0000,0.0000,0.0000,0.0000,0.1861,0.1405,2026-02-24 09:08:47
5,3,0.0737,0.0000,0.0737,3,3,47.89,5,5,0.0000,0.0000,0.0000,0.0000,0.1876,0.1369,2026-02-24 09:09:35
6,3,0.1426,0.0000,0.1426,3,3,50.53,6,6,0.0000,0.0000,0.0000,0.0000,0.1969,0.1499,2026-02-24 09:10:26
7,3,0.1227,0.0000,0.1227,3,3,46.29,7,7,0.0000,0.0000,0.0000,0.0000,0.2071,0.1634,2026-02-24 09:11:12
8,3,0.1412,0.0000,0.1412,3,3,46.34,8,8,0.0000,0.0000,0.0000,0.0000,0.2011,0.1545,2026-02-24 09:11:58
9,3,0.1349,0.0000,0.1349,3,3,45.90,9,9,0.0000,0.0000,0.0000,0.0000,0.2124,0.1696,2026-02-24 09:12:44
10,3,0.1538,0.0000,0.1538,3,3,46.08,10,10,0.0000,0.0000,0.0000,0.0000,0.2170,0.1755,2026-02-24 09:13:30
11,3,0.1672,0.0000,0.1672,3,3,46.46,11,11,0.0000,0.0000,0.0000,0.0000,0.2156,0.1681,2026-02-24 09:14:17
12,3,0.1829,0.0000,0.1829,3,3,47.02,12,12,0.0000,0.0000,0.0000,0.0000,0.2037,0.1513,2026-02-24 09:15:04
13,3,0.1518,0.0000,0.1518,3,3,46.73,13,13,0.0000,0.0000,0.0000,0.0000,0.2167,0.1696,2026-02-24 09:15:50
14,3,0.1572,0.0000,0.1572,3,3,46.16,14,14,0.0000,0.0000,0.0000,0.0000,0.2186,0.1727,2026-02-24 09:16:37
15,3,0.1792,0.0000,0.1792,3,3,46.72,15,15,0.0000,0.0000,0.0000,0.0000,0.2162,0.1697,2026-02-24 09:17:23
16,3,0.2162,0.0000,0.2162,3,3,47.47,16,16,0.0000,0.0000,0.0000,0.0000,0.2137,0.1651,2026-02-24 09:18:11
17,3,0.2232,0.0000,0.2232,3,3,46.28,17,17,0.0000,0.0000,0.0000,0.0000,0.2152,0.1652,2026-02-24 09:18:57
18,3,0.1976,0.0000,0.1976,3,3,46.68,18,18,0.0000,0.0000,0.0000,0.0000,0.2154,0.1649,2026-02-24 09:19:44
19,3,0.2233,0.0000,0.2233,3,3,48.58,19,19,0.0000,0.0000,0.0000,0.0000,0.2130,0.1636,2026-02-24 09:20:32
20,3,0.1900,0.0000,0.1900,3,3,46.97,20,20,0.0000,0.0000,0.0000,0.0000,0.2143,0.1642,2026-02-24 09:21:19
21,3,0.1608,0.0000,0.1608,3,3,47.75,21,21,0.0000,0.0000,0.0000,0.0000,0.2142,0.1673,2026-02-24 09:22:07
22,3,0.2233,0.0000,0.2233,3,3,46.88,22,22,0.0000,0.0000,0.0000,0.0000,0.2148,0.1689,2026-02-24 09:22:54
23,3,0.2235,0.0000,0.2235,3,3,47.59,23,23,0.0000,0.0000,0.0000,0.0000,0.2137,0.1675,2026-02-24 09:23:42
24,3,0.2409,0.0000,0.2409,3,3,47.81,24,24,0.0000,0.0000,0.0000,0.0000,0.2138,0.1690,2026-02-24 09:24:29
25,3,0.1817,0.0000,0.1817,3,3,47.84,25,25,0.0000,0.0000,0.0000,0.0000,0.2153,0.1681,2026-02-24 09:25:17
